node_id,genome_id,degree_centrality,betweeness_centrality,eigenvector_centrality,degree,layer
277,20170700_S24_5,0.152173913043,0.00955519054299,0.14493820985773226,28,7
278,20120700_S1D_104,,,,,7
279,20120700_S1D_107,,,,,7
108,20170700_S34_23,0.054347826087,0.000582966311729,0.0002952641892747841,10,7
109,20170700_S34_24,0.108695652174,0.00835790055162,0.07559958009776092,20,7
102,20160700_S13_19,,,,,7
103,20110800_S1S_18,,,,,7
100,3300037360_7,,,,,7
101,20160700_S13_16,,,,,7
106,3300038457_7,,,,,7
107,20110800_S1D_5,0.070652173913,0.0218360981995,0.0015581527953166762,13,7
104,Bog.Unlabelled.R3.T3.F2.trimmomatic.metaspades_bin.33_99.27_3.62,0.0326086956522,1.994026406e-05,-2.5584514320328326e-18,6,7
105,Bog.Unlabelled.R3.T3.F2.trimmomatic.metaspades_bin.148_70.25_9.70,0.0271739130435,0.00224149599963,-1.3400712514759124e-17,5,7
39,20170700_S31_5,0.103260869565,0.0140592940709,-2.038023324804768e-17,19,7
38,20130700_S1Z_14,,,,,7
33,20140700_S36_11,0.163043478261,0.0061686833802,0.18544885720472923,30,7
32,20160700_S23_5,,,,,7
31,20110800_E2D_31,,,,,7
30,Bog.Labelled.R1.T3.F3.trimmomatic.metaspades_bin.35_75.21_2.71,,,,,7
37,20120700_S3X_22,,,,,7
36,20160700_S23_8,0.0108695652174,7.02858953037e-05,-6.068898035616631e-18,2,7
35,3300037349_11,0.0652173913043,0.0119696630215,-2.7571682235269848e-17,12,7
34,20120500_P28_11,0.184782608696,0.00933171032159,0.20000092400857064,34,7
430,20111000_S2M_4,,,,,7
431,20140700_S12_15,,,,,7
339,20110600_S1M_11,,,,,7
338,Bog.None.R1.T0.trimmomatic.megahit_bin.299_95.52_4.31,,,,,7
335,20110800_S3S_2,,,,,7
334,PLTW01,,,,,7
337,20110800_S3S_4,0.0054347826087,0.0,8.839171280897767e-18,1,7
336,20120700_S1D_46,,,,,7
331,20140700_S22_6,,,,,7
330,20130700_S2Y_8,,,,,7
333,20110800_S3S_8,,,,,7
332,20110800_S3S_9,,,,,7
6,Bog.Unlabelled.R3.T2.F3.trimmomatic.metaspades_bin.142_89.72_0.85,,,,,7
99,Bog.None.R3.T0.JGI.BFC.metaspades_bin.339_96.94_3.52,,,,,7
98,20170700_P31_1,,,,,7
91,20130700_S3Z_17,,,,,7
90,20110700_S2D_14,0.0163043478261,0.0,0.0026106852217018385,3,7
93,20120600_S2D_17,,,,,7
92,Bog.None.R2.T0.JGI.BFC.metaspades_bin.304_97.97_7.51,0.103260869565,0.0048685962565,2.0329724331693788e-17,19,7
95,Bog.None.R3.T0.trimmomatic.megahit_bin.67_73.32_6.98,0.0217391304348,0.000165659766903,1.7572935904300123e-17,4,7
94,Bog.Unlabelled.R2.T3.F3.trimmomatic.metaspades_bin.116_93.32_2.25,,,,,7
