node_id,genome_id,degree_centrality,betweeness_centrality,eigenvector_centrality,degree,layer
371,20120700_P3D_24,,,,,7
370,20110700_P1M_3,,,,,7
373,20120700_P3D_23,,,,,7
372,20120700_P3D_22,,,,,7
375,20120600_P3M_10,0.0481927710843,0.0061945586851,2.969420838280356e-17,8,7
374,20120600_P3M_11,0.0542168674699,0.00836472829792,1.3020807576172348e-17,9,7
377,20110800_P1D_31,,,,,7
376,PMMQ01,,,,,7
393,3300037155_10,,,,,7
392,Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.241_91.03_4.38,,,,,7
88,20160700_P15_16,,,,,7
89,20160700_P15_17,,,,,7
397,3300037104_17,,,,,7
396,20140700_E22_12,,,,,7
395,20110600_S1D_17,,,,,7
394,3300037155_12,,,,,7
82,20120700_S1D_60,,,,,7
181,20120500_P26_12,,,,,7
80,20111000_P2M_3,,,,,7
81,20111000_P2M_7,,,,,7
86,20160700_P15_13,0.00602409638554,0.0,2.9040309370586595e-09,1,7
87,20160700_P15_10,,,,,7
84,20170700_S25_13,,,,,7
85,20150700_P23_7,,,,,7
7,20120700_P3D_58,,,,,7
245,20120700_P3D_33,0.00602409638554,0.0,0.011143878636382984,1,7
244,20120700_P3D_38,0.0120481927711,0.0,0.051211605938434795,2,7
247,20120800_E1D_14,,,,,7
246,20120700_P3D_37,,,,,7
241,PLZO01,,,,,7
240,20110800_P1S_2,0.00602409638554,0.0,1.2039207059590278e-17,1,7
243,20120700_P3D_39,,,,,7
242,20110800_P1S_5,0.0301204819277,0.000227999643361,1.664431263773796e-17,5,7
249,20150700_P23_11,,,,,7
248,20150700_P23_12,0.0180722891566,0.0,-6.670829476343636e-17,3,7
458,20110600_P1D_7,,,,,7
459,Palsa.Labelled.R2.T3.F1.trimmomatic.metaspades_bin.31_87.45_2.00,,,,,7
450,20120700_P3S_3,,,,,7
451,Palsa.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.23_95.38_0.50,,,,,7
452,Palsa.Unlabelled.R3.T1.F2.trimmomatic.metaspades_bin.54_83.78_8.12,0.0602409638554,0.0236467121478,-1.3522625178180266e-16,10,7
453,20120700_S1X_12,,,,,7
454,20140700_S15_2,,,,,7
455,Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.203_90.06_2.84,0.0361445783133,0.000285627600103,1.8383233591970563e-17,6,7
456,20120500_P25_12,0.0120481927711,0.0,0.05121160593843481,2,7
457,20110600_P1D_1,0.066265060241,0.0144350836992,0.12417497529582766,11,7
179,20120700_S3X_7,,,,,7
