,711_P-1-M,711_P-1-D,711_P-2-D,711_P-3-D,712_P-1-M,712_P-1-D,712_P-2-D,712_P-3-D,713_P-1-X1,713_P-3-X1,714_P1_20-24,714_P1_30-34,714_P3_30-34,715_P1_10-14,715_P2_20-24,715_P3_30-34,716_P1_10-14,716_P1_30-34,716_P2_1-5,716_P2_20-24,716_P2_30-34,716_P3_1-5,716_P3_20-24,716_P3_30-34,717_P1_10-14,717_P1_20-24,717_P2_10-14,717_P2_20-24,717_P3_1-5,717_P3_20-24
711_P-1-M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_P-1-D,-0.802231453584885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716_P2_20-24,0.793890099279631,0.625393536961835,1.05281845746374,0.588025618605556,1.03325924461649,2.16849095431242,0.631203887475797,1.17670669517263,0.677305241375701,1.50084408851418,-0.799858116645902,1.55044644827526,-0.171922972849684,1.35637581289033,-0.171922972849684,-0.171922972849684,0.793890099279631,0.867842717626139,-0.171922972849684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716_P2_30-34,2.47962777757138,0.350889807792755,-0.127977088731684,1.79353635408226,1.85400196066169,0.339274280751994,-0.254690259439094,0.0521864701766828,0.483987805207857,0.317795073652182,-1.30727309815424,-1.12472839056254,1.16267489674708,1.77185209909974,1.16267489674708,1.16267489674708,2.47962777757138,1.48934215040589,1.16267489674708,0.117805558446879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716_P3_1-5,1.48077440522382,-1.13769919941237,0.596085492429443,0.0187766003769971,NA,1.70220079819014,1.67055416770456,0.691044238003251,2.36106038097976,3.0473411929064,0.388910967736569,1.15423242215822,0.684025897476303,1.52161102110695,0.684025897476303,0.684025897476303,1.48077440522382,0.731333381340968,0.684025897476303,1.03509328644638,1.87338670584946,NA,NA,NA,NA,NA,NA,NA,NA,NA
716_P3_20-24,0.781417928677898,0.737599996822022,1.05281845746374,0.588025618605556,1.0760615020355,2.16849095431242,0.631203887475797,1.17670669517263,0.677305241375701,1.50084408851418,-0.661534255703304,1.6925096578924,-0.985053685346792,1.35085504407012,-0.985053685346792,-0.985053685346792,0.781417928677898,0.867842717626139,-0.985053685346792,NA,0.117805558446879,1.07717130500642,NA,NA,NA,NA,NA,NA,NA,NA
716_P3_30-34,-0.324089369287929,1.45508337744132,-1.39011603557166,-1.05967837153509,-0.126071297846368,-1.03807589342416,0.273714843087162,-1.37233664522204,-0.430706967060714,-0.157103008212299,0.908024687327331,1.5596158543581,-0.575894342999341,0.19156111630883,-0.575894342999341,-0.575894342999341,-0.324089369287929,0.262726642252013,-0.575894342999341,1.08486626866615,-0.401124791794869,-0.122439538566238,1.34401460376955,NA,NA,NA,NA,NA,NA,NA
717_P1_10-14,NA,-0.802231453584885,0.374764644904745,0.397181829080987,1.48077440522382,1.72450243883733,1.68495335119561,0.173140556995249,2.83421177577983,3.13078914426347,1.41738430179667,1.40927347930747,0.180398173541393,0.934134366951785,0.180398173541393,0.180398173541393,NA,0.445972652177497,0.180398173541393,0.793890099279631,2.47962777757138,1.48077440522382,0.781417928677898,-0.324089369287929,NA,NA,NA,NA,NA,NA
717_P1_20-24,0.879969202680165,1.3280420287525,1.24256376714478,0.64540578506924,1.17062982111829,1.65672075467663,0.118298140553035,1.27374889283058,0.245751566878924,1.42293937936696,-0.0635879322200028,1.80842811755179,-0.473252118363281,1.45285389216844,-0.473252118363281,-0.473252118363281,0.879969202680165,1.3889083741098,-0.473252118363281,1.0638696350195,0.111520850797197,1.17540883839663,1.0638696350195,1.6324829816623,0.879969202680165,NA,NA,NA,NA,NA
717_P2_10-14,0.87449641725527,-0.815456690795336,1.16901329440043,-0.18030533155458,0.896175833238042,2.55352517376358,2.05794511591663,1.30408718853556,2.22288746573693,2.47323752706543,-0.170433584876993,1.84086324513875,-0.403588747913152,1.73872691312218,-0.403588747913152,-0.403588747913152,0.87449641725527,NA,-0.403588747913152,0.867842717626139,1.42372082304545,0.896175833238042,0.867842717626139,0.0212229941682112,0.87449641725527,1.41242717550447,NA,NA,NA,NA
717_P2_20-24,1.41697044193454,0.799699067266874,-0.506718598767393,-0.721161537969863,0.665453339293963,-0.10156442380435,-0.609069370588813,-0.677100119837325,0.138111821147168,0.0169593447528143,1.18367672306048,-0.172649621596109,0.815400863507294,0.361799777569643,0.815400863507294,0.815400863507294,1.41697044193454,1.23917965368084,0.815400863507294,0.871902437372396,-0.12306090317965,0.665453339293963,0.871902437372396,-0.802004999157641,1.41697044193454,0.600466716504607,1.23917965368084,NA,NA,NA
717_P3_1-5,NA,-0.802231453584885,0.374764644904745,0.397181829080987,1.48077440522382,1.72450243883733,1.68495335119561,0.173140556995249,2.83421177577983,3.13078914426347,1.41738430179667,1.40927347930747,0.180398173541393,0.934134366951785,0.180398173541393,0.180398173541393,NA,0.445972652177497,0.180398173541393,0.793890099279631,2.47962777757138,1.48077440522382,0.781417928677898,-0.324089369287929,NA,0.879969202680165,0.87449641725527,1.41697044193454,NA,NA
