,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
15,0.694,-0.1422,-0.5946,-0.5842,-0.8866,-0.4752,0.1622,-0.2946,-0.8216,-0.8806,-0.3738,-1,0.7754,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.5788,-0.8356,-0.5908,-0.4218,-0.0586,-0.6768,0.788,-0.1626,0.0206,0.5775,-0.8584,-0.048,0.3646,-0.0628,0.0116000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,0.5656,-0.7864,-0.9418,-0.7974,-0.6742,-0.909,0.2428,-0.3916,-0.7728,-0.6976,-0.9778,-0.763,0.6656,-0.6246,-0.6068,-0.773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0.8702,0.2048,-0.4068,-0.8086,-1,-1,0.4,-0.1124,-0.9488,-0.8074,-0.897,-1,0.8184,-0.4532,-0.4396,0.3058,-0.358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0.6144,-0.921,-0.4706,-0.7326,-1,-0.2932,0.3842,-0.2078,-0.9598,-0.8222,-0.5432,-1,0.5148,-0.6356,-0.6072,-0.514,-0.5936,-0.3556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,0.261,-0.5444,-1,-1,-0.8844,-1,-0.3828,-0.7184,-0.897,-0.8858,-1,-0.9382,-1,-1,-1,-0.312,-0.8596,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,0.64,-0.9272,-0.484,-0.3638,0.24,-0.0654,0.077,-0.9984,-0.501,0.2466,-0.834,-0.6694,0.7194,-0.2414,-0.2404,-0.333,-0.5398,-0.1498,-0.2506,-0.6408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0.5116,-0.3478,-0.7796,-1,-0.9378,-1,0.4604,-0.5594,-0.9328,-0.9446,-1,-0.936,0.2926,-0.8368,-0.828,-0.0876,-0.732,-1,-1,-0.8792,-0.6846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,0.584,0.2161,-0.8702,-0.9152,-0.9684,-0.8084,0.2631,0.143,-0.9174,-0.9506,-0.761,-0.9378,-0.1508,-0.921,-0.9148,0.3628,-0.8368,-0.8542,-0.8414,-0.93,0.1324,-0.9464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0.8305,-0.3202,-0.747,-0.8466,-0.9588,-0.7436,0.4588,0.2791,-0.8786,-0.9986,-0.6652,-0.9248,0.4826,-0.8566,-0.8566,0.5825,-0.6748,-0.7906,-0.814,-0.8932,0.241,-0.9446,-0.9746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,-0.0746,-1,-1,-1,-1,0.52,0.7924,-1,0.4278,-1,-1,-1,0.6936,0.8732,0.884,-0.4728,-1,-0.3464,0.3226,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0.994,-0.9914,-0.1624,-0.735,-1,-0.1116,0.9076,-0.3284,-0.6344,-1,-0.7136,-1,0.9904,0.1374,0.167,-0.3398,-0.7664,0.0764,-0.722,-1,-1,-1,-1,-1,0.5822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,0.7104,-0.9812,-0.5824,-0.6634,-0.6108,-0.9946,0.7156,-0.2892,-0.832,-0.6716,-1,-1,0.3384,-0.5286,-0.4786,-0.4416,-0.7914,-0.2622,-0.973,-1,-0.865,-1,-0.748,-0.595,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0.8278,-0.48,-0.5136,-0.9532,-1,-0.9882,0.6196,-0.0132,-0.9184,-0.7802,-0.992,-1,0.8644,-0.7402,-0.6712,-0.321,-0.7826,-0.9032,-0.9152,-1,-0.106,-1,-1,-0.7572,-0.543,-0.7686,-0.7984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,0.9814,0.1508,-0.4564,-0.9144,-1,-0.984,0.84,0.2842,-0.8632,-1,-0.8058,-1,0.985,-0.2612,-0.2198,0.3166,-0.7622,-0.9796,-0.2428,-1,0.235,-1,-1,-1,0.6222,0.2606,-0.2632,-0.9438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.8816,-0.3446,-0.15,-0.1698,0.0396000000000001,-0.086,0.0651999999999999,-1,0.0926,0.5833,-0.7476,0.00099999999999989,0.896,0.2346,0.2742,-0.7614,-0.471,0.5,0.0584,-0.2714,-1,-0.00719999999999998,0.3501,0.5899,-0.8426,-0.717,-0.2402,0.2334,0.6972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0.6914,-0.6982,-0.8888,-0.9764,-0.8104,-0.9386,0.0802,-0.3122,-0.9252,-0.812,-1,-1,0.582,-0.5472,-0.5436,-0.5604,-0.8482,-0.6628,-0.6564,-0.7972,-0.5446,-0.9878,-0.892,-0.8092,-1,-1,-0.9836,-0.7618,-0.8712,-0.3786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0.7504,-0.3558,-0.751,-0.9932,-0.968,-0.9612,0.2704,-0.2718,-0.9744,-0.863,-0.9838,-1,0.788,-0.6402,-0.6326,-0.2616,-0.7912,-0.7834,-0.8482,-1,-0.3572,-1,-1,-0.857,-1,-0.8408,-0.6058,-0.947,-1,0.075,-0.9516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,0.8264,-0.3764,-0.7772,-0.7828,-0.9134,-0.6714,0.4601,0.2745,-0.873,-0.9476,-0.5432,-0.9382,0.3612,-0.777,-0.797,0.5838,-0.6914,-0.7028,-0.7372,-0.9016,0.2449,-0.9208,-0.959,-1,-1,-1,-0.4924,-0.6406,-1,0.581,-0.8028,-0.804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,0.6662,-0.281,-0.7602,-0.7862,-0.9144,-0.6518,0.6025,0.3828,-0.8676,-0.9502,-0.7762,-0.9158,0.4686,-0.9078,-0.8828,0.7356,-0.672,-0.6878,-0.7348,-0.853,0.3383,-0.9372,-0.9592,-0.9444,-1,-1,-0.5562,-0.8304,-1,0.7356,-0.8046,-0.7938,-0.9376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,1,0.9548,0.5632,0.7572,0.7894,0.8802,0.4698,-1,0.8536,0.9245,0.8706,0.7474,0.9998,0.8902,0.8964,-0.3266,0.3692,0.943,0.8754,0.5848,-1,0.7606,0.7296,0.9264,0.9998,0.9918,0.9666,0.9508,0.992,0.2788,0.6674,0.8378,0.9235,0.9254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,0.9522,-0.6236,-0.3072,-0.449,-0.4828,-0.9396,0.8034,-0.3116,-0.8178,-0.7984,-0.887,-1,0.947,-0.0894,-0.0590000000000001,-0.7538,-0.8826,-0.3496,0.0276000000000001,-1,-0.5954,-1,-0.6524,-0.5392,0.572,-0.5836,-0.8036,-0.5312,-0.00539999999999996,-0.17,-1,-0.4164,-0.5292,-0.6814,0.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,0.606,-0.8194,-0.5926,-0.9448,-1,-0.9974,0.2944,-0.2482,-0.96,-0.837,-0.9992,-1,0.6952,-0.6656,-0.6322,-0.8124,-0.8398,-0.8974,-0.775,-1,-0.3482,-1,-1,-0.8104,-1,-0.2356,-0.9814,-0.979,-0.9322,-0.342,-0.9652,-0.9918,-0.7396,-0.7398,0.7986,-0.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0.9024,0.9994,0.8738,-1,-1,0.8494,0.5338,0.9914,0.8616,0.7542,0.9686,-1,1,0.9594,0.9686,0.9734,0.8502,0.9364,0.9108,-1,0.9966,-1,-1,0.7622,1,1,0.995,0.9234,0.999,1,-1,-1,0.8868,0.9286,1,0.9966,0.8534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,1,-1,-1,-1,-1,0.5666,0.2374,0.4508,0.6608,-1,-1,-1,1,0.937,0.95,0.1478,-1,0.304,0.5338,-1,-1,-1,-1,-1,1,0.9242,-1,0.36,0.8898,0.5794,-1,-1,-1,-1,1,0.8732,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.9996,-1,-1,-1,-1,-0.326,0.9228,0.0354000000000001,-0.4438,-1,-0.9992,-1,0.9986,0.3242,0.3922,-0.1438,-1,-0.966,0.134,-1,-1,-1,-1,-1,0.9812,-0.6642,-0.9998,-1,-0.7446,-0.1106,-1,-1,-1,-1,0.9986,-0.7644,-1,1,0.7484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,0.6688,-0.265,-0.7716,-1,-0.9388,-1,0.0526,-0.4666,-0.9486,-0.9382,-1,-1,0.49,-0.9304,-0.9296,0.0788,-0.6792,-1,-1,-0.9452,-0.4754,-0.9726,-0.959,-0.9314,-1,-1,-1,-1,-1,0.1492,-0.8558,-1,-0.8576,-0.8686,0.8802,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,0.5812,0.2162,-0.8638,-0.8456,-0.9356,-0.7096,0.2684,0.155,-0.9128,-0.9324,-0.6286,-0.9582,0.0404,-0.8444,-0.854,0.3593,-0.8388,-0.768,-0.7766,-0.9432,0.1321,-0.9422,-0.9596,-0.935,0.394,-0.3188,-0.664,-0.7488,-0.6464,0.3638,-0.8632,-0.8558,-0.9532,-0.9274,0.7204,-0.5812,-0.8134,0.59,0.5218,-0.1416,-0.9068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,0.8228,-0.5134,-0.1744,-0.2338,-0.2832,0.0751999999999999,0.0855999999999999,-0.9678,-0.309,0.3861,-0.3552,-0.345,0.8906,-0.00180000000000002,0.00239999999999996,-0.8712,-0.5634,-0.032,0.1956,-0.4928,-0.9976,-0.3114,0.2162,0.3871,0.8686,-0.092,-0.5582,-0.2544,0.402,-0.7542,-0.7272,-0.1402,0.3966,0.5217,0.581,-0.85,-0.00119999999999998,0.9884,-0.3496,-0.3342,-0.2212,0.2105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,0.5538,-0.353,-0.5872,-0.9076,-0.8774,-0.5938,0.1674,-0.4046,-0.917,-0.866,-1,-1,0.361,-0.6014,-0.589,-0.0362,-0.4838,-0.6072,-0.6404,-0.7786,-0.4616,-1,-0.8942,-0.864,-1,-1,-0.5282,-0.6034,-0.3758,-0.302,-0.878,-0.8092,-0.7486,-0.7464,0.7954,-0.9208,-0.698,-1,-1,-1,-0.9368,-1,-0.6548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,0.3612,-0.4746,-0.8246,-0.8744,-0.9244,-1,-0.119,-0.597,-0.988,-0.9256,-1,-1,0.3578,-0.8792,-0.8664,-0.3112,-0.7994,-0.8854,-1,-1,-0.586,-1,-0.9392,-0.9258,-1,-1,-0.8154,-1,-1,-0.1808,-0.8366,-0.8948,-0.8752,-0.8716,0.6402,-0.6928,-1,-1,-1,-1,-0.9914,-1,-0.399,-0.8904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,0.5773,0.2198,-0.854,-0.9082,-0.9664,-0.799,0.2684,0.1462,-0.9218,-0.9554,-0.7484,-0.9376,-0.1528,-0.9114,-0.9128,0.3615,-0.8298,-0.8418,-0.8206,-0.936,0.1265,-0.9512,-0.9556,-0.9616,-0.0976,-0.5868,-0.803,-0.8838,-0.7886,0.3529,-0.8904,-0.9222,-0.94,-0.948,0.7261,-0.6988,-0.8758,-0.0417999999999999,-0.0454,-0.446,-0.953,-0.9632,0.2145,-0.9384,-0.9554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,0.7504,-0.98,-0.3124,-0.4106,-0.3918,0.0686,0.5132,-0.6158,-0.408,0.3297,-0.3878,-0.4426,0.8458,-0.1136,-0.117,-0.9372,-0.7536,0.205,-0.04,-0.5588,-0.9544,-0.4188,0.1872,0.3281,0.803,-0.5744,-0.9726,-0.2156,0.3878,-0.9418,-0.7736,-0.3476,0.335,0.4653,0.4312,-0.6172,-0.367,0.9826,-1,-0.4018,-0.336,0.1856,-0.9856,-0.7356,-0.486,0.1774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,0.6078,-0.2746,-0.761,-0.9864,-0.9692,-1,0.475,-0.5112,-0.9062,-0.9582,-1,-0.9256,0.474,-0.9046,-0.9026,0.0394000000000001,-0.7014,-0.9722,-1,-0.895,-0.6174,-0.9596,-0.981,-0.9638,-1,-1,-0.6308,-0.9616,-1,0.103,-0.8142,-0.9872,-0.9174,-0.9196,0.8086,-0.5332,-0.9832,-1,-1,-1,-0.9432,-1,-0.27,-0.987,-0.9962,-0.9808,-0.3546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,0.5783,0.211,-0.8636,-0.8376,-0.9338,-0.724,0.2647,0.1479,-0.9054,-0.9416,-0.6266,-0.9522,0.0636000000000001,-0.8436,-0.8454,0.3538,-0.8366,-0.7704,-0.7788,-0.9472,0.1338,-0.9452,-0.9574,-0.9364,0.4,-0.3306,-0.6584,-0.7578,-0.6476,0.3537,-0.8632,-0.8448,-0.954,-0.9302,0.7264,-0.5548,-0.7922,0.5914,0.5302,-0.1618,-0.8942,-0.9636,0.2185,-0.8328,-0.9134,-0.9624,0.1835,-0.9394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,0.6954,-0.1196,-0.5036,-0.9434,-1,-0.7632,0.212,-0.4688,-0.8104,-0.8236,-1,-1,0.6618,-0.7956,-0.7694,0.2056,-0.3912,-0.7852,-0.8284,-1,-0.4188,-0.8926,-1,-0.8266,-1,-1,-0.5136,-0.8036,-0.5956,-0.0548,-0.6518,-0.8602,-0.7278,-0.7214,0.9048,-0.5606,-0.8652,-1,-1,-1,-0.997,-1,-0.4784,-0.9608,-0.8968,-0.8958,-0.4986,-0.9782,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,0.6602,-0.1156,-0.429,-0.9462,-1,-0.6736,0.187,-0.4256,-0.7514,-0.8498,-1,-1,0.542,-0.7358,-0.7446,0.3274,-0.3414,-0.74,-0.6862,-0.8534,-0.452,-0.8058,-0.911,-0.846,-1,-1,-0.6678,-0.7246,-0.4752,-0.1508,-0.679,-0.7748,-0.7368,-0.7322,0.8894,-0.7618,-0.766,-1,-1,-0.989,-0.9544,-1,-0.5858,-0.9606,-0.8552,-0.9236,-0.497,-0.898,-1,-0.991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,1,-1,-1,-1,-1,0.7336,0.9738,0.9928,0.9294,-1,0.0653999999999999,-1,1,0.9516,0.9542,-1,-1,0.8704,0.439,-1,-1,-1,-1,-1,1,0.9904,-1,-1,0.9882,0.9992,-1,-1,-1,-1,1,0.9882,0.6484,1,1,0.9972,-1,-1,0.9288,-1,-1,-1,0.8942,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
