,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
27,0.1782,-0.7334,0.9996,-0.5072,0.9422,0.998,0.0868,-0.153,0.484,0.9922,1,-0.29,-0.3544,0.8644,-0.541,0.3274,0.5968,0.7932,0.8766,0.995,-0.6884,-0.4176,0.374,0.2264,-0.6484,-0.3912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,-0.9078,-0.999,0.6894,-0.7096,0.5778,0.9966,-0.667,-0.0669999999999999,0.2316,0.3156,-1,0.1254,-0.909,0.521,-0.985,-1,-0.6892,0.8554,0.9686,0.9956,-0.9972,-0.9934,-1,-0.7864,-0.8744,0.6028,-0.8344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,-0.9786,-0.212,-1,-0.2348,0.3678,-0.8532,-0.893,-0.5178,-0.9904,0.4748,-1,-0.9034,-0.9328,-1,-0.4666,-0.9858,-1,-0.628,-0.6042,-0.2638,-0.7828,-0.2544,-1,-0.874,-0.949,-0.5912,0.338,0.0536000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,-0.5386,-0.4876,0.9714,-0.9162,0.374,0.931,-0.6588,-0.6758,-0.6972,0.887,-1,-0.7282,-0.893,-0.035,-0.9312,-0.224,0.0282,0.0358000000000001,0.2858,0.8736,-0.946,-0.5902,-0.2024,-0.5094,-0.8406,0.2046,-0.6636,-0.7342,-0.4566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,-0.00739999999999996,-0.8876,0.975,-0.6348,0.881,0.95,-0.19,-0.0462,-0.2434,0.9174,-1,-0.2798,-0.5152,0.2878,-0.6552,0.1068,-0.3352,0.489,0.7216,0.9578,-0.7962,-0.9508,0.1364,-0.0722,-0.4812,0.6096,-0.4058,-0.9356,0.0566,-0.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,-0.833,-0.549,-1,-0.8114,0.0364,-0.3596,-0.7898,-0.5618,-0.7882,0.8194,-1,-0.3116,-0.8978,-1,-0.6762,-0.703,-1,-0.335,-0.1044,0.5638,-0.9928,-0.9808,-0.6876,-0.9072,-0.9194,-0.446,-1,-0.612,-0.654,-0.9222,-0.8724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,-0.7736,0.519,0.6624,0.1374,0.9828,0.11,-0.7312,0.0502,0.191,0.479,-1,0.1228,-0.8492,0.1876,-0.1248,-0.883,0.3284,0.5022,0.7168,0.4594,0.2882,0.3514,-1,-0.5498,0.0326,0.8538,0.959,0.6352,-0.5086,0.5562,0.9006,0.3028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,-1,0.7656,0.7732,-0.772,0.8952,0.784,-1,-0.8856,0.145,0.8924,-1,-0.7578,-1,0.887,0.1012,-1,0.9252,0.7592,0.717,0.8314,0.635,0.9134,-1,-1,-0.3716,0.718,0.9938,0.7416,-0.6064,0.7344,0.9782,-0.2102,-0.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,-1,-1,0.3406,-1,0.995,0.00580000000000003,-1,-1,0.11,-1,1,-1,-1,0.3446,-1,-1,0.444,-1,-1,-1,0.991,-1,-1,-1,-1,-1,1,0.9582,-1,0.9972,0.9956,-1,0.8682,0.4734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,0.9992,0.9376,1,-1,0.946,1,1,0.9986,0.9998,0.9996,1,0.9986,-1,0.999,0.9964,-1,0.999,0.9988,0.9988,0.9986,-1,0.968,0.973,0.9994,-1,-1,0.9956,0.9746,0.9996,-1,-1,-1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,-0.8454,-0.5856,-1,-0.7696,0.4862,-0.0598,-0.9966,-0.8296,-0.2406,-0.5494,-1,-0.5726,-0.8624,-0.385,-0.918,-0.7944,-0.3902,-0.7536,-0.5298,0.4268,-0.6672,-0.955,-0.9584,-0.9794,-0.1804,0.747,0.3712,-0.5274,-0.6948,-0.5064,0.0378000000000001,-0.6074,-0.8564,-0.9668,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0.138,0.1834,0.9996,-0.0626,0.9508,0.9996,-0.0298,-0.3154,0.6612,0.9922,1,-0.3934,0.5888,0.991,0.2978,-1,0.974,0.9164,0.9624,0.9992,0.4522,0.3516,-1,-1,-1,0.998,0.976,0.1198,0.6562,0.9184,0.8228,0.778,0.8032,0.9866,0.9832,0.9988,0.171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,-1,1,0.9992,0.9518,0.9964,-0.6292,0.7,0.128,0.9746,1,1,-1,0.0158,0.9638,0.9988,-1,0.9992,-0.0308,0.3916,-0.975,0.9978,1,-1,0.792,-1,0.9592,1,1,-1,0.9996,1,0.4984,0.7476,0.858,0.9922,1,0.8608,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
