,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
29,0.9932,0.1842,1,0.9006,-1,0.9728,0.9472,-1,0.9982,0.947,-1,1,0.9902,-1,1,0.8544,-1,-1,0.97,-1,0.5092,0.9752,1,0.9938,0.8196,0.6262,0.2672,0.5106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.998,-0.0602,1,0.2886,-1,0.9682,-0.6048,-1,0.9998,0.7188,-1,0.9998,0.9694,-1,1,-0.4048,-1,-1,0.999,-1,-1,0.7114,0.931,0.8038,-0.369,0.9638,0.8094,0.1704,0.982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0.996,0.715,1,0.9408,-1,0.985,0.722,0.3474,0.9664,0.8134,-1,0.9956,0.9946,0.7136,1,0.6382,-1,-1,1,-1,0.7606,0.949,-0.00539999999999996,0.3274,-0.095,1,0.933,0.042,0.9172,-0.1614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0.2962,-0.5556,-1,-0.2174,-1,0.11,-0.1636,-0.7948,-1,0.012,-1,0.9856,0.3288,-0.737,-1,-0.62,-1,-1,0.3476,-1,-0.838,0.463,0.2296,0.1138,-0.2862,0.8564,0.79,-0.983,0.9506,0.9198,0.8642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,0.9786,-0.7182,1,0.0249999999999999,-1,0.8576,0.6072,0.0955999999999999,0.9536,0.5164,-1,0.9974,0.924,-1,0.9998,-0.5442,-1,-1,0.9998,-1,-0.273,0.874,0.7026,0.7932,0.2754,0.9106,0.4274,-0.3062,0.8056,0.7776,0.3758,0.6124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,0.9726,-0.2244,1,0.5822,-1,0.8324,0.2942,0.35,0.9472,0.6364,-1,0.9974,0.9292,-1,0.9994,-0.8626,-1,-1,0.9978,-1,0.322,0.9278,0.8398,0.8734,0.245,0.857,-0.2322,-0.306,0.9216,0.9562,0.5604,0.2392,0.8248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,-1,-0.8782,-1,-0.7122,-1,-1,-0.6122,-0.9824,-1,-0.504,-1,-1,0.6178,-0.9848,0.5684,-0.5482,-1,-1,0.6548,-1,-0.9982,0.000599999999999934,-1,-0.2932,-0.4878,0.697,0.3774,-0.8256,-1,-1,0.6754,-0.8394,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,0.9926,0.0528,0.986,0.747,-1,0.9898,0.9174,0.4056,0.9784,0.9748,-1,1,1,0.7646,0.9866,0.6754,-1,-1,0.9996,-1,0.8272,0.9996,0.9968,0.9996,0.9984,0.9906,0.9884,0.446,0.994,1,1,0.6874,0.9998,0.999,0.6918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,0.9998,-0.2934,0.9996,-0.0618,-1,1,0.2312,0.3246,0.9974,0.6684,-1,1,1,0.6216,1,-0.1458,-1,-1,0.8776,-1,0.5742,0.9988,0.9452,0.956,0.8816,0.907,0.6184,-0.2418,0.8608,0.9658,0.9884,0.4698,0.9224,0.9652,0.3952,0.9948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,-1,-0.973,-1,-0.8912,-1,-1,-0.8,-0.9842,-1,-0.7414,-1,-1,0.6014,-0.9788,-1,-0.828,-1,-1,0.521,-1,-0.9634,-1,-1,-0.718,-0.5394,0.387,-1,-0.7438,-1,-1,0.3324,-0.7302,-1,-1,-0.9766,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
