,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
30,0.9872,0.8812,-1,-1,-1,-1,-1,0.4678,0.9684,-1,0.9916,-1,-1,0.2576,0.9932,-1,-1,-1,-1,-1,1,0.9472,-1,-1,-1,1,0.9658,0.9992,0.1696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0.9754,-1,-1,-1,-1,-1,-1,-1,0.6202,-1,0.7636,-1,-1,-1,0.9968,-1,-1,-1,-1,-1,0.9122,0.9188,-1,0.8692,-1,1,0.9998,0.9702,-1,0.9998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0.4566,0.8588,-0.000399999999999956,-1,0.5662,0.7528,-1,0.715,0.8724,-1,-0.1416,-1,-1,0.8684,0.9484,-1,0.9676,-1,-1,-1,0.9862,0.6674,-1,0.6256,-1,0.9598,-0.2714,0.989,0.994,-0.097,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,-0.2652,-0.5382,-0.9272,-0.3752,-0.4334,-0.665,-1,-0.0386,-1,-1,-1,-0.8378,-0.84,-1,0.2864,0.4962,-1,-1,-1,-0.9128,-1,0.4994,-1,-0.5366,-1,-1,-1,-0.6432,-0.7378,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,-1,-1,-1,-1,-1,-1,-1,-0.5796,-0.8218,-1,0.0833999999999999,-1,-1,-0.9844,0.8414,0.8201,-0.9494,-1,-1,-1,0.9932,-0.0168,-1,-1,-1,1,0.9104,-0.8466,-0.4528,0.9998,0.8892,0.1038,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,0.2087,-0.4742,-0.7242,-0.8544,-0.3864,-0.512,-0.8518,-0.559,0.00340000000000007,0.0723,0.018,-0.5986,-0.7358,-0.1656,-0.1936,0.1424,-0.1516,0.0711999999999999,0.0728,0.1417,0.9428,0.2246,-0.8622,0.0683,-0.8532,0.9392,0.8114,-0.199,-0.054,0.8714,0.8592,0.4624,-0.5958,0.1288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,-0.3646,-0.387,-0.7296,-0.6966,-1,-0.7168,-0.7292,-0.3774,-1,0.1391,-1,-1,-0.9612,-1,-0.2642,0.2678,-1,0.1379,0.1374,-0.5686,-1,-1,-1,0.1389,-1,-1,-1,-1,-0.381,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,-0.3736,-0.6036,-0.9486,-1,-0.4928,-0.9792,-1,-0.4174,-0.5636,-1,-1,-0.9532,-0.797,-1,0.773,0.5688,-0.8402,-1,-1,-1,-1,0.7484,-1,-0.4036,-1,0.9922,-1,-0.2454,0.2518,-1,-1,0.6042,-0.8642,-1,-1,-0.824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0.3856,-0.1982,-0.9528,-0.668,-0.2484,-0.4234,-1,-0.479,-1,-0.7622,-1,-0.7656,-0.8268,-1,-0.2688,0.2672,-1,-1,-1,-0.6544,-1,0.1826,-1,-0.7358,-1,-1,-1,-0.2832,-1,-1,-1,-1,-0.9198,-1,-1,-0.7492,-0.5124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,0.2049,-0.4498,-0.7426,-0.8868,-0.4584,-0.541,-0.8996,-0.6848,-0.0724,0.0736000000000001,0.0396000000000001,-0.6988,-0.8162,-0.2264,-0.2068,0.1452,-0.2212,0.0687,0.075,0.1366,0.9406,0.208,-0.8604,0.0744,-0.8542,0.9408,0.8038,-0.281,-0.1592,0.872,0.8502,0.312,-0.681,0.1266,-0.8626,-0.8516,-0.4948,-0.7716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
