,711_S-1-S,711_S-1-M,711_S-1-D,711_S-2-M,711_S-2-D,711_S-3-M,712_S-1-S,712_S-1-M,712_S-1-D,712_S-1-X,712_S-2-D,712_S-2-X,712_S-3-S,712_S-3-D,712_S-3-X,713_S-1-S,713_S-1-M,713_S-1-D,713_S-1-X0,713_S-1-X1,713_S-2-S,713_S-2-M,713_S-2-D,713_S-2-X0,713_S-3-S,713_S-3-M,713_S-3-D,713_S-3-X0,713_S-3-X1,714_S1_1-5,714_S1_5-9,714_S1_10-14,714_S1_20-24,714_S1_30-34,714_S2_1-5,714_S2_5-9,714_S2_20-24,714_S3_1-5,714_S3_5-9,714_S3_10-14,714_S3_20-24,714_S3_30-34,715_S1_1-5,715_S1_10-14,715_S1_20-24,715_S2_10-14,715_S2_20-24,715_S3_20-24,715_S3_30-34,716_S1_1-5,716_S1_10-14,716_S1_20-24,716_S1_30-34,716_S2_1-5,716_S2_10-14,716_S2_20-24,716_S2_30-34,716_S3_10-14,716_S3_20-24,717_S2_1-5,717_S2_10-14,717_S2_20-24,717_S2_30-34,717_S3_1-5,717_S3_10-14
712_S-3-S,-0.0758744541523397,-0.690678436225023,-1.37593463196074,-1.65539696975624,-1.17411116951404,-0.652945389140025,-0.460299512070594,0.19893351095212,0.717135180373107,-0.673777648262309,0.05421232753817,1.54394315449031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-3-D,-2.99119279726996,1.08321915882497,-1.244266094438,-2.55498730402133,0.450475935444716,0.534095689561244,-2.75661646745801,-2.62443867230662,-2.31214547570222,0.311954814250125,-2.96110783288027,0.868146219126189,-2.99321317406305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-3-X,-1.81837636458376,1.08481442864624,-0.556961351153226,-2.44189203254054,0.888192200317238,1.0194330603804,-1.30744873738806,-1.96995064486718,-2.03131132074101,-2.97998954770596,-2.3460329664724,-0.214437148281486,-2.25556423125901,0.82099526273615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-S,2.71314254367014,-0.212362949224248,-1.57646450818866,-1.56795855599904,-0.230752790298363,-0.857522056639097,1.55536891861148,2.03917854637357,0.540932643584023,-0.160930929918057,0.0660747586287547,1.01439516312752,2.07169279370794,-3.21351146199647,-2.22487375485106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-M,0.168865415191979,0.31880321546572,-0.667996871849524,-0.434733292676284,0.468900650303721,-1.10754268032069,0.357254690665485,0.290586307750317,0.612110446524979,0.830757664293515,0.386737096133352,0.14110384577126,0.649637194264587,-2.47299455528398,-1.85344678304052,-0.0651334042757785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-D,-1.20888513240524,-1.02337910364934,-2.5951603684277,-0.970561836683503,0.722441152226023,0.734310081005838,-1.40629634419489,-1.50989751077468,-2.73044717769661,0.320529785442565,-1.80011820435678,1.54956903513846,-1.75678084123847,0.340651119084457,0.516965107476402,-2.113745969647,-2.90746338155446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-X0,-0.142718164863708,1.35088711458836,0.18797977846846,-0.181931983285981,-0.237375816871101,-1.56673263522908,-0.281035377730551,-0.0369167582787772,-0.784075151976689,-0.596779478968677,-0.113001669979568,0.971350587933491,-0.226549308822922,-1.11605214450171,-0.122688180357962,-0.287608094062189,-0.710770086837032,-0.97791944194954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-X1,1.32888786127755,1.29538931603062,0.734175197931311,-0.24120804536871,0.960467600153526,1.16250758894345,1.11813024392044,1.39655481454412,-0.377338534918706,-0.831250299970187,0.490125849034564,NA,1.54394315449031,0.868146219126189,-0.214437148281486,1.01439516312752,0.14110384577126,1.54956903513846,0.971350587933491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-S,1.33979360929322,-0.0730558018653076,-2.81103688181039,-3.00162419444693,0.416561763993685,-2.04174214216134,0.145809701213132,2.5982204424259,0.447397662185895,-0.66492359490577,1.23237357641937,0.443519801722721,2.2439736216666,-4.35301975918151,-2.68667527762769,1.20415965373987,-0.293379257792673,-3.27051258857309,-1.48641396614571,0.443519801722721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-M,-1.76547987291408,1.74648093912764,1.1993647348296,-1.2915168590482,0.581008106345782,-1.49057822662916,-1.56341695410052,-0.739846331193684,0.713688545184983,0.144347038636447,-0.4637145328912,-1.62015824407656,-1.25996867589452,-2.94762774665546,-2.67626951834694,-1.07131606650897,-0.0979190168517928,-1.34173969629444,-1.66479349891132,-1.62015824407656,-2.59928621801824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
