,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
34,-1,-0.8864,0.9954,-1,-0.9816,1,-1,-0.9882,0.9476,-0.8592,-0.999,0.9966,-1,-0.9982,0.1768,-1,-0.9928,0.986,0.3754,-0.9946,0.7266,1,0.8986,-0.9784,-0.9656,-1,-0.9994,-1,-0.999,-0.833,-1,-1,-0.9998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,-0.9788,-1,-1,-0.9436,-1,0.9226,-0.9342,-1,-1,-1,-1,-1,-0.9914,-1,-1,-0.9716,-1,-1,-1,-1,-0.4134,-1,0.2896,-1,-1,-0.982,-1,-0.9392,-0.7252,-0.3544,-0.9392,-0.9358,-0.87,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,-0.9944,-1,-1,-0.9976,-1,0.962,-0.997,-1,-1,-0.995,-1,0.8434,-0.9882,-1,-1,-0.9948,-1,-1,-0.4274,-1,-0.1502,-1,-0.085,-1,-1,-1,-1,-1,-0.9488,-0.8814,-0.9966,-0.9978,-0.985,-1,-0.9708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,-1,0.5122,1,0.1874,0.5924,1,0.172,0.7322,0.6002,-0.0427999999999999,0.6778,1,-1,0.9228,0.632,0.1546,0.5086,1,0.6708,0.807,0.1476,1,1,0.5008,0.4926,0.581,0.8806,0.1898,0.7926,-0.4086,0.1634,0.178,0.5888,0.7198,-1,0.309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,-1,-0.9238,0.9688,-0.963,-0.795,0.9982,-1,-0.559,0.595,-0.8284,-0.5918,0.9978,-0.7186,-0.6972,-0.1412,-1,-0.7612,0.9996,0.7712,-0.8098,0.7074,1,0.961,-0.778,-0.8742,-0.9128,-0.7222,-1,-0.8092,-0.7042,-1,-1,-0.9174,-0.6886,-0.6528,-1,-0.4946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,-0.9824,-0.9938,0.989,-0.9808,-0.997,0.9996,-1,-1,0.9112,-0.994,-1,0.9796,-1,-0.9936,0.3502,-1,-0.998,0.9488,0.1046,-0.9994,0.216,0.9996,0.5424,-0.9862,-0.9818,-0.9962,-1,-1,-0.9946,-0.8662,-1,-0.9142,-0.9944,-0.9996,-1,-1,0.753,-0.837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,-1,-0.7806,0.9364,-0.908,-0.6538,0.9902,-1,-0.3788,0.0484,-0.5288,-0.4452,0.998,-1,-0.3524,-0.8986,-1,-0.6908,0.9984,0.7654,-0.486,0.7536,1,0.998,-0.8236,-0.7162,-0.7724,-0.3636,-1,-0.4698,-0.7984,-1,-1,-0.762,-0.4102,-0.2656,-1,-0.903,-0.7586,-0.5994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,-1,0.0888,1,-0.6682,-0.018,0.8354,-1,0.6716,-0.5056,-0.8906,0.3336,0.2838,-1,0.156,-0.5464,-1,0.1228,0.9986,-0.9966,-0.112,-0.4488,1,0.9982,-0.5478,-0.5572,-0.4046,0.0613999999999999,-1,0.0136000000000001,-0.8642,-0.662,-0.6772,-0.3726,-0.0634,-1,-1,0.6608,0.3776,-0.1768,0.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,-1,-0.9618,0.9854,-1,-0.977,0.997,-1,-0.9974,0.8802,-0.9714,-1,0.9744,-1,-0.9744,0.5454,-1,-1,0.945,0.411,-0.9912,0.539,1,0.8038,-0.9664,-1,-1,-0.9794,-1,-0.9964,-0.8218,-1,-1,-0.9918,-0.997,-1,-1,0.573,-0.737,-0.9964,-0.6626,0.0600000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,-0.9814,-0.9892,0.956,-1,-0.9942,0.995,-1,-1,0.858,-0.985,-1,0.9778,-0.9808,-0.9952,0.1236,-1,-1,0.8806,0.0653999999999999,-0.9968,0.2016,1,0.2632,-0.9884,-0.9908,-0.9996,-0.9946,-1,-0.9978,-0.8646,-1,-0.9736,-0.9994,-1,-0.9714,-1,0.674,-0.9588,-0.9994,-1,-0.3518,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
