,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
48,0.9992,1,-1,1,1,-1,0.9998,1,0.5676,-1,-1,0.9392,1,0.582,0.9872,1,-0.0158,0.9998,1,-1,-1,-1,-1,0.4818,1,-1,-1,-1,0.9718,-1,-1,0.5608,-1,1,-1,0.9334,-1,1,0.9792,0.3354,0.1646,1,1,1,0.9976,1,0.9994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,0.9956,0.8494,0.4368,0.999,0.9986,-1,0.9956,1,0.1472,0.1736,-1,0.9224,0.9982,-1,-0.2842,0.9956,-0.438,0.9094,1,-1,-1,-0.1136,-1,-1,1,-1,-0.1364,-1,0.4942,-1,-1,0.2758,0.4466,1,0.5194,0.9252,-1,0.9882,0.8286,0.5548,-0.9956,0.9998,1,0.9998,0.9502,1,0.4284,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,0.9994,0.9982,-1,1,1,-1,0.9984,1,-1,-1,-1,0.9932,1,-1,0.9484,1,-1,0.8856,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,0.9818,-1,-1,1,1,1,0.9538,1,0.6312,1,0.9984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,1,0.9944,-1,1,1,-1,0.9946,1,-0.2142,-1,-1,0.9988,1,-1,1,0.9326,-1,0.9998,0.9958,-1,-1,0.5462,-1,-1,1,-1,-1,-1,0.9228,-1,-1,-1,-1,0.8806,-1,0.2924,-1,0.9888,0.9532,-1,0.7092,1,1,0.9738,1,1,0.996,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,0.5404,0.6206,0.0278,0.5862,0.7122,0.0267999999999999,0.6346,0.981,-0.7934,-0.9012,0.0281,0.5848,0.8964,0.0544,0.4222,0.9342,-0.756,0.5774,0.8588,0.0259,0.0257000000000001,-0.8484,0.024,0.083,0.9696,0.0553999999999999,-0.9092,0.0266,-0.6518,-0.8986,0.0281,0.0555000000000001,0.0275000000000001,0.0578000000000001,-0.975,-0.749,0.0254000000000001,-0.534,-0.6554,-0.9688,-0.0374,0.606,0.6474,0.8602,0.6838,0.9712,0.6962,0.7578,0.591,0.974,0.5772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,0.55,0.7144,0.026,0.6104,0.73,0.0285,0.2462,0.9692,-0.7508,-0.838,0.0270999999999999,0.6346,0.911,0.0558000000000001,0.5068,0.9384,0.159,0.5966,0.856,0.0297000000000001,-0.9416,-0.803,0.0287999999999999,0.0833999999999999,0.971,0.0575000000000001,-0.8498,-0.943,-0.6142,-0.9456,0.0282,0.0526,0.0263,0.5292,-0.9096,-0.6554,-0.9406,-0.5264,-0.6354,-0.8962,0.0613999999999999,0.6002,0.6506,0.8606,0.7676,0.9718,0.8058,0.7792,0.6046,0.9734,0.5954,0.0278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,0.9882,1,0.5552,0.9994,0.9982,0.5386,0.9988,1,0.8396,-1,-1,0.966,0.9556,0.726,0.9974,0.7512,0.8092,0.9712,0.9476,0.5444,-1,-1,0.5496,0.7692,1,0.4206,-1,-1,0.449,-1,-1,0.7996,0.545,0.944,-1,0.7118,-1,0.8856,0.7084,-1,0.0606,0.9896,0.4768,0.9404,1,0.9978,1,0.9548,0.9276,0.9912,0.9166,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,-0.1468,0.9922,0.6514,0.9932,1,-1,0.7812,1,0.3478,-1,-1,0.6276,0.978,-1,-0.15,0.9414,0.646,0.6582,1,0.653,-1,-1,-1,-1,1,-1,-1,-1,0.5278,-1,-1,0.7626,0.6504,1,-1,0.9092,-1,0.996,0.8844,-1,-1,1,1,0.9466,0.4708,0.9964,0.9996,1,0.994,1,1,-1,-1,0.3848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,-0.7924,0.2794,-0.668,0.5354,0.22,-1,0.6732,-1,-0.3306,0.208,-1,0.5048,-1,-0.6128,-0.2338,-1,-0.2918,0.18,-0.1696,-0.6648,-0.4602,0.1284,-0.6682,-0.5742,0.9696,-1,0.0249999999999999,-1,0.1218,-0.802,-1,-0.3712,-0.6618,-0.9958,-0.0174,0.5434,-1,0.0206,0.0644,-0.6858,-0.7648,-0.5586,-0.8098,-1,-0.4986,-1,0.6332,0.4268,0.022,0.8758,-1,0.2944,-1,-0.0624,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,1,1,-1,1,1,-1,0.9658,1,0.687,0.7556,-1,1,1,-1,1,1,-1,1,1,-1,-1,0.7716,-1,-1,1,-1,0.8512,-1,0.8832,-1,-1,-1,-1,1,-1,0.9966,-1,1,0.982,-1,0.9014,1,1,1,0.9976,0.9898,0.9932,1,1,1,1,-1,-1,1,1,0.6794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1,1,-1,1,1,-1,1,1,-1,1,-1,1,1,-1,1,1,-1,1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,0.7322,-0.5742,-1,0.9698,-0.9186,-1,1,-1,-0.4146,0.4568,-1,0.977,-0.821,-0.00800000000000001,0.9946,-0.336,-0.2554,-0.0164,-0.5514,-1,0.3768,0.7548,-1,-0.149,0.8024,-1,0.1918,-1,0.8878,-1,-1,-1,-1,-0.2592,-1,0.8416,-1,0.9474,0.8546,-0.4916,0.9912,0.9024,0.1796,-0.9386,0.869,-1,0.1752,0.978,-0.045,0.4136,0.0338000000000001,-1,-1,0.848,0.149,0.00320000000000009,0.9706,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,0.4278,-1,-0.9506,-1,-1,-1,-0.3766,-1,-0.994,-0.7938,0.0800000000000001,0.3684,-1,-0.9264,0.3154,-1,-0.9972,0.2798,-1,-0.9434,-1,-0.7786,-1,-0.9762,0.9516,-0.9082,-0.8862,-1,-0.7318,-0.763,0.0804,-0.9318,-0.9388,-0.3684,-0.695,-0.455,-1,-0.3776,-0.7502,-0.8106,-0.0552,-1,-1,-1,0.6804,-1,0.6348,-1,-1,-1,-1,0.0812999999999999,-1,0.4872,0.509,-0.2772,-1,-1,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,1,0.985,-1,1,1,-1,0.9962,1,0.635,-1,-1,0.999,1,0.793,0.982,1,0.4426,1,1,-1,-1,-1,-1,0.7398,1,-1,-1,-1,0.987,-1,-1,-1,-1,1,-1,-1,-1,0.9998,0.848,-1,0.7758,1,1,1,0.9314,1,0.9866,1,1,1,1,-1,-1,0.9998,1,-1,1,1,-0.828,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,1,1,-1,1,1,-1,1,1,0.8326,-1,-1,1,1,-1,0.999,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,0.825,-1,-1,-1,-1,1,-1,-1,-1,1,0.8412,-1,0.924,1,1,1,1,1,0.9892,1,1,1,1,-1,-1,1,1,-1,1,1,0.616,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,1,1,-1,1,1,-1,0.9988,-0.003,-0.1056,-1,-1,1,0.5678,0.419,1,0.7648,-1,1,0.6948,-1,-1,0.7024,-1,0.2322,1,-1,-1,-1,0.8968,-1,-1,-1,-1,0.9994,-1,0.7878,-1,0.9992,0.911,-1,0.5428,1,0.9896,0.9688,1,1,1,1,0.9996,0.9998,0.7692,-1,-1,0.986,0.993,-1,1,1,0.0444,-1,0.9998,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,0.3762,0.3982,-0.9398,-0.0634,0.2726,-1,-1,-1,-0.9394,0.3831,0.1135,0.1934,-1,-0.9856,0.2802,-1,-0.9646,0.0642,0.5318,-0.9386,0.106,-0.3542,-1,-0.9724,-1,-1,-0.3192,0.1115,-0.2408,0.2973,0.1127,-0.8876,-0.938,-0.7678,0.3047,-0.0448,0.1084,-0.7444,-0.607,-0.6164,0.0778000000000001,-1,-1,-1,0.5304,-1,0.3974,0.2492,-0.0646,-1,-1,0.1048,0.1126,0.4548,-1,-0.9206,-1,-1,0.3042,-0.825,0.647,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,0.9994,0.9526,0.2666,0.9942,0.999,0.2657,0.9488,1,-0.7318,-0.9958,-1,1,0.9982,-0.2398,0.9814,0.9986,-0.5512,1,0.9374,0.2668,-1,-1,0.276,-0.3188,1,-0.2868,-1,-1,-1,-1,-1,0.4725,0.2654,0.3692,-1,-0.71,-1,-0.7704,-0.98,-1,0.6538,0.8874,0.727,0.7408,1,1,1,1,0.977,0.97,0.928,-1,-1,0.6632,0.9938,0.462,1,1,0.9834,-0.5878,1,1,0.9996,-0.0728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,0.5978,-1,-0.9928,-1,-1,-0.9362,-0.1856,-1,-0.968,0.2028,-0.8978,0.4006,-1,-0.9806,0.5152,-1,-0.9672,0.3018,-1,-0.9958,0.0546,0.2098,-0.96,-0.9846,-1,-0.9412,0.2077,0.0548999999999999,-0.3506,-0.8048,-0.8956,-0.9882,-0.9956,-1,0.1556,0.3445,0.0548999999999999,0.4379,0.3519,0.2056,0.576,-1,-1,-1,0.762,-1,-1,-1,-1,-1,-1,0.0569,0.0561,0.7492,-1,-0.5366,-1,-1,-1,-0.9814,-1,-1,-1,-0.9734,-0.1058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,0.5508,0.7316,-0.9466,0.6006,0.7274,-0.9442,0.247,0.9722,-0.7338,0.1105,0.0290999999999999,0.655,0.8928,-0.9028,0.4842,0.9388,-0.7096,0.585,0.863,-0.9396,0.0294000000000001,0.1108,-0.947,-0.8588,0.9716,-0.923,0.1108,0.0274000000000001,0.1766,0.0878000000000001,0.0273000000000001,-0.8958,-0.9492,0.0591999999999999,0.0822000000000001,0.1905,0.028,0.2415,0.186,0.1079,0.5509,0.5988,0.635,0.8624,0.777,0.9746,0.8146,0.7766,0.6,0.968,0.586,0.0283,0.0255000000000001,0.5562,0.7862,-0.4914,0.9374,1,0.3476,-0.8442,0.8902,0.9708,0.6842,-0.8042,0.2754,-0.9038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,0.9996,0.9996,0.4309,0.9982,0.9998,0.4226,0.9736,1,-0.3204,-1,-1,1,0.993,0.1454,0.993,0.9954,-0.1116,1,0.848,0.4286,-1,-1,0.4226,0.0649999999999999,1,0.0748,-1,-1,-0.997,-1,-1,0.3474,0.4346,-0.1768,-1,-0.5722,-1,-0.6718,-0.6236,-1,0.6432,0.5548,-0.072,-0.2556,1,1,1,1,0.9532,-1,0.673,-1,-1,0.7628,0.988,-0.532,1,1,0.991,-0.272,1,1,1,-0.4288,-1,0.3358,0.4331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,0.8192,-0.1538,0.1614,0.8958,0.2576,0.1665,0.8686,0.9642,-0.6178,-0.988,-1,0.9676,0.796,-0.5236,0.656,-1,-0.6218,0.946,0.1812,0.172,-1,-0.997,0.1662,-0.5822,0.9882,-0.565,-0.9928,-1,-0.8664,-1,-1,0.2999,0.163,0.7986,-0.8592,-0.36,-1,0.144,-0.6348,-0.9122,-0.1886,0.00320000000000009,-1,-1,0.9792,0.9106,0.6748,0.8938,-1,-1,0.5344,-1,-1,-0.4514,-0.1654,-0.569,0.9636,1,-0.674,-0.791,0.8564,0.9614,-0.00260000000000005,-0.0908,-0.5506,-0.4052,0.1617,-0.6882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,-1,-1,0.1286,-0.2272,-1,0.1327,0.711,-1,-0.6578,-0.7538,-1,0.0938000000000001,-1,0.2599,-1,-1,-0.3708,-1,-1,0.1344,-1,-0.7822,0.1334,-0.5164,-1,0.2485,-0.8668,-1,-0.8822,-0.9962,-1,0.2504,0.1316,-0.8118,-0.869,-0.4768,-1,-0.3898,-0.5548,-0.9376,-1,-1,-1,-1,-1,-1,0.2288,-1,-1,-1,-1,-0.8134,-1,-1,-1,-0.9154,-1,-1,-0.642,-0.7158,-1,-1,-1,0.448,-0.6744,-0.538,0.1353,-0.9788,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,-1,-1,0.0773999999999999,-0.00139999999999996,-1,0.0793999999999999,-0.4382,-1,-0.746,-0.9904,0.0827,-1,-1,0.1586,-1,-1,-0.8032,0.2282,-1,0.0785,-1,-0.997,0.0807,-0.662,-1,0.1528,-0.9788,-1,-1,-0.8764,0.0853999999999999,0.1585,0.0797000000000001,0.152,-0.851,-0.7464,-1,-1,-1,-0.929,-1,-1,-1,-1,-1,-1,0.867,-1,-1,-1,-1,-0.8414,-1,-1,-1,0.0784,-1,-1,0.6608,-0.9262,-1,-1,0.1838,0.3026,-1,0.1561,0.0835999999999999,-1,-1,-0.8272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,0.5334,0.6364,0.0299,0.5958,0.7184,0.0253000000000001,0.626,0.9698,0.1682,0.1107,-0.9508,0.62,0.9054,0.0533999999999999,0.4592,0.9382,0.1588,0.5892,0.8644,0.0268999999999999,0.0243,0.1073,0.0261,0.0808,0.9706,0.0551999999999999,0.1108,0.0246,-0.652,-0.9836,-0.9492,0.0569,0.0285,0.0706,0.0848,0.1897,0.0271999999999999,0.2497,0.1873,0.1101,-0.00739999999999996,0.5756,0.6472,0.8628,0.7282,0.9712,0.7236,0.7666,0.6128,0.971,0.5932,0.0264,0.0273000000000001,0.4792,0.7662,-0.5996,0.9294,1,0.2286,0.0799000000000001,0.9026,0.9696,0.6808,0.099,-0.4926,-0.8962,0.0273000000000001,-0.1936,-0.6812,-0.8672,0.0800000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,0.8708,0.2872,-1,0.9922,0.951,-1,0.931,1,-1,-1,-1,0.831,1,-1,-0.2902,1,-1,0.153,0.9992,-1,-1,-1,-1,-1,1,-1,-1,-1,0.7808,-1,-1,-1,-1,1,-1,-1,-1,0.9998,0.9812,-1,-1,1,1,1,0.4884,1,0.2538,0.9504,0.9948,1,1,-1,-1,0.8782,0.8132,-1,1,1,-0.495,-1,1,1,0.9982,-1,0.9702,-1,-1,0.5864,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,0.2308,0.1402,-0.6188,0.87,0.9334,-1,0.9892,-1,-0.8226,-0.2684,-1,0.9924,-1,-1,0.7834,0.1688,-0.81,0.9266,-0.2474,-1,-1,0.2862,-1,-1,0.9872,-1,-0.4308,-1,0.558,-1,-1,-0.5568,-0.62,-0.633,-1,0.3372,-1,0.5794,0.51,-0.3276,0.411,-0.634,-0.9556,-1,0.9876,0.912,0.979,0.9876,0.0418000000000001,0.7134,-0.977,-1,-1,0.8694,0.645,-0.9942,0.9988,1,0.2452,-0.4032,-0.0427999999999999,0.9796,0.5474,-0.8398,0.7668,-1,-1,0.4804,-0.8394,-1,0.0164,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,0.3338,0.9956,0.4238,-0.4208,0.9988,-1,0.8194,1,-0.1356,0.5512,-1,0.7262,1,-1,-0.2444,1,0.5068,-0.2162,1,0.424,-1,0.284,-1,-1,1,-1,0.5412,-1,0.9778,0.2242,-1,0.4054,0.4458,1,0.8928,0.9934,-1,0.999,0.9596,0.3874,0.0214000000000001,1,1,1,0.679,1,0.9834,0.997,0.9998,1,1,0.7785,-1,0.9956,0.9926,-0.2894,1,1,0.5958,0.542,1,1,1,-1,1,-1,-1,0.9998,0.9864,0.0147999999999999,0.4668,-1,0.9994,0.8388,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,0.506,0.4556,-0.6646,0.9634,-0.1344,-1,0.2886,-1,-0.444,0.5868,0.4231,0.97,-0.1956,-0.7668,0.869,0.9814,0.0298,0.9578,0.9854,-0.655,-1,0.4424,-0.666,-0.5368,-1,-1,0.4022,-1,-0.1852,0.185,0.426,-0.3854,-0.66,0.8988,0.2926,0.8098,-1,0.081,-0.1078,-0.3236,0.9238,0.7292,0.791,0.4014,0.6396,-1,0.9994,0.9536,0.801,-1,0.997,0.4226,-1,0.9352,0.5906,0.5206,0.4412,-1,0.8564,-0.2184,0.84,0.8284,0.9642,-0.4094,0.1746,-0.4868,-1,0.8424,0.7268,0.7572,0.4218,0.4336,0.9292,0.9276,0.8554,NA,NA,NA,NA,NA,NA,NA,NA
77,0.8168,-1,-0.9992,-0.047,-1,-1,-0.7396,-1,-0.996,0.5037,0.1601,0.6362,-1,-0.9862,0.7354,-1,-0.997,0.5136,0.3238,-0.9978,0.1601,-0.2188,-1,-0.9766,-1,-1,-0.0924,0.1678,-0.2768,0.4098,0.1673,-0.9928,-0.9976,-0.825,0.4254,0.0713999999999999,0.1639,-0.1696,-0.2954,-0.562,0.6408,-1,-1,-1,0.8348,-1,0.3398,-0.0204,-0.0426,-1,-1,0.1595,0.1588,0.81,0.3138,-0.7492,-1,-1,-0.7564,-0.985,-1,-1,-1,-0.9962,-0.2428,-0.9876,-1,0.3978,0.1132,0.6076,0.422,0.1581,-1,-0.7836,-1,-0.7406,NA,NA,NA,NA,NA,NA,NA
78,0.9984,1,-1,1,1,-1,0.8712,1,-1,0.525,-1,0.829,0.8368,-1,0.9804,0.7792,-1,0.992,1,-1,-1,-1,-1,-1,1,-1,-1,-1,0.7962,-1,-1,-1,-1,1,0.7542,0.976,-1,0.9992,0.9126,-1,0.3512,1,1,0.9076,0.9972,0.9914,1,1,0.9994,0.9992,0.9998,-1,-1,0.993,0.7732,-1,1,1,0.6418,-1,0.9998,1,1,-1,0.9974,-1,-1,0.9996,0.7922,-1,-1,-1,0.9098,0.7662,0.9996,0.8376,-1,NA,NA,NA,NA,NA,NA
79,0.9992,1,-1,1,1,-1,0.8718,1,-1,-1,-1,0.7782,1,-1,0.8778,1,-1,0.9448,1,-1,-1,-1,-1,-1,1,-1,-1,-1,0.9796,-1,-1,-1,-1,1,-1,0.972,-1,1,0.9706,-1,0.159,1,1,1,0.6306,1,0.7268,0.9988,1,1,1,-1,-1,0.9998,1,-1,1,1,-0.2748,-1,1,1,0.9996,-1,1,-1,-1,1,0.9796,-1,-1,-1,1,0.9698,1,-1,-1,0.8142,NA,NA,NA,NA,NA
80,0.862,1,-1,0.9936,0.9984,-1,0.5776,0.9022,-0.4744,0.644,-1,0.7342,-1,-1,0.9322,-0.5532,-1,0.9168,0.0346,-1,-1,0.8402,-1,-1,0.9922,-1,0.4298,-1,0.9466,-1,-1,-1,-1,0.9888,-1,0.689,-1,0.9866,0.9548,-1,0.5636,1,0.9728,0.97,1,-0.0934,1,0.999,0.8988,0.927,0.1738,-1,-1,0.9508,0.8006,-0.6584,0.9914,1,0.9886,0.00760000000000005,0.99,0.8982,-0.8454,-1,0.998,-1,-1,0.9998,0.9534,-0.3882,0.6218,-1,0.7822,0.8312,0.9842,0.9756,-1,0.5096,-0.5814,NA,NA,NA,NA
81,0.5002,0.0127999999999999,0.1336,0.85,0.7878,0.1361,0.2838,0.918,-0.8262,-0.99,-0.7506,0.7854,-1,0.2604,-0.0316,0.7424,-0.653,0.9644,0.3652,0.1386,-1,-0.9994,0.1396,-0.4396,0.998,0.2637,-1,-1,-0.998,-0.997,-1,0.2555,0.1348,0.1528,-0.8952,-0.8922,-1,-0.9514,-0.9374,-1,-0.2968,-0.099,-0.044,-1,0.9482,-1,0.9828,0.8656,-0.017,-1,0.2376,-1,-1,-0.289,0.1048,0.1952,0.9694,1,0.745,-0.84,0.6326,-1,0.6428,-0.1954,-1,-0.502,0.1316,-0.986,-0.8932,-0.8148,-0.9984,-0.733,-1,0.3908,0.937,-0.0512,-0.1446,-1,0.714,0.7348,NA,NA,NA
82,0.5372,0.72,0.0274000000000001,0.6038,0.7318,0.0285,0.6321,0.9746,0.1649,0.1091,-0.9388,0.629,0.901,0.0508,0.4986,0.946,0.1633,0.599,0.863,0.0269999999999999,0.0303,0.1075,0.0264,0.0853999999999999,0.975,0.054,0.1103,0.0267999999999999,-0.6276,-0.934,-0.9464,0.0528999999999999,0.0286999999999999,0.0468,0.0822000000000001,0.1837,0.028,0.2393,0.1905,0.1087,0.0488,0.5904,0.6452,0.8636,0.761,0.9714,0.8072,0.7824,0.5958,0.9718,0.5994,0.0275000000000001,0.0253000000000001,0.554,0.7828,-0.4808,0.9378,1,0.3452,0.0792999999999999,0.899,0.9722,0.6902,0.1082,-0.4638,-0.9028,0.0273000000000001,-0.1518,-0.6808,-0.799,0.0802,-0.94,0.9328,-0.0952,0.5448,0.4332,0.1601,0.7732,0.9332,0.5876,-0.7438,NA,NA
83,0.8194,0.1818,0.1588,0.8322,0.784,0.1609,0.2406,0.9758,-0.9046,-0.9838,0.1606,0.9294,0.911,-0.5156,0.5238,0.9174,-0.834,0.986,0.7894,0.1582,-1,-1,0.1625,-0.606,0.9996,-0.5392,-1,-1,-0.9996,-0.7228,0.1673,0.2952,0.1666,0.5722,-0.8582,-0.8604,-1,-0.969,-0.9986,-1,-0.2488,0.7694,0.5934,-1,0.981,0.949,0.9914,0.9504,0.4272,0.9002,0.8556,-1,-1,0.2684,0.549,-0.5104,0.9506,1,0.7996,-0.785,0.9252,0.8312,0.807,-0.8902,-0.9968,0.3052,0.1678,-0.9624,-0.7482,-0.65,-1,0.1631,0.8668,0.0831999999999999,0.954,-0.4212,-0.5332,0.674,0.9198,0.8404,-0.9992,0.1603,NA
