,711_S-1-S,711_S-1-M,711_S-1-D,711_S-2-M,711_S-2-D,711_S-3-M,712_S-1-S,712_S-1-M,712_S-1-D,712_S-1-X,712_S-2-D,712_S-2-X,712_S-3-S,712_S-3-D,712_S-3-X,713_S-1-S,713_S-1-M,713_S-1-D,713_S-1-X0,713_S-1-X1,713_S-2-S,713_S-2-M,713_S-2-D,713_S-2-X0,713_S-3-S,713_S-3-M,713_S-3-D,713_S-3-X0,713_S-3-X1,714_S1_1-5,714_S1_5-9,714_S1_10-14,714_S1_20-24,714_S1_30-34,714_S2_1-5,714_S2_5-9,714_S2_20-24,714_S3_1-5,714_S3_5-9,714_S3_10-14,714_S3_20-24,714_S3_30-34,715_S1_1-5,715_S1_10-14,715_S1_20-24,715_S1_30-34,715_S2_10-14,715_S2_20-24,715_S2_30-34,715_S3_20-24,715_S3_30-34,716_S1_1-5,716_S1_10-14,716_S1_20-24,716_S1_30-34,716_S2_1-5,716_S2_10-14,716_S2_20-24,716_S2_30-34,716_S3_10-14,716_S3_20-24,716_S3_30-34,717_S2_1-5,717_S2_10-14,717_S2_20-24,717_S2_30-34,717_S3_1-5,717_S3_10-14,717_S3_20-24
713_S-2-S,-0.705351156484836,0.346433316523343,0.687655730477156,-0.627304639894154,-0.951962672802768,0.720279457189317,-1.20309517247538,-0.451377231501856,0.914415806557099,-0.114631164719469,0.256254905475811,-0.488540476166976,-1.60084208286562,0.400211302280308,0.258281822756127,-0.0268320513134024,-0.655948644852879,-0.463624863700281,-0.0650393065452105,0.171117492562998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-M,-1.41557883671932,0.722347549863949,1.90356257969683,0.943930244767858,0.120971788710265,0.81316442741396,-0.401644891660918,0.755904146482041,2.45472925006262,0.591774556553485,2.36183456859652,0.564334633907527,-0.644658082378339,1.20466616095923,1.24626593347487,-0.813252779966003,1.23891582073025,0.591590348156216,1.24253791148901,0.881239464419053,0.671581000217376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-D,-2.44750017291569,-0.186545438967284,0.10351183116641,3.3962232764381,0.323895439759291,0.386115635249479,-1.2853439523329,-0.907647291124092,2.06287643955524,2.03551380701179,2.12285125592713,2.09466173431432,-0.865336571615348,1.00969840194202,1.02579236780994,-1.34821046323604,0.234951890002845,0.139898616738209,0.746750743395032,2.44749397065128,-0.544123949164533,-0.840639969686958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-X0,-1.90305965639306,-1.13215968347803,-0.975705537510669,0.919811696758918,0.240397633120848,-0.29792041711393,-0.846176118976093,-0.832026369195642,1.23979274416395,1.45466935163658,-0.25396587140362,-0.353011833812466,-1.61366969918348,-0.509167573117279,-0.566905635560075,-1.16130484889002,-0.981370918366275,-0.592992132612804,-0.133360440510182,-0.704350094856194,-0.519746719607237,1.02454409180219,1.68840794884183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-S,0.182361948445512,-1.89878768499034,-2.20312451615889,-0.328808898289119,-0.635923899409029,-1.45227184755304,0.459866315226142,0.000879612216845684,0.127585972551468,-0.867420402457382,-1.87562216711689,-1.2611272880481,-0.242708763281464,-1.61255714449984,-1.73651930722779,-0.457302505665677,-1.09479925333923,-1.94380655374598,-1.18639295492969,-0.843114405687523,-0.247805955785934,-0.219043820521239,-2.06278411858988,-1.3182339329305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-M,-0.22808948963462,-0.493213451209424,-1.1745234483095,-0.304043339644131,-1.01425381763351,-0.424934731223175,1.08252310611965,0.440701057120941,1.26519861410975,-1.13359733764421,-1.36430974227712,-0.963181267073788,-1.15193347180843,-1.09780320016825,-1.23665147742241,0.790154876892291,0.895469431207076,-1.22252879920917,-1.45193379837268,-0.652452086434369,1.06319705980119,0.367434144853881,-1.11248830730589,-1.36523075523092,-1.86610050079443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-D,-1.68273098759107,0.960433704863896,0.0405954973689602,-0.594951152475829,-0.33155857916151,0.0432731136227596,0.664599539848599,-0.383299861971286,0.892175628530233,-0.669068971463016,-0.607256402455996,-0.616459688582809,-1.46140354494072,-0.175724088391566,-0.36328102858975,0.0719435803495696,2.5187432914153,1.72143437970507,-0.404062950994134,-0.351498805975635,0.833950196015138,0.774593301052381,-0.0999216005544943,-0.756930510905387,-1.83664304281354,-0.282917087009176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-X0,-2.37417149937348,-0.598049142666058,-0.32096892671285,0.125155823769196,-0.783259266412892,-0.440530606895125,-0.851426894651439,-0.870479317186641,1.13263133111272,0.813630592159804,-0.416391917784268,2.67667879398311,-0.859542717110883,2.55466138191511,2.34602729787981,0.115125135460964,0.444227611559289,-0.46460147561632,-0.480171200276017,4.11346447428183,0.0431297410861666,1.45430623572908,1.20154784058236,-0.177904918224374,-1.74784504597903,-1.26935947006095,-0.265759315662789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-X1,-2.03673910105793,-1.27960530625882,-1.31017990184621,0.211958344369191,-0.694479492283309,-0.703024240382826,-0.113104503104144,0.0642967101765909,0.520904045629157,-1.1512836646392,-1.15227149814825,0.0797903683273727,-1.76295371199544,-1.11045829902763,-1.11977610903213,0.142729726391549,0.270436952223351,-1.37556872524599,-0.605234187689922,-0.881241700695694,0.168433111937378,0.935127288859417,0.302826047387772,-0.940697192486591,-1.84796275198942,-2.03794075684122,-0.901458641270128,0.346141095127019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S1_1-5,-1.44065763236073,-0.648993988013225,-0.691850252451114,0.0488858703004102,-0.642663436862073,-0.743498885338438,0.59214360925608,0.77833187147731,0.787181180180153,-0.718210230542387,-0.75257350782965,-1.5678930571008,-1.5019373980356,-0.961858313430238,-1.02519291289171,-1.82739442536532,-1.10656563255863,-1.00935535382828,-0.0073001630220552,-1.32985058575132,0.299797269886609,0.622349543519467,-0.861696433021831,-0.919915959358842,-0.725862199406953,0.252540028175765,-0.469710220007688,-0.778898893451065,-0.274364052032987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
