,711_P-1-S,711_P-1-M,711_P-1-D,711_P-2-S,711_P-2-M,711_P-2-D,711_P-3-S,711_P-3-M,711_P-3-D,712_P-1-M,712_P-1-D,712_P-2-M,712_P-2-D,712_P-3-M,712_P-3-D,713_P-1-X1,713_P-3-M,713_P-3-X1,714_P1_20-24,714_P1_30-34,714_P3_30-34,715_P1_10-14,715_P1_20-24,715_P1_30-34,715_P2_1-5,715_P2_10-14,715_P2_20-24,715_P3_20-24,715_P3_30-34,716_P1_1-5,716_P1_30-34,716_P2_1-5,716_P2_10-14,716_P2_20-24,716_P2_30-34,716_P3_1-5,716_P3_10-14,716_P3_20-24,716_P3_30-34,717_P1_10-14,717_P1_20-24,717_P2_1-5,717_P2_10-14,717_P2_20-24,717_P3_1-5,717_P3_10-14,717_P3_20-24
711_P-1-S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_P1_20-24,1.07803033627835,-1.40455640897282,-2.29009228152352,1.52585263123433,-1.07325219763909,0.332612367586382,1.19971195282611,-0.364128253195389,0.153137523078597,-0.815485207848059,1.49201003554136,-1.50907154506552,0.926966878917671,-0.579035538486085,0.513855320464674,1.59960618550516,-1.62110834104869,1.14829853792991,-1.01562835511161,-1.56931510055899,0.938591345435301,-2.27218353409373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_P1_30-34,0.918436186698268,-1.05487441455673,-2.55510844498441,1.50937771706207,-1.21219409256283,0.0263841499399172,1.00095733259972,-1.39586519805144,-0.198428666484561,-0.27638391762111,1.22493859533663,-0.682932461803858,-0.592545062382839,-0.226977211626294,1.34804913360416,0.349270387860016,-1.61704601160143,0.307255925626843,-1.04611099874337,-2.40227009576381,1.05675491429356,-2.01420764320806,-1.28118067570942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_P2_1-5,0.979976836637259,0.946114441050484,0.596776706973755,0.979976836637259,0.925249837874051,0.658745938961948,NA,0.822214337968758,0.417005204081817,1.44240478391577,0.362353556996834,1.27029980749958,-0.0612293916509494,0.914016178626361,1.1054551208427,0.66442509647729,1.03674924356978,0.743133339300076,1.10060651250439,0.758477295456206,1.01840542353174,1.1408700019058,1.19971195282611,1.00095733259972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_P2_10-14,1.28915193078479,-2.14896931293151,-1.36624639040698,1.61977533387878,-1.62742144587004,0.0843329057814096,0.963682834548595,-1.01398363095393,-1.57344957530721,0.346170947874454,0.561979983907454,-0.0126531411817917,-1.18827639216445,0.275265104349753,1.30370800561435,-0.603725556530545,-0.623902564056987,0.181687561436685,-0.365902108966232,-1.38191588970317,0.0420015926787993,-1.19884642955042,-0.704144882193609,-0.954145156302076,0.963682834548595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_P2_20-24,0.945768209023291,-2.17537529433964,-1.90256508799735,1.53401503472091,0.561436695197799,-0.935253804329187,0.935572227065444,-0.865929223381868,-0.573791831026125,-0.481352328133516,1.76294946265799,-0.140918765136008,1.95519728778849,-1.72204622470994,0.832959200631377,1.73132825068758,-0.912345091046987,1.65291514247465,-1.65839139596838,-1.80227145585208,1.15432948638227,-0.860908475792477,-0.327999887987361,0.378396181427532,0.935572227065444,-0.802280465560105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_P3_20-24,1.10105924331401,0.4878472935652,-1.34991208638723,1.58678972843679,0.109738772812642,2.09722878314443,1.15502316228045,0.868591643295347,-0.181376916695586,-1.526403036385,0.935501147174568,-0.162561991358027,0.155274647223659,-1.59975805163339,1.57812189746159,-0.19949917508921,-1.17548279616697,0.0752669040399529,-1.12167032277945,-1.75471081728236,-2.07921346676637,-1.21481360106141,-0.914511139727139,-0.527959066609685,1.15502316228045,-0.702548317049807,-1.41305506971633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_P3_30-34,1.15208594849098,-1.53228128302432,-2.41622442373417,1.5181620089627,-0.416987448157347,1.10777468238519,0.76428528571193,-1.14382704800848,0.158054553676459,-0.0137332169212629,1.37276702126854,-0.313630838945392,0.110529470585158,-1.72778389359099,1.38827041460404,0.315899292917642,-1.25303446123001,0.661497113865725,-0.972868332324586,-2.17301332984723,-0.846385848213254,-1.14102275335117,0.547330954887025,-0.996945285438481,0.76428528571193,-1.23860382170496,0.480896216901839,-1.46744064086483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716_P1_1-5,0.979976836637259,0.946114441050484,0.596776706973755,0.979976836637259,0.925249837874051,0.658745938961948,NA,0.822214337968758,0.417005204081817,1.44240478391577,0.362353556996834,1.27029980749958,-0.0612293916509494,0.914016178626361,1.1054551208427,0.66442509647729,1.03674924356978,0.743133339300076,1.10060651250439,0.758477295456206,1.01840542353174,1.1408700019058,1.19971195282611,1.00095733259972,NA,0.963682834548595,0.935572227065444,1.15502316228045,0.76428528571193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716_P1_30-34,1.08614420058088,-0.460755437761456,-1.02019888808712,1.32814257139679,1.41534440384231,-0.745430073795088,0.625581552045359,-0.347058103347044,1.49721846549812,1.44387679363598,-0.671383989083777,0.389242313001824,2.11892894381057,-0.257442501313957,0.669221902579231,1.39328295563222,-0.690646118654238,-0.900584896951161,-0.741128423551739,-1.34465978296481,2.56514398680398,-0.804031765722404,0.17781049390362,1.43122498424886,0.625581552045359,-0.883717860171618,-0.0818055657790663,0.818937656932815,0.712152415447407,0.625581552045359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716_P2_1-5,1.07461210585864,-0.944813457114077,-1.08141956799181,1.33561930141321,0.736478481021842,-0.525797419601716,0.659783724907102,-0.745349292109079,-0.685523436304749,0.414858928627368,-0.0554730759913634,0.380555708851901,-0.800640329930977,-1.05647533373459,0.572784859028348,-0.0126759970626374,-0.746764835571703,-0.782182460438812,-0.748635972666219,-1.38349201689839,1.72827960406389,-1.48042577233955,-1.10792907636615,0.55083981924272,0.659783724907102,-1.22010922660401,-0.90897162832351,0.761877720840579,-1.10656368036305,0.659783724907102,-1.3670909985163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
