,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
26,-0.3976,-0.7316,-0.567,0.9676,0.0449999999999999,0.9996,-0.1422,-0.3886,0.0773999999999999,0.1822,-0.8796,0.4028,0.9858,0.0860000000000001,-0.8408,-0.2156,-1,-0.1632,-0.1572,-0.5656,0.2446,0.5168,0.2048,-0.071,-0.911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,0.5554,-0.4628,-1,0.9286,0.0786,-1,0.133,-0.303,-1,0.1722,-0.5112,0.8172,0.993,-1,-0.8134,0.5518,-1,0.482,0.4718,0.2596,-0.0556,0.4628,0.7754,0.9048,-0.8192,-0.2764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,-0.9872,-0.7848,0.1362,0.4788,0.054,1,0.9288,0.9364,0.3732,0.9794,0.999,0.8616,-0.4388,0.9064,0.2474,-0.9322,0.932,0.9338,0.7734,0.99,0.6368,0.9328,-1,0.737,0.3062,-0.6544,-0.5228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,0.7986,0.9956,0.9868,0.9556,0.9776,1,1,1,0.962,1,1,0.9288,0.8242,-1,0.8152,-1,0.9086,1,0.9998,0.9998,0.984,0.9998,-1,0.9134,0.9532,0.2808,0.7688,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.924,-0.2022,0.5176,0.1452,0.325,1,0.583,-0.4222,0.5116,0.4888,0.3112,0.9532,0.9792,0.5186,-0.1208,0.8828,-1,0.342,0.2388,0.022,-0.9956,-0.5504,0.939,0.9948,-0.6392,0.5198,-0.7408,0.0751999999999999,0.8204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0.1176,0.1406,-1,0.2568,0.639,-1,0.0664,0.018,-1,0.184,-1,0.417,0.7674,-1,-1,0.3818,-1,0.4358,0.4868,-1,-0.9598,-0.694,0.488,0.1848,0.0451999999999999,-0.7084,-1,0.116,-1,-0.996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0.4702,0.4376,-1,0.4006,0.51,-1,0.4282,0.3662,-1,0.5858,-1,0.8974,0.8074,-1,-0.0784,0.3506,-1,0.7166,0.6578,0.6142,-1,-0.8964,0.7366,0.7784,0.334,-0.7256,-1,0.3984,0.8956,-0.9592,-0.9926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,0.5706,-0.4462,0.7396,0.6384,0.5436,-1,-0.863,-0.4662,-1,-0.8642,0.4296,0.6664,0.4834,-1,0.3326,-0.00819999999999999,-1,0.3572,0.0456000000000001,0.2212,1,0.9998,0.1528,0.1714,-0.5364,0.9628,0.9658,-0.3716,-1,0.9834,0.838,0.9776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,0.7372,0.9868,-0.226,0.8076,0.2376,1,0.9288,0.8652,1,0.9982,0.5344,0.9564,0.4752,0.0858000000000001,0.9414,-0.2968,0.4758,1,1,1,1,0.9998,-0.3674,0.9956,0.9604,0.2184,0.2776,0.9972,1,0.7958,0.4568,0.933,-0.953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,0.934,0.994,1,0.9618,0.4038,1,0.9582,0.7706,1,0.9692,1,0.7262,0.7636,0.9994,0.6934,0.1232,1,1,1,1,0.969,0.7388,0.4312,0.9622,0.7552,0.5966,0.6628,0.9948,1,0.8892,0.414,0.7108,0.0871999999999999,0.5444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,0.9952,0.882,0.731,0.8322,0.7498,1,0.9118,0.6904,0.951,0.9056,-1,0.9976,0.9752,0.9088,0.9068,0.6768,0.9282,0.8114,0.784,0.8898,0.704,0.6994,0.9604,0.9992,0.249,0.6336,-0.5226,0.896,0.9712,-0.9804,-0.9538,-0.9468,0.9144,0.7564,0.8064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,0.6112,0.7342,0.9964,0.8042,0.8746,1,0.6488,0.7056,0.9568,0.8438,-0.255,0.854,0.7792,0.991,0.93,0.7826,0.9952,0.7998,0.673,0.8046,0.9986,0.9948,0.7978,0.935,0.2674,0.9982,0.9974,0.6468,0.9964,0.9844,0.8084,0.9686,-0.4216,0.1774,0.795,0.8156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0.9916,0.0212000000000001,0.3774,0.7518,0.8044,-1,0.608,-0.6992,-1,-0.6982,-1,0.968,0.175,-1,0.9994,-0.4032,-1,0.2034,-0.2154,0.798,0.9998,0.9824,0.181,0.9994,-0.193,0.5722,0.1006,-0.3414,0.768,0.4088,0.099,0.6714,0.0112000000000001,-0.8514,-0.9768,0.5114,-0.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,-1,0.9928,1,1,-1,1,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,0.9998,-1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,-0.8484,-0.61,0.5606,-0.4832,-0.8686,1,0.623,-0.1694,1,0.9702,1,0.459,0.3086,0.9398,-0.9228,-0.683,0.9542,0.923,0.9986,1,0.4756,0.326,-1,-0.384,-0.76,-1,-0.6616,-0.567,0.9982,-1,-1,-0.0444,-0.1338,0.999,1,0.5244,0.9204,-0.4984,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,0.7868,0.7594,0.3646,0.9428,0.9988,0.9996,0.00360000000000005,-0.073,0.511,0.7826,0.9978,1,0.655,0.5318,0.9992,-1,0.5272,0.9918,0.946,0.9724,1,1,-0.6838,0.9716,0.8906,0.4914,0.6622,0.1276,0.9682,0.6648,0.239,0.4958,0.0568,0.963,0.975,0.9876,0.881,1,1,-0.4374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,-0.197,-0.7228,0.9982,0.2542,-1,1,0.8132,-0.2242,1,0.9908,1,0.6516,0.7582,0.9924,-1,0.1336,0.9998,0.7598,0.9952,0.999,-1,0.4868,-1,0.2922,-1,-0.5804,-1,-0.3808,0.8754,0.0238,-1,-1,0.2312,0.8826,1,0.4974,0.9938,0.3646,1,-0.841,-0.00700000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,-0.6716,-0.841,0.9914,-0.2624,-1,1,0.4098,-1,0.9902,0.9356,1,0.3348,0.4944,0.9816,-1,-0.3584,0.9934,0.6628,0.8742,0.9954,-1,0.2722,-1,-0.9368,-0.7596,-0.8656,-1,-0.8182,0.7186,-0.355,-1,-1,0.2262,0.9914,1,0.3564,0.9752,-0.1058,1,-0.045,-0.2274,0.989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0926,-1,-1,-1,-1,-1,-1,-1,-0.3492,-0.0524,-0.2836,-0.5332,-1,-1,0.0212000000000001,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,0.984,0.551,-0.317,0.637,0.9808,-1,0.1464,-0.6944,0.7892,0.3684,0.3112,0.998,-0.1702,0.7142,0.9978,-0.9112,0.7502,-0.336,-0.28,-1,1,1,-0.892,0.9868,0.3544,-0.1684,0.4416,0.4754,0.98,0.5074,0.3854,0.5374,-0.193,-0.5294,0.0562,0.8994,0.5408,0.5658,1,-0.3556,0.9966,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,-0.0688,0.8668,-0.6146,0.0431999999999999,-0.9396,1,0.318,0.3,0.9994,0.9578,0.9498,0.599,-0.4468,0.954,-0.4018,-0.9706,0.9532,0.995,0.9994,1,0.768,0.0786,-0.9738,0.512,-0.0724,-0.9176,-0.7446,0.8796,0.9996,-0.4056,-0.1194,0.2938,-0.6768,0.93,0.9818,-0.018,0.279,-0.9854,1,0.8048,0.1806,0.8286,0.7362,-1,-0.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,0.252,0.567,0.295,0.5946,-0.5804,1,0.7712,0.1216,1,0.9426,0.9996,0.8768,0.3592,0.9356,-0.4102,-0.7378,0.9464,0.9986,0.9996,1,-0.7272,-0.1876,-0.8354,0.323,-0.0786,-0.925,-0.8038,0.6798,0.992,-0.1144,-1,-1,-0.2262,0.3626,1,-0.2186,0.8398,-0.7544,1,0.9996,0.0624,0.988,0.9924,-1,-0.8552,-0.3714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,-0.9384,-0.549,0.6076,-1,-0.3294,-1,-0.77,-0.5474,-1,-0.293,-1,-1,-1,-1,-0.3416,-0.9152,-1,-1,-1,-1,0.6104,0.6432,-0.7698,-0.565,-0.8068,0.3388,0.3072,-0.5546,-1,0.5578,-0.1742,-0.0154,-0.4462,0.165,-0.1654,0.1538,-0.6632,-0.9474,-1,-0.0488,-0.7206,0.6104,0.286,-1,-0.7058,-0.8222,-0.3504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,-0.7896,-0.4018,0.183,0.0451999999999999,-0.834,1,0.6184,-0.0426,0.9962,0.9992,0.9996,0.954,0.2938,0.9358,-0.0124,-1,0.958,0.983,0.9994,1,0.2778,0.5372,-1,-0.477,-0.0674,-0.97,-0.5868,-0.4954,1,-0.628,-0.1556,0.022,0.0858000000000001,0.8932,0.9994,0.5292,0.9226,-0.6026,1,0.7042,-0.4004,0.1152,0.5022,-1,-0.7036,0.9704,0.9564,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
