,711_E-1-M,711_E-2-S,711_E-2-M,711_E-2-D,711_P-1-S,711_P-1-M,711_P-1-D,711_P-2-S,711_P-2-M,711_P-2-D,711_P-3-S,711_P-3-M,711_P-3-D,711_S-1-S,711_S-1-M,711_S-1-D,711_S-2-M,711_S-2-D,711_S-3-M,712_E-1-D,712_E-2-S,712_E-2-D,712_E-3-D,712_P-1-S,712_P-1-M,712_P-1-D,712_P-2-S,712_P-2-M,712_P-2-D,712_P-3-S,712_P-3-M,712_P-3-D,712_S-1-S,712_S-1-M,712_S-1-D,712_S-1-X,712_S-2-D,712_S-2-X,712_S-3-S,712_S-3-D,712_S-3-X,713_E-1-S,713_E-1-M,713_E-1-X0,713_E-1-X1,713_E-2-X1,713_E-3-D,713_E-3-X0,713_E-3-X1,713_P-1-X1,713_P-3-M,713_P-3-X1,713_S-1-S,713_S-1-M,713_S-1-D,713_S-1-X0,713_S-1-X1,713_S-2-S,713_S-2-M,713_S-2-D,713_S-2-X0,713_S-3-S,713_S-3-M,713_S-3-D,713_S-3-X0,713_S-3-X1,714_E1_30-34,714_E2_1-5,714_E2_5-9,714_E2_20-24,714_P1_20-24,714_P1_30-34,714_P3_30-34,714_S1_1-5,714_S1_5-9,714_S1_10-14,714_S1_20-24,714_S1_30-34,714_S2_1-5,714_S2_5-9,714_S2_20-24,714_S3_1-5,714_S3_5-9,714_S3_10-14,714_S3_20-24,714_S3_30-34,715_E3_20-24,715_P1_10-14,715_P1_20-24,715_P1_30-34,715_P2_1-5,715_P2_10-14,715_P2_20-24,715_P3_1-5,715_P3_20-24,715_P3_30-34,715_S1_1-5,715_S1_10-14,715_S1_20-24,715_S1_30-34,715_S2_10-14,715_S2_20-24,715_S2_30-34,715_S3_20-24,715_S3_30-34,716_E1_10-14,716_E3_10-14,716_P1_1-5,716_P1_30-34,716_P2_1-5,716_P2_10-14,716_P2_20-24,716_P2_30-34,716_P3_1-5,716_P3_10-14,716_P3_20-24,716_P3_30-34,716_S1_1-5,716_S1_10-14,716_S1_20-24,716_S1_30-34,716_S2_1-5,716_S2_10-14,716_S2_20-24,716_S2_30-34,716_S3_10-14,716_S3_20-24,716_S3_30-34,717_P1_10-14,717_P1_20-24,717_P2_1-5,717_P2_10-14,717_P2_20-24,717_P3_1-5,717_P3_10-14,717_P3_20-24,717_S2_1-5,717_S2_10-14,717_S2_20-24,717_S2_30-34,717_S3_1-5,717_S3_10-14,717_S3_20-24
711_P-3-S,0.104871885479272,-0.106033904729535,0.09469907586706,-0.106033904729535,0.892897919331687,-2.25516894285991,-0.689249379497712,1.4646627207184,-1.50903814631476,-0.939576011956323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_P-3-M,1.34341150061448,1.06261922024426,1.30225239115445,1.06261922024426,-0.254662130343406,-0.957606828349076,-0.0248104791265974,-0.787358979202261,-0.419337799912644,1.28932704501623,-0.441921399363351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_P-3-D,0.928369685767864,0.598096375383414,0.928369685767863,0.598096375383414,1.33586826161338,2.08092818134446,-0.921526825649681,1.87373218795408,0.882517504214997,0.518022022426469,-1.92171404454108,0.0586953313143513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_S-1-S,0.00901463519280025,-0.41796669987944,0.00901463519280025,-0.41796669987944,0.95373614100058,1.68993816075493,0.177379879492987,1.46262322385602,2.0453080905383,-0.125531909128067,0.591061878695953,0.863256055315139,0.887955965100322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_S-1-M,0.718813714814295,0.503351083258367,0.719977103370788,0.503351083258367,0.59745620974968,-1.37163626898459,0.930430063221316,0.70884777955277,0.77872505934034,-0.258072007434869,0.308347483965879,0.58109947842147,-0.590266101915846,0.610882052541289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_S-1-D,0.786581019399335,0.691156427066049,0.788519004754527,0.691156427066049,0.742708633903578,-1.04156385973187,-0.264957311076483,1.18083530306738,-0.575496048644367,-0.365472885309982,-0.693947641409955,-0.323458470210438,-0.63776739198154,0.868244165762744,-1.01141728699987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_S-2-M,0.0304969632823419,0.0304969632823413,0.0304969632823417,0.0304969632823413,0.463733434591674,-0.100525647108593,1.30741765884133,0.965907040078018,1.69631800268541,0.32102609198548,0.346382739725942,1.49237526719554,0.100747311331978,0.175748404119147,0.223686781390192,0.0809864617356694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_S-2-D,1.05808067043849,0.953402050078956,1.05930383083317,0.953402050078956,0.139279567754622,-1.55061892972197,1.1864784591789,1.02512471066765,-0.29643037963041,0.907686403272674,0.0276341645200276,0.914926337035362,0.167124475104495,1.47165745885581,-0.904823484932912,-0.808965636102778,0.0504983775485797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_S-3-M,0.913679392704043,0.812541239685934,0.915821719402905,0.812541239685934,0.754565279891321,-0.0401625866308436,1.26719727489277,1.143457629365,1.00916227019754,-0.354696414847982,-1.00638712047711,0.335916291061053,-0.601669814305655,0.570823294291397,-1.27992214363901,-0.713093970534803,-0.163700931567469,0.987711041093426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-1-D,0.299381661498559,0.286001968676129,0.304567234702765,0.286001968676129,0.593319067054803,-3.79513701748229,0.397709250234793,1.11594494127844,-2.58849634273921,-0.142778422972395,-1.1934552392373,-0.0414382164183807,-2.0755578918112,0.537249527408277,-0.819239226445758,-2.24215390692479,-0.133879941725656,-0.348769996901079,-0.547450980484432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
