,711_S-1-S,711_S-1-M,711_S-1-D,711_S-2-M,711_S-2-D,711_S-3-M,712_S-1-S,712_S-1-M,712_S-1-D,712_S-1-X,712_S-2-D,712_S-2-X,712_S-3-S,712_S-3-D,712_S-3-X,713_S-1-S,713_S-1-M,713_S-1-D,713_S-1-X0,713_S-1-X1,713_S-1-X2,713_S-2-S,713_S-2-M,713_S-2-D,713_S-2-X0,713_S-3-S,713_S-3-M,713_S-3-D,713_S-3-X0,713_S-3-X1,713_S-3-X2,714_S1_1-5,714_S1_5-9,714_S1_10-14,714_S1_20-24,714_S1_30-34,714_S1_40-44,714_S2_1-5,714_S2_5-9,714_S2_20-24,714_S2_40-44,714_S3_1-5,714_S3_5-9,714_S3_10-14,714_S3_20-24,714_S3_30-34,714_S3_40-44,715_S1_1-5,715_S1_10-14,715_S1_20-24,715_S1_30-34,715_S2_10-14,715_S2_20-24,715_S2_30-34,715_S3_20-24,715_S3_30-34,716_S1_1-5,716_S1_10-14,716_S1_20-24,716_S1_30-34,716_S2_1-5,716_S2_10-14,716_S2_20-24,716_S2_30-34,716_S3_10-14,716_S3_20-24,716_S3_30-34,717_S2_1-5,717_S2_10-14,717_S2_20-24,717_S2_30-34,717_S3_1-5,717_S3_10-14,717_S3_20-24
713_S-1-X2,-1.27940708013018,-0.936678970914214,-0.329509245792724,-0.430806095327456,-0.854213605359877,1.74853658588504,-0.962356475005143,0.875936997196238,1.25135924228501,-0.943399711367486,2.06011175580175,-0.683491051490091,-1.49014844497053,-1.43661490171926,-1.44316045097432,0.162411781023714,-1.17810244734735,0.902956336184726,1.66898411613865,0.925813381244298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-S,-0.426953545738005,1.80739857765257,1.80320804129424,1.82953862725499,-0.661558367879084,0.0552177308927179,-0.619992294070322,1.88342583242795,3.04213503523807,0.521443804053013,1.15865972029303,-1.38320255773374,-1.92652516758304,-0.998078142724113,-1.00048728849553,1.94295605527984,0.482263245339843,2.03072786914505,-0.0883410839632354,-0.459377766475704,0.822201879955506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-M,0.223190672900313,0.0397703422929477,0.600456902855155,0.600664331190895,-0.644650398349807,0.170406394515884,-0.932062920681346,0.198697496300982,0.398659200239436,-0.372673419524599,-0.373015767371231,-0.229605863976194,-0.577160716268897,-0.206943225352314,-0.203986640919939,0.683977728555999,-0.439014527409265,0.944196143333312,-1.08435961051797,0.309370844937488,-0.488198246772311,-0.241444024639277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-D,0.043876266229634,-0.271479449829258,0.384279365589867,0.595778664677929,-0.7201430890947,-0.623316801827041,-0.941145138942904,-0.757581945404853,0.194493005027403,-0.656857957679716,-0.402843617670269,-0.213423030688829,-0.972801273573807,-0.656515576775655,-0.658908444949792,-0.423463109117783,-1.09878478187101,0.556036141488031,-1.4048349678811,-0.791843412704114,-0.858355319217925,-0.852325451755989,-1.51353652916859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-X0,-1.76481384250305,-1.15547253241214,-1.03062083556468,-0.411834525413685,0.308883790434359,-0.386643647845627,-1.04198236389239,-0.49281403875103,-0.122012441177844,-0.668282243340245,-0.942788867587283,-0.418329182873302,-1.61989602039511,-1.03274567181384,-1.04182884842094,-0.93575456967836,-0.118360476665891,-0.665424975635605,-1.57347591155758,-0.820440905357677,-1.0594281783084,-0.0687837471994579,-0.399680102008845,-0.910798493607668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-S,-0.920540282549568,-0.955688092430308,-0.869286286461563,0.0765754952623225,-0.405746981654983,-0.245349713919427,-0.00745098606498028,0.1267495698413,-0.0237934671045135,0.0218197325765925,0.314438331686923,-0.462335775673725,-0.488645684166164,-0.896243651366599,-0.896549790330091,0.255064745713616,0.348758473210109,-0.380699891413482,-0.87564490034527,-0.31727697157315,-0.910305154351235,-0.0592767792262578,0.00795827892979132,-0.40603422335485,-0.814431658197657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-M,-1.40598117813423,-0.598185017006631,-0.352771732887811,1.14673015222082,0.379990037749824,0.138396546777376,0.0985370988254079,-0.678567698526534,1.41997224220021,0.300775291397777,1.30591208683573,-1.4616039789944,-2.21502693313027,-0.840349602745452,-0.839305186534287,-0.0536542062796871,-0.550477936433924,1.0769828130509,-0.468997926172991,-1.25200377433841,-1.16721274120488,0.43449579374835,1.31360725678179,0.689032000238218,0.242974316993105,-0.219481334451872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-D,-0.682924533834795,-1.2429323233778,-1.00778039404148,-0.495439193380028,-0.591352665991613,-1.79300591418567,-0.736468523526088,-0.955810095504841,0.905950609648199,-1.46139341512365,0.426286930970922,-2.29508914127662,-1.99391572420928,-1.49684707825705,-1.49604107010628,-1.278956404337,-0.360318543655545,1.16254004559891,-0.717973816916304,-1.33356017851893,0.134467710786728,0.535638601320378,0.578756426134471,0.307994249596174,-1.63759939434559,-1.12602928088535,-1.28869934463052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-X0,-0.116391387278224,-1.2695846805624,-0.473874969572588,-0.489878432888799,-1.05277287898477,-1.36934098422729,-0.0159430367463669,-1.23992004254191,-0.288409657956689,-1.58660831852529,-0.565750565572568,-1.72342736137486,-0.916445822520625,-0.376523167100043,-0.393685232586515,-1.06220022608634,-1.09512576852252,0.913685132394943,-0.964235879442948,-1.57327190039108,-1.08540714597317,-0.11240437447553,-0.167486132794395,-0.301986359801631,-1.63636296693216,-0.449225185096914,-0.743989203765018,-1.01826820685686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-X1,-1.84830439573534,-1.12319172722119,-1.1247003354546,-0.941342024367172,-1.18860638078229,-1.2239884683455,-1.30672970069423,-1.22176777833119,-0.52873021579431,-1.4779879510887,0.258987160518725,-1.68241884692862,-1.3723771242827,-0.755116077454471,-0.779558087738701,-0.934046749195058,-0.711063931070418,-0.913605928217254,-1.03054881829619,-1.5879180145486,-1.05219782979306,-1.00777689699387,-0.608395054292362,-0.923210438809553,-1.21350728943468,-0.238918711327211,-0.263603515170098,-1.21480667843164,-0.909048063536021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
