,711_E-1-S,711_E-1-M,711_E-1-D,711_E-2-S,711_E-2-M,711_E-2-D,711_E-3-S,711_E-3-M,711_E-3-D,712_E-1-M,712_E-1-D,712_E-2-S,712_E-2-M,712_E-2-D,712_E-3-S,712_E-3-M,712_E-3-D,713_E-1-S,713_E-1-M,713_E-1-D,713_E-1-X0,713_E-1-X1,713_E-2-S,713_E-2-M,713_E-2-D,713_E-2-X0,713_E-2-X1,713_E-3-S,713_E-3-M,713_E-3-D,713_E-3-X0,713_E-3-X1,714_E1_1-5,714_E1_5-9,714_E1_20-24,714_E1_30-34,714_E2_1-5,714_E2_5-9,714_E2_20-24,715_E1_1-5,715_E2_1-5,715_E2_20-24,715_E2_30-34,715_E3_10-14,715_E3_20-24,715_E3_30-34,716_E1_1-5,716_E1_10-14,716_E1_20-24,716_E1_30-34,716_E3_10-14,716_E3_30-34,717_E2_1-5,717_E2_10-14,717_E2_20-24,717_E3_1-5,717_E3_10-14,717_E3_30-34
713_E-2-D,-0.955682957571032,-0.581345174859325,-1.528426166035,-1.12179488385836,-1.10118654099222,-0.964462089922041,-0.943307528966189,-0.98386815621322,-1.23177508982653,-0.81364684505135,-1.31495486273092,-1.36524490156761,-1.77206937076995,-1.44575741206967,-1.18097227316855,1.63873453327474,-1.41880592902214,-1.62726510735707,-1.72619900294201,-1.10925836319465,0.61927244654563,-1.62738134745507,1.63873453327474,0.504158683498782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-2-X0,-1.01730451269239,-0.64650599391367,-1.25017844274669,-0.924822272037589,-0.871880552640056,-1.10746345377724,-0.969799424590385,-0.816411408343678,-0.881741529462215,-0.444694617844674,-0.544959566302896,-1.26717459407632,-2.14352631325299,-1.22950391309982,-1.2128082557887,1.37224185341127,-1.43709766311303,-1.46591716168094,-1.41061022662831,-1.07256456914604,0.0990713044881583,-0.888167648945166,1.37224185341127,1.02416599401064,-0.907551188680716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-2-X1,1.5821124689904,2.11466063813217,1.81232887806081,0.693486238479249,0.384404121061696,2.21932975364288,1.66779524309336,1.76231114586987,1.96255034072855,2.14902023976941,1.71136912502929,2.13806239052199,1.16469299200283,2.18503199295788,0.0942438996203099,1.60347229174276,1.49797707214805,1.87613953632416,1.77168859680165,2.16623026213586,1.20661216665509,1.81068548501241,1.61317959765261,1.85205669967735,0.697125969532267,1.63260828644589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-3-S,0.125952103859462,1.78527339730331,0.0585446609990645,0.0627690826555335,-0.654482738149327,0.536429708223414,0.397398310368178,0.476172947429771,1.60906226844324,0.958639234620277,-1.03030384400126,0.131769991425807,-0.580389146531388,0.666926860321906,0.285420717119468,0.801119818125839,-1.93078079763801,-0.690744964618003,-0.574195588809123,0.394919941314811,1.70238867393301,-0.100251993283949,0.801119818125839,0.583559603679621,0.452253443793079,0.663166269466073,0.156896863935245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-3-M,-0.347578419980614,-0.811684872778816,-1.85342207222533,-0.752421842641273,-1.12675410457841,-0.986367424276759,-0.472673165444454,-0.711159247165884,-1.57928410263588,-0.834048153682813,-1.78089296531248,-0.987576456159647,-1.2957902623221,-1.63407191774913,-1.25300063323836,1.84764973302956,-1.71080090050442,-1.53732624660812,-1.43406840953177,-0.815221572423568,1.04946606402816,-0.82159456538145,1.84764973302956,0.105388397773437,-0.911199318502721,-1.19674547249797,1.44009852661466,0.539869526958913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-3-D,1.38001569628713,1.73579095198537,1.60585114325125,1.18888771830171,-1.24770809991496,1.92654499473952,1.57044679485501,1.88224344562506,1.85310028254535,2.2185454695955,0.391888294742466,1.56814947237465,1.35369412378129,1.77822780667626,0.905232805608765,1.525854218918,0.0608318141277691,0.593663547315233,0.584242304709798,1.6882085902275,1.39464949873138,1.44191030987377,1.52224915432234,1.51092688347363,0.7995881016853,1.04674686664617,-1.00757943104266,-0.892558613952096,1.39634888937297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-3-X0,1.31178028795596,1.88698995822058,1.5941383670433,1.06789244856411,-0.27528316840058,2.09655457181485,1.41652602497978,1.95103744517523,1.8314387333186,2.12111060582535,0.667026424647517,1.99452272093089,1.12804398708382,1.92157030725564,1.05301056579164,1.80359266825038,0.855566237342911,0.907987496957362,1.03778399247983,2.07937735835,1.17528798684268,1.40194691570232,1.79791409015899,1.35507123791412,0.398299043502299,0.424862556029841,-1.51244297037728,-0.491791350792734,1.60840418858915,-1.27700713438217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-3-X1,0.692175045269338,-0.540963671981053,-0.128278094757484,-0.620039680247073,-1.19118995026679,0.19145180156245,0.869607557030174,0.249715947303594,0.20276336602514,0.225451171105647,-0.427454004223933,0.286502245411722,0.334762310915917,-0.158638236641651,-0.315855285393804,1.05593611042546,-0.222935828984368,-0.703587222038824,-0.681935910523848,0.407838731645401,0.0392210342635902,0.570597604315669,1.04641187210455,0.852228971560195,-1.14491031566714,-1.01473987165447,0.10129787618018,0.42874178029886,0.542515557182271,0.787736163352983,0.497034282729391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_E1_1-5,-0.864209862844665,-0.774686151891606,0.0274487127494858,-0.751976112399734,-0.150235103674951,-0.134132332612999,-1.08877814927142,-0.731204697083849,0.269614973821362,0.616147115746562,0.725965929171681,-0.296199574790693,0.266963316646348,-0.00873368446545619,-1.5873605737696,-0.197268846591588,-0.0543899272686585,-0.866374946034148,-0.651825264381161,-0.317827024381185,1.00780463661583,-0.950830042386662,-0.197268846591588,-1.92684531069628,-0.0161803730411805,0.188864199276945,2.19361469036934,-0.327958123877623,-0.666382163561707,1.7273254604193,1.61371229195495,0.960159045680262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_E1_5-9,-0.757195089270356,-0.113237876129104,-0.975979333227342,-0.19790976844041,-1.06384756374529,-0.510827031162238,-0.11277321964422,0.542618207987719,-0.0702842169529517,0.200716346233561,-1.24558759851359,-0.56645082695775,0.849603805902773,-0.745698780374003,-1.06607906924555,0.153325503473446,-0.421461067976585,-1.13251301834278,-1.65423855495338,-1.51753867997804,1.148610054703,-0.0238237023614196,0.153325503473446,-0.794610512077149,-1.23221680668595,-1.09261029347506,1.526293964474,-0.621385312272066,-0.776657975362853,0.897342971858766,1.21529960049982,0.770216097637329,2.54305243676723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
