,711_E-1-S,711_E-1-M,711_E-1-D,711_E-2-S,711_E-2-M,711_E-2-D,711_E-3-S,711_E-3-M,711_E-3-D,712_E-1-M,712_E-1-D,712_E-1-X,712_E-2-S,712_E-2-M,712_E-2-D,712_E-2-X,712_E-3-S,712_E-3-M,712_E-3-D,712_E-3-X,713_E-1-S,713_E-1-M,713_E-1-D,713_E-1-X0,713_E-1-X1,713_E-1-X2,713_E-2-S,713_E-2-M,713_E-2-D,713_E-2-X0,713_E-2-X1,713_E-2-X2,713_E-3-S,713_E-3-M,713_E-3-D,713_E-3-X0,713_E-3-X1,713_E-3-X2,714_E1_1-5,714_E1_5-9,714_E1_20-24,714_E1_30-34,714_E2_1-5,714_E2_5-9,714_E2_20-24,715_E1_1-5,715_E1_20-24,715_E2_1-5,715_E2_10-14,715_E2_20-24,715_E3_1-5,715_E3_10-14,715_E3_20-24,715_E3_30-34,716_E1_1-5,716_E1_10-14,716_E1_20-24,716_E1_30-34,716_E2_1-5,716_E2_10-14,716_E2_20-24,716_E3_1-5,716_E3_10-14,716_E3_30-34,717_E1_1-5,717_E1_10-14,717_E1_30-34,717_E2_1-5,717_E2_10-14,717_E2_20-24,717_E3_1-5,717_E3_10-14,717_E3_20-24,717_E3_30-34
713_E-1-S,-1.2137037738446,-1.83505193649376,1.90724085743683,-1.05502822208286,0.309011249327754,0.172438857718877,0.306392719299388,1.43105885084059,0.559254566325889,2.95999474070962,1.30080967057253,1.72793409799906,-1.10659481308982,-0.348949807524311,0.329519700210283,0.737358448621138,0.988789230504226,1.18522229705061,0.111565796539403,0.658495390760617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-1-M,-0.948465827248669,-0.426741871094468,0.79169389321078,-0.890141683253564,-0.902721325507594,0.383304220185272,0.155333308448537,1.14102181216588,0.696339284273839,1.82018768909449,1.30665948914427,0.93764806214071,-1.65118745201887,-0.872642218802835,0.372691036116389,-0.479034261241935,0.874751564234595,-0.6825443481646,0.30904855237326,0.535497386474266,-0.769993470337794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-1-D,0.881374523769497,0.927950892262832,0.809665283244221,1.16616339374423,1.49665724212836,-0.280866491862465,2.21967978227778,1.16480453735295,0.917672083670482,1.63113628789351,0.422931931677948,1.07026659234014,1.60066633257398,1.07231489184704,-0.147042693959602,0.994370180160082,0.441036293323206,1.63232584444258,-0.0308440637937076,1.03965115651529,1.09801009700338,0.621424263612318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-1-X0,-0.153553643727016,-0.803166839439194,0.0238475148778515,0.0444901348580318,0.368463024066479,-0.32689901191343,1.46390846647957,-0.72739492393055,-0.0129925886461067,-0.148872465035784,-1.18608822562804,0.814726621793261,-0.255828656371136,0.963926035985395,-1.07470050763523,-0.0518346022927989,0.208238839194195,0.844331416274185,-1.19898359967864,0.015820616210136,-0.534064062976014,-0.542488048932102,-0.989369123699726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-1-X1,0.308374864813661,-0.00157973858677678,-0.0802526494813038,-0.650831879020023,0.612613749090043,-0.825901380653131,-0.225638217855441,-0.0308087893367366,-0.578496759154329,0.45386541421091,-0.629296637426131,0.097548727014058,-0.610352365937323,-1.11969901291772,-0.840422218374771,-0.0734948129491959,-0.398990394938447,0.22176219903852,-0.869463659911131,-0.0440359762381304,-0.869845258671614,-0.829597689253564,-0.477392828190429,-0.354866749522041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-1-X2,-0.384240186902374,0.940436885881408,-2.34951046888402,-0.342010883931163,-1.07761604005467,1.29750510058713,0.00623400774129778,-1.3759610746969,0.84860703045747,-0.700638787403683,-1.66786270094497,-2.51961403670509,-1.63274531339681,-1.06796757193044,-1.59865921691635,0.833732588510248,-1.16853502127563,-2.95107722278547,0.829957127596533,-0.661178208239555,1.29216049079921,-1.06738331135452,1.14227109243071,0.495371268715458,0.249373778993189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-2-S,0.334346282719921,0.81899571001368,0.686757537379697,0.599405930057815,0.457757068427802,0.223749481217187,1.338887288674,0.666935134494477,-0.181507590863241,0.730791485284043,0.0958181161443291,-0.126266424004953,0.675400979922225,0.892327691474721,0.110324692985447,-2.07586896345089,0.606979502884699,0.686483891465995,-0.122764084985346,0.904227221857046,0.9230592031388,0.350161036836304,0.383250630504411,-0.308213271513132,-0.24626935449107,0.364216370718892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-2-M,-0.0691490616328652,-0.42137801819632,-0.816248789574656,-0.523166025369958,-0.958167691422191,-1.4570729618926,0.581184566308692,0.242066353342689,-0.194673893205813,0.28147273743633,-1.0663339139971,0.281249557419778,-0.814114874623682,0.258267590648028,-1.7279148312667,-0.0544572801975838,-0.210257448538125,0.167633828645041,-1.29002236291672,-0.842218080327127,-0.49602773418547,-0.568859908335124,-0.741642857938952,-2.51491394315158,-0.735611047537945,-0.0448835883547911,-0.083288532278059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-2-D,0.864695341582367,1.38057589464957,-0.755878628386197,0.0995137572473655,0.325361446756074,1.32190660852138,-0.233460863430204,0.99354968721307,0.782184650429317,0.274597061959382,0.376234508852291,-1.71916759447288,-0.501738119866606,-0.358410351686886,-0.518899006420317,1.08387760108313,0.0305732122053395,-0.925431260158123,0.933533106465376,-0.271843252649926,1.8391127642773,0.066825756922157,1.21254912093025,0.934770616579597,0.280470362118581,-2.3355523264982,0.695165351638173,0.443640869400413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-2-X0,0.361924938272025,0.0827723562383973,-0.0295506400574861,0.19060444811874,0.713097210934765,0.0376618498500436,0.496812142869984,-0.00409633707553638,-0.754977927227662,0.413361584534669,-0.0305571113559556,0.0220139119626687,0.233663926443821,0.121392955859624,-0.01649997828963,-0.106129883726491,0.177696738414982,-0.0293993434496548,-0.87487905095193,0.145107529586855,0.433471440009209,0.393137647494422,-0.060612707578397,-0.236877339959264,-0.740993604377322,-0.243226592759231,-0.0511083858789493,-0.560691704543635,0.0074769812226083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
