,711_S-1-S,711_S-1-M,711_S-1-D,711_S-2-M,711_S-3-M,712_S-1-S,712_S-1-M,712_S-1-D,712_S-1-X,712_S-2-D,712_S-3-S,712_S-3-D,712_S-3-X,713_S-1-S,713_S-1-M,713_S-1-D,713_S-1-X0,713_S-1-X1,713_S-2-S,713_S-2-M,713_S-2-D,713_S-2-X0,713_S-3-S,713_S-3-M,713_S-3-D,713_S-3-X0,714_S1_1-5,714_S1_5-9,714_S1_10-14,714_S1_20-24,714_S1_30-34,714_S2_1-5,714_S2_5-9,714_S2_20-24,714_S3_1-5,714_S3_5-9,714_S3_10-14,715_S1_1-5,715_S1_10-14,715_S1_20-24,715_S1_30-34,715_S2_10-14,715_S2_20-24,715_S3_20-24,715_S3_30-34,716_S1_1-5,716_S1_10-14,716_S1_20-24,716_S1_30-34,716_S2_1-5,716_S2_10-14,716_S2_20-24,716_S2_30-34,716_S3_10-14,717_S2_1-5,717_S2_10-14,717_S2_20-24,717_S2_30-34,717_S3_1-5,717_S3_10-14
713_S-2-D,-0.158418912437107,1.8742176392985,1.60581245008567,-0.773084388605224,NA,-0.0330563883311136,0.328193766242544,-0.396800570015852,-1.79094218430173,-0.645159637087599,0.973814902772951,0.346518158321541,0.346518158321541,0.826960897770226,1.34810227376981,-0.103867787962164,-0.103867787962164,0.346518158321541,1.16484442234114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-X0,-0.838178773005622,-2.17689314187614,-2.09977385928696,-0.582612207654688,0.0165633133550095,-1.15274073194681,-0.796855109520718,-1.71355960785611,-0.677937229541405,-0.810264538474589,-1.50195007681479,0.151573196862488,0.151573196862488,-0.351155229365783,-1.20032632588428,-1.21805517211545,-1.21805517211545,0.151573196862488,-0.504223660008054,-1.20269172824054,-1.14155567165568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-S,-0.451318575418469,-0.957385834595549,-0.908178915032359,-0.741421950800648,0.121114963235611,-1.23173844160709,-1.1406296828357,-1.16960621843557,-0.401255201295906,-1.20447917358295,-1.21212382709067,0.48150008532598,0.48150008532598,-1.26608439448119,-0.332549099782031,-0.988327288422236,-0.898853840290135,0.48150008532598,-1.03227161915495,-0.00845585979879497,0.0185480740399565,-1.31675006850054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-M,0.661584314167435,-0.501938242714405,-0.436804717079941,0.198036987026082,1.29737290398845,0.482378368258342,0.562631819877921,-0.257495174654747,0.317044190176405,0.509824473584586,1.23015824897528,0.440777905938582,0.440777905938582,0.830433288423633,1.0819344884306,-1.24512674011659,-1.24512674011659,0.440777905938582,0.621750895791832,1.21045995899955,0.975832363954555,-1.8778749088688,1.24987195696847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-D,-0.376366352221566,1.38769842295577,1.22516732776722,-1.71200597816076,1.27610836767436,0.353927360246492,0.792849670377901,0.428458714775056,-1.08096288608835,-0.462963097990405,-0.22992690156098,0.340156037474559,0.340156037474559,1.31821112864519,1.48153390008116,-1.53786284267627,-1.53786284267627,0.340156037474559,1.49645815599605,1.27610836767436,1.27610836767436,-2.24562610200096,-0.313603124755354,-0.789305096276721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-X0,0.400397552545666,0.374929792432893,0.366239271392054,0.351656955535928,0.48799780052034,0.534929563284659,0.589810011914292,0.392823737739257,0.450435628446561,0.387906180158842,0.438638738475446,NA,NA,0.508591035568035,0.411121312480086,0.263524503526987,0.327655024122722,NA,0.457022153854519,0.2789829138074,0.346518158321541,0.151573196862488,0.48150008532598,0.440777905938582,0.340156037474559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S1_1-5,-0.635567774165369,0.855189341239994,0.217029965320108,0.0059852738022213,0.90289693548727,1.59618288396478,1.24654421602705,0.278943171918701,0.973518433667445,0.812610259736078,-0.194305991414473,0.662085926195583,0.662085926195583,1.3952378652251,1.17241026002959,-0.324000266779559,-0.324000266779559,0.662085926195583,0.353317175797115,0.90289693548727,0.90289693548727,-0.978490071948309,-0.123399995752558,0.209569933795499,0.962346146515435,0.662085926195583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S1_5-9,0.0523975032566352,1.67442349588633,0.672398277979899,-2.19932007728012,1.24916585162441,1.16352053109041,1.25578889669682,1.93387463835003,0.83303886502229,1.50947252695902,1.02260550465941,0.288034372184374,0.288034372184374,1.61366056597408,1.69604195715414,-1.96004569967655,-1.96004569967655,0.288034372184374,1.82502207244354,-0.108347906446995,0.203444134428808,-2.1526314668323,0.267819837501309,-0.172809439644179,-1.0975013560896,0.288034372184374,1.85558462220616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S1_10-14,-0.0532143050022638,1.66332042376964,1.06965460280173,-2.02270190476213,1.29502771566109,1.16352053109041,1.25578889669682,1.93387463835003,-0.117611492932422,1.50947252695902,0.507111757498899,0.344219841292804,0.344219841292804,1.61366056597408,1.69604195715414,-1.11241336082503,-1.11241336082503,0.344219841292804,1.82502207244354,0.252939756105592,0.559897985493993,-1.81052870140965,0.116848175536418,-0.206550085679472,-1.0975013560896,0.344219841292804,1.85558462220616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S1_20-24,0.400397552545666,0.374929792432893,0.366239271392054,0.351656955535928,0.48799780052034,0.534929563284659,0.589810011914292,0.392823737739257,0.450435628446561,0.387906180158842,0.438638738475446,NA,NA,0.508591035568035,0.411121312480086,0.263524503526987,0.327655024122722,NA,0.457022153854519,0.2789829138074,0.346518158321541,0.151573196862488,0.48150008532598,0.440777905938582,0.340156037474559,NA,0.662085926195583,0.288034372184374,0.344219841292804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S1_30-34,0.400397552545666,0.374929792432893,0.366239271392054,0.351656955535928,0.48799780052034,0.534929563284659,0.589810011914292,0.392823737739257,0.450435628446561,0.387906180158842,0.438638738475446,NA,NA,0.508591035568035,0.411121312480086,0.263524503526987,0.327655024122722,NA,0.457022153854519,0.2789829138074,0.346518158321541,0.151573196862488,0.48150008532598,0.440777905938582,0.340156037474559,NA,0.662085926195583,0.288034372184374,0.344219841292804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S2_1-5,-0.698654672983534,0.153072684973613,-0.42287737188014,-0.339389391143976,-0.0452237592488702,0.14159818005972,0.829592649647061,0.17312934096145,0.171145047512513,0.231162483813182,-0.797251880390006,0.555246086068607,0.555246086068607,0.668858092371907,0.685292152029579,-0.671598050196775,-0.671598050196775,0.555246086068607,0.614741934330235,-0.00922063762918609,-0.0290800376692987,-1.13535197070879,-0.360453332687417,-0.0660701093390441,-0.577374523958063,0.555246086068607,1.48957204868432,0.260872323627782,0.0483828806107029,0.555246086068607,0.555246086068607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S2_5-9,-0.565887334331663,-0.990120848578523,-1.61638650998107,0.0180710900214463,1.63994989407073,0.758333471411553,0.846806146807018,0.0952137578437738,1.12711572412611,-0.842499470605138,-0.386174389848603,0.365210369587574,0.365210369587574,0.631885375172788,1.80333810796689,-0.24519316431679,-0.24519316431679,0.365210369587574,0.713947011311998,0.979516611865498,0.983913620610361,-1.09308513301503,-0.0190771128413336,0.32340353637,0.0328691953385824,0.365210369587574,0.876685599946369,1.23439680808468,0.952442061022082,0.365210369587574,0.365210369587574,0.11880311986408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S2_20-24,0.732841973514307,-0.852449203988347,0.0795364850172449,0.812484789636376,1.03550422712424,0.586299814849016,0.196091098112056,-0.856953426909796,0.927974575529224,0.494526536288961,0.633388606397731,0.62362703001383,0.62362703001383,0.0617568914756166,-0.0781743479790963,-0.235169402511678,0.637719283422257,0.62362703001383,-0.691981483006775,0.694491809556379,0.710971753143294,-0.245561610707994,0.609906176586208,0.472833883179764,0.389489496203986,0.62362703001383,-0.0105638038413507,0.658579230882566,0.632159410684587,0.62362703001383,0.62362703001383,0.65777481430796,-0.0120520264733517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S3_1-5,0.22173286867569,-1.64854422817186,-1.55746549092539,-0.380836856640526,-0.0806774643803383,-1.10004126498121,-0.810883704008815,-1.50598095576957,-0.650523345181713,-0.79940393374602,-0.518328896025033,0.324196451219773,0.324196451219773,-0.819578152127754,-1.12740763346313,-1.23671463280905,-1.23671463280905,0.324196451219773,-1.03058674831639,-1.18862241779084,-1.08032750045705,-1.39476139423679,-0.371833500863494,-0.947486782334415,-1.47781719537293,0.324196451219773,-0.855787160515172,-1.62914447678402,-1.45173907399665,0.324196451219773,0.324196451219773,-0.926943346676869,-0.422049688603719,0.974316596017227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S3_5-9,1.2034115867797,1.68721508419071,0.98298842427175,-0.673762990648124,2.19618839083296,1.88270103880736,2.38118088926608,2.10171944815527,0.111229379883432,1.27674157168639,1.36616203303136,0.583521520312704,0.583521520312704,1.67716413650971,1.87261215102867,-0.872534891444954,-0.872534891444954,0.583521520312704,1.79148233495522,1.62161316542918,1.69708707653126,-1.48561966707396,1.58917160589676,-0.925757708683015,1.33174748534613,0.583521520312704,2.47407092518267,1.46319402438636,1.46319402438636,0.583521520312704,0.583521520312704,1.34314800308069,1.31481873681851,-0.65427206620479,-0.581909403742972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S3_10-14,0.0990708239176233,-0.586027658126658,0.576610641446731,0.619499124832587,2.09396866033429,1.17007150496275,0.687575263826039,0.748856327633754,0.989034385278039,1.16952276628405,0.917745075426343,0.607171328067974,0.607171328067974,0.383666974638342,1.2938039412258,-0.384272686929249,-0.384272686929249,0.607171328067974,0.470639513782664,2.08297818726857,2.13403174512254,-1.19619477356868,0.129203247158045,-1.02916700412733,1.783523289759,0.607171328067974,0.252227751965537,1.46703993129992,1.7101157531407,0.607171328067974,0.607171328067974,0.289717954286263,-0.524240042078252,0.229631554146471,-0.380329385860903,1.43747986880793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_S1_1-5,-1.32457086551194,0.707132241309027,0.220511451988413,-0.0586048520096145,0.260533981923116,1.17869095690111,-0.668812605115987,0.211932192279571,0.296863930606983,0.412439522083493,-0.757763179070147,0.510101493919983,0.510101493919983,-0.584740722340284,0.498170019691989,-0.338016974221866,-0.338016974221866,0.510101493919983,-0.700386280374951,0.260533981923116,0.260533981923116,-0.877471394705936,-0.907394328740175,0.0553165236822463,0.538617562818478,0.510101493919983,1.49608536285507,1.01027335036412,1.01027335036412,0.510101493919983,0.510101493919983,0.850733471226201,0.689567734442479,0.384476466142189,-1.23678574668293,2.30316415099781,0.314104654295393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_S1_10-14,-0.709156886735343,-1.17293488286739,-0.807841598436294,-0.275444001188044,1.04046939509183,-0.0347293572239112,0.303502504129435,-0.239349460125059,-0.243528984447392,0.191502586041532,-0.896460744137494,0.254753520047394,0.254753520047394,0.712875989379569,-0.148888714439336,-1.70202993259596,-1.70202993259596,0.254753520047394,0.731342305503725,0.724726641774703,0.585244786374172,-2.34378862878923,-1.09179098126113,-1.76074622074062,0.0533233329080256,0.254753520047394,0.149993317630784,-1.27086160488019,0.0584063278258038,0.254753520047394,0.254753520047394,-0.720015036488607,-0.37430022008441,0.201096117878469,-1.59076580578675,-0.468428950155064,0.520675208586738,0.093306601412053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_S1_20-24,0.400397552545666,0.374929792432893,0.366239271392054,0.351656955535928,0.48799780052034,0.534929563284659,0.589810011914292,0.392823737739257,0.450435628446561,0.387906180158842,0.438638738475446,NA,NA,0.508591035568035,0.411121312480086,0.263524503526987,0.327655024122722,NA,0.457022153854519,0.2789829138074,0.346518158321541,0.151573196862488,0.48150008532598,0.440777905938582,0.340156037474559,NA,0.662085926195583,0.288034372184374,0.344219841292804,NA,NA,0.555246086068607,0.365210369587574,0.62362703001383,0.324196451219773,0.583521520312704,0.607171328067974,0.510101493919983,0.254753520047394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
