,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
30,0.9066,1,-1,0.8256,1,-1,0.225,1,0.9996,-0.2272,1,0.9328,-0.146,1,0.9994,0.8478,1,-0.1472,1,0.83,0.9952,-1,0.8134,-1,0.2164,0.9934,1,0.4438,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,-0.959,-1,0.4885,-0.8858,0.2872,0.5662,-0.8642,0.871,0.7912,-0.9682,0.4492,0.6012,-0.9524,-0.2696,0.7268,-0.9918,0.4874,0.8522,-0.6986,0.5802,0.4294,0.281,0.6534,-0.9998,-0.9968,-0.2762,0.1894,-0.9958,0.208,0.5182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,-0.9324,-1,0.3365,-0.9618,-1,0.1778,-0.888,0.5336,0.8516,-0.9732,-1,0.3618,-0.9516,-0.7512,0.6712,-0.925,0.3224,0.4096,-1,0.2528,-0.2882,0.1806,-0.4258,-0.9992,-0.9888,-0.9204,-0.6792,-0.9968,-0.7036,-0.3272,-0.988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,0.0826,0.998,0.2534,-0.8276,0.2822,0.9788,-0.226,0.9998,1,-0.791,0.994,0.9844,-0.4204,-0.9872,1,-0.3498,0.9754,0.8272,0.9394,0.9464,0.99,0.6455,0.9472,-0.9538,-0.9584,0.5778,0.553,-0.9612,-0.1012,1,-0.7276,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,0.2164,1,-1,-0.7762,0.9998,-1,0.0822000000000001,0.9998,0.9258,0.1532,0.9998,-0.3774,-0.4824,0.8368,-0.077,-0.6184,0.8962,0.0302,0.908,0.0826,0.9888,-1,1,-1,-0.7012,-0.621,0.9948,-0.4734,0.842,0.9976,0.4202,-1,0.4944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,-0.9998,0.7342,0.4213,-0.7986,0.5962,0.3918,-0.9362,0.99,0.6496,-0.9868,0.915,0.0716000000000001,-0.9746,0.6108,0.5684,-0.9916,0.9234,0.859,0.275,0.5606,0.5738,0.2412,0.6146,-0.9838,-0.9432,-0.1194,0.5478,-0.8512,0.592,0.7104,-0.997,-0.9162,-0.1194,0.7306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,-0.9918,0.6646,0.5135,-0.8626,0.2856,0.6074,-0.3554,0.9712,0.9492,-0.5602,-0.2598,0.741,-0.5674,-0.4324,0.8744,-0.9736,0.8822,0.3088,-0.082,0.6772,0.5638,0.2982,0.8762,-0.9666,-0.9784,-0.4136,-0.8326,-1,-0.1816,0.936,-0.9262,-0.868,-0.1588,0.1586,-0.9338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,0.5802,1,-1,0.751,1,-1,-0.3204,1,0.8824,-0.7812,1,-0.9866,-0.2358,1,-0.1548,0.8206,1,0.5714,1,-1,0.8622,-1,0.985,-1,-0.5318,0.997,1,-0.014,1,0.9626,0.3744,-0.3208,1,1,0.581,0.8874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0.7044,0.9996,0.4366,0.8802,0.9412,0.4318,-0.2262,1,0.9988,-0.5428,1,0.9556,0.1032,1,0.8402,0.8422,1,0.9384,1,0.821,0.9998,-1,-0.676,-1,0.0204,1,1,-0.0508,1,0.7552,0.341,-0.2892,1,0.862,0.43,0.9258,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,-0.3692,0.942,0.243,-0.692,0.8492,0.7712,-0.5468,0.9988,1,-0.761,0.9944,1,-0.7248,-0.369,1,0.2596,0.972,0.9944,0.4304,0.9968,0.937,-1,0.993,-0.7922,0.0846,0.9902,0.8802,-1,0.2892,1,-0.3162,-0.8384,0.2806,0.7284,0.3912,0.2684,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.9898,1,-1,0.988,1,-1,0.6972,1,1,0.6632,1,-1,0.4654,1,0.9998,0.9418,1,0.9506,1,-1,0.9908,-1,0.9984,-1,0.6798,1,1,0.3718,1,1,0.8262,0.5466,1,0.9954,0.9902,0.9952,1,0.9798,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
