,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
39,-0.003,0.9998,0.224,0.4288,0.9904,0.1872,0.6106,1,0.252,0.114,-1,-0.9794,-0.9992,-1,0.1926,0.995,0.6356,0.3598,0.8774,0.832,0.2344,0.9994,-0.6804,-1,-1,-1,-1,-1,-0.8926,0.9956,-0.8894,-1,-0.9994,-1,-0.817,-0.9708,-0.9538,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.402,0.9298,-0.55,0.0622,0.9348,0.6792,0.5498,0.9932,0.9944,0.4791,0.4833,0.7372,0.8216,0.7296,0.6934,0.9814,0.9858,0.7738,0.9914,0.9998,0.3914,0.9988,0.7334,0.8733,0.4791,0.4817,0.7405,0.7306,0.9834,0.6612,0.97,0.817,0.932,0.7407,0.863,0.7696,0.4812,0.8706,0.9078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,0.3452,0.9086,-0.9008,0.5464,-1,-0.4924,0.3054,0.9748,-1,0.0485,0.0475000000000001,0.093,0.1904,0.0967,0.383,0.8836,0.7785,0.3814,0.9582,0.0636000000000001,0.4216,0.9908,0.0938000000000001,0.1382,0.0477000000000001,0.0477000000000001,0.0931,0.0939000000000001,0.4933,0.6238,0.3836,0.1897,0.2241,0.0914999999999999,0.1424,0.3081,0.1833,0.1437,0.2323,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,-1,1,-1,-0.7906,0.9998,0.976,-0.1454,1,0.94,-1,-1,-1,-1,-1,-0.5994,1,0.5066,-0.619,0.9962,0.8786,-1,0.9924,0.583,-1,-1,-1,-1,-1,-0.1844,0.9544,0.519,-1,-1,-1,0.6304,-1,-1,-1,-1,0.9614,0.7778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,0.1933,0.8628,0.0448,0.3293,0.815,0.2078,0.1703,0.9452,0.4922,0.0245,-0.9568,-0.9044,-0.8036,0.0502,0.2062,0.8256,0.5283,0.2144,0.57,0.4266,0.2426,0.971,-0.9218,-0.869,-0.9484,0.0224,-0.9202,-0.9302,0.2782,0.5028,0.2137,-0.8294,-0.7718,-0.9264,-0.879,-0.7788,-0.8914,-0.8588,-0.7618,0.4852,0.0478000000000001,0.6818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,0.1903,0.8552,0.0451999999999999,0.3322,0.8142,0.2127,0.1601,0.9372,0.4964,0.0236000000000001,-0.9532,-0.9104,-0.8196,0.0504,0.2166,0.8178,0.5197,0.2169,0.5674,0.418,0.2358,0.9682,-0.9292,-0.8822,-0.9546,0.0225,-0.9474,-0.9514,0.2875,0.4882,0.2104,-0.8504,-0.8072,-0.9572,-0.8976,-0.8338,-0.9052,-0.8842,-0.7742,0.4785,0.0499000000000001,0.6728,-0.9526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,0.3509,-1,0.0916999999999999,0.5464,-1,0.3841,0.3128,0.964,0.36,0.0486,-1,-0.9896,-0.9352,-0.9156,0.3861,0.853,0.4142,0.3739,0.7276,0.6034,0.4154,0.984,-0.8754,-0.9954,-1,0.0505,-0.9632,-0.9648,0.4928,0.691,0.3887,-0.9586,-1,-0.9978,-0.9294,-0.517,-0.7428,-0.809,-0.926,0.7324,0.0963000000000001,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,0.3345,-1,0.0888,0.5492,-1,-0.5982,0.3034,-1,0.2656,0.0492999999999999,-0.9348,-0.8728,-0.756,0.0947,0.3856,0.7982,-0.0416,0.382,0.8774,0.3098,0.419,-1,-1,-0.8246,-1,0.048,-0.956,-0.9704,-0.1984,0.6448,-0.5424,-0.7482,-0.7136,-0.9324,-0.999,-0.5368,-0.7544,-0.808,-0.6942,0.7397,0.0958000000000001,0.6694,-1,-1,-0.8934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,0.1636,0.6774,0.2181,0.6112,0.5156,0.2368,0.0449999999999999,-1,-0.00139999999999996,-1,-0.9268,-0.8746,-0.8376,-0.72,0.2572,-1,-0.043,0.2494,0.5646,0.174,0.3306,-1,-0.7698,-0.8532,-1,0.1161,-1,-1,-0.5502,0.8554,-0.7194,-0.7416,-0.7982,-0.8488,-0.8274,-0.8338,-0.9224,-0.8438,-0.792,0.7262,0.2268,-1,-1,-1,-0.879,-0.8668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,0.3437,0.9556,0.0943000000000001,0.551,-1,0.3859,0.3078,-1,-1,0.0517000000000001,-0.9224,-0.8522,-1,-0.9538,0.3858,-1,-0.1994,0.3847,0.2784,0.1308,0.4247,-1,-0.8732,-0.8496,-0.9246,0.0470999999999999,-0.9404,-0.9514,-0.6378,0.7604,-0.769,-1,-1,-0.8998,-0.807,-0.9614,-0.982,-1,-1,0.7356,0.0935999999999999,-1,-1,-1,-0.8396,-0.8654,-0.8786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,0.4811,0.7394,0.1355,0.7045,-1,0.5204,0.4235,0.8464,0.6836,0.0717000000000001,-1,-0.9376,-0.8916,-0.8808,0.5109,-1,0.365,0.5203,0.8052,0.6848,0.5585,0.9394,-0.8224,-0.9,-1,0.0713999999999999,-1,-1,0.0469999999999999,0.7104,-0.2454,-0.8852,-0.969,-0.9918,-0.9158,-0.7374,-0.9036,-0.8642,-0.8808,0.8707,0.1461,-1,-1,-1,-0.969,-0.8524,-0.9054,-0.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,-0.789,-1,0.2663,-0.6018,0.8444,0.4968,-0.5866,-1,-0.6162,-1,0.1444,0.2744,0.4691,0.2592,-0.6244,0.2188,-0.2436,-0.5552,0.5154,-0.7308,-0.552,-1,0.2679,0.3743,0.1417,-1,0.2693,0.2643,-0.4732,0.501,-0.0844,0.4642,0.5545,0.2643,0.3792,-0.8012,-0.504,0.3803,-0.2726,0.574,0.2687,-0.255,0.1419,0.1507,0.2669,0.2724,-0.6472,0.261,0.3731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,-0.2216,0.1412,0.3378,0.3462,0.8224,0.591,-0.1824,0.9984,-1,0.1845,-0.6538,-0.428,-0.1768,-0.4226,-0.0994,0.9882,-0.9838,-0.0542,-0.745,-0.8942,-0.055,-1,-0.4334,-0.3466,-0.6416,-1,-0.6648,-0.6868,-0.175,0.9884,-0.0984,-0.2448,0.0504,-0.6822,-0.2834,-0.5936,-0.838,-0.3214,-0.091,0.8138,0.3507,-1,-1,-1,-0.408,-0.3994,-0.8702,-0.5708,-0.3778,-0.6358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,0.3479,-1,0.0965,0.5477,-1,0.3734,0.3076,0.9382,-1,0.0464,-0.8988,-0.8214,-0.6422,0.1005,0.3846,0.8586,-0.5712,0.3783,-1,-0.015,0.4257,-1,-0.8294,-0.718,-0.9014,0.0477000000000001,-0.8514,-0.8508,-0.6658,0.867,-0.611,-0.6628,-0.5574,-0.8402,-0.7374,-0.6812,-0.9038,-0.7346,-0.559,0.4386,0.0916999999999999,-1,-1,-0.9066,-0.8232,-0.8148,-0.9486,-0.8274,-0.7436,-0.5546,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,0.3479,-1,0.0958000000000001,0.5577,-1,0.3813,0.3074,-1,0.397,0.0484,-0.987,-1,-1,-0.8412,0.3811,-1,0.4336,0.389,0.633,0.5956,0.4111,-1,-0.9118,-0.986,-1,0.0489999999999999,-0.9746,-0.974,0.4936,-1,0.3812,-0.9042,-1,-0.9866,-1,-0.555,-0.7582,-0.975,-1,0.7332,0.0893999999999999,-1,-1,-0.925,-1,-0.9702,-0.9346,-0.8826,-1,0.2552,-0.6252,-0.837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,-1,-1,0.31,-0.7076,-1,0.5884,-1,-1,-0.5922,0.1677,0.1682,0.3055,0.532,0.3061,-0.9998,0.00340000000000007,-0.2694,-1,-1,-0.4938,-0.9428,-1,0.3106,0.4279,0.1682,-1,0.3085,0.3094,0.6774,-0.7774,0.5306,0.5257,0.6117,0.3034,0.4353,-0.1682,0.5138,0.4242,0.1108,0.6136,0.3055,-1,0.1658,0.1666,0.3105,0.3105,0.0192000000000001,0.3153,0.4249,-0.7698,-0.4966,0.3143,0.3089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,-0.9962,-0.387,0.607,-0.9444,-0.426,0.9294,-0.838,0.5446,0.7596,0.3629,-1,-0.6278,-0.00819999999999999,-0.0696,-0.9752,0.2782,0.2154,-0.966,-0.3196,0.7052,-0.991,-1,-0.1372,-0.2162,-1,-1,-0.5854,-0.5986,0.5182,-0.056,0.4672,0.1396,-0.0512,-1,-0.3896,0.1924,-0.0812,-0.0600000000000001,-0.3888,0.8208,0.6046,-0.7526,-1,-1,-0.6382,-0.319,-0.7884,-0.054,-0.4508,-0.6404,-0.4118,-0.7498,-1,-0.8966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,-0.732,1,0.4108,-0.899,0.9996,0.9866,0.3658,1,1,0.5639,0.1224,0.4632,0.8246,0.3292,-0.0165999999999999,0.9492,0.9184,0.2136,-0.5492,0.9998,-0.5996,1,0.136,0.2742,-1,-1,-1,-1,0.6688,0.9668,0.8852,0.5102,0.8136,-1,0.1428,0.5412,-0.0145999999999999,0.6152,0.8782,0.9608,0.8057,-0.118,-1,-1,0.3074,0.2856,-0.3536,0.2544,0.3358,-0.2466,-1,-1,-0.3268,-0.9726,-0.9354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,-0.3698,1,-1,-0.6628,1,0.9698,0.7788,1,0.9998,-1,-1,0.7782,0.1794,-1,0.5104,1,0.4446,0.7276,0.9142,0.9824,-0.5392,0.998,-1,0.1788,-1,-1,-1,-1,-0.4894,0.9992,-0.5038,-1,0.874,-1,-1,-0.4786,-1,-1,0.7652,0.996,0.6944,0.9986,-1,-1,0.3618,-1,-1,-1,0.498,0.303,-1,-1,-1,-0.656,-0.2986,-0.9998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,-0.9942,-1,0.3856,-0.9994,-0.0668,0.647,-0.8356,-1,0.7252,0.2145,0.2148,0.3815,0.6331,0.3789,-0.9658,-1,0.1106,-0.887,-1,0.618,-0.9982,-1,0.3699,0.5143,0.2199,-1,0.3844,0.3903,0.4786,-1,0.5278,0.6208,0.3824,0.3795,0.5223,0.0536000000000001,0.6261,0.5203,-0.044,0.0591999999999999,0.3827,-0.5446,0.2108,0.2157,0.3829,0.3863,0.254,0.3845,0.5299,-0.7896,-0.207,0.3856,0.3842,-0.9308,-0.9834,-0.9612,-0.7684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,-0.1896,0.9536,0.129,-0.3156,0.9818,0.9974,0.6534,1,1,-1,0.5096,0.864,0.749,0.4834,0.3212,0.9992,0.9996,0.6036,-0.7378,1,-0.004,0.9968,0.7178,0.8644,0.485,-1,0.3012,0.2492,0.9,0.9744,0.831,0.586,0.9774,0.1666,0.8512,-0.4628,0.3298,-0.1258,0.9326,0.9688,0.6332,0.9258,-1,-1,0.8244,0.7964,0.7954,-1,0.7838,-0.2196,0.9768,0.8816,0.3712,-0.5974,0.4792,0.9644,0.5778,-0.852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,-0.0666,1,-1,-0.1952,1,0.9864,0.11,1,1,-1,-1,0.3836,-1,-1,-0.2812,1,0.986,-0.2822,1,1,0.5102,1,0.6798,-1,-1,-1,-1,-1,0.2338,1,0.8734,-1,0.1282,-1,0.7066,-1,-1,-1,0.2974,0.983,0.8468,0.158,-1,-1,0.5806,0.7288,-1,-1,0.7294,0.5438,-1,-1,-1,-1,-1,0.9794,1,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,-0.9992,-1,0.4448,-0.9694,0.4378,0.8048,-0.8798,0.6184,0.8684,0.2632,0.2563,0.4506,0.714,0.4536,-0.979,0.452,0.7408,-0.95,-0.3342,0.8518,-0.9958,0.839,0.4469,0.598,0.2584,-1,0.4574,0.4557,0.805,-0.5888,0.7004,0.7047,0.553,0.4602,0.6029,0.2462,0.7147,0.5963,0.2832,0.2918,0.4489,0.147,0.2581,0.2581,0.454,0.4546,0.4186,0.4593,0.5972,-0.6282,0.1256,0.4558,0.4487,-0.9998,-0.9968,-0.317,0.2748,-1,-0.1524,-0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,-0.997,-1,0.3004,-0.9966,-1,0.528,-0.9116,-1,0.9066,0.167,-0.6742,-0.4402,-0.0659999999999999,-0.4466,-0.985,-1,0.432,-0.955,-0.6518,0.8226,-0.9578,0.8244,-0.5572,-0.462,-1,-1,-0.7576,-0.815,0.2938,-1,0.3524,-0.3028,-0.053,-1,-0.6148,-0.3542,-0.1992,-0.3356,-0.0164,-0.5266,0.3102,-1,-1,-1,-0.5096,-0.494,-0.4402,-0.509,-0.5092,-0.8682,-0.3686,-0.3946,-0.879,-0.9994,-0.994,-0.8854,-0.5434,-1,-0.7074,-1,-0.992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,-0.7358,0.99,0.2164,-0.9178,0.3658,0.998,-0.3138,1,1,0.609,-1,0.6248,0.9142,0.568,-0.8988,0.9898,0.9912,-0.4616,-0.982,1,-0.4736,0.9914,0.4596,0.5426,-1,-1,-0.083,-0.1146,0.68,0.8852,0.9744,0.7546,0.8718,-1,0.2862,0.8258,0.5408,0.7524,0.962,0.9502,0.8546,0.847,-1,-1,0.4046,0.3838,-0.214,0.5104,0.385,-0.1082,0.4818,0.0116000000000001,-1,-0.9542,-0.941,0.4718,0.5984,-1,-0.3932,1,-0.7676,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,-1,0.9998,-1,-0.7656,0.9998,0.9772,0.0618000000000001,1,0.9722,-1,-1,-1,-1,-1,-0.3902,1,0.6984,-0.4198,0.8234,0.4116,-1,0.8408,-1,-1,-1,-1,-1,-1,0.0289999999999999,0.8742,-0.0806,-1,-1,-1,-1,-1,-1,-1,-1,0.9752,0.8336,0.999,-1,-1,-1,-1,-1,-1,-1,-0.0387999999999999,-1,-1,-1,-1,-0.6948,-0.6478,0.9848,-0.3376,0.8262,0.9502,0.388,-1,0.2646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,0.3495,-1,0.0952999999999999,0.5491,-1,0.3764,0.3087,-1,0.6494,0.0471999999999999,-1,-0.9866,-0.8724,-0.8452,0.3852,-1,0.442,0.3871,0.7706,0.692,0.411,-1,-0.8852,-0.8948,-1,0.0481,-0.968,-0.972,0.4839,0.3134,0.3834,-0.8176,-1,-1,-0.9372,-0.5248,-0.7442,-0.8572,-0.864,0.7386,0.0938000000000001,-1,-1,-1,-0.9984,-0.921,-0.8842,-0.8624,-0.9964,0.2665,-0.482,-0.8212,-1,0.3044,-0.6972,0.1504,0.377,0.3836,0.6764,0.6094,0.4492,-0.6292,0.0414000000000001,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,0.1911,0.8474,0.0509999999999999,0.3229,0.8216,0.2148,0.1741,0.9362,0.499,0.026,-0.9548,-0.9222,-0.8488,0.05,0.2223,0.8304,0.5269,0.217,0.5832,0.4132,0.2348,0.8938,-0.9392,-0.9202,-0.954,0.0245,-0.9686,-0.967,0.2903,0.401,0.2108,-0.8786,-0.8886,-0.9452,-0.9472,-0.8018,-0.8772,-0.9012,-0.789,0.4826,0.0494000000000001,0.683,-0.9586,-0.9526,-0.9412,-0.9556,-0.9682,-0.9228,-0.9584,0.1413,-0.7152,-0.9028,-0.9722,0.1593,-0.8926,0.0538000000000001,0.57,0.2092,0.4782,0.6818,0.2565,-0.6952,0.1494,0.7512,-0.9758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,0.469,-1,0.1432,0.7056,-1,-0.2206,0.4297,-1,-0.1054,0.0685,-0.956,-0.9898,-0.972,-0.8756,0.5193,-1,0.0316000000000001,0.5221,0.6358,0.2506,0.5646,-1,-0.9516,-0.986,-0.9506,0.0752999999999999,-0.9418,-0.9422,0.012,0.1524,-0.2338,-0.9702,-0.961,-0.9972,-1,-0.4218,-0.682,-0.9636,-0.9638,0.8695,0.1398,-1,-1,-0.9098,-0.99,-0.9606,-0.8056,-0.8666,-0.9828,0.3722,-0.5506,-0.795,-0.9734,0.4253,-0.7234,-1,-1,0.5195,0.4926,-1,0.6088,-0.9318,-0.2522,-1,-0.9798,-0.9506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,0.185,0.8518,0.0485,0.3239,0.8158,0.2086,0.1664,0.9248,0.499,0.0233000000000001,-0.9502,-0.9164,-0.8436,0.0459000000000001,0.22,0.815,0.5222,0.2198,0.573,0.4112,0.2386,0.8604,-0.933,-0.9156,-0.955,0.0216000000000001,-0.9586,-0.9568,0.284,0.4022,0.2177,-0.8798,-0.8906,-0.9476,-0.9466,-0.7976,-0.8802,-0.8938,-0.7854,0.481,0.0502,0.677,-0.9484,-0.95,-0.9378,-0.9478,-0.9658,-0.926,-0.9656,0.1445,-0.7146,-0.91,-0.968,0.1706,-0.899,0.0334000000000001,0.5618,0.2148,0.4944,0.658,0.2564,-0.6914,0.1554,0.7488,-0.9818,-0.9514,-0.9502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,0.1925,0.8534,0.0459000000000001,0.3277,0.834,0.213,0.1679,0.9454,0.5062,0.0230999999999999,-0.9532,-0.9126,-0.837,0.0455000000000001,0.2191,0.8128,0.5183,0.2044,0.5808,0.4316,0.2409,0.963,-0.9442,-0.9144,-0.9522,0.0238,-0.9868,-0.9928,0.2839,0.476,0.2177,-0.9006,-0.8408,-0.9688,-0.94,-0.8118,-0.8912,-0.912,-0.779,0.4793,0.0475000000000001,0.6794,-0.9522,-0.957,-0.9224,-0.943,-0.9506,-0.9362,-0.9208,0.1424,-0.7028,-0.9052,-0.9828,0.1674,-0.7382,0.0371999999999999,0.5756,0.2135,0.4898,0.747,0.2556,-0.705,0.2156,0.752,-0.9476,-0.9542,-0.9748,-0.9566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,-0.9994,-1,0.3915,-0.9494,-1,0.6204,-0.9982,0.6026,0.3066,0.2187,0.2157,0.3867,0.6351,0.3801,-0.9998,0.8058,-0.183,-1,0.192,0.3528,-0.9984,0.7948,0.3779,0.5186,0.2072,-1,0.3843,0.3809,0.747,0.0278,0.6474,0.6323,0.3456,0.3868,0.5188,0.0202,0.6276,0.5163,0.208,0.3326,0.3881,-0.1018,0.2144,0.2181,0.3865,0.3835,0.2174,0.3815,0.5222,-0.7792,-0.4274,0.3847,0.3894,-0.9948,-0.9944,-0.6036,0.2858,-0.967,0.31,0.1514,-1,-0.9834,-0.4102,0.1494,0.3773,0.2158,0.5152,0.2105,0.2161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
