,711_P-1-S,711_P-1-M,711_P-1-D,711_P-2-S,711_P-2-M,711_P-2-D,711_P-3-S,711_P-3-M,711_P-3-D,712_P-1-S,712_P-1-M,712_P-1-D,712_P-2-S,712_P-2-M,712_P-2-D,712_P-3-S,712_P-3-M,712_P-3-D,713_P-1-X1,713_P-3-M,713_P-3-X1,714_P1_20-24,714_P1_30-34,714_P1_40-44,714_P3_30-34,714_P3_40-44,714_P3_50-54,714_P3_60-64,714_P3_70-74,715_P1_1-5,715_P1_10-14,715_P1_20-24,715_P1_30-34,715_P2_1-5,715_P2_10-14,715_P2_20-24,715_P2_30-34,715_P3_1-5,715_P3_10-14,715_P3_20-24,715_P3_30-34,716_P1_1-5,716_P1_10-14,716_P1_30-34,716_P2_1-5,716_P2_10-14,716_P2_20-24,716_P2_30-34,716_P3_1-5,716_P3_10-14,716_P3_20-24,716_P3_30-34,717_P1_1-5,717_P1_10-14,717_P1_20-24,717_P2_1-5,717_P2_10-14,717_P2_20-24,717_P3_1-5,717_P3_10-14,717_P3_20-24
714_P3_70-74,0.653767836239987,0.681437140672235,-0.104192168905455,-0.15150615499681,0.661790468149421,-0.0654672635320385,0.170624929192561,0.871060498011609,0.931742783421102,0.266860127140061,0.659770003087211,-1.72866788545438,0.586280838303451,0.486784204538377,0.594255694405389,0.158919824666402,0.781724417596296,-0.698205439465249,1.0357982766982,0.402318526873362,0.902228543947191,-0.398851551880654,1.18412426752307,-0.417433260647613,0.0452369081072822,0.538475074345209,-0.62342258272799,-0.513075575737369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_P1_1-5,-0.623571759003239,-1.39638276547974,-1.43736541524799,-1.1236266145846,-0.9677618605997,-0.884655017661478,-0.445529559246096,0.202516294196588,0.106843105545119,-0.413633323047642,-0.583294025729317,-1.14224859895868,-0.760170814227483,0.440150989257673,2.01369059568895,-0.780899435511323,-0.510791111564458,-1.02266981548395,-1.0555602778482,-1.14000464012538,-0.697817738679366,-1.54236623919335,-0.852348841496296,-1.26383833486074,0.390584055851396,0.238401872152707,-0.700274869956543,-0.232720912276177,0.401757618984542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_P1_10-14,0.491881078170274,-1.50127872575474,-1.27636031744437,2.23028104011706,-0.790294605695995,-0.528387727689212,0.11452151996713,0.343119190561103,-0.509626004463406,-0.321446921964796,-0.521996036343519,-0.76344297122604,0.36462708959156,-0.863308018346465,1.35164700146438,-0.171238721582278,-1.17229400963218,-0.677783328148913,-0.737494124602621,-0.890863976487262,-0.31474947253568,-1.28648672084421,-0.567685821842674,-1.31113550033793,0.184683365292414,-0.374060878585758,-0.39321636331757,-0.354027649027418,0.0343987105256355,0.127694673500737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_P1_20-24,1.51028002568986,-1.70462048670134,-1.06690112496214,3.62393650944618,-1.16856602030226,-0.622133532367988,0.629540811633901,-0.542585911104312,-0.552770675868414,-0.306419423457749,-1.01969705159574,-0.741529557685158,0.447117896150367,-1.25905321839589,1.27156563544387,0.157182268620053,-1.27317229539387,-1.07663194925933,-0.719111703180593,-0.995285145524801,-0.780190858405295,-1.08823764815103,-0.197910387359005,-1.17349449563129,0.236936828884274,0.313441815322188,-0.734856315795287,0.28413287768782,0.13594411461449,0.347882328320712,-0.606478836563522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_P1_30-34,-0.29893633087936,-0.0295800517304331,0.587048197897339,0.186514837947751,-0.00785136809523144,0.372579014347343,2.60576846211594,1.11529873441335,2.0093085210983,-0.693289098653314,1.22356563437253,0.635525500736867,-0.520732076916992,-0.0768562515848759,2.0776263767196,-0.164635544981093,0.550506435574699,-0.394954205788751,0.357344900996648,0.070781908484297,0.791173146049633,0.383394831269672,0.376146869014824,-0.704261845791151,1.08862811993197,1.13512327774099,0.292500184717585,1.74132073246257,0.811910376282079,0.942137150607495,-0.849690628820235,-1.95730185222146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_P2_1-5,-0.665086685426463,-1.95084717390795,-1.00082104801837,0.0751007592154637,-1.59960435266979,-0.419232655605849,1.12469729628332,-0.337825795512045,1.72265338747958,-1.19789893223847,-0.811422758488369,-0.566625033905632,-1.60560127703201,-0.768971231115599,2.34376958658545,-0.907065321732388,-1.33126081436611,-0.488300129775655,-0.870574662787261,-1.69020646868985,-0.354786803374541,-2.00010398394818,-0.619491082049185,-1.22827023510222,-0.270486238151185,1.08030898190352,-0.400082579099768,0.727679267856888,0.321694640411509,-1.25737142900324,-0.00537803876379896,0.39774243155752,-0.612816530249273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_P2_10-14,-1.04605027752318,-0.504279093801882,-0.0766603706335218,-0.242163526631525,0.00441591663713513,-0.388118157928765,1.64143402091045,-0.393124912017571,1.23327262037652,-1.01162356932414,0.38157663548469,0.379889547420837,-1.01449874397678,0.0513014792127316,1.68636292030553,-0.920355015977093,0.0701203788456125,-0.719707793288466,-0.331664601993328,-1.18427278068685,-0.0187437038826107,0.159272320302262,0.156237915982138,-1.01744404831479,0.39120473568899,1.04301566144266,-0.316191774585974,1.07851615574793,0.365243543509213,-0.558872898073458,-0.740030365554376,0.0178950275081964,0.256940895083657,-1.1148463776193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_P2_20-24,-1.89595454419411,-0.76655096775707,-1.80197646789223,0.204352044281152,1.02017305930357,-1.20371904636837,1.21080253574234,0.699925032121395,0.575246847545663,-1.02120447337538,0.570090141667009,-0.116459099823035,-1.61626513561331,-1.01145619402914,1.22915140276197,-1.39909753931077,-0.617706903415471,-1.40989131183688,-0.60150423347789,-1.23769348504493,-1.16279656949728,-1.13498580452322,-0.219793702756043,-1.97792683567228,-0.394863453353689,0.711423434316541,-1.12486841191449,0.466070777717014,0.0382430376454525,-1.47350870974952,-0.721236834489996,-0.959405892185187,-0.745618419868257,-1.84307357359326,-0.172207861608861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_P2_30-34,0.181000174822454,-0.351517213182899,-1.35131814539352,0.446561082972079,-0.222450796789633,-1.25669132228694,1.65085550541801,-1.01940406441456,-0.100339895040428,0.321073751087253,-0.795231252157109,-1.40387958604975,-0.0540669507088131,-0.723832827868648,-0.79427256859052,-0.0505238942163004,-0.709287936467396,-1.12136305373297,-0.703763369037868,-1.12102502035857,-0.703829906389654,-1.01761880224356,-0.79154626230924,-1.20479887748232,-0.586196918861575,-0.248450124052952,-1.02202057363188,-0.450093680791718,-0.223034499056608,-0.444344554185537,-0.0385617936182162,-0.798587117103925,-0.228825024762641,0.108491182203871,-0.858790260893183,-0.927341623380888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_P3_1-5,-1.06306152269193,-1.42354891023386,-1.57157362981952,0.653447127223171,-1.01190870197651,-0.818909958509646,0.128963473955366,-0.0913771146893606,0.707150229493834,-1.21050099027645,-0.58100304186736,-0.795219859342376,-1.06009763044933,-0.858669957895818,1.27850287053484,-0.842956034469805,-0.97625842305412,-0.932335848427447,-1.07041850112837,-1.14650058673721,-0.570177920576217,-1.34125761021053,-1.02166955110256,-1.79576779597179,-0.467628916733905,0.786871506770763,-0.555414328584538,0.104326093172825,0.241097570568095,-1.17129018378556,-0.494923778860996,-0.282024636285576,-0.535238576922903,-1.26292891047009,-1.20344721380823,-1.10607561534043,-0.299129227784847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
