,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
24,0.6592,0.8748,0.9668,-0.931,0.9756,0.7516,-0.9836,-0.6514,0.153,0.1812,0.9396,0.268,0.7888,1,1,0.4872,0.9744,0.4292,1,0.0198,0.9996,0.9946,-0.3838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,-0.5784,0.8294,0.5166,0.2618,-0.9576,0.4098,-0.8598,-0.3522,0.9362,-0.9982,0.6308,-0.1386,-0.3468,0.966,0.9732,-0.2654,0.4474,0.3548,0.5822,-0.895,0.5272,0.504,0.8902,0.3914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,-0.9554,0.9656,0.9106,0.9542,0.969,0.7642,0.024,0.6434,0.9996,0.5154,0.8156,0.7522,-1,0.9874,0.9884,0.3472,0.9972,0.8532,0.7916,-0.1736,0.9034,0.9828,0.9984,0.9234,0.4624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,-0.9846,0.1972,0.1178,0.4898,0.992,0.0571999999999999,-0.2512,0.3918,0.8114,0.4176,0.5992,-0.5122,-0.901,0.715,0.759,0.2316,0.9618,-0.281,0.9488,0.0680000000000001,0.9262,0.8752,0.7782,0.4822,0.4146,-0.3638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0.0294000000000001,0.944,0.8966,0.9552,1,0.9274,-0.9266,0.6232,0.8994,0.7146,0.9868,0.49,0.6542,0.9992,0.9998,-0.0588,0.9876,0.275,1,0.3268,0.9992,0.9568,0.9838,0.987,0.8732,0.88,-0.492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,-0.3756,0.9886,0.9194,0.952,1,0.9856,-0.9622,0.6684,0.9986,0.8594,1,0.7142,0.3148,0.9968,0.9954,0.0218,0.9984,0.9494,0.9996,0.00279999999999991,0.999,0.9892,0.999,0.9576,0.9252,0.8606,0.7464,0.9836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,-0.4086,1,0.9996,1,1,0.999,0.337,0.8776,1,0.9376,1,0.8068,-1,0.9976,0.996,-0.156,1,0.9998,0.9674,-0.5384,0.9992,0.999,1,1,0.9092,0.0232000000000001,0.9772,1,0.998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,-0.6184,1,1,1,1,1,0.584,0.974,1,0.9932,1,0.8506,-0.1324,0.9882,0.9868,0.8698,1,1,1,-0.7036,1,1,1,1,0.992,0.9628,0.9966,1,1,0.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,-0.66,0.6758,0.1298,0.5164,0.9164,-0.5202,-0.6536,-0.7646,0.7914,0.3486,0.5898,-0.0492,-0.014,0.8062,0.8596,-0.9674,0.2852,-0.358,-0.2374,-0.4384,0.3606,-0.359,0.84,0.8718,0.121,0.1766,0.0931999999999999,0.6406,0.756,0.3442,0.974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,-0.028,0.7906,0.912,-0.9656,0.991,0.8176,-0.9898,0.1838,-0.497,-0.0614,-0.5126,-0.1196,0.52,0.997,0.9986,-0.00700000000000001,0.9442,0.8724,0.9726,-0.4642,0.9734,0.9794,-0.1938,0.6572,0.2408,0.8002,0.152,0.8022,0.9628,0.9996,1,0.4868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
