,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
26,-1,-1,-0.9852,0.2434,0.891,-0.9138,-0.8258,-0.5932,-0.249,0.9936,-0.289,0.8522,-1,-1,-1,-0.9818,-0.892,-0.9014,-0.6248,0.9752,-0.4678,-0.4072,0.6092,0.976,-0.9998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,-1,-0.7648,-0.0806,0.9996,1,0.9792,-0.9792,-0.9812,0.5626,1,0.99,1,-1,0.9734,0.988,-0.9124,-0.4332,-0.6158,1,1,-0.9264,0.874,1,1,-0.8392,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,-1,0.1058,0.9006,1,1,0.98,-0.9244,-0.8068,1,1,0.9974,1,-1,0.9998,1,-0.0610000000000001,0.3148,0.9806,1,1,-0.4414,0.9996,1,1,-0.5894,-0.9914,0.7614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,-1,0.9388,0.9012,1,1,0.9934,0.4674,0.4098,1,1,0.9994,1,-1,0.9962,0.9976,-0.1044,0.9002,0.9486,1,1,0.3396,1,1,1,-1,-1,0.9046,0.9852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,-0.9882,-0.996,-0.978,0.0888,0.5538,-0.7548,-0.853,-0.9994,-0.8936,0.3916,-1,-0.2684,-1,-1,-1,-0.994,-0.9996,-0.8518,-0.025,-0.4232,-1,-0.7742,0.4054,0.8386,-0.9514,-0.9306,-0.9208,-0.676,-0.7346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,-0.9974,-1,-1,-1,0.9166,-0.9946,-1,-0.826,-0.9998,0.9984,-1,0.5762,-1,-0.7902,-0.735,-0.9588,-0.9976,-1,-0.00539999999999996,0.973,-0.3794,-0.9996,-0.736,0.9538,-0.9604,-0.9926,-0.9998,-0.9174,-0.2822,-0.6844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,-1,0.2998,0.9668,0.9984,1,0.9998,-1,-1,0.8886,1,0.988,1,-1,0.9996,0.9996,-1,0.4722,0.9516,1,1,-0.9392,0.6664,1,1,0.2128,0.0247999999999999,0.803,0.9944,0.9996,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,-1,1,1,1,0.9856,1,0.3938,0.6358,1,1,1,1,-1,1,1,0.7474,1,1,1,0.9996,0.9962,1,1,1,-1,0.9428,1,1,1,0.6594,0.9532,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,-1,1,1,1,1,1,0.5472,0.363,1,0.8142,1,1,-1,1,1,-0.1474,1,1,1,0.8866,0.992,1,1,0.702,-1,0.9866,1,1,1,0.281,0.9562,1,0.9994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,-0.9896,-0.9214,-0.7666,-0.1858,-1,-1,-0.9658,-0.9078,0.1666,0.5678,0.3672,0.2058,-0.961,0.1876,0.2034,-0.9386,-0.9192,-0.569,-1,-0.2204,-0.9798,0.056,0.592,0.0344,-0.9452,-0.9886,-0.5626,0.0509999999999999,-1,-0.8922,-0.9426,0.2356,-1,0.1244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,-1,-1,-1,-1,0.965,-0.9824,-0.944,-0.7636,0.2174,0.985,0.2066,0.8834,-0.9008,0.3676,0.388,-0.993,-0.9726,-0.9976,0.6938,0.82,-0.58,0.4278,0.754,0.9516,-0.9822,-0.9884,-0.9372,-0.907,0.0864,-0.9272,-0.97,-0.7476,0.9896,0.9564,-0.9982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,-1,0.9872,0.9848,1,1,1,-0.0926,-1,1,1,0.9666,1,-1,1,1,-1,0.9892,1,0.9998,0.8668,0.5352,1,1,1,-1,-1,0.9532,1,0.9988,-1,0.1444,0.9998,1,1,-1,-0.4714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
