,711_E-1-S,711_E-1-M,711_E-2-S,711_E-2-M,711_E-2-D,711_E-3-S,711_E-3-M,711_E-3-D,711_P-1-D,711_P-2-D,711_P-3-D,711_S-1-S,711_S-1-M,711_S-1-D,711_S-2-M,711_S-2-D,712_E-1-M,712_E-1-D,712_E-2-S,712_E-2-M,712_E-2-D,712_E-3-M,712_E-3-D,712_P-1-M,712_P-1-D,712_P-2-D,712_P-3-D,712_S-1-D,712_S-1-X,712_S-2-D,712_S-2-X,712_S-3-S,712_S-3-D,712_S-3-X,713_E-1-S,713_E-1-M,713_E-1-D,713_E-1-X0,713_E-1-X1,713_E-2-D,713_E-2-X0,713_E-2-X1,713_E-3-M,713_E-3-D,713_E-3-X0,713_E-3-X1,713_P-1-X1,713_P-3-X1,713_S-1-M,713_S-1-D,713_S-2-M,713_S-2-D,713_S-2-X0,713_S-3-S,713_S-3-M,713_S-3-D,713_S-3-X0,713_S-3-X1,714_E1_1-5,714_E1_5-9,714_E1_20-24,714_E1_30-34,714_E2_1-5,714_E2_5-9,714_E2_20-24,714_P1_20-24,714_P1_30-34,714_S1_10-14,714_S1_20-24,714_S1_30-34,714_S2_1-5,714_S2_5-9,714_S2_20-24,714_S3_1-5,714_S3_5-9,714_S3_10-14,714_S3_20-24,715_E1_1-5,715_E2_1-5,715_E2_20-24,715_E2_30-34,715_E3_1-5,715_S1_10-14,715_S1_20-24,715_S2_20-24,715_S3_20-24,716_E1_10-14,716_E1_20-24,716_E1_30-34,716_E3_30-34,716_P1_30-34,716_P2_20-24,716_P2_30-34,716_P3_1-5,716_P3_20-24,716_P3_30-34,716_S1_1-5,716_S1_10-14,716_S2_1-5,716_S2_10-14,716_S3_10-14,716_S3_20-24,716_S3_30-34,717_E2_1-5,717_E3_1-5,717_E3_10-14,717_E3_30-34,717_P1_20-24,717_P2_10-14,717_P2_20-24,717_P3_20-24,717_S2_1-5,717_S2_10-14,717_S2_20-24,717_S3_1-5,717_S3_10-14,717_S3_20-24
714_E1_30-34,0.0599778545924683,0.260749113313788,0.163335421965562,-0.701241897892401,-0.669032999361963,0.753567857891758,1.44177468812943,0.315338513948903,0.546045432315174,-0.644301289067363,1.13574584869533,1.48622683635932,1.12319022324456,0.846145304677863,0.458009422910766,-0.534927734424472,0.0599778545924683,-0.753163108514045,0.736769253233027,0.81877316782122,-0.767577181425222,-1.21314190437221,-0.117364376213108,1.48622683635932,1.17359165142397,1.18703796817056,-0.451461284301436,-0.052470466601389,0.0868057646951764,0.866328673424341,-0.633482102917497,1.48622683635932,1.48622683635932,1.48622683635932,0.905441828056373,1.20649867466057,-0.64645340424731,-0.907300655220665,-0.67673703835492,0.260749113313788,0.159878261107724,-1.19977174977198,0.260749113313788,-0.925663767344216,-1.10063246704707,-0.146098793596024,1.35378342350129,1.31808722296448,0.625730949464245,0.0599778545924683,-0.052470466601389,-0.534927734424472,0.478666808107608,1.48622683635932,0.794024462108607,0.722466546730256,1.48622683635932,2.11813441963002,0.753567857891758,1.19514090260355,-0.380013043917129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_E2_1-5,0.634189955675391,0.362187424326842,0.613970176854938,0.684323545301254,0.84142632191281,NA,0.266238578698619,0.608861507566109,0.983803181722354,1.3067285258105,1.33878422230328,0.320081540235785,0.472568423764257,0.289284720951771,0.332358196285526,-0.105351652329916,0.634189955675391,0.918933626431623,0.433301026491035,0.434582835341459,0.887966784311667,0.314097234990104,0.620388966452008,0.320081540235785,1.35732476441078,0.778574906160534,0.487832447776415,0.20775723195015,1.03274192876498,0.297145158235787,0.532335546612247,0.320081540235785,0.320081540235785,0.320081540235785,0.362187424326843,0.624460728713651,0.670751553598244,1.24010471503177,0.765178887606048,0.362187424326842,0.614076743046415,1.27045732532547,0.362187424326842,1.13131989575471,1.03945079558456,0.97090149539946,1.10237326718816,1.14513696959554,0.644496129076431,0.634189955675391,0.348761897078994,-0.105351652329916,0.841628548408216,0.320081540235785,0.270405461185604,0.247525515469847,0.320081540235785,0.600727030196777,NA,0.67499373318597,0.858035305193134,0.753567857891758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_E2_5-9,0.356504287618186,0.356504287618187,-0.415903633573085,-1.08092450188705,-1.02150710097985,0.687646078722938,1.30368491899877,-0.151147155387678,0.52927216809534,-0.958181252854244,1.50421618053341,1.35188283839067,0.76610468361925,0.648097624708849,0.248798131791737,-0.20186056257833,0.356504287618186,-1.62687812407675,0.380587712344236,0.532347754176277,-1.36998509442668,-1.88459399356631,-0.811301811444747,1.35188283839067,1.52252688295015,1.31296846870359,-0.713563345132336,0.0472899058005249,-0.0949360336420411,0.677371451432785,-0.443935622778102,1.35188283839067,1.35188283839067,1.35188283839067,0.925335668304445,1.31596316673388,-0.708010033821794,-1.52123375651236,-1.14335826301051,0.356504287618187,-0.421475106879574,-2.01069541108935,0.356504287618187,-1.81561995127315,-1.32902398717391,-0.756966113111408,1.50345360638579,1.47841574169507,0.45499604556509,0.356504287618186,0.0492274035191034,-0.20186056257833,0.675612856952201,1.35188283839067,0.577371488082303,0.491447132020076,1.35188283839067,1.86202626085811,0.687646078722938,1.12320910709955,-0.584141321877417,-0.252361513348607,0.687646078722938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_E2_20-24,0.588375574595764,-2.31168566719626,NA,0.258418561043976,0.611978040682367,0.601750221063837,1.19114845253842,NA,1.15586649960801,1.18309213036063,2.06679080586106,1.24565409424855,0.706780393037275,0.592031106907461,0.284679649987206,-0.21693908514219,0.588375574595764,0.739696094636534,0.723124222124907,0.723124222124907,0.120668289296737,-2.31168566719626,NA,1.24565409424855,2.09617369712444,1.5094138521368,0.913989001799642,0.123164550954698,1.07149029428466,0.62046756181958,0.473940419427237,1.24565409424855,1.24565409424855,1.24565409424855,0.262160913820049,0.840470996888128,0.0637918922971115,0.570993089689921,0.745574768710157,-2.31168566719626,NA,0.134691319946695,-2.31168566719626,0.308559968029621,-0.502981132894601,0.355601568005979,1.66077151123784,1.85369257904102,0.655192520221238,0.588375574595764,0.277353084965089,-0.21693908514219,1.28469545478406,1.24565409424855,0.523854361641195,0.441798070994355,1.24565409424855,1.68937746597336,0.601750221063837,1.07394023763951,0.590234924489828,0.500619069564611,0.601750221063837,0.226457533404084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_P1_20-24,-0.0151113875667785,1.21134767893047,1.79599331281032,1.25265990428892,0.438642785056623,1.46129464343656,-0.735367224562506,1.74114198263344,1.08836629672776,-0.966091822220597,-0.242494455465919,-0.869182708891244,-0.984130435852552,-1.09943586586173,0.272480474677578,0.328874035644357,-0.0151113875667785,1.20126998688848,2.4046074410187,2.41733204537746,1.16215487234486,1.16879253074085,1.88211571072854,-0.869182708891244,-0.640452005098553,-0.313391760637277,-0.791475971221059,0.425613022972369,-0.828049682350138,-1.15303799996097,-1.45291998230732,-0.869182708891244,-0.869182708891244,-0.869182708891244,1.81958688094587,1.1902104557573,0.224433873450003,1.22518657183483,-0.561905026908858,1.21134767893047,1.79721120918263,1.36754874125375,1.21134767893047,1.70967053311045,1.3656634094705,2.25816281498335,-1.20107243849365,-0.989506014486717,-0.522854595563146,-0.0151113875667785,0.289902542304933,0.328874035644357,-1.14680283238335,-0.869182708891244,-0.963365753634889,-0.78923385333256,-0.869182708891244,-0.0253510760435587,1.46129464343656,-0.87180376975246,0.0830874046078648,0.838859293625879,1.46129464343656,0.990431573809603,1.67297476901244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_P1_30-34,0.446618450017569,-0.345950681449822,0.152281183588432,-0.0775758466101114,-0.432114187066345,0.779778920339783,1.71663944354732,0.105999586899996,0.891332239195971,0.356478148999093,0.574763943467475,0.100764859053099,-0.18328024163182,-0.476048950368981,0.326176154178804,-0.51198598309596,0.446618450017569,0.621354954144059,0.705808130162494,0.829729108928145,-0.291062226794752,0.32511256200512,0.274018738476765,0.100764859053099,0.317819593017871,-0.339946152164765,-0.205531958611264,0.120643345451644,-0.0799940075541824,-0.494162743410076,-0.971925858728744,0.100764859053099,0.100764859053099,0.100764859053099,0.120721853889035,-0.119837472348329,-0.743584790547114,0.777394614080684,-0.822820553625644,-0.345950681449822,0.153452276682678,-1.1307417008084,-0.345950681449822,0.906538480137405,0.861358103288284,0.775436149886775,-0.321529503765405,0.0542938064413861,0.518347220005511,0.446618450017569,0.309053505960633,-0.51198598309596,-0.336274068745411,0.100764859053099,-0.429202198658248,-0.36473777786977,0.100764859053099,0.540215164311929,0.779778920339783,0.843270995700733,0.465104612823563,0.486250346597476,0.779778920339783,-0.0548918560332523,0.0598300962750124,0.576219358074304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S1_10-14,-0.365635817334395,-0.412102102053282,-0.225384774415371,-0.347627956887218,-0.0947113608582128,-0.105351652329916,0.450018307746623,-0.221622666977075,0.663403428536914,-0.869805973684916,0.711231232258258,0.49638400355462,0.369869344587667,0.496384003554621,-0.00651149313362959,NA,-0.365635817334395,-0.227841379558176,-0.016928785893989,0.00315360372457987,-0.0453948220142447,-0.445801329006879,-0.231925296503991,0.49638400355462,0.785116773766236,0.362156630417699,-0.824468123133332,-0.365635817334395,-0.0171984740293356,0.49638400355462,-0.452180207683236,0.49638400355462,0.49638400355462,0.49638400355462,-0.152586067765535,-0.0198265705003037,-0.231949432810326,0.0677100872388037,0.168141304104388,-0.412102102053282,-0.225469311459456,0.114374402768018,-0.412102102053282,-0.0959011092475362,-0.0460005728848401,-0.0107347756065682,0.562365650254654,0.630936789964187,-0.284368320597638,-0.365635817334395,-0.365635817334395,NA,0.151543989211624,0.49638400355462,0.49638400355462,0.49638400355462,0.49638400355462,0.794826744145454,-0.105351652329916,0.0198309559371518,-0.553992921965253,-0.534927734424472,-0.105351652329916,-0.20186056257833,-0.21693908514219,0.328874035644357,-0.51198598309596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S1_20-24,1.23706039613718,0.938900931415769,1.26327927187264,1.37144832847657,1.54019901007634,0.312574136448982,-2.57524775865737,1.25075297955559,0.226744889651208,1.38712932660335,-1.46631046575111,-2.74907728502394,-1.79733100226294,-2.243369001874,0.588028969760233,0.47635021777209,1.23706039613718,1.66477943611442,1.03111024566947,0.988185160187475,1.59782360373275,0.911628957222847,1.28051313017556,-2.74907728502394,-2.00844552098715,-1.74946523292151,1.40607649302521,0.858893891194293,1.57960726350585,-2.30175253127202,1.13144263327199,-2.74907728502394,-2.74907728502394,-2.74907728502394,0.829460685610395,0.938900931415769,1.323340526538,2.11252687198325,2.18250157764623,0.938900931415769,1.26354542234089,2.16065854584935,0.938900931415769,1.92178283718462,1.8563649872704,1.8072513377581,-2.65403454168039,-2.18893112415718,-0.761703017844738,1.23706039613718,1.01753758429648,0.47635021777209,1.41047936690596,-2.74907728502394,-2.10264429948149,-1.93120074438236,-2.74907728502394,-2.74907728502394,0.312574136448982,-1.27083010796249,1.59117646427504,1.47723551409377,0.312574136448982,1.35088426281292,1.2337497279425,1.08488952741118,0.092552326352918,0.47635021777209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S1_30-34,-0.287682926591034,0.855829981792085,1.29427818266478,0.690657518847319,1.653155815448,0.86017969720217,-1.28781958952369,1.26602949231271,-0.312418986595113,-1.98108792109016,-0.583794028338719,-0.0686510500126501,-0.729563215319701,-0.60186544612291,-0.228152278043503,0.103089239914555,-0.287682926591034,0.553815690668297,1.52330611706352,1.52127385741499,1.79143612941861,0.837053380224245,1.33707550334629,-0.0686510500126501,-1.2205680059508,-1.0444794978568,-1.12715517687251,0.0951349270809387,-1.77851099117751,-0.631792753075939,1.45693440689401,-0.0686510500126501,-0.0686510500126501,-0.0686510500126501,1.1705738262717,0.633099151445829,1.30964218967706,-0.615632428347953,-0.646438651478088,0.855829981792085,1.29489646070925,0.20023118509473,0.855829981792085,-0.0690752754740058,-0.35888990579579,0.118177058387351,-1.64510498689133,-1.72678119314409,-0.781993049958798,-0.287682926591034,-0.041530748819702,0.103089239914555,-2.38808728847151,-0.0686510500126501,-0.537887609125514,-0.472636233586644,-0.0686510500126501,1.49177707061685,0.86017969720217,-1.48512159267972,0.413756404503827,0.317738918536566,0.86017969720217,0.509462823053621,1.22981024047151,-1.90629471916648,-0.337302812558382,0.103089239914555,0.477310460539083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S2_1-5,1.24660719234088,0.948983596746852,1.27650866119668,1.39810466346667,1.56679855959545,0.320081540235785,-2.54589242646719,1.26333608133192,0.242052137294285,1.42972138513494,0.0515466279901147,NA,0.845573273414465,0.49638400355462,-0.938427767706159,0.49638400355462,1.24660719234088,1.67400843041098,1.0484193572526,1.00672272527676,1.61828412751286,0.932157934969011,1.29525634072744,NA,1.06132294242749,-0.448624141744632,1.41301398208333,0.872510761452647,-1.0634833742562,0.49638400355462,1.15107500214594,NA,NA,NA,0.841255981538718,-1.5495870195729,1.33794135929726,2.11421768938945,2.19953611158007,0.948983596746852,1.27679068235318,2.16956714875839,0.948983596746852,1.92542311284449,1.87043720492059,1.82564791796713,-2.30161906819153,1.04522423474175,1.27663168692881,1.24660719234088,1.03121945922832,0.49638400355462,-1.72383654081837,NA,0.49638400355462,0.496384003554621,NA,-2.74907728502394,0.320081540235785,-1.24469020921957,1.60276785934628,1.48622683635932,0.320081540235785,1.35188283839067,1.24565409424855,-0.869182708891244,0.100764859053099,0.49638400355462,-2.74907728502394,-0.0686510500126501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S2_5-9,1.24660719234088,0.948983596746852,1.27650866119668,1.39810466346667,1.56679855959545,0.320081540235785,-2.54589242646719,1.26333608133192,0.242052137294285,1.42972138513494,0.0515466279901147,NA,0.845573273414465,0.49638400355462,-0.938427767706159,0.49638400355462,1.24660719234088,1.67400843041098,1.0484193572526,1.00672272527676,1.61828412751286,0.932157934969011,1.29525634072744,NA,1.06132294242749,-0.448624141744632,1.41301398208333,0.872510761452647,-1.0634833742562,0.49638400355462,1.15107500214594,NA,NA,NA,0.841255981538718,-1.5495870195729,1.33794135929726,2.11421768938945,2.19953611158007,0.948983596746852,1.27679068235318,2.16956714875839,0.948983596746852,1.92542311284449,1.87043720492059,1.82564791796713,-2.30161906819153,1.04522423474175,1.27663168692881,1.24660719234088,1.03121945922832,0.49638400355462,-1.72383654081837,NA,0.49638400355462,0.496384003554621,NA,-2.74907728502394,0.320081540235785,-1.24469020921957,1.60276785934628,1.48622683635932,0.320081540235785,1.35188283839067,1.24565409424855,-0.869182708891244,0.100764859053099,0.49638400355462,-2.74907728502394,-0.0686510500126501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
