,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
23,0.00619999999999998,-0.908,0.2584,-0.8772,-0.9582,-0.6284,-0.7518,-0.9664,-0.8766,-0.9606,-0.9568,0.2072,-0.7284,-0.9532,0.3,0.0326,-0.9738,0.5562,-0.6792,-0.963,-0.871,-0.9128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0.6128,-0.6608,0.8288,-0.3874,-0.9576,0.3074,-0.0394,-0.9348,-0.945,-0.9564,-0.9548,0.7076,-0.0162,-0.9612,0.766,0.4494,-0.954,0.8544,-0.0864,-0.9542,-0.9576,-0.936,-0.9594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,-1,-0.7508,-1,-0.3322,-1,-1,-0.4786,-0.9184,-0.995,-1,-0.94,-1,0.00459999999999994,-1,-1,-0.1962,-0.8202,-1,-0.4856,-1,-0.991,-0.894,-0.931,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0.4744,-0.8198,0.7024,-0.703,-0.9564,0.1358,-0.4086,-0.9498,-0.9366,-0.9586,-0.961,0.5474,-0.3864,-0.9548,0.6262,0.1562,-0.976,0.7308,-0.3462,-0.9628,-0.937,-0.93,-0.9584,-0.9598,-0.968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,0.9992,0.9998,0.9994,1,-1,1,0.9842,0.8066,0.8396,-1,0.4736,0.999,0.996,-1,1,1,0.8488,0.9996,1,-1,-1,-1,0.4728,-1,0.852,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0.5042,-0.8188,0.72,-0.6412,-0.9614,0.184,-0.3456,-0.9508,-0.932,-0.9558,-0.9632,0.5574,-0.322,-0.9544,0.6464,0.2136,-0.9738,0.7562,-0.2952,-0.9548,-0.9444,-0.933,-0.9562,-0.9546,-0.9724,-0.9584,0.2834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,-1,-1,-1,0.4018,-0.8152,-1,-1,-0.8238,-0.5716,-0.8204,-0.8244,-1,-1,-0.8348,-1,-1,-0.5392,-1,-0.619,-0.8156,-0.7902,-0.9806,-0.8266,-0.8228,-0.8856,-0.8296,-1,-0.8292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.6914,-0.3648,0.883,-0.1796,-0.9554,0.43,0.1892,-0.9236,-0.9198,-0.9616,-0.9564,0.8204,0.2422,-0.958,0.8602,0.584,-0.9204,0.8948,0.0813999999999999,-0.9576,-0.9716,-0.9388,-0.9576,-0.9538,-0.8806,-0.9564,0.6574,-0.9574,-0.8764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0.6242,-0.6284,0.8428,-0.3516,-0.961,0.2892,-0.00960000000000005,-0.9378,-0.9476,-0.953,-0.9574,0.7204,0.0251999999999999,-0.958,0.7852,0.4548,-0.9486,0.866,-0.0472,-0.953,-0.9582,-0.9364,-0.9546,-0.9594,-0.9424,-0.9566,0.5002,-0.957,-0.86,-0.9608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0.002,-0.9018,0.2456,-0.8792,-0.9554,-0.654,-0.7594,-0.9696,-0.8742,-0.956,-0.957,0.2014,-0.744,-0.9564,0.288,0.04,-0.9762,0.5688,-0.6768,-0.96,-0.87,-0.923,-0.9524,-0.9658,-0.9286,-0.9544,0.1024,-0.9568,-0.7852,-0.9594,-0.9602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
