,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
24,0.999,0.9686,0.9928,0.8484,0.319,0.2442,0.9812,0.9172,0.9584,0.859,-0.2424,-1,0.923,0.9134,0.9992,0.8782,0.9184,0.1448,1,0.8554,0.6244,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,1,0.9792,0.9186,0.9834,0.237,0.5064,0.9998,0.9978,0.9532,0.6884,0.0908,-1,0.9984,0.8178,0.9986,0.9994,0.9858,0.5586,1,0.9382,0.8262,-1,-1,0.0164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0.9512,-0.1614,0.3866,-0.4666,-0.3788,-0.9998,0.0556000000000001,-0.5856,-0.9878,0.54,-0.233,-1,0.01,-0.4198,0.665,-0.5284,-0.9892,-0.2376,0.997,-0.9976,-0.0198,-0.2912,-0.0302,-0.474,-0.9508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,0.9922,0.7894,0.7508,0.6796,0.5096,-0.2808,0.973,0.7828,0.3048,0.4698,-0.4468,-1,0.8998,-0.3566,0.9116,0.5454,0.3326,-0.1052,0.9934,-0.303,-0.3078,-1,-1,0.8682,0.7876,-0.4484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0.89,0.682,-0.3818,0.3996,0.7638,-0.7386,0.9412,0.6052,-0.1124,0.405,-0.6946,-1,0.3888,-0.7656,-0.2572,0.3524,-0.3484,-0.9432,0.0726,-0.3846,-0.8124,-0.8426,-0.659,0.0414000000000001,-0.1478,-0.9038,-0.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,0.8516,-0.4658,1,0.2376,0.6802,0.9486,0.9608,0.7742,0.8938,0.9706,-0.3504,-1,0.9468,0.9762,0.9882,0.8158,0.981,-0.075,0.9938,0.916,0.5316,0.625,0.7712,0.9862,0.9694,0.928,0.938,-0.2228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.9992,-0.0802,0.9682,0.8656,0.7334,0.9554,0.9906,0.9678,0.9334,0.8994,-0.084,-1,0.9992,0.5826,0.998,0.9864,0.9894,-0.837,0.9958,0.919,0.8176,-1,0.4876,0.9906,0.9832,0.7714,0.4592,-0.1576,0.3706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0.9978,-0.9746,0.9466,0.586,-0.567,0.8456,0.9826,0.9342,0.1412,0.9689,-0.2298,0.3658,0.9986,0.5092,1,0.984,0.9016,-0.7502,1,0.5276,0.7148,0.5758,0.6946,0.9964,0.8778,0.5802,0.189,-0.5146,0.8642,-0.0148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,-0.3752,-1,-0.494,-0.7584,-1,-0.998,0.6608,-0.2302,-0.9472,0.3644,-0.6462,-0.4904,0.1368,-0.6132,0.1356,-0.8666,-0.9872,-0.079,0.3306,-0.9876,-0.566,0.2728,0.2518,-0.9172,-0.9154,-0.9556,-0.982,-0.978,-0.4332,-0.7556,-0.9728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,0.9996,0.988,0.868,0.9524,0.94,0.4394,0.9972,0.9688,0.9424,0.7212,-0.7698,-1,0.9518,0.1332,0.9858,0.9724,0.8764,-0.3038,0.9986,0.7056,-0.55,-1,-1,0.9274,0.9608,-0.0764,-0.6742,-0.9984,0.9492,0.951,0.8502,-0.8882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
