,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
35,-1,0.3792,0.1084,0.5122,0.9998,0.9996,0.9972,-1,-1,1,0.8566,-1,0.771,1,0.6744,0.2462,0.9984,0.8146,0.8696,0.9018,0.9968,-1,0.9998,0.547,0.8682,0.927,0.7734,-0.2178,-1,0.7806,0.8272,0.9492,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,0.2413,0.619,-0.232,-0.8522,-1,0.6712,-0.8612,-1,0.2462,-0.9742,0.7758,0.2472,-0.9966,-1,-0.4226,-0.733,-0.0248,-0.1084,-0.997,-0.3514,0.2528,0.1422,-1,-0.9556,-0.9958,-0.957,-0.9664,-0.79,0.2419,-1,-0.9988,-0.4894,0.2463,-1,0.8882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,-1,1,1,-1,1,1,1,1,-1,1,1,-1,-1,1,-1,-1,1,0.9998,-1,1,1,1,1,-1,-1,1,-1,0.9414,-1,-1,1,1,-1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0.8791,-0.3586,0.5324,0.9424,0.9026,1,0.7986,1,0.8896,0.9522,0.999,0.8759,-1,1,0.9894,0.2622,0.9762,0.805,0.353,0.6266,0.9986,-1,0.987,0.557,-0.00480000000000003,0.7052,0.163,0.873,0.8777,-1,-1,0.967,0.877,1,0.3272,-0.1142,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,0.437,-0.5896,-0.2082,0.1934,-0.607,0.5344,-0.161,-1,0.4348,-0.0138,-1,0.446,-0.66,-1,0.6976,-0.654,0.0416000000000001,0.00380000000000003,-0.1948,-0.6196,-0.1372,0.423,-0.186,0.1432,-0.465,-0.7916,-0.611,-0.8294,0.4382,-0.5078,-0.7338,-1,0.442,-1,-1,-0.1966,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.0700000000000001,0.1654,-0.0706,-0.772,-1,0.3274,-1,-1,0.0854999999999999,-0.765,-1,0.0817000000000001,-0.9818,-1,0.1554,-0.8298,0.1276,-1,-0.9648,-1,0.3768,-0.53,-1,-0.9444,-0.9654,-1,-1,-1,0.0819000000000001,-0.9696,-0.9928,-1,0.0788,-1,-1,-0.9444,-1,-1,-0.5186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,0.6646,-0.8082,0.4272,0.671,1,0.9862,-0.178,-1,0.6654,0.2068,0.8436,0.6728,-0.4032,1,0.8936,-0.8566,0.983,0.5458,-0.485,0.8656,0.9322,0.8638,1,-0.1196,-0.47,0.0706,-1,-0.9218,0.679,-1,0.1208,0.7188,0.6765,1,0.4398,-0.3108,1,0.612,-0.9906,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,-1,0.9534,-0.1226,0.7994,1,0.984,0.6476,1,-1,0.9784,1,-1,0.6922,1,0.7832,0.2236,0.297,1,0.8642,0.9814,0.1636,-1,1,0.5924,0.8514,0.879,0.5848,0.9998,-1,0.8348,0.8722,1,-1,1,0.4512,0.902,1,1,-1,-1,0.837,NA,NA,NA,NA,NA,NA,NA,NA
43,0.1197,0.0174000000000001,-0.6036,-0.6548,-0.2368,0.2004,-0.9008,-1,0.1228,-0.9166,-1,0.1245,-0.9978,-1,0.2265,-0.946,-0.3538,-1,-0.9246,-1,-0.0684,-0.3456,-1,-0.9596,-0.989,-1,-0.9822,-1,0.1266,-0.9326,-0.9714,-1,0.1186,-1,0.5164,-0.9778,-1,-1,-0.707,-0.9836,-1,0.5116,NA,NA,NA,NA,NA,NA,NA
44,-1,-1,0.8144,-1,0.9618,1,0.865,1,-1,0.953,1,-1,0.7478,1,-1,-0.0436,0.9566,0.9998,0.6172,0.7612,1,-1,1,-1,0.859,0.923,0.649,0.9082,-1,-1,0.8788,0.9756,-1,1,0.6098,0.8754,0.9994,0.8512,-1,-1,0.174,1,-1,NA,NA,NA,NA,NA,NA
45,0.0754999999999999,-1,-0.4794,-0.9704,-1,-1,-1,-1,0.0795999999999999,-1,-1,0.0806,-0.813,-1,-0.8602,-1,-0.332,0.7054,-1,0.3926,-0.11,-0.6458,-1,-0.6818,-0.6868,-0.399,-0.7494,0.2854,0.0802,0.0835999999999999,-0.8822,0.5526,0.0824,-1,0.6696,-1,-1,0.715,-0.2464,-0.8774,0.229,0.788,-0.8134,-1,NA,NA,NA,NA,NA
46,-1,-0.3878,0.9224,-1,0.3234,1,0.874,1,-1,0.917,1,-1,0.8344,1,-1,0.8166,1,1,0.8764,1,1,0.8606,1,0.8726,0.9358,0.9262,0.812,0.9998,-1,0.8316,0.9246,0.9998,-1,1,1,0.9478,1,1,-1,0.7578,1,1,0.7102,1,-1,NA,NA,NA,NA
47,-1,0.9928,-1,-1,1,0.9824,0.0247999999999999,1,-1,0.6914,0.8584,-1,0.7768,1,-1,0.7048,0.9294,0.9816,0.7524,0.9764,-0.271,-1,1,-1,0.9046,0.9928,0.658,0.8748,-1,0.8802,0.9044,1,-1,1,0.9902,0.9082,1,0.9998,-1,-1,0.9834,0.9996,-1,0.996,-1,1,NA,NA,NA
48,-1,-0.2576,-0.732,-0.9884,-1,-0.4532,-1,-1,-0.6344,-0.9244,0.506,-0.6398,-0.8972,-1,-0.8048,-0.744,-0.7552,0.127,-0.9908,-0.529,-0.48,-0.051,-1,-0.7484,-0.7534,-0.3448,-0.8312,-0.275,-0.6238,-0.78,-0.9428,-0.2566,-0.6166,-1,0.1034,-0.9996,-1,0.4462,-0.3166,-0.8612,-0.4232,0.3052,-0.8978,-1,-0.9448,0.0973999999999999,-1,NA,NA
49,-1,0.8922,0.5662,-0.056,1,0.7694,0.465,-1,-1,0.9382,-0.6822,-1,0.7624,-1,0.2326,0.2876,0.784,0.8506,0.8482,0.679,0.3638,-1,0.9858,0.9128,0.8734,0.8004,0.5936,-0.0536,-1,0.7737,0.7136,0.1804,-1,1,0.8754,0.8394,1,0.8032,-0.6686,0.783,-0.3518,0.1198,0.6058,0.9044,0.2202,1,0.6524,-0.0654,NA
