,711_E-1-S,711_E-1-M,711_E-1-D,711_E-2-S,711_E-2-M,711_E-2-D,711_E-3-S,711_E-3-M,711_E-3-D,712_E-1-M,712_E-1-D,712_E-2-S,712_E-2-M,712_E-2-D,712_E-3-S,712_E-3-M,712_E-3-D,713_E-1-S,713_E-1-M,713_E-1-D,713_E-1-X0,713_E-1-X1,713_E-2-S,713_E-2-M,713_E-2-D,713_E-2-X0,713_E-2-X1,713_E-3-S,713_E-3-M,713_E-3-D,713_E-3-X0,713_E-3-X1,714_E1_20-24,714_E1_30-34,714_E2_1-5,714_E2_5-9,714_E2_20-24,715_E1_1-5,715_E2_1-5,715_E2_20-24,715_E2_30-34,715_E3_1-5,715_E3_10-14,715_E3_20-24,715_E3_30-34,716_E1_10-14,716_E1_20-24,716_E1_30-34,716_E3_10-14,716_E3_30-34,717_E2_1-5,717_E2_10-14,717_E2_20-24,717_E3_1-5,717_E3_10-14,717_E3_30-34
713_E-1-M,0.437845643041454,0.0792357457300882,-0.163982777725391,0.113395818767531,0.107572542816219,0.0643110779266738,-0.163982777725391,0.175032255001217,0.257066035481565,NA,0.081508792312226,0.00842384623995663,0.257131545372025,0.041671550464949,0.5386645975043,0.823491646299126,0.04735487925036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-1-D,-1.99773834323587,-4.69389129857744,0.342654204760091,-1.92547887097397,-3.37321713750903,-1.84275404396017,0.325481948501864,-3.10273671998377,-3.41185069771122,0.154075385098231,-3.31365485079607,-2.03830672958031,-0.264532833757932,-1.07491363926924,0.825763115416303,0.693569852683103,-0.393860403880075,0.154075385098231,0.154075385098231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-1-X0,1.28639458531877,0.189072505917372,-0.313842869114525,-1.52029187965007,0.40735231603801,-0.609603546642961,-0.313842869114525,-1.03887830489301,0.705586895397954,0.272099346826723,0.611570205725905,-0.609603546642961,-0.465262049089025,0.46833326143167,1.55977444089632,1.56965856617852,0.937003917913291,0.272099346826723,0.272099346826723,-0.286654520146625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-1-X1,1.06601197971181,-0.624199459279779,0.707218004633529,-1.7166782274525,0.338143464583723,0.802341707410143,0.624050008178819,-0.41530551984368,0.228478296783977,0.866280075551325,0.377003815694339,0.543314839226594,-0.0381215249873146,0.663804528478699,0.735052905793095,1.3380285039144,0.839630482816737,0.866280075551325,0.866280075551325,0.549379007785186,0.600761045128058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-2-S,0.169766311551173,-0.245684287255215,-0.163982777725391,-0.155471783840853,-0.183154207461554,-0.184114774163177,-0.16398277772539,-0.0739003796189481,-0.186654159165327,-0.16398277772539,-0.361132401385022,-0.196418398681802,-0.165570411054051,-0.294946128245927,-1.00151461432821,0.496126872015852,-0.165507914344233,-0.16398277772539,-0.16398277772539,0.0674992874196442,-0.826127992883911,-0.617849090667942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-2-M,0.437845643041454,0.0792357457300882,-0.163982777725391,0.113395818767531,0.107572542816219,0.0643110779266738,-0.163982777725391,0.175032255001217,0.257066035481565,NA,0.081508792312226,0.00842384623995663,0.257131545372025,0.041671550464949,0.5386645975043,0.823491646299126,0.04735487925036,NA,NA,0.154075385098231,0.272099346826723,0.866280075551325,-0.16398277772539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-2-D,0.169766311551173,-0.245684287255215,-0.163982777725391,-0.155471783840853,-0.183154207461554,-0.184114774163177,-0.16398277772539,-0.0739003796189481,-0.186654159165327,-0.16398277772539,-0.361132401385022,-0.196418398681802,-0.165570411054051,-0.294946128245927,-1.00151461432821,0.496126872015852,-0.165507914344233,-0.16398277772539,-0.16398277772539,0.0674992874196442,-0.826127992883911,-0.617849090667942,NA,-0.16398277772539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-2-X0,1.14065631578684,0.0633920438185529,-0.251010398366511,-1.9777454377358,0.359556737446556,-1.19998147832024,-0.251010398366511,-0.996031659745982,0.612586969191252,0.188600801306521,0.601155347379294,-1.19998147832024,-1.34954823966546,0.32182122076477,1.5121365797926,1.37807889649117,0.410272187859331,0.188600801306521,0.188600801306521,-0.790683750748748,1.04378603623944,0.0127026646673055,-0.823724986068091,0.188600801306521,-0.823724986068091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-2-X1,0.937174931400668,-0.490069994494909,-0.377218334620503,-2.09149090982331,-0.206993886298216,-1.88811480502489,-0.377218334620503,-2.19331013665979,0.203740933692824,-0.392234593080115,0.117007088738461,-1.88811480502489,-1.03381998438015,-0.103042355477292,1.66771719994743,1.20163944696895,-0.558759493734719,-0.392234593080115,-0.392234593080115,-1.88721439343689,1.71641019388324,0.418441262733183,-0.222516780730204,-0.392234593080115,-0.222516780730204,0.264645956332265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-3-S,1.24849075980135,0.522085589115955,0.328439665131123,-3.09674976612076,0.558786083805605,-1.42333273412737,0.328439665131123,-0.660184900702307,0.999334594614471,0.195719911400624,0.883171517011278,-1.42333273412737,-1.22270906017302,0.956790352242423,0.976214737811464,1.06408941339193,1.24868988811195,0.195719911400624,0.195719911400624,-3.59326701167125,0.861740919794719,0.443208547255636,-0.291515210042103,0.195719911400624,-0.291515210042103,-0.0623017128934104,-0.113372633304686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
