,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
32,0.779,-0.0148,0.0379,0.5498,0.1558,0.0394000000000001,0.5028,0.4139,-0.3054,0.073,-0.1676,0.0369999999999999,0.4111,0.2736,0.9636,0.3998,0.184,0.0753999999999999,0.1111,0.5356,0.2874,-0.1486,0.3416,0.0687,-0.0828,0.2988,0.0389999999999999,0.0347,0.1905,0.0416000000000001,0.2628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,0.0176000000000001,-0.8396,-1,0.7502,-1,-0.268,-0.0669999999999999,-0.891,-0.7304,-0.1722,0.9898,0.9856,-0.6492,0.9982,-1,-0.7736,0.5866,-1,-0.1084,-0.4118,-0.8846,-0.9692,0.156,-0.4926,-0.6048,-0.609,-1,-1,0.36,-1,0.7282,0.4027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,1,1,-1,0.2378,-1,-1,0.9906,0.8766,0.9232,-1,0.937,0.9876,-0.2524,1,1,0.166,-0.0314,-1,-1,1,1,0.909,0.786,-1,0.6238,-1,-1,-1,-1,-1,0.4952,-1,-0.3804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,-1,-1,-1,0.7338,-0.6648,-0.4476,-1,-0.9976,-0.9034,0.5055,0.9993,0.9968,-0.9332,0.9504,-1,-0.9958,0.8562,0.5103,-0.6216,-1,-0.349,-0.9888,-0.629,-0.8676,-0.5086,-0.9768,-1,-1,0.8518,0.3003,0.9397,0.3016,-0.9912,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,0.2052,0.4882,-1,0.9212,-0.7894,-0.461,-0.1348,-0.913,-0.5712,0.6182,0.996,0.9966,-0.9736,0.9456,-1,-0.9818,0.6602,-0.3918,-0.6264,0.6558,0.7358,-0.764,-0.8712,-1,0.1982,-0.9974,-1,-1,0.5822,-1,0.8524,0.3765,-0.863,0.633,-0.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1,1,0.6754,0.9786,0.763,0.67,0.9994,0.9996,1,-1,0.3484,0.9508,0.9994,1,1,1,0.1432,-1,0.9412,1,1,1,0.9992,0.7446,0.996,0.9892,0.3452,-1,0.2374,-1,0.5132,-1,0.9886,0.9986,0.995,0.9972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0.5784,0.0753999999999999,0.4685,0.8508,-0.32,-1,0.8108,0.2806,0.6132,0.00980000000000003,0.7482,0.371,0.2612,0.9538,-1,0.4952,-0.1904,-1,-0.1438,0.4046,0.8908,0.6504,-0.0362,-0.164,0.8176,-0.0688,-1,-1,0.00259999999999994,-1,0.1062,0.469,0.034,0.9748,0.3356,0.49,0.9674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,0.7348,0.5476,0.1896,0.8028,-0.2834,-1,-1,-0.9556,-1,0.3434,0.9876,0.9544,-0.9036,0.8524,-1,-0.9772,0.6813,0.3375,-0.8076,0.775,0.3658,-0.963,-0.967,-0.5238,0.689,-0.919,0.1956,0.1906,0.6702,0.1917,0.805,0.1846,-0.1678,-1,-0.4916,-0.7424,0.9908,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.9904,0.9458,-0.415,0.964,-0.255,-1,-1,-0.9892,0.1072,0.5128,0.9999,0.9992,-0.96,0.985,-1,-0.9712,0.8558,0.5019,-0.9976,0.9902,0.9728,-0.2232,-0.9422,-1,0.6128,-0.991,-1,-1,0.8516,0.2877,0.9362,0.2961,-0.0744,-1,-0.6848,-0.863,0.9996,0.332,-0.9768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,1,1,-1,0.8646,0.3738,0.8092,1,0.9992,1,-1,0.5816,0.8832,0.989,1,1,0.9992,-0.0782,-1,0.8346,1,1,0.9986,0.9992,-1,0.8898,0.7734,-1,-1,0.4154,-1,0.6966,-1,0.8874,0.9982,0.8732,0.9784,0.9904,0.9932,0.984,0.998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
