,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
30,1,1,-1,-1,-1,-1,0.999,0.9938,-1,-1,-1,-1,0.9996,-1,-1,1,0.962,0.6212,-1,-1,0.9952,-1,-1,-1,0.9992,0.907,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0.9244,-1,-0.5036,-1,-1,-0.8602,-0.00839999999999996,-1,-0.9632,-1,-0.7326,-1,0.7322,-0.3998,-1,0.7784,-0.9878,-0.4306,-0.779,-1,0.4438,-0.9994,-1,-1,-0.027,-0.8356,-0.7826,-0.4972,-0.6946,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0.992,-0.9498,-0.8964,-1,-1,-0.9424,-1,-1,-0.9866,-1,-0.8962,-1,0.1638,-0.6192,-1,-1,-0.9776,-0.6588,-0.9828,-1,-1,-0.9996,-0.9994,-1,-0.2402,-1,-0.9554,-0.991,-1,-1,-0.9148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,-1,-1,-1,-1,0.0445,-0.8092,-1,-1,-1,-1,-1,-0.952,-1,-1,-1,-1,-1,-0.8568,-0.7976,-0.9398,-1,-1,-1,-0.9564,-1,-1,-1,-1,-0.8946,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,0.879,0.1866,-0.8042,-0.8324,0.0214000000000001,-0.825,0.6556,0.8984,0.054,-0.864,-0.0728,-0.9588,0.7248,-0.881,-0.9292,0.934,0.1444,-0.8944,-0.8642,-0.9544,0.8042,-0.7732,-0.8126,-0.9592,0.768,-0.272,-0.7552,-0.8262,-0.8652,0.8788,-0.5836,-0.6384,-0.9716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,1,1,-1,-1,-1,-1,0.9996,0.9998,0.9872,-1,-1,-1,1,-1,-1,1,0.9998,0.7036,-1,-1,0.9992,-1,-1,-1,1,0.7792,-1,-1,-1,1,0.0212000000000001,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,0.9998,0.7226,-1,-1,-1,-0.94,0.9816,0.9756,-0.7316,-1,-0.8248,-1,0.9588,-0.8222,-1,0.967,0.1488,-0.8802,-0.7772,-1,0.9762,-1,-1,-1,0.9488,0.1624,-0.9724,-0.9718,-1,0.9566,-0.9986,-0.8938,-1,-1,0.9922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,0.9984,-0.686,-0.8748,-0.8592,-1,-0.829,-1,-1,-1,-0.8618,-0.1114,-1,0.4784,-0.773,-0.891,-1,-0.7796,-0.8818,-0.9862,-1,-1,-0.7418,-0.7886,-1,0.4422,-0.9532,-0.8026,-0.9124,-0.9314,-1,-0.4334,-0.9424,-1,-1,-1,-0.3648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0.9648,1,0.7138,-0.659,0.273,0.0518000000000001,0.9892,0.8374,0.8576,-1,0.8546,-1,0.9908,0.3074,-1,1,0.903,0.4812,0.54,-1,0.9938,-0.5896,-0.5484,-1,0.845,0.9736,0.478,0.7056,0.5984,0.9996,0.2668,0.5202,-1,-1,0.9994,0.7622,0.8308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,1,0.9986,-1,-1,-1,-1,1,0.33,0.7272,-1,0.2112,-1,1,-1,-1,0.7118,0.708,-0.2774,-0.4782,-1,0.1792,-0.4172,-0.2934,-1,0.8926,0.6,-1,-1,-1,0.0451999999999999,-0.6084,-1,-1,-1,0.9984,0.6292,-1,0.9888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.9998,0.449,-1,-1,-1,-1,0.8296,0.9796,0.0964,-1,-0.9864,-1,0.9246,-1,-1,0.902,0.3372,-0.9274,-0.8544,-1,0.9286,-1,-1,-1,0.9486,-1,-1,-1,-1,0.968,-0.971,-0.9984,-1,-1,0.9662,0.0818000000000001,-1,0.6506,0.266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,0.9022,-1,-1,-0.7894,-0.9054,-1,-1,-1,-1,-0.7206,-1,-0.9228,-1,-1,-0.8458,-1,-1,-1,-0.8372,-0.9,-1,-0.8406,-0.7438,-0.9178,-1,-1,-0.9684,-1,-0.93,-1,-0.445,-0.885,-0.8922,-1,-1,-1,-0.9684,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,0.6746,-0.00319999999999998,-0.882,-0.8996,-0.9564,-0.8676,0.307,0.7918,-0.2066,-0.8928,-0.4346,0.0186999999999999,0.4552,-0.9018,-0.9402,0.7552,-0.0226,-0.9278,-0.9272,0.0198,0.7096,-0.8702,-0.9024,0.0226,0.5926,-0.461,-0.8716,-0.9044,-0.9414,0.695,-0.733,-0.7632,0.0426,0.0212000000000001,0.7258,-0.1608,-0.8774,0.1264,0.161,-0.2718,-0.9192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,1,1,-1,-1,-1,-1,0.9996,0.9848,0.5714,-1,-0.747,-1,0.999,-1,-1,0.9896,0.8996,0.4504,-1,-1,0.9954,-1,-1,-1,0.9966,0.9386,-1,-1,-1,0.9756,0.248,-1,-1,-1,1,0.7426,0.6038,0.9994,0.9972,0.7752,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,-1,-1,-0.945,-0.9914,-0.7872,-0.7776,-1,-1,-0.6378,-0.8876,-0.4628,-1,-1,-0.76,-0.933,-1,-0.606,-0.7772,-0.786,-1,-1,-0.9714,-0.9824,-1,-1,-0.9046,-0.9574,-0.7782,-0.6916,-1,-0.9688,-0.9816,-1,-1,0.621,-1,-0.8094,-0.3062,0.0407999999999999,-0.8594,-0.7012,-0.7838,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,-1,-1,-1,-1,-0.9626,-1,-1,-1,-1,-0.9108,-1,-0.9248,-1,-0.915,-0.9522,-1,-1,-1,-1,-0.934,-1,-1,-1,-0.9304,-1,-1,-1,-1,-0.9606,-1,-1,-1,-0.9114,-0.9386,-1,-1,-1,0.026,-1,-1,-0.9076,-0.9636,-1,-0.7664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,1,0.8238,-0.4616,-0.0602,-1,0.4282,0.999,0.4524,0.93,0.3236,0.6208,-0.099,0.9998,-0.1046,-0.7304,0.5306,0.7502,0.0224,-0.0502,-1,0.919,0.3542,0.16,-0.1018,0.9326,0.1208,-0.4804,-0.7938,-1,-0.0502,0.3002,0.2374,-1,-1,0.99,0.595,-0.2754,1,0.8958,-0.642,-1,-1,0.9452,-0.339,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,0.7318,0.087,-0.8662,-0.8934,0.0197000000000001,-0.8062,0.3948,0.8524,-0.1058,-0.856,-0.3576,0.0203,0.5648,-0.8878,-0.9218,0.8198,0.0411999999999999,0.0846,-0.827,0.0227999999999999,0.7496,-0.849,-0.8804,0.0223,0.6262,-0.3788,-0.8508,-0.8844,-0.9204,0.714,-0.6894,-0.7374,0.0439000000000001,0.0206,0.7548,-0.1022,0.1484,0.0798000000000001,0.244,-0.2192,0.0643,0.0209999999999999,0.6112,-0.8942,0.0425,-0.3528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,-1,-0.8686,-0.5748,-0.9996,-0.6972,-0.6912,0.1746,-1,-0.9504,-0.9698,-0.9742,-1,-1,-0.6,-1,0.7898,-0.991,-0.6268,-0.6728,-1,-0.0944,-0.7508,-0.8918,-1,-1,-0.997,-0.7414,-0.583,-0.5548,-1,-0.9836,-0.874,-1,-1,-1,-0.817,-0.5692,-0.8238,-0.7458,-0.9824,-0.6016,-0.7044,-1,-0.979,-1,0.146,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
