,711_E-1-S,711_E-1-M,711_E-1-D,711_E-2-S,711_E-2-M,711_E-2-D,711_E-3-S,711_E-3-M,711_E-3-D,712_E-1-M,712_E-1-D,712_E-2-S,712_E-2-M,712_E-2-D,712_E-3-M,712_E-3-D,713_E-1-S,713_E-1-M,713_E-1-D,713_E-1-X0,713_E-1-X1,713_E-2-S,713_E-2-M,713_E-2-D,713_E-2-X1,713_E-3-S,713_E-3-M,713_E-3-D,713_E-3-X0,713_E-3-X1,714_E1_1-5,714_E1_5-9,714_E1_20-24,714_E1_30-34,714_E2_1-5,714_E2_5-9,714_E2_20-24,715_E1_1-5,715_E2_1-5,715_E2_20-24,715_E2_30-34,715_E3_10-14,715_E3_20-24,715_E3_30-34,716_E1_1-5,716_E1_10-14,716_E1_20-24,716_E1_30-34,716_E3_10-14,716_E3_30-34,717_E2_1-5,717_E2_10-14,717_E2_20-24,717_E3_1-5,717_E3_10-14,717_E3_30-34
713_E-2-D,-0.406182362204232,0.515267696717573,-0.407572559404758,-1.43891970728062,-0.566176403305929,-1.27624822640978,0.752508667758791,-0.253687469584469,-1.03264723764666,-0.661290654959304,-0.768229674273837,-1.09678731526689,-2.65879208239895,-1.54686933508347,-0.877839451340579,-1.05101090500538,-0.569303874652121,-0.430403090966812,-0.35349449776347,-1.37665804073113,-1.85369923525146,0.433711642000699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-2-X1,0.973683314818041,1.37614387094823,0.87788868852526,-2.17255644150626,0.679509267855291,0.707795625973664,0.272490583558055,0.131048263428675,-0.427123500457534,-0.180228905848764,1.65819349563584,-0.860034415573505,-1.98540004129731,0.293639664553574,0.694979071439188,0.909992888461364,0.664803358907138,-0.426568251728617,1.06675976770321,-0.917441284343768,-0.820799488206613,1.01213506546782,-2.19458305105497,-2.19458305105497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-3-S,-1.11160872260042,-1.63550176638503,0.510230994369441,-0.580130022154496,-0.776397762184174,-0.402806116820705,0.147483994786889,-0.419618711007976,0.0333389158795132,-1.13558038754617,1.42742815764738,-0.500468271261507,-1.5210634373341,-1.74312158680382,-0.136814328040848,0.172421314003323,-1.87650478544044,-0.766723309664867,-1.51024326105291,-1.06253457275626,-0.907581397452311,0.96420981537255,0.041526046129375,0.041526046129375,-0.509928795709268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-3-M,0.4674602363127,0.514972774656693,-0.350357069408261,-0.132837104031061,-0.977643770371835,-0.925275792481014,1.18748363547478,0.698412443327585,0.544389493933954,-0.650217193119411,-0.871182444196899,-0.909275479547066,0.361947287661203,-0.599995142352231,0.46665002393479,-0.77538695511103,-0.470810262031036,-0.694485570178171,-0.370349094619269,-0.388523913644173,-0.0291159675571374,0.148762344617415,0.360834428203312,0.363510323645637,0.554229637768344,0.0672531046219732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-3-D,0.369875925113144,0.00543764250455907,-0.282731519908442,-1.4472607306035,-0.5437270043976,-1.04230303678091,0.19129837749716,-0.351155320195754,-1.30547605368427,-0.0400608176316852,1.41762980161797,-0.89518835744066,-1.47648413170076,-0.923478569293047,0.640691259589051,-0.673688300468682,-0.632308625697267,-1.05305350801188,-0.275362000454662,-0.876930323231596,-2.30292965426057,0.820381475439936,-1.8459960139693,-1.8459960139693,-0.54350965718202,-1.30011589285122,-0.0280135460626493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-3-X0,0.770676385085255,0.290714598523378,-0.0406091413218696,-1.41422440552504,-0.311848427960782,-1.04147434139656,0.45199941624827,-0.0950323042962908,-1.16613592545295,0.392781550449338,1.64152787096818,-0.789384710232214,-1.41783905922766,-0.90877285623108,0.634511679600069,-0.646692639947459,-0.532726408984486,-0.859562349842663,-0.0517475304755112,-1.20335272387965,-1.77380846968226,0.978008664232445,-1.74655032930326,-1.74655032930326,1.47760362188943,-1.11184048292309,0.148430160997818,-1.57796923542722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-3-X1,0.86819594342729,0.117690947232936,-1.01581883562872,-2.56242638643317,-1.33983240351996,-1.98771607798904,-0.317884379940952,-1.5185286722739,-2.08485326757699,-1.3024291154157,-1.29780083430945,-2.03916971637442,-3.19563554242374,-2.26129026941088,-0.508770552105346,-1.95916982089913,-1.18632351417813,-1.20376391209702,-1.12044165333944,-1.56848304288329,-1.94774423331288,0.776905354206432,-0.441793914318818,-0.441793914318818,-3.04917088624079,-1.37782947293011,0.619063608311704,-2.31502903480432,-2.25003160676955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_E1_1-5,1.45550900090379,1.82067941283124,2.28551426644929,0.687418304308137,2.42582317516076,2.06276498310794,1.01106745917007,2.08846609607269,2.03785345255062,3.42379764567492,1.64048856333946,1.03784842017659,1.12906551021966,1.99355691217151,1.3556985590419,1.47848018830629,2.85676030084385,2.64402320079451,1.95289967435136,0.567497887700728,1.11617209733146,1.55810207972917,0.602765531132986,0.471957292954613,1.02484384137116,1.41363912543479,0.568614034845728,0.567927621825234,0.88416657940153,-0.426368977717368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_E1_5-9,0.0990648200783396,-0.382344917190622,1.19226648780813,-1.40303241240655,0.892514075096922,0.581118342717152,-1.75862652916855,-0.581164581252302,-1.65178197028104,2.27260119124728,1.91891997993997,-0.978232551887711,-1.593747693206,-0.717271492866573,0.0818558420726075,-0.192479378730096,0.323268628688704,-0.185032138753842,-0.101491932635248,-0.542232855168729,0.37805799088919,1.6062803375619,-1.08799213323264,-1.08799213323264,-1.17841551478603,-1.27482112691249,0.192295362967286,-0.0123462781269849,0.40539356482197,-2.38632857410547,0.953344690798327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_E1_20-24,-1.93012803929358,-2.04872165759545,-1.31916640450407,-1.2158981446869,-0.674423974231222,-1.18461338867969,-1.73059861241398,-1.19482356468948,-0.776641547361057,1.86892574519699,2.22270797383285,-1.54816821705119,-1.2158981446869,-1.98715213063553,0.902740906082547,-2.13137151653845,-0.901524456716593,-1.2492276305981,-1.62209140386202,-0.603761567122099,-0.768308199300306,0.780514304692615,-1.87234485049507,-1.87234485049507,-0.957320325992921,-1.61957740437175,-1.88315365826525,-0.879159958356493,-0.494719679368728,-2.61220679324085,2.45229545376625,1.19701493900041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
