,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
15,0.1665,0.1591,-1,-0.1466,-1,0.1678,0.1076,0.7896,-0.4268,-1,0.1648,0.1609,0.1617,-0.8314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.2554,0.2642,-1,-0.3956,0.9876,-0.5,-0.3658,0.9984,-0.9844,0.8176,-0.691,-0.696,0.2652,0.259,-0.7284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,-1,0.9168,-1,1,0.9962,0.9236,1,-0.5556,1,0.9982,-1,-1,0.916,-1,-1,0.9114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0.0531999999999999,0.056,-0.888,0.0287999999999999,0.8004,0.0578000000000001,-0.1386,0.8831,-0.192,0.7764,0.0497000000000001,0.0510999999999999,0.0518000000000001,0.0557000000000001,-0.9368,-0.6008,0.8372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0.2124,0.2106,-1,-1,0.9914,-0.949,-1,0.9982,-1,0.8896,-0.6298,-0.637,0.2116,0.2071,-0.547,-0.8122,0.9324,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,-1,0.7482,-1,0.974,0.952,0.7433,0.992,-0.53,0.9798,0.9978,-1,-1,0.7382,0.7458,0.3116,0.5216,0.7362,-1,0.6006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,0.1075,0.1077,-0.8408,-1,0.9016,-0.9306,-1,0.99,-1,0.8548,0.1059,0.1055,0.099,0.1067,-0.7198,-0.8706,0.9026,-0.8468,-1,0.6396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0.21,0.2188,-1,-1,0.9384,-0.6736,-1,0.9664,-1,0.3944,-0.8814,-0.8678,0.2185,0.2036,-0.5822,-1,0.553,-1,-0.9624,-0.1818,-0.873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,-1,-1,-1,1,0.8518,0.8816,1,-0.0672,1,1,-1,-1,-1,-1,-1,0.9708,1,-1,0.9788,1,0.8674,0.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0.0536000000000001,0.0545,0.0548999999999999,0.5859,0.6392,0.0528,0.4673,0.784,0.458,0.3758,0.0559000000000001,0.0548,0.0539000000000001,-0.8956,-0.7278,0.2679,0.68,0.0506,0.2181,0.7502,0.1064,0.212,0.4552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.0511999999999999,0.0588,0.0548999999999999,-0.3766,0.5276,0.0611999999999999,-0.358,0.771,-0.492,0.7618,-0.9,-0.8908,0.0539000000000001,0.0546,0.1629,-0.8512,0.8394,0.054,-0.7102,0.4816,0.1062,-0.942,0.7714,0.0588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0.0571999999999999,0.0501,0.0516000000000001,-0.2738,0.6,0.0569999999999999,-0.2612,0.7804,-0.3834,0.7772,-0.8922,-0.8886,0.0530999999999999,0.0544,0.1564,-0.7906,0.838,0.0581,-0.74,0.4944,0.1057,-0.9538,0.7856,0.0544,-0.8862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,0.1059,0.1021,0.1047,-1,-1,0.1079,0.7098,-1,-0.1848,-1,0.1099,0.1051,0.1089,0.1044,0.3115,0.4551,-1,0.1117,0.3763,-1,0.2077,0.3913,-1,0.1103,0.1042,0.1044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0.2182,0.208,0.2147,-0.5316,-1,0.2086,0.7492,-1,0.5176,-1,0.2088,0.2073,0.2139,0.2123,0.5254,0.7136,-1,0.206,0.6386,-0.4082,0.3861,0.638,-1,0.2189,0.2137,0.205,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,0.2625,0.2646,0.2648,0.1744,0.5008,0.2667,0.9072,-1,0.8256,0.00419999999999998,0.2634,0.2623,0.2618,-1,-0.3062,0.8059,0.9184,0.2628,0.7271,0.3844,0.465,0.7285,0.195,-0.5022,0.2521,0.2545,-1,-0.9948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.0542,0.0528,0.0547,-0.3814,0.5492,0.0536000000000001,0.4479,0.7836,-0.2558,0.7762,0.054,0.0571999999999999,0.0544,0.0526,0.1673,0.2678,0.8294,0.0530999999999999,0.2104,0.4964,0.1054,0.2062,0.7826,0.0506,0.0535000000000001,0.0531999999999999,-0.8936,-0.7938,-0.521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0.1566,0.1549,0.16,0.000799999999999912,-1,0.162,0.8514,-1,0.3172,-1,0.1627,0.1529,0.1595,-0.7614,-0.5678,0.6188,-1,0.1585,0.5265,0.0671999999999999,0.2965,0.5208,-1,-0.7648,0.1584,0.1615,-0.7584,-0.8106,-1,-0.9058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
