,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
30,-0.2686,1,-0.7844,-0.5228,-1,-1,-1,0.9994,0.9998,-0.877,-0.461,0.5458,1,1,0.3912,0.0426,1,-0.271,0.112,0.9988,-1,-1,1,-1,-1,1,-0.2628,-1,0.9986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0.0247999999999999,0.9264,-0.9898,-0.9022,-0.9434,0.0284,0.0221,0.7756,0.0702,-0.9126,-0.9346,-0.891,0.4856,0.1348,-0.7776,0.0506,0.656,-0.9674,-0.916,0.1524,0.0517000000000001,0.026,0.5928,-0.93,-0.9588,0.8864,0.0248999999999999,-0.9364,-0.2478,-0.8492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0.024,0.881,0.1055,0.0770999999999999,0.0271999999999999,0.0243,0.0224,0.9186,0.7284,0.4061,0.0548,0.5592,0.8876,0.6532,0.2358,0.0528999999999999,0.8538,0.2514,0.2234,0.0671999999999999,0.0528999999999999,0.0235000000000001,0.473,0.0542,0.0783,0.4944,0.0245,0.0505,-0.0714,-0.3874,0.0262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,0.0740000000000001,-1,0.2855,0.2177,0.0793999999999999,0.079,0.0773999999999999,-1,0.803,0.1936,0.1553,-0.1136,-1,0.627,0.549,0.1508,0.7986,0.5927,-0.2924,0.1396,-0.8752,0.0803,-1,0.1502,0.2186,-1,-0.9486,0.146,-1,-0.0122,0.0786,0.0768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,0.0245,0.925,0.1041,0.0784,0.0267999999999999,0.0281,0.0261,0.93,0.844,0.4078,0.0523,-0.179,0.9978,0.655,0.233,0.0506,0.8446,0.2581,0.229,0.353,-0.952,0.0237000000000001,0.586,0.0498000000000001,0.0753999999999999,0.742,-0.945,0.0502,0.338,-0.2784,0.0254000000000001,0.0266,-0.9466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,0.6647,0.965,0.282,-1,-0.086,0.6615,0.6722,-0.5204,0.2232,0.9354,-1,0.5158,1,0.9636,0.7238,0.2334,0.8238,0.4852,0.1956,0.3046,-1,-1,0.4692,-1,0.4876,0.9292,-1,-0.281,0.9802,0.983,-0.0552,0.2826,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,0.0784,-1,0.2903,0.2138,0.0792999999999999,0.0787,0.0791999999999999,-1,0.6072,0.4642,0.1512,0.489,-1,0.4926,0.5582,0.1509,-1,-0.0132,0.5548,-0.34,-0.8328,0.0804,0.4836,0.1514,0.2189,0.5454,-0.9628,0.1545,-1,0.182,0.0747,0.0761000000000001,-0.843,-0.867,0.1858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,0.3124,0.6906,-0.419,-0.685,0.3053,0.2997,0.2953,-1,-0.054,-0.79,-0.3722,-0.6328,-1,0.6688,-0.6206,-0.6406,-1,-0.5456,-0.5452,0.0448,-0.5424,-1,0.3468,-0.321,-0.6252,0.556,0.3169,-0.7332,0.316,-0.1476,0.306,0.3096,-0.121,0.303,0.1022,0.0711999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0.355,0.3574,0.1104,-0.568,0.3536,0.3581,0.3578,-1,0.4786,-0.5042,-0.209,-0.7916,-1,0.2398,-0.6514,-0.5204,0.173,-0.478,-0.5598,-0.2954,-0.4232,-0.4684,0.2788,-0.1568,-0.4566,0.4938,0.3563,-0.6104,0.5112,0.1916,0.3527,0.3607,0.0302,0.3562,0.0962000000000001,0.2376,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,0.0266,0.9308,0.1071,0.0802,0.0279,0.0221,0.0254000000000001,0.9242,0.838,0.4075,0.0558000000000001,0.5443,0.9954,0.8659,0.2276,0.0565,0.8438,0.2502,0.2268,0.697,0.0550999999999999,0.0259,0.8415,0.0524,0.0777000000000001,0.8883,0.0276000000000001,0.0513999999999999,0.3276,0.3859,0.0274000000000001,0.0273000000000001,0.0803,0.0264,0.6659,0.0772999999999999,0.3079,0.3557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
