,711_P-1-S,711_P-2-D,711_P-3-S,711_P-3-D,711_S-1-S,711_S-1-M,711_S-1-D,711_S-2-M,711_S-3-M,712_E-3-S,712_P-1-S,712_P-1-M,712_P-1-D,712_P-2-S,712_P-2-D,712_S-1-S,712_S-1-M,712_S-1-D,712_S-1-X,712_S-2-D,712_S-2-X,712_S-3-S,712_S-3-D,712_S-3-X,713_P-1-X1,713_P-3-X1,713_S-1-S,713_S-1-M,713_S-1-D,713_S-1-X0,713_S-1-X1,713_S-2-S,713_S-2-M,713_S-2-D,713_S-2-X0,713_S-3-S,713_S-3-M,713_S-3-D,713_S-3-X0,713_S-3-X1,714_P3_30-34,714_S1_1-5,714_S1_5-9,714_S1_10-14,714_S1_20-24,714_S1_30-34,714_S2_1-5,714_S2_5-9,714_S2_20-24,714_S3_1-5,714_S3_5-9,714_S3_10-14,714_S3_20-24,715_P1_1-5,715_P1_10-14,715_P1_20-24,715_P1_30-34,715_P2_1-5,715_P2_20-24,715_P3_30-34,715_S1_1-5,715_S1_10-14,715_S1_20-24,715_S2_10-14,715_S2_20-24,715_S3_20-24,715_S3_30-34,716_E3_1-5,716_P1_1-5,716_P1_10-14,716_P1_30-34,716_P2_20-24,716_P2_30-34,716_P3_1-5,716_P3_10-14,716_S1_1-5,716_S1_10-14,716_S1_20-24,716_S1_30-34,716_S2_1-5,716_S2_10-14,716_S2_20-24,716_S3_10-14,717_P1_20-24,717_P3_1-5,717_P3_10-14,717_P3_20-24,717_S2_1-5,717_S2_10-14,717_S2_20-24,717_S2_30-34,717_S3_1-5
716_P1_30-34,0.0984868917143611,-0.0272666475101663,0.0984868917143611,0.958936852149568,0.841468632957018,1.00579243347412,1.01868935707504,1.03423226874583,0.914726406991104,0.642241082063026,0.0984868917143611,0.248310661852782,0.287574343029911,0.0984868917143611,0.595988355360598,0.606729793072169,0.91433488565788,0.910084830870169,0.921850321618219,0.985230331925141,0.902332564026959,0.816914461802911,0.775978789967517,0.767119593819395,0.431277811803012,0.336989746995091,1.03027318318353,0.910833753666539,0.645382089725746,0.822244295744261,0.902332564026959,0.921415897592533,1.19484620896007,1.19570064364127,0.902332564026959,1.00265330965509,1.83340787629134,1.04214783318433,0.814636640077145,0.599543547295532,0.0592755306057335,1.03094067297331,1.2773068931039,1.32133527887872,0.902332564026959,0.902332564026959,1.04612408344783,0.795490222808406,0.601241741975296,1.56164019203146,1.78357874876363,1.78739605004644,0.902332564026959,0.0984868917143611,0.563624598234832,0.265942177610123,-0.109345302973433,0.0984868917143611,-0.0295109604805271,-0.222826975379389,1.04677209847,0.0179774648145524,0.902332564026959,0.821353604571777,0.197420857051629,1.58055889895882,1.70350464505837,-0.0867355603720956,0.457690265806896,0.0984868917143611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716_P2_20-24,0.0466487717864101,-0.0480098728287904,0.0466487717864101,-0.687283241666834,-0.207520984121286,0.266450336543953,-0.451855927884226,-0.21319755026917,-0.0291879419251896,0.614272314523908,0.0466487717864101,0.300162258549634,0.339517915297941,0.0466487717864101,-0.340844087990107,-0.248349408993025,-0.261415331374667,0.370084344593281,-0.1548505695123,0.549905429967527,0.799319934707627,-0.6209537426194,0.629146399886511,0.620219675433665,0.319732372956914,0.259113164881701,-0.055582316476992,0.438029515409745,0.515787962713584,-0.372036861347019,0.799319934707627,0.331983674269044,-0.0213985776562116,-0.0601878650907265,0.799319934707627,0.165162414276151,0.0606028437888552,-0.173261294622457,-0.270755920189598,0.490822338424757,-1.58918226574144,-0.270133627463074,-0.212240580945989,0.163356500373107,0.799319934707627,0.799319934707627,0.0104933262786412,0.0402824324242747,-0.484697867179841,0.637216180865715,0.543465305475444,0.250430334219376,0.799319934707627,0.0466487717864101,-0.653275634653394,0.378487094323945,0.128802383358861,0.0466487717864101,-1.44579631160661,-1.77738305304543,-0.205889822386432,-0.31917255153858,0.799319934707627,-0.0538948076335109,0.166443538836742,0.130729510682187,0.211520209965079,-1.98036225157969,0.347639944411701,0.0466487717864101,-0.277663462757209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716_P2_30-34,-0.247811278011572,0.0501667496091307,-0.247811278011572,-1.30731064857427,0.0984345277601939,1.49447504209677,1.10508490640666,1.4644320533868,1.611550793328,0.831782998253368,-0.247811278011572,0.346479808084341,1.30554726952376,-0.247811278011572,-0.483655322395412,-0.166875850559701,0.6994836421401,1.43466288845309,1.60654214270104,0.452673215472305,1.79176769516976,-0.361132768895307,1.83959247052071,1.83657160367298,0.690211708049034,0.309496346412369,0.837314516838876,1.60093495687035,0.964079265159184,1.23741379961993,1.79176769516976,1.38400179586416,1.71266819262743,1.75999775948776,1.79176769516976,0.974009888049412,1.25882643219144,0.954784803904589,1.60472985948001,1.6231492760666,-0.871247309316015,0.665473856082252,1.57185438560929,1.06215329963552,1.79176769516976,1.79176769516976,0.585346182140024,0.870948080517597,1.03816355050925,1.29217702256179,0.410068692091488,1.81657565632564,1.79176769516976,-0.247811278011572,0.0650720096173423,1.03202019184538,1.05458561849773,-0.247811278011572,-1.43291951771651,-1.37476791341793,0.65718214522959,-0.208816657160752,1.79176769516976,-0.00397384734735553,1.06104111691533,1.61919603490036,1.53598344805413,-0.170174503567926,0.185155929765213,-0.247811278011572,0.674054740552309,-0.379647961015872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716_P3_1-5,0.085982674747305,-0.0321512642116726,0.085982674747305,0.917223944206445,0.188133281714577,0.466081778353445,0.856337728708412,0.88309871491755,0.812226177465504,0.687035257753833,0.085982674747305,0.0202189162677821,-0.0427763246922104,0.085982674747305,0.571285386331319,0.104535415841325,0.40022078076819,0.556169252844997,0.801229731264025,0.553249157154192,0.829549673460268,0.155001106396569,0.679344890202328,0.66997809892336,0.40712598647196,0.330417868581553,0.491844597686657,0.592496429670642,0.599882615211414,0.701892285846922,0.829549673460268,0.546177500305436,1.02589282592617,1.03142373062819,0.829549673460268,0.448922361990498,1.66229143718052,0.94186074668459,0.684551269528783,0.515401133704139,-0.0157538169242529,0.430545377013753,1.25962632541988,1.25272448324427,0.829549673460268,0.829549673460268,0.520793941471461,0.471809835712371,0.498188422781994,0.418175135849948,1.4111444206564,1.52353196547926,0.829549673460268,0.085982674747305,0.468880389021908,0.154543154514258,-0.307732395852189,0.085982674747305,-0.0430206684238843,-0.28117604150322,0.520133895366278,0.902080406073227,0.829549673460268,0.57764888428657,0.139864774700951,1.42133072437956,1.54180691003794,-0.144746530776535,0.432109154557599,0.085982674747305,-0.236937882088299,-0.340077611248089,0.628717849822798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716_P3_10-14,NA,-1.65031380568231,NA,0.035682170660625,-0.585522595782714,1.16504207323596,1.01514597795368,1.3298406549747,1.19890466208808,0.700257909344454,NA,0.567006506286886,-0.55862001099104,NA,-0.266088243515931,-0.514506706641535,0.60654030714564,1.19137298985556,1.14452044144508,1.14500067284303,1.19009793645682,-0.0613451623819919,1.0546848577995,1.04670214465335,-0.524549980687939,-0.969609265489131,0.617538235798551,1.22426931302705,1.19009793645682,1.04460644536729,1.19009793645682,0.878857532663757,1.36058910495714,1.3696542517094,1.19009793645682,0.410646818224201,1.09448556183228,1.32477256088043,1.04419132457673,0.912185705023104,0.391366580695168,0.602306397640029,1.2982231337869,1.28636466590596,1.19009793645682,1.19009793645682,0.588864406083032,1.13139986554376,0.911166052893562,0.134236585291964,0.770080888163359,1.23087020267309,1.19009793645682,NA,-0.464491410478012,0.662515097808753,0.567006506286886,NA,0.19158425615193,0.119075956593021,0.782495594303536,1.09717078623604,1.19009793645682,0.665857227995888,0.550325911076404,1.15265131899297,0.605154548670363,0.242522311047305,0.700257909344454,NA,0.0984868917143611,0.0466487717864101,-0.247811278011572,0.085982674747305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716_S1_1-5,0.444481016304681,-0.311536202133171,0.444481016304681,1.48925013189876,2.60667222776091,-1.26899935988936,0.0774719311465227,-0.300923527019074,-1.34319541009639,1.79636022658178,0.444481016304681,1.3889067917365,1.05918650395648,0.444481016304681,0.925962519766752,0.839838155630564,2.56414273175104,-0.357031431482897,0.795772539313449,0.478371474010971,0.54996951930485,2.62648787396134,0.487101946369142,0.487101946369142,0.629434719481044,0.263577112756629,2.67219755577737,-0.605523279767736,-1.56923878104665,0.0604307898706413,0.54996951930485,0.101779095606349,0.0890787291663171,0.0890787291663171,0.54996951930485,2.4345651489488,-1.33716814327277,-1.39078255743262,0.795772539313449,0.487101946369142,1.32502798058649,2.80331635765055,0.726534657763561,-1.47272081240966,0.54996951930485,0.54996951930485,3.38891295888083,1.05764114290046,0.134795700978606,-0.857460383791641,0.0027561245506935,0.681226482345514,0.54996951930485,0.444481016304681,1.58300772106569,1.97934875763845,1.7422849759998,0.444481016304681,0.890357356091248,0.330296521156919,2.61404282693065,-0.496674426171959,0.54996951930485,0.342728690949944,-1.49500473496372,-0.973386252175138,-0.935925292219848,0.642522053686439,1.0120990845012,0.444481016304681,1.10751011970687,0.223074097330508,0.692065006304731,0.515916474747741,0.444481016304681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716_S1_10-14,0.119075956593021,0.0281642327213955,0.119075956593021,-0.524164117783017,-0.248600868476472,0.575705029147309,0.300191089495597,0.988594981956956,0.887260161825116,0.694418938583058,0.119075956593021,0.372626370160196,0.408807326535145,0.119075956593021,-0.530405515236277,-0.509730444171254,-0.38738051223057,0.84645312279526,0.981329235403519,0.297624090304728,0.884153855486597,-0.550572937785666,0.720042054451176,0.711247711339836,0.404190019266079,0.349175450502793,0.00380511479520631,0.859804659313226,0.597759699606586,0.378274824501069,0.884153855486597,0.280323523625133,0.928207717718744,1.00123099943815,0.884153855486597,0.383269217440012,0.733852012357692,0.773388239363523,0.793410622161089,0.579419954390073,-1.31256901422482,-0.198819148660216,0.983145236952183,0.932655389576822,0.884153855486597,0.884153855486597,-0.248845672277657,0.655338474944242,0.835389665305176,0.489170283751542,0.816087870493046,0.882138122164804,0.884153855486597,0.119075956593021,-1.41617196846543,0.453305352134854,0.192433771122874,0.119075956593021,-0.185818520292929,NA,-0.104295947343682,0.843579098662746,0.884153855486597,0.0548733560431707,0.244784451486672,0.898681588781351,0.756084753600692,-1.52456917096494,0.434338387222778,0.119075956593021,-0.222826975379389,-1.77738305304543,-1.37476791341793,-0.28117604150322,0.119075956593021,0.330296521156919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716_S1_20-24,0.942597534912275,0.821466364616784,0.942597534912275,1.75415138657289,0.380658979045403,-1.51491587637286,-1.36037872757383,-1.23359184611157,0.706727075567231,1.55657797403452,0.942597534912275,1.35980013025909,1.49337824409543,0.942597534912275,1.2510704019979,0.0155878328055489,-1.14692403851728,-0.108385159444968,-2.24943026142092,-1.97198917197258,-0.911984634669856,0.00239907200971088,0.59981515055201,0.59981515055201,1.42726290865866,1.34211632673439,-1.4069114440992,-2.20071352990552,0.190963737081171,-1.80232095339259,-0.911984634669856,-2.13296192311936,-0.249110475981441,-2.20062798317859,-0.911984634669856,-0.400086043096826,-0.81797124378949,0.202130540245416,-2.24943026142092,0.59981515055201,0.752205323125747,-0.689264987203124,-1.54814926274969,-0.812217228098967,-0.911984634669856,-0.911984634669856,-1.4922532512547,-0.551647479750068,-0.853321783403085,0.957267504104343,-0.266155062402002,-1.17180870930733,-0.911984634669856,0.942597534912275,0.784550385167669,1.46429425066187,1.04051159713282,0.942597534912275,1.19806274470841,0.895818948683871,-1.30870117963459,0.0544356527038154,-0.911984634669856,0.510618033736664,-2.2217576357119,-1.64788480430135,-1.12388249011365,-0.214725691792385,1.41860719945272,0.942597534912275,0.680524336844178,-0.42994102653388,1.17861229686014,0.568415039315747,0.942597534912275,-0.48673000051368,0.895818948683871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716_S1_30-34,1.08053839155408,0.952921438054461,1.08053839155408,2.21709682659953,1.51274701014174,-0.667782057426144,0.511479279805031,-0.292450750423957,1.03629322421498,1.67505693962634,1.08053839155408,1.48834702754989,1.59786085084678,1.08053839155408,1.80886682197243,1.50143122184554,1.26754716407941,0.32117760767607,-1.22298349700445,0.397451347932011,-2.45283808842129,1.74450155109982,NA,NA,1.53035172677589,1.44582090455967,0.596711360823128,-0.642802993956766,-0.0768900728175956,0.803847354794197,-2.45283808842129,0.681057030814884,-0.0345616882302263,-1.1623001454,-2.45283808842129,0.636703122942942,-0.481481760300072,0.468096743532632,-1.32081967606273,NA,1.1300151921517,1.3111676270423,-0.88876407028323,0.0487935741280519,-2.45283808842129,-2.45283808842129,0.920686962296225,0.702402772555175,-0.373425638904454,1.47083910730944,0.1919500065042,-0.675789071940011,-2.45283808842129,1.08053839155408,1.68022717037042,1.5977114840747,1.20935188705414,1.08053839155408,1.07697785765913,0.750356190132248,0.659819707700576,0.537424289053308,-2.45283808842129,0.803508779637712,-2.45283808842129,-1.37679060415989,-0.711189279481962,0.865380286363147,1.53200597367668,1.08053839155408,0.801912833826111,0.660418252678204,1.8311489092666,0.709554999979086,1.08053839155408,0.487101946369142,0.750356190132248,0.59981515055201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716_S2_1-5,0.160819375658947,-0.116116231672133,0.160819375658947,1.31832249926733,-0.81697551341554,-0.971605494557604,0.964680940437505,0.443694226105414,0.297466173972747,1.32259692254431,0.160819375658947,1.18136549891215,1.14642432314576,0.160819375658947,0.814806907477251,-0.720856592746699,-0.566414281435069,1.32353550734021,0.98922445947474,-0.638420100736166,2.07042380436076,-1.05745439128944,1.81986558658947,1.81986558658947,0.700739066024815,0.344458125744308,-1.1686090048365,1.47064710381981,0.237577656126402,1.32661586981265,2.07042380436076,1.80096647813005,0.982504128756756,0.903104837188132,2.07042380436076,-0.655970496166876,0.348685993380381,-0.1899631033508,1.02176419054857,1.81986558658947,1.04837151612534,-1.25042072473946,1.04692382913719,-0.205938937787119,2.07042380436076,2.07042380436076,-1.08441051524984,1.11482670258271,0.790471886242726,1.90050435314701,1.04992110286083,1.00155952230114,2.07042380436076,0.160819375658947,0.0934894776801411,1.52982500678736,1.43386178405709,0.160819375658947,0.504176137504125,-0.0191809386759501,-0.714269911909485,0.383044722281739,2.07042380436076,1.78139359600938,-0.436958087102374,0.311605510667303,0.387965976921794,0.601971081797699,0.657724262998005,0.160819375658947,0.86741290693123,-0.296666703745549,0.552136802242421,0.26196760094564,0.160819375658947,1.05324958739116,-0.0191809386759501,0.806139787504202,1.81986558658947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716_S2_10-14,1.13127834505603,-1.15993759344901,1.13127834505603,0.276160439256261,0.585272697912273,-0.183849513325771,0.00743974890800655,-0.919753903824888,-2.24881251780484,2.16150976188817,1.13127834505603,2.06701941414058,-0.00592336095345014,1.13127834505603,0.133489650215196,0.2757883177855,0.78100195743016,0.535406085968432,0.646421241179226,-1.48778227127274,0.602806532901854,0.464848962198336,0.60426068507232,0.60426068507232,0.0210791269405262,-0.105251018905987,0.187947572982164,0.41572344772023,-1.64847359274168,0.177380236175811,0.602806532901854,1.05956252193973,-0.30339245953099,-0.30339245953099,0.602806532901854,0.506567754268027,0.991893759144058,0.180348435064032,0.646421241179226,0.60426068507232,0.496321077549346,0.512456171778461,-0.733812490509075,0.277300278186911,0.602806532901854,0.602806532901854,-0.95715177106708,-0.202150848908349,0.199566895882604,1.31748883560876,-0.400907972191968,2.69581099873059,0.602806532901854,1.13127834505603,-0.315766870209814,1.15242874089513,0.916721144441294,1.13127834505603,0.0606070476613183,-0.13310433942117,0.450016810300994,-1.32382982817038,0.602806532901854,0.747227931317158,0.0749195898627442,0.0427192570300081,0.275681276032396,-0.434210362084007,2.57910229302741,1.13127834505603,0.849991109930913,-0.0880299240032679,0.0550301047797288,0.654725569230057,1.13127834505603,0.712817917277489,-0.13310433942117,0.058495949818535,0.60426068507232,0.887403748390973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716_S2_20-24,0.59082912182975,-0.384325600751452,0.59082912182975,1.57711842154564,0.144338435099011,-1.41015033818314,-2.09028842468025,-1.87838113886945,-1.41666838737159,1.7596044697225,0.59082912182975,1.40068993414563,1.11307265388875,0.59082912182975,0.958393861447748,-0.255141138832998,-0.780809030108942,-0.971563523236655,0.543076314851457,-2.16934885896987,1.302767652124,-0.205641535683116,1.30577708293469,1.30577708293469,1.09797799008192,0.5871567996335,-1.53572958633335,-1.86147589042188,-1.38804753773667,0.510244358213424,1.302767652124,-2.54084578299396,-1.81424148778965,-2.00334866020172,1.302767652124,-0.631537807381277,-1.67742193365799,-1.15175827840045,0.592570803485357,1.30577708293469,0.47212677461035,-0.579528969293715,-1.6706320851998,-1.52330367960435,1.302767652124,1.302767652124,-1.97794295414634,-1.52815062175639,0.749719491278377,0.455408792558714,-1.37744409035599,-1.45398111948586,1.302767652124,0.59082912182975,0.523099642659355,1.80058153484001,1.34667439833525,0.59082912182975,1.11469149798459,0.596420613299135,-1.29498367218718,-1.00085700856346,1.302767652124,-1.219698004625,-1.09639564054882,-1.50365496927274,-1.67183037679805,0.0634263785397948,1.53919764966048,0.59082912182975,1.10315636038188,-0.170013435763334,1.06520461107472,0.960150321433068,0.59082912182975,-0.751823252995328,0.596420613299135,0.802586873035728,1.30577708293469,0.995477428346676,-1.83535057985276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716_S3_10-14,0.624155810261457,-0.0118674745855119,0.624155810261457,1.38323363077122,-0.179848916520533,-1.52649520669843,-0.840495511173523,-1.813461578062,-2.62195689344213,1.54658943243169,0.624155810261457,1.38971063360074,1.36589286985367,0.624155810261457,0.740040118670969,-1.0102798990381,0.550714723435051,-0.556314010327855,0.788281964843338,-0.474383825912007,-0.0895839279737486,0.0694547584756216,0.0545087524865303,0.0545087524865303,0.764557584325911,0.659052518845438,-0.614322910401985,-0.702827282004201,-1.23776949395369,-0.939929715785235,-0.0895839279737486,-1.2623018534178,-1.55469139933926,-1.51309321020949,-0.0895839279737486,-0.332288241423217,-1.07100844180288,-1.77622395146465,0.788281964843338,0.0545087524865303,0.904391013242817,0.311819383344109,-1.18521781786968,-1.62246762694246,-0.0895839279737486,-0.0895839279737486,-1.16145365275144,0.0819201790787562,-1.44345290948896,-0.23803745431619,-1.71045027741097,-0.609079693525594,-0.0895839279737486,0.624155810261457,0.418363842385701,1.68038424689028,1.36316777331936,0.624155810261457,1.07665221268687,0.441086711223637,0.229057069144674,-2.18264904017036,-0.0895839279737486,-0.987874820416236,-1.18251902277542,-1.34744660073769,-1.05587799478301,0.404261675081678,1.54416828468264,0.624155810261457,1.24103374738879,0.136995624784349,0.0964131310991933,0.873946973860355,0.624155810261457,-1.1185285210746,0.441086711223637,-1.1815964437995,0.0545087524865303,0.600144879455153,-0.779624464513701,-1.8339792661536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
