,711_E-1-S,711_E-1-M,711_E-1-D,711_E-2-S,711_E-2-M,711_E-2-D,711_E-3-S,711_E-3-M,711_E-3-D,711_P-1-D,711_P-2-D,711_P-3-D,711_S-1-M,711_S-1-D,711_S-2-M,711_S-2-D,711_S-3-M,712_E-1-M,712_E-1-D,712_E-2-S,712_E-2-M,712_E-2-D,712_E-3-S,712_E-3-M,712_E-3-D,712_P-1-D,712_P-3-D,712_S-1-S,712_S-1-M,712_S-1-D,712_S-1-X,712_S-2-D,712_S-2-X,712_S-3-D,712_S-3-X,713_E-1-S,713_E-1-M,713_E-1-D,713_E-1-X0,713_E-1-X1,713_E-2-S,713_E-2-M,713_E-2-D,713_E-2-X0,713_E-2-X1,713_E-3-S,713_E-3-M,713_E-3-D,713_E-3-X0,713_E-3-X1,713_P-3-X1,713_S-1-M,713_S-1-D,713_S-1-X0,713_S-1-X1,713_S-2-S,713_S-2-M,713_S-2-D,713_S-2-X0,713_S-3-M,713_S-3-D,713_S-3-X0,713_S-3-X1,714_E1_1-5,714_E1_5-9,714_E1_20-24,714_E1_30-34,714_E2_1-5,714_E2_5-9,714_E2_20-24,714_P1_30-34,714_S1_1-5,714_S1_5-9,714_S1_10-14,714_S1_20-24,714_S1_30-34,714_S2_5-9,714_S2_20-24,714_S3_5-9,714_S3_10-14,714_S3_20-24,714_S3_30-34,715_E1_1-5,715_E2_1-5,715_E2_20-24,715_E2_30-34,715_E3_1-5,715_E3_10-14,715_E3_20-24,715_E3_30-34,715_S1_1-5,715_S1_10-14,715_S1_20-24,715_S1_30-34,715_S2_10-14,715_S2_20-24,715_S2_30-34,715_S3_20-24,715_S3_30-34,716_E1_1-5,716_E1_10-14,716_E1_20-24,716_E1_30-34,716_E3_1-5,716_E3_10-14,716_E3_30-34,716_P3_30-34,716_S1_10-14,716_S1_20-24,716_S1_30-34,716_S2_10-14,716_S2_20-24,716_S2_30-34,716_S3_10-14,716_S3_20-24,716_S3_30-34,717_E2_1-5,717_E2_10-14,717_E2_20-24,717_E3_1-5,717_E3_10-14,717_E3_30-34,717_P2_20-24,717_S2_10-14,717_S2_20-24,717_S2_30-34,717_S3_1-5,717_S3_10-14,717_S3_20-24
713_S-2-M,1.51705918951054,2.8987728883709,2.44984039503632,3.37450106145181,3.51559697906557,2.5349496290565,2.90581316931847,2.67720189480076,2.75163821522777,-1.65734729512375,-0.443437200074302,-1.65734729512375,0.638335407088526,-0.15396867901963,-1.63136722887301,-0.870514941542281,-1.1150382814027,3.0596617836837,2.36053406408105,3.72871092367746,3.57343281677714,2.48050009601505,3.52481697744864,0.811230285634881,2.18367692478217,-1.00783406570799,-0.427798309674477,-1.37524535020598,-0.368517779787276,-1.54628829326947,-1.38549873178168,0.00760899308749711,-0.869795210016323,-0.543990835007662,-0.577507102301252,2.84706383321474,3.49030763144637,3.0775619163094,1.58685589160728,2.84126453424427,2.02697682677835,0.929138625415854,2.49285388716216,2.42796496612496,2.86696993100175,3.23503828588193,2.90137289632062,2.54274704207542,2.58482634360799,1.50376264963099,-0.313683831410223,-0.246746081827855,-0.642199476304934,-1.573879971966,-0.989830122741564,-0.969082813028501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-D,4.14973472540951,5.87714216133145,5.95442748283123,5.26856668712858,5.31571199027719,5.95500098116981,4.46940388179497,5.13123428428351,6.22683572998126,-2.66300395866471,0.106578633609268,-2.66300395866471,-0.119281594324439,-0.45270126373536,-1.73589028426809,0.758932628730971,-2.74095034878076,6.44460116610294,4.28336151107901,6.8571667327627,5.62924625159809,6.22334335240946,6.68440508090304,2.47038096528612,5.89322113426476,-2.76909209064975,-0.529518967355455,-1.93944036278355,-1.57221192682439,-1.44581626719085,2.02289368451771,-1.80380313687349,-0.477117385976624,-1.73786301184725,-1.73786301184725,5.93773012288013,6.49801596055701,6.07103438412548,3.57059596127362,3.63911825587389,3.46943869140819,5.81215049706603,5.75479060115016,4.23356566617952,3.56699879536,6.36532456917345,6.43986543488305,3.26419372163052,3.31505246125909,1.69383507148966,-0.973551343749107,-0.569207458666213,-2.43926818842219,-3.26231184011406,-2.28927883494339,-2.04922977613436,-1.46705293032112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-X0,2.33686770717612,3.26638743741393,3.64116626236504,3.21026164204092,3.88544865864329,3.33633646878991,2.11755682082015,3.11235496980133,3.09861340710998,-2.31224810979843,-0.367689501188005,-2.31224810979843,-0.283247396047588,0.456021204811443,1.27740758207669,0.883421989641864,-1.72661017836434,3.52617245681155,3.00887024064334,4.04302946716037,3.29544938377683,3.35197079229659,3.09055200898618,0.980681338959755,3.1797383544511,-2.81553452519743,-0.465540233896425,-0.977509436636348,-1.12481152404118,-0.981348791904053,1.50056777326734,-2.0543407043521,-0.29395834860058,-1.15596272194427,-1.22998492544482,3.75353808589743,3.84464891849116,3.4227439845925,2.20497942790077,2.14787615987513,1.54425217438821,2.44305247028583,2.8809926938228,2.99772042036066,2.406765233262,3.43051827376238,3.56273352784247,2.4136812426837,2.15692720152609,1.02678069118466,-0.0699490475854043,0.385365007861294,-2.15589748581091,-2.84531971630646,-1.38075847569614,-0.811437743943119,-1.50650660036125,0.948052335101879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-M,2.76548189377,2.16370311694611,2.07264887082549,2.20134249217187,1.76600258337779,2.32057962482774,2.86657780865524,3.06560976256796,2.32765980327805,0.684703564266657,1.32193954681498,0.684703564266657,0.511599719348125,0.380350579341992,1.69195209677631,1.44667675501717,0.756334534777044,3.19337303879345,2.17626821615486,3.13182852262355,3.04660559699284,2.33333125956151,3.44046732439883,2.73593857329963,2.34184452413516,1.0044351938974,1.45605901685404,0.336578107286523,0.0106810727759519,0.905650195249317,1.28792337021722,0.802015371243461,1.19961981667346,1.0488345589984,1.11783011937133,1.98927781832234,2.24202677899718,2.43292651388433,3.01280556592885,2.66568513972076,3.1358687371433,2.8892542617783,2.26893277767325,2.98205724812243,3.14260755657548,2.32124516513638,2.89850905169675,2.55317332908536,2.53122845788332,1.8943911749048,1.32943883161459,0.779969003970266,0.945618918377807,0.488693666495664,0.820522776401372,0.383010307973406,1.16712442665512,1.42329612103103,1.46681785656134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-D,2.27986591745825,1.95619736416746,1.20742231430069,1.01861154762783,1.75009844416206,1.24273832407284,1.33564085091056,2.69151862688281,1.06253096854124,-1.82452616426762,0.91753711459299,-1.82452616426762,-1.25399466324856,-1.94529947341141,-1.24874933179503,0.821844706913728,-0.168866325584657,2.40403603315967,1.16205206876501,3.11882137422711,2.96044048468391,1.17699856540672,2.53205675833304,2.24014160192648,1.11487872820674,-1.30844142445117,0.518034213665911,-1.32912111290983,-2.03398568606031,-1.11990136880719,-0.395470183914425,-0.19512722627981,0.102661775662868,0.306730054831647,0.304032749700548,2.26604741684371,2.55265762694493,2.63343671378159,2.05434652989172,1.8963762082103,3.25642329218235,2.90276311342195,0.889366225109087,2.00175081854535,2.03299467526763,2.35525973305472,1.65267536531367,1.80683442586606,1.76296266993784,1.97115762395539,-0.542666802206775,-1.6962205824822,-0.633826593923473,0.0479858567573596,-0.0388878721574037,-2.07846856737631,-1.10980252654493,-0.471113440566241,-0.222643321394198,1.21048193330145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-X0,0.674577523905068,1.05083013257055,1.38896305143235,1.28656634083815,1.41965253706973,1.39652694699231,1.04864317254109,1.59608586961047,1.4222615417798,-0.855056980986003,-0.308374481188989,-0.855056980986003,0.347177732161418,0.582933717630463,-1.57540487444579,-1.99447503683211,-2.26268008428415,1.51297069432581,1.3422509122178,1.77084878109926,1.65514949204031,1.45371599588532,1.80686404910251,0.0406982755693804,1.22132640358879,-0.401291127068686,-0.658780728986587,-1.30629235144576,-0.533675587472933,-1.9930356121749,-2.09756511444837,-2.26426937413439,-1.91833015211172,-1.86079811616232,-1.85886997422747,1.27596178511593,1.69971257832044,1.64962239306217,1.4384545101975,1.65647663514179,0.738427781697625,0.729335544803245,1.06952261263272,1.00957943094695,1.28420336060792,1.66209969061762,1.53242265155398,1.48801186596221,1.61685105940865,0.330147017517045,0.496633290347924,0.661080180539109,-2.46686209069599,-2.10760606476564,-0.512566900661116,-0.682308957166235,-1.59247070789691,-2.97403282340023,-2.04819637552873,0.837838639646677,-0.253054218957295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-X1,0.462013329672838,0.695005613708209,1.00456289199736,0.93356493805346,1.15415366955416,0.88480150236523,0.720283770134816,1.33484249921738,0.930708280148483,-0.922522332085245,-0.385251170574235,-0.922522332085245,0.658741922044974,0.920460984145735,-0.928612257980741,-1.54352775323931,-2.18172830625955,1.41831923203243,0.922215479953267,1.40643753210273,1.31562762835288,0.93329016984809,1.03786960092535,-0.226115569344339,0.699387584539432,-0.777596193990914,-0.760474945097429,-0.069897184263164,0.0682162994265534,-0.810652081012221,-2.22101392925734,-0.957857154505576,-1.84397966026506,-2.10174591936257,-2.09369783642548,0.905080339259609,1.25780935036304,1.14289620937003,1.1403000756743,1.16249226101756,0.123109321709099,0.377681039084101,0.602626099776798,0.745611527090858,0.966277311963862,1.24133711240259,1.14379408734901,1.04566074095127,1.25555831731199,-0.125428650010613,-0.0125730627024259,0.597052264258376,-2.31487970215469,-1.59866210330281,-0.0503197632943135,0.17374303030988,-0.706923538728722,-2.33042399400128,-1.68701434471075,0.67623770709564,-0.0514960925726962,-0.433354974879956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_E1_1-5,-0.985642782013172,0.18864361137525,1.54342028657623,2.18763598412036,0.228079836476953,0.191221893685121,1.29020479351275,1.97069663599747,0.687489372573683,-0.33080570747339,0.895729150384347,-0.33080570747339,1.9324375560234,2.44273619003689,5.10636269959215,5.50463196731472,2.28571667488754,2.63690776473341,-0.0602139657972348,0.456663042671687,1.63592411088407,0.921563015560337,0.840081753348083,0.0692389354564837,1.07552930691814,-0.000877049231689719,-0.258251851102109,0.620020030583678,0.97806046926389,4.95509254712093,3.50006524960961,3.4872368973363,3.7583531667224,3.2043628138624,3.18903346115939,0.361798885920132,0.975071129112683,-0.372103078609378,0.181420109374671,-0.261616064763858,-1.02940082745997,-0.679012980255449,-0.19180013154309,-0.608367997716568,1.41049174490642,0.193435955655324,0.383199421387503,1.6364085678783,0.530797547288118,1.03252356516791,0.974243376999445,1.5194745487322,1.80441181460927,1.62087200238836,0.10003439211828,0.984445210320785,3.16800438452812,5.33126810673846,3.31293256379322,2.9178705584361,2.80583751971746,1.81600311654807,1.54594117284846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_E1_5-9,-0.334610362701278,0.20161556728831,1.37473323621183,2.34288785256873,0.535177188406027,-0.467655502813315,2.29297509562963,2.02611126537436,0.847962036427187,-0.585106402582607,0.882595689817568,-0.585106402582607,1.70085792736643,2.02128969051342,4.3356415597147,4.60457345193902,2.07148049224606,3.95736369835641,-0.304034625351077,0.248361247460705,1.94235788383127,0.377579874606084,1.3542704489923,1.96222542711833,0.300110978740456,0.31593595475147,-0.284240707925702,0.33070865228007,0.663744646771844,4.3849242181568,3.47387869437124,3.05989337457609,3.35125984613502,2.88438795347196,2.86775089078142,0.993422042681488,1.1861980127554,-0.433892670154262,0.208397415819453,-0.505800460443324,0.645913642662109,0.360651528233582,0.749149394505887,-0.0479017206333428,1.34290611587657,0.497158855874611,-0.00114557295706438,2.67617213916677,0.865882961285012,0.8881110251977,1.25513526368558,1.53596308522774,1.58684000759665,1.40665348937301,0.0812442745795055,0.643548627304515,2.97564858250278,5.12003625450841,2.94250634950183,3.03259635644705,2.50161079428498,1.65342833093629,1.40612531612315,1.30499565581299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_E1_20-24,-0.644454790657446,0.40372008788245,-0.504330689214578,-0.362839649770522,1.96186581601899,-0.737678287494375,3.47460076840202,1.24264883475214,1.17114169852158,-0.222401954162552,1.69312861167956,-0.222401954162552,2.22321359360545,2.34261835826922,4.7338302344952,4.30949245935827,2.0937599919189,0.842656851046214,0.954780673982624,0.00247079546217536,0.0502263220323884,-0.593240217953326,3.03218245666448,2.46239027584369,-0.56019835339035,0.908125368883963,1.28346349419026,0.507553597466074,1.04362123527118,4.31644058196223,2.78300717274652,3.23652608017168,3.96856557701736,3.24389193776636,3.24389193776636,2.69736833879645,2.21299043898928,-0.424454688493918,0.805225481939825,1.96796312715435,2.60362009624458,0.415585783922613,0.580725673817894,1.83708046084361,3.22206561437904,-0.151105248878413,2.44027681200566,2.86833226082161,2.6587809785661,2.40707854165166,1.98844258430825,2.0157354267385,1.78070884034227,1.78792048530993,0.431463556494922,0.924056457815301,3.29458956633205,4.92796263487603,2.58053084343394,2.35687659866177,2.32706666469579,1.75899744341129,1.4536584522837,1.83992606365227,1.26677290124787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
