,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
34,-0.9078,-0.6672,0.8336,0.9848,-0.4912,-0.5444,-1,-0.244,1,-0.3028,0.9206,0.0676000000000001,-0.015,-0.811,-0.5738,-0.3238,0.6544,-0.4806,0.1428,0.8022,0.9956,-1,-1,-0.7868,-0.4872,-0.508,0.2447,-0.418,0.1714,0.8278,0.9934,-0.1128,-0.927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,-0.668,-0.9984,0.424,0.9458,-0.8704,0.4107,0.4064,-0.3864,-1,-0.5526,0.6366,-0.5944,-0.6348,-0.7678,-0.979,0.0780000000000001,0.6278,0.6544,-0.3868,0.5312,-1,0.2275,0.2243,-0.8958,-0.8248,-0.7162,0.2265,-0.438,-0.4416,0.8146,-1,-0.1726,-0.7506,-0.5832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,-0.6104,-0.8406,-1,-1,-0.6552,-0.4926,-0.3778,-0.1066,0.9944,-0.8752,0.6792,-0.452,-0.479,-0.4838,-0.7334,-0.5156,-0.3592,-0.1982,-0.6584,-1,0.9294,0.2903,0.2893,-0.6948,-0.8182,-0.784,-0.643,-0.431,-0.77,-1,0.8486,-0.5806,-0.6354,-0.5112,-0.603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,-0.9354,0.1013,0.274,0.5586,-0.8976,0.0521,-0.922,-0.3396,0.7444,-0.5782,0.4284,-0.683,-0.6848,-0.9004,0.1606,-0.6434,0.2032,-0.9232,-0.2364,0.2846,0.699,-0.9484,-0.948,-0.9114,-0.8152,0.2275,0.0269999999999999,0.0993999999999999,-0.2874,0.419,0.7654,-0.6932,-0.9016,-0.8516,0.2268,0.2942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,-1,-0.5436,0.931,0.9534,-0.235,-0.356,-1,0.1282,0.9998,-0.0838,0.9724,0.3872,0.378,-0.7146,-0.375,0.0631999999999999,0.7184,-0.1454,0.226,0.9246,0.9962,-1,-1,-0.7626,-0.2284,0.0864,0.3426,-0.7066,0.2242,0.7812,0.9862,0.1672,-0.764,-0.6758,-0.3492,-0.258,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,-1,-0.3718,0.9316,0.9896,-0.1128,-1,-1,0.3694,1,-0.0222,0.9122,0.3628,0.3542,-0.381,-0.4156,0.0138,-0.1314,-1,0.5472,0.8576,0.9996,-1,-1,-0.7244,-0.8092,-0.0876,-1,0.1162,0.1446,0.8506,0.9866,-0.1162,-0.3914,-0.00600000000000001,0.2336,-0.956,-1,0.4436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.3244,-1,0.9876,0.9964,-1,-1,-1,0.8786,0.9998,0.64,0.3302,-0.911,-0.9254,0.4078,-1,0.5022,-0.8098,-1,0.854,0.924,0.9986,-1,-1,-1,-1,0.1662,-1,0.6342,0.5504,0.8954,0.9754,-0.1104,0.6852,0.877,0.285,0.2666,-1,0.931,0.6766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,-0.9174,0.279,-1,-1,-0.357,-0.8584,-1,-1,0.98,-0.6098,0.9044,0.0820000000000001,-0.00580000000000003,-0.4974,-0.4492,-0.1876,0.5036,-0.6892,-1,-1,0.9566,-0.8668,-0.8606,-0.5948,-0.3864,0.5381,0.0833999999999999,-0.8826,-1,0.5652,0.9282,-0.4386,-0.8544,-0.8228,-0.6846,-0.7546,-0.8536,-1,-1,0.599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,-1,-1,0.4398,0.964,-0.6858,-1,-1,0.1902,1,-0.2202,0.9536,-0.0458,-0.0436,-1,-1,0.1444,0.0531999999999999,-0.1486,0.0880000000000001,0.4338,1,-1,-1,-1,-1,-0.2278,-1,-1,-0.1098,0.8914,0.989,-0.1344,-0.4456,-0.117,-0.34,-1,-1,0.2072,0.1154,0.7194,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,-1,-1,0.9992,0.986,0.4244,-1,-1,0.9754,0.9968,0.9338,0.8002,0.8456,0.8442,0.2668,-1,0.954,-1,-1,0.986,0.9962,0.95,-1,-1,-1,-1,0.7424,-1,0.9154,0.935,0.9168,0.9772,0.4176,0.7314,0.9034,0.8138,0.0314000000000001,-1,0.9564,0.903,0.8314,0.7984,0.9258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
