,711_S-1-M,711_S-1-D,711_S-2-M,711_S-2-D,711_S-3-M,712_S-1-S,712_S-1-M,712_S-1-D,712_S-1-X,712_S-2-D,712_S-2-X,712_S-3-D,712_S-3-X,713_S-1-M,713_S-1-D,713_S-1-X0,713_S-1-X1,713_S-2-S,713_S-2-M,713_S-2-D,713_S-2-X0,713_S-3-S,713_S-3-M,713_S-3-D,713_S-3-X0,713_S-3-X1,714_S1_1-5,714_S1_5-9,714_S1_10-14,714_S1_20-24,714_S1_30-34,714_S2_20-24,714_S3_5-9,714_S3_10-14,714_S3_20-24,714_S3_30-34,715_S1_1-5,715_S1_10-14,715_S1_20-24,715_S1_30-34,715_S2_10-14,715_S2_20-24,715_S2_30-34,715_S3_20-24,715_S3_30-34,716_S1_10-14,716_S1_20-24,716_S1_30-34,716_S2_20-24,716_S2_30-34,716_S3_10-14,716_S3_20-24,716_S3_30-34,717_S2_10-14,717_S2_20-24,717_S2_30-34,717_S3_1-5,717_S3_10-14,717_S3_20-24
712_S-3-X,-1.87705050637063,1.12330330036623,-0.251659730867598,0.71192453453855,-0.972013448584747,-0.834147353622028,-1.46302457477575,-0.448141911602027,1.04083557216578,-0.625929060478099,-0.2673796428086,2.1259002362201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-M,-1.10514952919025,1.11568721131716,-0.182266841022631,1.53300601262373,0.614872844454262,-0.665865558524256,-0.592950810630737,0.0790136961785579,0.443731011418023,0.554309131113419,0.141082332849412,-0.872452420773115,-1.06485826801653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-D,-1.25787465529488,-0.263959408903219,1.93122864842117,2.56397749019459,1.9794378865752,-0.97939081128577,-0.690077415310301,-0.495485511647295,-0.117831529772239,1.67137409943299,-0.775197913727292,0.709786148723408,0.608487690532101,1.26650690554582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-X0,1.30569073203128,0.811287922106808,-1.02152877424776,-0.303577927107448,-0.849762118915577,-0.00966808617676272,0.184903271914493,-0.609525142144869,-0.236136741853942,-1.10308404202717,-0.127707219210075,-0.469213854278909,-0.596416913186893,1.27297244798909,1.26409603974719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-X1,-0.360065328297428,0.639291984618487,-0.526517019460479,-0.129364720364053,-0.120630636132376,-0.539612988843176,-0.694733263906731,-0.600956257573184,0.21226840947956,-0.888890119854298,-0.318573854877857,-0.206684323465206,-0.326680978506999,0.418579186783433,0.335475066838238,-0.701854751562554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-S,-1.30140225330468,-0.0924039873387727,-0.548934858285725,0.951977453773527,-0.0569538912076217,-1.21720944722468,-1.11947831481411,-0.257512198155846,0.196942861793602,-0.707555637048083,0.497074361234267,-1.0335545333655,-1.08915223243598,-0.226736159218183,-0.862147466930997,1.333966635565,0.431331451242325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-M,0.0771728856700374,1.14934712451726,1.34557216428727,1.21384971343779,0.0380531480883381,-0.104088612126981,-0.555387916347833,1.98917972533636,0.479535167197127,0.752390217896243,1.09808919222186,-0.0662910740511842,0.0437907720190473,0.375660897611087,0.964094944917578,-0.180477170757695,-0.161850283756357,0.937393058035175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-D,-0.760510115977404,1.70769450537171,0.963001831467859,0.455711123601134,0.0207812992267092,-1.22695510563256,-1.67621608448767,0.100675152617409,0.952121562221333,0.301207310582,0.910963974566873,0.0852057200053328,0.130788463145277,0.0434911299338939,1.7329702588067,-0.117541511560545,-0.42203532036225,-0.77228366156726,-0.127855526732303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-X0,-0.108602156948058,0.736695637421432,0.129951117236531,2.44238258942145,0.113235481568429,-0.801981721003579,-0.825880709202577,0.239695364817949,-0.0822282610311417,0.511225704937877,0.725970083209433,0.809074221326658,0.729133655839234,0.635017504071954,0.122360079016526,-0.590792013646344,0.0540098076205853,0.741968293851714,0.495043961387301,0.532778888087531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-S,0.527217168775951,0.997330574341987,-0.887680442294017,0.194104810773625,0.443895183552265,-0.544576691604676,0.399603084170018,0.32399875486789,0.411959387481923,0.374245281705047,0.513172117351486,-0.362589524351655,-0.392205521807295,0.662900601248315,1.19321028900973,0.890426659436731,-0.110735482210047,0.411754050035743,-0.145624935043556,-0.657541787641527,0.491382107020641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
