,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
27,1,0.9784,0.8668,0.4842,0.94,0.837,0.9608,0.9868,0.9106,1,0.93,0.983,0.9992,0.5588,0.7348,0.9264,0.7716,0.9852,0.988,0.9898,-0.7392,-0.8428,0.9838,0.999,0.9376,-0.2772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0.988,0.9964,0.7502,0.9908,0.9742,0.6802,1,0.997,0.9208,1,0.9962,0.85,0.9862,0.357,-0.2642,0.348,0.8344,1,0.9732,0.9866,0.9562,0.9872,0.6422,0.8918,0.9866,0.462,0.9926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,0.9986,0.976,0.6164,0.594,0.9372,-0.9986,0.9506,0.9892,-1,1,0.8692,0.8964,0.985,-1,-0.9988,-0.9104,-1,0.9514,0.2674,0.9014,0.596,0.7012,-0.0498,0.9474,0.9578,-0.8056,0.9722,0.9056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.9964,-1,-1,-0.2138,-1,-1,-0.1352,-1,-1,1,0.0676000000000001,0.9274,0.9834,-1,0.502,0.6946,-1,0.3956,-1,0.4378,-0.6968,-0.5022,0.8494,0.992,0.847,-0.4326,-0.921,0.3474,0.8998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0.9972,-1,-1,0.2354,-1,-1,0.2776,0.7034,-0.3486,1,0.2028,0.97,0.995,-1,0.739,0.8644,-1,0.5372,0.2432,0.5826,-0.5208,-0.4624,0.94,0.999,0.931,-0.12,-0.8082,0.5602,0.9612,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.7016,-0.6362,-1,-1,-1,-1,-0.9534,-0.8374,-0.4438,-1,-1,-0.8634,-1,-1,-1,-1,-0.9962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,0.9628,0.9748,0.7822,0.9566,0.9772,-0.5248,0.4098,0.9736,-0.0698,-1,0.2044,0.968,0.9998,-0.8066,0.9304,0.4388,-0.2574,0.939,0.8382,0.6218,0.9982,0.9976,0.8928,0.9218,0.9976,0.9864,1,0.9292,0.7746,0.9992,0.9998,0.741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,0.9996,1,0.907,1,1,0.63,1,1,0.998,1,0.9978,0.9296,0.9956,0.6922,0.8616,0.9118,0.8604,1,0.9996,1,0.997,0.9928,0.9414,0.9862,1,0.9564,0.9972,1,0.9926,0.9554,0.9628,0.6764,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,0.9598,0.9376,0.99,0.9742,0.9996,1,0.9994,0.9738,0.9966,0.992,0.9184,0.869,0.9648,0.9956,-0.5696,-0.1148,0.9822,0.9772,0.9994,0.9934,0.6344,0.7558,0.8942,0.9382,0.952,0.1148,0.8878,0.9768,0.9444,-1,-1,-1,0.6174,0.9798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,0.9974,0.9972,-0.16,0.8516,0.686,0.484,1,0.997,0.9278,1,0.7722,0.9232,0.9432,-0.426,0.5274,0.7268,0.2922,0.9622,0.9508,0.998,0.5362,0.8364,0.7194,0.9958,0.9754,-0.8558,0.6158,0.9884,0.9978,-0.6896,-0.8088,-1,0.9996,1,0.5462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
