,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
27,0.771,0.1298,0.3992,0.1041,0.938,0.2726,0.0177,-0.7854,0.9262,0.2135,0.837,0.5146,0.6926,0.1857,0.0184,-0.9656,-0.8092,0.3482,-0.943,-0.7348,-0.9674,0.0184,-0.9274,-0.8408,-0.5098,-0.7392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,1,0.7536,0.9924,0.9906,1,0.9222,0.7954,0.418,1,0.813,1,-0.7258,1,0.8396,-1,-1,0.674,0.9108,-1,0.9514,-1,-1,0.5236,0.1436,0.997,0.805,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,0.9876,0.8672,0.787,0.8792,1,0.1294,0.4811,0.8438,1,0.0906,0.9974,-0.9908,0.999,0.3838,-1,-1,0.5746,0.535,-0.1968,0.7748,-1,-1,-0.545,0.2822,0.9908,0.00439999999999996,-1,-0.597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.2244,0.4768,0.2122,0.3286,0.9996,-0.6338,0.3055,0.4462,0.9854,-0.1952,0.581,0.2544,0.8444,0.1866,-1,-1,-0.1546,0.2668,-0.6118,-0.0175999999999999,-1,-1,-0.5082,0.1914,0.1832,0.1462,-1,-0.4042,-0.986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0.27,0.1434,0.429,0.176,0.9998,-0.9908,0.2633,0.473,0.7886,-0.7138,0.5856,-0.9192,0.6298,-0.2018,0.2429,-1,0.356,0.1774,-0.3874,0.481,-1,-1,-0.2722,0.5086,0.76,0.2198,-1,0.2468,-0.7906,-0.8854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,1,0.537,1,0.9906,1,0.728,-1,0.8574,0.8766,-1,0.9998,0.9956,1,0.5412,-1,-1,0.496,0.6774,-1,0.5682,-1,-1,0.8206,-1,0.9948,0.9098,-1,1,0.9984,0.9272,0.6066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,0.5634,-0.0864,0.9746,0.7652,0.379,-0.4118,0.4589,0.6368,0.2802,-0.7798,0.9992,0.7746,0.7088,-0.6502,-1,0.4571,0.5712,-0.5214,0.3492,0.7422,0.4664,-1,0.0768,0.6638,0.9238,0.5982,0.468,0.9992,0.8568,-0.2002,-0.4648,0.9994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,0.7614,0.1301,0.2584,0.1113,0.9188,-0.6466,0.0157,0.1587,0.9256,0.2227,0.8438,-0.3812,0.6404,0.1807,0.0170999999999999,0.0186999999999999,0.1078,-0.686,0.0402,0.1502,0.0175000000000001,0.0169999999999999,0.0553999999999999,0.1883,0.2697,0.2144,0.0206999999999999,0.5666,-0.0570000000000001,-0.7694,0.253,0.5614,-0.4312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,1,0.699,1,0.9932,1,0.851,-1,0.8968,0.998,0.74,1,-0.052,1,0.7524,-1,-1,0.9266,0.6632,-1,0.998,-1,-1,-1,0.6892,1,0.8368,-1,1,1,0.866,0.4974,0.9998,0.9894,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,0.5722,0.721,0.998,0.932,1,0.1618,0.6146,0.9282,0.6104,0.0174000000000001,0.1964,-0.7458,0.9896,0.1794,-1,-1,0.8464,-0.7368,-0.1004,0.968,-1,-1,0.5976,0.5104,0.9898,0.7886,-1,-0.3534,-0.5468,-0.8082,-0.4378,0.9998,0.9182,-1,0.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,-0.5298,-0.4698,0.1964,-0.0828,0.8112,-0.901,0.2887,0.4198,0.3958,-0.7262,-0.1196,-0.8888,0.3552,-0.9608,-1,0.2884,0.0504,-0.5312,-0.2642,0.0102,0.2878,-1,-0.00380000000000003,0.4228,0.6482,0.1594,0.2906,0.5688,-0.4852,-0.728,-0.6478,0.568,-0.9988,-1,-1,-0.4676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0.7368,0.1273,0.1436,-0.8298,0.874,-0.6862,0.0179,0.1663,0.9098,-0.8858,0.8276,-0.469,0.6026,-0.792,0.0198,0.0177,0.1062,-0.7492,0.0386,0.142,0.0188999999999999,-0.9634,0.0568,0.1865,0.2635,0.2192,0.0178,0.555,-0.0911999999999999,-0.8318,-0.8144,0.4328,-0.5208,0.0159,0.7682,-0.0308,-0.8926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
