,711_E-1-S,711_E-1-M,711_E-1-D,711_E-2-S,711_E-2-M,711_E-2-D,711_E-3-S,711_E-3-M,711_E-3-D,712_E-1-M,712_E-1-D,712_E-2-S,712_E-2-M,712_E-2-D,712_E-3-S,712_E-3-M,712_E-3-D,713_E-1-S,713_E-1-M,713_E-1-D,713_E-1-X0,713_E-1-X1,713_E-2-S,713_E-2-M,713_E-2-D,713_E-2-X0,713_E-2-X1,713_E-3-S,713_E-3-M,713_E-3-D,713_E-3-X0,713_E-3-X1,714_E1_5-9,714_E1_20-24,714_E1_30-34,714_E2_1-5,714_E2_5-9,714_E2_20-24,715_E1_1-5,715_E2_1-5,715_E2_20-24,715_E2_30-34,715_E3_1-5,715_E3_10-14,715_E3_20-24,715_E3_30-34,716_E1_1-5,716_E1_10-14,716_E1_20-24,716_E1_30-34,716_E3_1-5,716_E3_10-14,716_E3_30-34,717_E2_1-5,717_E2_10-14,717_E2_20-24,717_E3_1-5,717_E3_10-14,717_E3_30-34
712_E-1-D,0.87964228123761,0.985113975532155,0.713357343764175,0.253809957828107,0.86096883724423,1.0571470326312,0.928102046929357,0.893292648919418,0.678506540219482,0.919788610934028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-2-S,-0.322503752733527,-1.27157502936177,-1.35942196087908,0.325922230642677,-1.332083485799,-0.516476151791538,-0.795110894645417,-0.09807371132686,-0.881138732243311,-1.41683130089401,0.623779687904354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-2-M,-0.0749432245732214,-1.14297228054261,-0.987906820222155,0.394856949297454,-0.837071108957483,-0.439683541858982,-0.738128835771093,0.247022757662354,-1.81252124048667,-1.50698316143086,0.467819495033005,0.565095246894214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-2-D,0.906822626898962,0.958785511886983,0.191345330102527,0.448602509587093,1.14974165231253,-0.715688414084622,0.444431399732306,-1.74905893130722,1.45603551552243,1.54234236960172,0.448822216521063,0.66157157959567,0.879022605613126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-3-S,-2.72119619306582,-1.83590166090882,0.109978976857974,0.185258764478482,-0.738407267589642,-0.620015593536337,-0.826099598924311,0.679859876532764,-2.63788102557533,0.640302841561278,0.85535701903228,-0.42839065505675,-0.13571858789174,0.714189670968767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-3-M,-1.09018709982926,-0.90455833786346,0.567945791538879,0.823605449258595,0.91161065776951,-0.304580195939804,-0.479721753606906,0.231303303339396,-1.05554187159599,2.00489241883378,1.03282754389904,0.248445811486418,0.51705273514311,0.709983210672515,-0.510276860835006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-3-D,0.847930074083601,0.824293929972444,0.246330317867495,0.221292211099076,1.17924605445485,-0.8459104464684,1.03327690351717,-1.06816639668823,1.36043501899243,1.58268910121833,0.412846364723721,0.54986923355909,0.77845393367676,-0.712134604636667,0.73811459415585,0.610911465276094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-1-S,-0.13139171937244,-0.373177987853037,-0.78281869550155,-0.87961320961196,-0.103340615698199,1.0789885901197,0.296697993221102,-0.243693147434621,-0.444652376381218,-0.17949777425989,0.815829084927711,-0.325052727684779,-0.658794079224996,-0.234687891308202,-1.06268645078347,0.0114064542361484,-0.325084039380735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-1-M,-0.064917347513562,-0.378115605384936,-0.675181818646263,-0.995389239628174,-1.09521472986515,1.29816846684772,0.518128535489939,-0.0661289134084273,-0.295271826449493,0.626906850355412,0.935515575944966,-1.56498082640968,-1.29645979269806,-0.111568314326087,-1.86928141143976,0.173975844831705,-0.0647701060327343,0.087497514723792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-1-D,0.897443078989082,-0.216274940970178,-2.60784168889846,-0.234862820812761,-1.82791856925712,-1.01915061895379,0.208095721746531,-0.381074935786006,-0.771024576360246,-3.84309805350128,1.04187174462174,1.07628107637405,1.10231840071523,0.641057985475715,0.226405776692592,1.37239535383772,0.742799807365234,-2.88009763526937,-3.42812836070986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
