,711_S-1-S,711_S-1-M,711_S-1-D,711_S-2-M,711_S-2-D,711_S-3-M,712_S-1-S,712_S-1-M,712_S-1-D,712_S-1-X,712_S-2-D,712_S-2-X,712_S-3-S,712_S-3-D,712_S-3-X,713_S-1-S,713_S-1-M,713_S-1-D,713_S-1-X0,713_S-1-X1,713_S-2-S,713_S-2-M,713_S-2-D,713_S-2-X0,713_S-3-S,713_S-3-M,713_S-3-D,713_S-3-X0,713_S-3-X1,714_S1_1-5,714_S1_5-9,714_S1_10-14,714_S1_20-24,714_S1_30-34,714_S2_1-5,714_S2_5-9,714_S2_20-24,714_S3_1-5,714_S3_5-9,714_S3_10-14,714_S3_20-24,714_S3_30-34,715_S1_1-5,715_S1_10-14,715_S1_20-24,715_S1_30-34,715_S2_10-14,715_S2_20-24,715_S2_30-34,715_S3_20-24,715_S3_30-34,716_S1_1-5,716_S1_10-14,716_S1_20-24,716_S1_30-34,716_S2_1-5,716_S2_10-14,716_S2_20-24,716_S2_30-34,716_S3_10-14,716_S3_20-24,716_S3_30-34,717_S2_1-5,717_S2_10-14,717_S2_20-24,717_S2_30-34,717_S3_1-5,717_S3_10-14,717_S3_20-24
713_S-2-S,-0.475669184267963,1.54829525678261,-0.292755569625604,-0.900095830169464,0.751920693431258,0.584684552325636,1.58854819374048,-0.0858373325879723,-0.538046795436248,0.6024076892181,0.00301766664132024,0.804107316900241,-0.524559076321898,0.724470192174994,0.731120090516032,-0.0293622534937422,1.98310537084403,0.394857008664655,0.0668755983395425,1.05322484327429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-M,-0.214026617858656,0.552062482272928,1.07625865322216,0.523468117418308,0.107955745536792,-0.541992498602615,-0.57157240458725,1.64408405147182,1.18740613891141,1.18069465228199,0.0274413648604291,1.20377940579973,0.0243862243936828,0.613522833986607,0.558623317167676,-0.296401152136688,0.860572878742329,-1.07667995238222,1.03629981528156,1.15255060087515,-0.166508369959662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-D,-0.565527808134755,0.40897870562688,0.70207549312605,0.480206350645146,-1.84988038301305,-1.09069061385517,-0.950536851048838,1.58000969531005,0.904840942597563,0.765947128225338,0.0588665880739653,0.732751315682203,-0.748409280144511,0.903162572961815,0.869272746960768,-0.296350174234849,1.04590255739546,-1.68503539588921,0.739936994831314,0.732751315682203,0.490945730719176,0.588859590148745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-X0,-0.317534064796065,-0.282789110333097,0.607779355925249,0.266373716552232,0.119356813877726,-1.06937058541879,-0.805792440302628,1.42016217368108,-0.272550030967676,NA,-0.502093278404114,-1.4524256722645,-0.224368847932857,0.208321998350755,0.288120858509104,-0.612342552164415,0.233966484059056,-1.16215584678162,-1.30038522547021,-1.35116383514089,0.594524941112493,1.20894582314271,0.765947128225338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-S,-0.186000798148022,0.319333354654348,-0.296873134260129,-1.45491872367485,-0.52155051048493,0.486322505328993,-0.55822169383824,3.35550942327915,-0.490329184301497,-1.11598891784426,-1.22060621658451,-0.85770000730515,-0.730375811426104,-0.617504019823833,-0.617504019823833,0.971728715940808,0.220595468275005,0.345781201503845,-0.039676441485549,-0.85770000730515,0.00466546710007636,-0.817023784676534,-1.37195713315917,-1.11598891784426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-M,-0.962779473538438,0.106391241261729,-0.357590629836511,-1.99214322267355,1.36597813115965,0.831370240953066,0.0418359958317288,2.17089825325385,-1.04442174197856,-0.325448942623324,-0.704083313247806,0.571217747625905,-1.04717997694377,-0.882179824616898,-0.889631033525763,-0.758239664714191,0.987039758657415,0.44125309041577,0.0496842456037412,0.571217747625905,-0.696785608618175,0.22472454776313,0.634147692653358,-0.325448942623324,-1.41927995644206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-D,-0.746527394509129,0.203660470748559,-0.678888404789846,-1.22038330253185,1.17571830039131,0.493778821711943,0.7452523044706,1.52683645887398,-0.434019228277116,-0.76915106019687,-1.00508659093079,0.708302751953996,-1.37963761616907,1.37083484460429,1.38010919861663,-0.410270544671865,0.390533056108481,0.156223645858485,-0.123657731404543,0.708302751953996,0.107031825531348,0.645769025007098,0.620657803522014,-0.743901228955819,-0.908531312454613,-0.0350626592904413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-X0,0.0864477768369062,-0.404358492536588,-0.471794028995553,1.25728908660956,1.618052340887,1.00230344531885,-0.0743699114459764,1.90726130996942,0.229131856298799,-0.415629682826612,-0.761378824430736,0.729098706562425,0.620261317042338,1.02831249837338,1.03332162946239,-0.671328526498278,-0.105708808641647,0.973728303292925,0.631714909766615,0.729098706562425,0.364002997318303,0.446233993135105,0.477871654550588,-0.406574413709589,-0.592526403978032,-1.28621121289522,-0.582767288015747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-X1,1.13845238482072,0.617599363270031,-0.837076243610264,1.6206594035701,1.5353809689439,1.31535148898816,0.62198665088543,3.08834677449097,0.673962074290374,0.488021323680624,1.52696545188225,0.588387975970101,1.39370615024236,1.15361156025583,1.17509735590021,0.890946288462467,-0.674238481509884,0.9027726250003,-0.386875901727724,0.588387975970101,0.982810352034718,-0.32969874450111,0.162928005197892,0.488021323680624,1.2799395982863,1.48398621176198,0.782081634431849,-0.517124106539664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S1_1-5,-0.39034815490713,2.01670880872974,0.0316186761274053,-1.33297905449903,0.12200634309043,0.53148537543744,1.44449241169238,2.56830546221974,-0.904399117120709,-0.203819974067231,-0.657026423783918,-0.0208992566589059,-0.619174421755043,-0.69046498863231,-0.718821726294671,1.8130610288383,2.02458983999006,0.00302585414210896,0.334492289350001,0.34929172081162,-1.08943347692886,-0.529231305833118,-0.202264273071248,-0.178774227809919,-0.660379228786047,-0.330004827004493,-0.332803906576008,-0.0306464744470378,1.05770301625227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
