"OTU_ID"	"rank"	"raw_rank"	"MeanBC"	"proportionBC"	"IncreaseBC"	"OccupancyProp"	"AverageRelativeAbundance"	"CoreStatus"
"20160700_S23_5"	"14"	1	0.0435385677539002	0.0713207306142837	1.04225418255201	1	0.00365411291914404	"core"
"20111000_P2M_7"	"15"	1	0.0437744246162344	0.0717070888389536	1.00541719386975	1	0.000593790552894839	"core"
"20150700_P15_11"	"16"	1	0.0452886186596416	0.0741874971536696	1.03459083829615	1	0.00289441319968254	"core"
"20150700_P15_5"	"17"	1	0.0472291217889596	0.077366244367509	1.04284747883131	1	0.00407126284911812	"core"
"20120600_P3M_9"	"18"	1	0.0504349661694089	0.0826177529780295	1.06787855160158	1	0.00773044027658489	"core"
"20120600_P3M_2"	"19"	1	0.051750468429359	0.0847726833568769	1.02608313953322	1	0.00223471665164195	"core"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.152_78.26_8.29"	"20"	1	0.0533835785762773	0.0874478886945945	1.03155739834795	1	0.00393790408144199	"core"
"20110700_P1S_2"	"21"	1	0.055087695976541	0.0902394113447264	1.03192212747275	1	0.00344009450682482	"core"
"20120600_P2M_5"	"22"	1	0.0598359795617085	0.0980175968002557	1.08619499329196	1	0.0169182586140295	"core"
"20110700_P3S_5"	"23"	1	0.0680497925159167	0.111472682055574	1.13727213984585	1	0.020928181393989	"core"
"20150700_P31_3"	"24"	1	0.0717834289828904	0.117588769341171	1.05486624321596	1	0.00695125275045108	"core"
"20120600_P3M_11"	"25"	1	0.0801079844297373	0.131225262389453	1.11596764831102	1	0.0157654914714856	"core"
"20120800_P2M_7"	"26"	1	0.100916739569386	0.165312181098454	1.25975881540123	1	0.0261377974800978	"core"
"Palsa.Unlabelled.R3.T1.F2.trimmomatic.metaspades_bin.54_83.78_8.12"	"27"	1	0.104195037331017	0.170682375930132	1.03248517317959	1	0.00679075580894252	"core"
"20120700_P2M_5"	"28"	1	0.110558425549797	0.181106271808173	1.06107189345845	1	0.0124697890341401	"core"
"20120700_P1M_1"	"29"	1	0.114509498132902	0.187578542208292	1.03573741723851	1	0.0105988248972054	"core"
"20170700_P31_1"	"30"	1	0.131600287533633	0.215575043924309	1.14925215531811	1	0.0617181999696663	"core"
"20160700_P15_3"	"31"	1	0.13580976887136	0.222470614908887	1.03198687036798	1	0.00843852109871236	"core"
"20110700_P3M_9"	"32"	1	0.145134362108164	0.237745274518476	1.068659223223	1	0.0186123536681259	"core"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.21_97.13_1.25"	"33"	1	0.145770322832072	0.238787044742234	1.00438187562663	1	0.00143576605424295	"core"
"Palsa.Unlabelled.R3.T3.F2.trimmomatic.metaspades_bin.58_71.79_7.57"	"34"	1	0.146320994094753	0.239689101902329	1.00377766373829	1	0.00125770251633531	"core"
"20110800_P3M_11"	"35"	1	0.148538216836582	0.243321144802218	1.01515314159493	1	0.00265781573767769	"core"
"20120600_P3M_10"	"36"	1	0.151255601818642	0.247772505797285	1.01829418071613	1	0.00827782232999258	"core"
"Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.5_87.01_6.92"	"37"	1	0.153193895339994	0.250947633442024	1.01281468916223	1	0.00371367687125146	"core"
"20120500_P31_3"	"38"	1	0.158445245387532	0.259549894412546	1.03427910776656	1	0.0100823272973276	"core"
