"OTU_ID"	"rank"	"raw_rank"	"MeanBC"	"proportionBC"	"IncreaseBC"	"OccupancyProp"	"AverageRelativeAbundance"	"CoreStatus"
"Palsa.Labelled.R1.T1.F2.trimmomatic.megahit_bin.16_70.72_6.45"	"29"	0.482738095238095	0.14249400967464	0.176484792898994	1.00655890374228	0.703703703703704	0.00144763533897683	"core"
"Palsa.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.68_75.40_6.88"	"30"	0.478571428571429	0.143366852738386	0.177565845552999	1.00612547198117	0.703703703703704	0.00142566599051766	"core"
"20110700_P3S_5"	"31"	0.478571428571429	0.149464065899263	0.185117499158756	1.0425287508543	0.703703703703704	0.0109083512794021	"core"
"20150700_P11_4"	"32"	0.475	0.163381408467036	0.202354710227391	1.09311497371651	0.685185185185185	0.0174755705591605	"core"
"20110700_P3M_9"	"33"	0.470238095238095	0.17256872940065	0.21373359159909	1.05623235238218	0.685185185185185	0.0153925802862619	"core"
"PMST01"	"34"	0.469642857142857	0.174397548306082	0.215998660330835	1.01059762630103	0.685185185185185	0.00267227608774741	"core"
"Palsa.Unlabelled.R3.T1.F2.trimmomatic.metaspades_bin.54_83.78_8.12"	"35"	0.466071428571429	0.176614134849369	0.218743995506172	1.01270996390039	0.685185185185185	0.00347483877053219	"core"
"20120700_P2M_5"	"36"	0.461904761904762	0.185472299663572	0.229715203252164	1.05015546927633	0.666666666666667	0.0129374028873891	"core"
"20120600_P2M_9"	"37"	0.461309523809524	0.186945240912745	0.231539502616791	1.00794156999101	0.666666666666667	0.00224158826202713	"core"
"3300037228_7"	"38"	0.458333333333333	0.187329809708534	0.232015807160647	1.00205712000964	0.666666666666667	0.000627141573191234	"core"
"20120600_P2M_5"	"39"	0.457738095238095	0.192451005616262	0.23835862256204	1.02733785891149	0.666666666666667	0.00940021010195583	"core"
"PKYA01"	"40"	0.456547619047619	0.196468375371029	0.243334303089155	1.02087476623935	0.62962962962963	0.00518675673422167	"core"
"20120500_P23_4"	"41"	0.454166666666667	0.198642639922301	0.24602722070664	1.01106674062513	0.648148148148148	0.00273205913606852	"core"
"20110800_P3S_8"	"42"	0.449404761904762	0.203238089783487	0.251718877632296	1.02313425688957	0.648148148148148	0.00692481134945868	"core"
"20120700_P3S_1"	"43"	0.449404761904762	0.210139728098164	0.260266845448001	1.03395838999486	0.648148148148148	0.010732395208394	"core"
"20120600_P3M_9"	"44"	0.445238095238095	0.212764289579983	0.263517474654289	1.01248960158829	0.648148148148148	0.00476239405468416	"core"
"20160700_P15_15"	"45"	0.438690476190476	0.217407603631935	0.269268413382836	1.02182374711996	0.592592592592593	0.0060239862619649	"core"
"20110600_P1M_18"	"46"	0.4375	0.218194194172503	0.270242638678098	1.0036180452175	0.592592592592593	0.000971150713027038	"core"
"Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.5_87.01_6.92"	"47"	0.436904761904762	0.219147718830907	0.271423618862786	1.00437007346607	0.62962962962963	0.00140840389863663	"core"
"20120500_P23_5"	"48"	0.433333333333333	0.220828969995293	0.273505918773044	1.00767177122972	0.611111111111111	0.00201223145208958	"core"
"20150700_P13_7"	"49"	0.432738095238095	0.222652224194605	0.275764095383433	1.0082564085652	0.62962962962963	0.00243913992538457	"core"
"20110700_P1S_2"	"50"	0.427380952380952	0.223561176395362	0.276889870714424	1.00408238545132	0.611111111111111	0.00141207103826669	"core"
"20110800_P1S_2"	"51"	0.424404761904762	0.224288851612297	0.277791126916364	1.00325492658729	0.611111111111111	0.00122947136047401	"core"
"20150700_P15_3"	"52"	0.41547619047619	0.233657013782583	0.289393987726038	1.04176829166026	0.592592592592593	0.0132728529411743	"core"
"20110800_P3S_5"	"53"	0.41547619047619	0.235367453058759	0.291512438333971	1.00732029930746	0.592592592592593	0.00286194082908503	"core"
"20130700_S1X_7"	"54"	0.413690476190476	0.236762405173967	0.293240144893136	1.00592669928268	0.537037037037037	0.00173166537411735	"core"
"20120500_P31_3"	"55"	0.411904761904762	0.241085384981515	0.298594336257276	1.01825872568059	0.592592592592593	0.0063022886034271	"core"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.140_93.10_9.25"	"56"	0.403571428571429	0.241503879717998	0.299112659498135	1.00173587767054	0.574074074074074	0.000663487708095702	"core"
"20160700_S23_5"	"57"	0.40297619047619	0.242434018914729	0.300264675810098	1.00385144618719	0.574074074074074	0.00146205510239097	"core"
"20120600_P3M_10"	"58"	0.40297619047619	0.244701277441843	0.30307277035751	1.00935206427408	0.574074074074074	0.00396811208618784	"core"
