node_id,genome_id
258,20110800_S2M_9
259,20110800_S2M_3
260,Bog.Unlabelled.R2.T3.F2.trimmomatic.megahit_bin.2_98.85_1.71
336,20120700_S1D_46
262,20120700_S1D_45
263,Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72
264,20120700_S1D_41
265,20120700_S1D_49
266,20120700_S1D_48
426,Bog.None.R1.T0.trimmomatic.megahit_bin.192_94.47_2.50
267,Bog.Unlabelled.R3.T1.F3.trimmomatic.metaspades_bin.4_95.88_2.80
268,20130700_C2M_2
269,20170700_S33_13
270,PLTK01
271,20140700_S31_11
272,PMEE01
273,20170700_S24_8
274,20170700_S24_9
173,20120700_S1D_35
276,20170700_S24_4
277,20170700_S24_5
278,20120700_S1D_104
279,20120700_S1D_107
280,20120700_S1D_103
281,20120700_S1D_102
282,20140700_S22_7
331,20140700_S22_6
284,Bog.Unlabelled.R3.T3.F3.trimmomatic.metaspades_bin.162_74.65_1.37
285,20130700_S2D_2
286,20120700_S1D_108
287,Bog.None.R3.T0.trimmomatic.megahit_bin.383_96.18_3.47
288,20120700_S1S_11
289,PLGF01
290,20140700_S16_20
291,20150700_P15_5
292,20150700_P15_4
293,Bog.Unlabelled.R3.T3.F2.trimmomatic.metaspades_bin.104_97.47_4.73
10,PLTN01
295,20140700_S11_11
296,20140700_S11_15
297,20110700_P2D_11
298,20120600_S1S_4
77,20110600_S1S_4
300,20170700_S34_41
301,Fen.Labelled.R1.T3.F4.trimmomatic.metaspades_bin.40_93.84_3.50
302,20130700_P1Y_8
303,20130700_P1Y_5
304,20120700_S1D_30
414,PLRX01
306,Bog.None.R2.T0.JGI.BFC.metaspades_bin.319_70.64_9.53
307,Bog.None.R2.T0.trimmomatic.megahit_bin.319_70.21_1.04
308,20170700_S25_36
309,20170700_S25_32
275,Bog.None.R1.T0.trimmomatic.megahit_bin.118_76.60_1.35
311,Bog.None.R3.T0.JGI.BFC.metaspades_bin.340_100.00_1.76
312,20170700_S25_38
313,3300036888_6
314,20120700_S1D_5
315,20150700_S15_15
316,20150700_S15_12
317,20120700_S1D_90
318,Bog.Labelled.R1.T1.F1.JGI.BFC.metaspades_bin.116_96.93_0.86
104,Bog.Unlabelled.R3.T3.F2.trimmomatic.metaspades_bin.33_99.27_3.62
320,20120700_S1D_96
321,20120700_S1D_97
248,Bog.Labelled.R1.T3.F3.JGI.BFC.metaspades_bin.108_95.64_2.59
323,PLTJ01
324,20170700_S24_10
325,20170700_S24_14
326,20170700_S24_16
328,20170700_S24_18
329,Bog.Unlabelled.R3.T3.F3.trimmomatic.metaspades_bin.83_91.54_6.45
330,20130700_S2Y_8
283,20110600_S3M_2
332,20110800_S3S_9
333,20110800_S3S_8
334,PLTW01
335,20110800_S3S_2
337,20110800_S3S_4
338,Bog.None.R1.T0.trimmomatic.megahit_bin.299_95.52_4.31
339,20110600_S1M_11
340,20111000_S3S_12
341,Bog.None.R3.T0.JGI.BFC.metaspades_bin.162_97.41_2.35
342,Bog.Unlabelled.R2.T3.F1.JGI.BFC.metaspades_bin.100_87.84_4.05
343,20110600_S1D_17
344,20140700_E22_12
345,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.61_83.67_6.26
346,20110600_S1D_11
238,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.311_71.88_3.42
348,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.307_94.82_5.10
349,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.152_78.26_8.29
