value,Var1,Var2,Depth1,Depth2,Year1,Year2,Habitat1,Habitat2,year_comparison
0.55121019,X711_E.2.M,X716_E1_1.5,0-9,0-9,2011,2016,Fen,Fen,between
0.73260335,X711_E.2.M,X716_E3_1.5,0-9,0-9,2011,2016,Fen,Fen,between
0.61693802,X711_E.2.M,X717_E2_1.5,0-9,0-9,2011,2017,Fen,Fen,between
0.68397619,X711_E.2.M,X717_E3_1.5,0-9,0-9,2011,2017,Fen,Fen,between
0.29713091,X711_E.2.D,X711_E.3.D,20-29,20-29,2011,2011,Fen,Fen,within
0.58619838,X711_E.2.D,X712_E.1.D,20-29,20-29,2011,2012,Fen,Fen,between
0.21762704,X711_E.2.D,X712_E.2.D,20-29,20-29,2011,2012,Fen,Fen,between
0.28270926,X711_E.2.D,X712_E.3.D,20-29,20-29,2011,2012,Fen,Fen,between
0.76701795,X711_E.2.D,X713_E.1.X0,20-29,20-29,2011,2013,Fen,Fen,between
0.71469535,X711_E.2.D,X713_E.2.X0,20-29,20-29,2011,2013,Fen,Fen,between
0.83123858,X711_E.2.D,X713_E.3.X0,20-29,20-29,2011,2013,Fen,Fen,between
0.6246186,X711_E.2.D,X714_E1_20.24,20-29,20-29,2011,2014,Fen,Fen,between
0.28265145,X711_E.2.D,X714_E2_20.24,20-29,20-29,2011,2014,Fen,Fen,between
0.29877152,X711_E.2.D,X715_E2_20.24,20-29,20-29,2011,2015,Fen,Fen,between
0.40818069,X711_E.2.D,X715_E3_20.24,20-29,20-29,2011,2015,Fen,Fen,between
0.28692006,X711_E.2.D,X716_E1_20.24,20-29,20-29,2011,2016,Fen,Fen,between
0.43898905,X711_E.2.D,X717_E2_20.24,20-29,20-29,2011,2017,Fen,Fen,between
0.30465493,X711_E.3.M,X711_E.3.S,0-9,0-9,2011,2011,Fen,Fen,within
0.5226229,X711_E.3.S,X712_E.1.M,0-9,0-9,2011,2012,Fen,Fen,between
0.43761373,X711_E.3.S,X712_E.2.S,0-9,0-9,2011,2012,Fen,Fen,between
