genome,specialisation,nitrogen_specialisation,sulfur_specialisation
20110800_S1S_8,generalist,NA,NA
20110800_S1S_9,generalist,NA,NA
20110800_S2M_3,generalist,NA,NA
20110800_S2M_9,generalist,NA,NA
20110800_S3D_10,generalist,NA,NA
20110800_S3D_14,generalist,NA,NA
20110800_S3D_19,fermenter,NA,sulfate_reducer
20110800_S3D_28,generalist,NA,NA
20110800_S3D_3,fermenter,NA,sulfur_oxidiser
20110800_S3M_18,generalist,NA,NA
20110800_S3S_11,monomer_degrader,NA,NA
20110800_S3S_12,macromolecule_degrader,NA,NA
20110800_S3S_13,generalist,NA,NA
20110800_S3S_2,fermenter,NA,sulfur_oxidiser
20110800_S3S_21,generalist,NA,NA
20110800_S3S_23,macromolecule_degrader,NA,NA
20110800_S3S_24,generalist,NA,NA
20110800_S3S_25,macromolecule_degrader,NA,NA
20110800_S3S_26,generalist,NA,NA
20110800_S3S_27,generalist,NA,NA
20110800_S3S_28,generalist,NA,NA
20110800_S3S_31,generalist,NA,NA
20110800_S3S_33,generalist,NA,NA
20110800_S3S_35,generalist,NA,sulfur_oxidiser
20110800_S3S_4,macromolecule_degrader,NA,NA
20110800_S3S_8,generalist,NA,sulfur_oxidiser
20110800_S3S_9,fermenter,NA,NA
20111000_E3D_2,generalist,NA,NA
20111000_E3D_3,macromolecule_degrader,NA,NA
20111000_E3D_5,generalist,NA,NA
20111000_E3D_7,generalist,NA,NA
20111000_E3D_9,fermenter,NA,NA
20111000_P1D_11,macromolecule_degrader,NA,NA
20111000_P1D_14,generalist,NA,sulfur_oxidiser
20111000_P1D_15,generalist,NA,sulfur_oxidiser
20111000_P1D_6,generalist,NA,sulfur_oxidiser
20111000_P1D_7,generalist,NA,sulfur_oxidiser
20111000_P1M_1,generalist,NA,NA
20111000_P1M_10,generalist,NA,NA
20111000_P1M_2,generalist,NA,NA
20111000_P1M_5,fermenter,NA,NA
20111000_P1M_6,generalist,NA,NA
20111000_P1M_7,macromolecule_degrader,NA,NA
20111000_P1M_8,macromolecule_degrader,NA,NA
20111000_P1S_1,generalist,NA,NA
20111000_P1S_2,generalist,NA,NA
20111000_P1S_5,generalist,NA,NA
20111000_P1S_6,generalist,NA,NA
20111000_P2D_11,fermenter,NA,sulfur_oxidiser
20111000_P2D_12,fermenter,NA,sulfur_oxidiser
20111000_P2D_13,fermenter,NA,NA
20111000_P2D_14,fermenter,NA,NA
20111000_P2D_16,homoacetogen,NA,NA
20111000_P2D_18,generalist,NA,NA
20111000_P2D_3,generalist,NA,NA
20111000_P2D_4,generalist,NA,NA
20111000_P2D_6,fermenter,NA,sulfur_oxidiser
20111000_P2M_2,fermenter,NA,NA
20111000_P2M_3,generalist,NA,sulfur_oxidiser
20111000_P2M_7,generalist,NA,NA
20111000_P2S_1,generalist,NA,NA
20111000_P3D_1,generalist,NA,NA
20111000_P3D_13,generalist,NA,sulfur_oxidiser
20111000_P3D_2,macromolecule_degrader,NA,NA
20111000_P3D_3,generalist,NA,sulfur_oxidiser
20111000_P3M_10,fermenter,NA,sulfur_oxidiser
20111000_P3M_11,fermenter,NA,NA
20111000_P3M_15,generalist,NA,sulfur_oxidiser
20111000_P3M_16,fermenter,NA,NA
20111000_P3M_17,generalist,NA,NA
20111000_P3M_19,generalist,NA,sulfur_oxidiser
20111000_P3M_21,generalist,NA,NA
20111000_P3M_22,generalist,NA,sulfur_oxidiser
20111000_P3M_27,generalist,NA,sulfate_reducer
20111000_P3M_28,macromolecule_degrader,NA,sulfur_oxidiser
20111000_P3M_32,macromolecule_degrader,nitrite_oxidiser,NA
20111000_P3M_35,generalist,NA,sulfur_oxidiser
20111000_P3M_36,generalist,NA,NA
20111000_P3M_37,generalist,NA,NA
20111000_P3M_39,generalist,NA,NA
20111000_P3M_4,generalist,NA,sulfur_oxidiser
20111000_P3M_40,fermenter,NA,sulfur_oxidiser
20111000_P3M_41,NA,NA,NA
20111000_P3M_43,macromolecule_degrader,NA,NA
20111000_P3M_44,generalist,NA,NA
20111000_P3M_45,generalist,nitrate_reducer,sulfur_oxidiser
20111000_P3M_46,generalist,NA,NA
20111000_P3M_5,generalist,NA,sulfur_oxidiser
20111000_P3M_7,generalist,NA,sulfur_oxidiser
20111000_P3M_8,generalist,NA,NA
20111000_P3M_9,fermenter,NA,NA
20111000_S1D_12,fermenter,NA,NA
20111000_S1D_14,generalist,NA,sulfur_oxidiser
20111000_S1D_3,generalist,NA,NA
20111000_S1D_6,generalist,NA,NA
20111000_S2M_4,generalist,NA,sulfur_oxidiser
20111000_S2S_6,generalist,NA,NA
20111000_S2S_7,generalist,NA,NA
20111000_S3M_6,fermenter,NA,NA
20111000_S3S_10,generalist,NA,NA
20111000_S3S_11,generalist,NA,NA
20111000_S3S_12,fermenter,NA,NA
20111000_S3S_4,generalist,NA,sulfur_oxidiser
20111000_S3S_5,fermenter,NA,NA
20111000_S3S_7,macromolecule_degrader,NA,NA
20111000_S3S_8,macromolecule_degrader,NA,NA
20111000_S3S_9,fermenter,NA,NA
20120500_P13_10,fermenter,NA,NA
20120500_P13_5,generalist,NA,NA
20120500_P13_9,macromolecule_degrader,NA,NA
20120500_P14_1,generalist,NA,NA
20120500_P15_4,macromolecule_degrader,NA,sulfur_oxidiser
20120500_P17_2,fermenter,NA,NA
20120500_P17_6,fermenter,NA,sulfur_oxidiser
