"SampleID_from","SampleID_to","BetaDiversity","Year___from","Habitat___from","DepthLumping_from","Year___to","Habitat___to","DepthLumping_to","ReferenceYear"
"X716_E1_20.24","X711_E.2.D",0.286920056244145,2016,"Fen","20-29",2011,"Fen","20-29",2011
"X717_E2_20.24","X711_E.2.D",0.438989048447368,2017,"Fen","20-29",2011,"Fen","20-29",2011
"X712_E.1.M","X711_E.3.S",0.522622899398846,2012,"Fen","0-9",2011,"Fen","0-9",2011
"X712_E.2.S","X711_E.3.S",0.43761372745131,2012,"Fen","0-9",2011,"Fen","0-9",2011
"X712_E.2.M","X711_E.3.S",0.413596323269504,2012,"Fen","0-9",2011,"Fen","0-9",2011
"X712_E.3.S","X711_E.3.S",0.568619618011804,2012,"Fen","0-9",2011,"Fen","0-9",2011
"X712_E.3.M","X711_E.3.S",0.420038509460852,2012,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.1.S","X711_E.3.S",0.559635297122136,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.1.M","X711_E.3.S",0.556618183914342,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.2.S","X711_E.3.S",0.367565026089502,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.2.M","X711_E.3.S",0.403892201419405,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.3.S","X711_E.3.S",0.387235540363148,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.3.M","X711_E.3.S",0.545892167968237,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X714_E1_1.5","X711_E.3.S",0.47648728964387,2014,"Fen","0-9",2011,"Fen","0-9",2011
"X714_E1_5.9","X711_E.3.S",0.527420737376799,2014,"Fen","0-9",2011,"Fen","0-9",2011
"X714_E2_1.5","X711_E.3.S",0.462558997646447,2014,"Fen","0-9",2011,"Fen","0-9",2011
"X714_E2_5.9","X711_E.3.S",0.688915853576647,2014,"Fen","0-9",2011,"Fen","0-9",2011
"X715_E1_1.5","X711_E.3.S",0.486313536719526,2015,"Fen","0-9",2011,"Fen","0-9",2011
"X715_E2_1.5","X711_E.3.S",0.242254315944201,2015,"Fen","0-9",2011,"Fen","0-9",2011
