"genome" "711_P-1-S" "711_P-1-M" "711_P-1-D" "711_P-2-S" "711_P-2-M" "711_P-2-D" "711_P-3-S" "711_P-3-M" "711_P-3-D" "711_S-1-S" "711_S-3-M" "712_P-1-S" "712_P-1-M" "712_P-1-D" "712_P-2-S" "712_P-2-M" "712_P-2-D" "712_P-3-S" "712_P-3-M" "712_P-3-D" "712_S-1-S" "712_S-3-S" "713_E-3-X1" "713_P-1-X1" "713_P-3-M" "713_P-3-X1" "713_S-1-S" "713_S-1-D" "713_S-3-S" "713_S-3-M" "713_S-3-X1" "714_P1_20-24" "714_P1_30-34" "714_P3_30-34" "714_S1_1-5" "714_S2_1-5" "714_S2_5-9" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "715_P1_1-5" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_1-5" "715_P2_10-14" "715_P2_20-24" "715_P3_1-5" "715_P3_10-14" "715_P3_20-24" "715_P3_30-34" "715_S1_1-5" "715_S2_10-14" "716_P1_1-5" "716_P1_10-14" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "716_S1_1-5" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S3_10-14" "716_S3_20-24" "717_P1_10-14" "717_P1_20-24" "717_P2_1-5" "717_P2_10-14" "717_P2_20-24" "717_P3_1-5" "717_P3_10-14" "717_P3_20-24" "717_S2_1-5" "717_S2_20-24" "717_S3_1-5"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.152_78.26_8.29" 1.5615487 3.3675997 0 7.9031625 5.2521095 0 4.143644 0.8840211 0.1411656 0.60471183 0 1.6552365 1.6075068 0 2.5244296 3.7949147 0 0.4882166 1.3876365 0 0.12775347 1.5498848 0 0 0.9804152 0 0.39878517 0.075890146 5.360132 0.08320095 0 0 0 0 0.09483679 0.40266484 0.06499507 3.2050123 2.6027489 0.121671945 0.757448 1.6888496 2.2321393 5.1916533 0.9455093 2.0844455 0.10767121 1.9328644 3.0426238 6.2661643 0.7130429 0 0.07169427 2.4749572 3.8316326 0.09880342 5.6656566 4.7952 0.11458749 0.2695879 1.7121416 5.072712 0.64726835 0 9.907848 0 0 5.6744466 1.6794059 0.12651491 0.6742551 0 4.5126896 0.15149191 2.2073507 0.1474431 0 1.7971544 1.5752953 0.12388753 1.4489233 0 3.7435298
"20120600_P2M_5" 11.276121 0.955464 0 10.206233 0.4163414 0 13.338403 12.514153 0 0 0 14.574838 13.494407 0 0.73563665 21.554579 0 14.396263 7.556116 0 0 0 0 0 20.021648 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2697942 0.16981165 1.7449692 17.752579 12.139658 10.752645 0.66982305 10.134748 0.7484081 15.606036 7.3221235 0 0 4.3941364 11.655118 0 10.674529 25.09952 0 0 9.433519 8.875417 5.80477 0 0 0 0 0 0 0 0 0 18.225204 0 11.300854 0 0 15.206341 15.569981 3.3460717 0 0 0
"20110700_P3S_5" 20.135307 0.49655908 0 23.718594 0.54454887 0 13.670096 5.9951835 0 0 0 7.582264 11.327547 0 13.154223 17.77166 0 7.1523013 7.595311 0 0 0 0 0 11.592066 0 0 0 0 0 0 0 0 1.2119937 0 0 0 0 0 0 1.1991506 1.0423847 10.734773 17.244211 7.0228715 15.553418 1.6625408 7.2570314 5.4566402 9.08402 5.4253073 0 0 2.2144952 20.792953 0 22.221323 22.928583 0.27123684 0 14.450851 9.970973 4.8206744 0 0 0 0 0 0 0 0 0 26.732426 0 34.184875 0 0 10.535775 10.139885 2.1792426 0 0 0
"20120600_P3M_11" 14.110145 5.9482126 0 24.602402 23.953568 0 2.4833548 10.144263 0 0 0 3.374574 13.449187 0 10.839394 19.439056 0 14.888589 6.1114144 0 0 0 0 0 15.78448 0 0 0 0 0 0 0 0 0.34930718 0 0 0 0.06968457 0 0 1.1430333 0.47454178 3.9729574 26.551397 3.0774894 11.780567 2.0887446 9.833916 12.907679 17.175789 0.44327536 0 0 0.7118517 13.292763 0 3.7630255 12.420825 0.50556475 0 9.058778 7.5171256 5.747919 0 0 0 0 0.23779672 0 0 0 0 24.534037 0.3897612 33.93567 0.17936885 0 5.6033235 11.931731 4.714512 0 0 0
"20120800_P2M_7" 3.841792 7.0829196 0 5.2266297 13.403867 0 0.81659657 30.10767 0 0 0 7.193491 24.985302 0 1.3944985 22.870138 0 7.795727 12.838082 0 0 0 0 0 149.06296 0 0 0 0 0 0 0.15681832 0 2.109018 0 0 0 0 0 0 0.25616086 0.12203578 2.2844594 17.539063 7.946045 35.683903 19.513702 38.325768 43.275173 26.631718 3.441007 0 0 1.2033043 5.0479693 0 31.804256 157.97539 6.0592303 0 10.036561 15.897539 4.381917 0 0 0 0 0.064968966 0 0 0 0 34.02909 0.70137894 9.800525 0.060218785 0 5.560023 36.14348 1.250173 0 0 0
"20110800_P3S_2" 3.5748281 0.7301197 0 2.3528264 1.4676853 0 2.2635107 3.2550104 0 0 0 4.9038224 3.380926 0 3.2003453 1.552644 0 0.8162703 3.8323922 0 0 0 0 0 2.2758548 0 0 0 0 0 0 0 0 0 0 0.0565285 0 0 0 0 0 0 0 8.721044 14.836591 19.12678 0.8247688 8.095239 4.273504 24.481764 0.35831255 0 0 0 6.7746854 0 10.410963 7.7503843 0 0 22.502857 6.701816 1.2381725 0 0 0 0 0 0 0 0 0 14.838836 0 6.7668004 0 0 0.40517962 11.149926 0 0 0 0
"20120600_P2M_8" 0 0 0 0.55841416 0 0 0 3.4389248 0 0 0 0 1.281309 0 0 4.5586023 0 0 0 0 0 0 0 0 27.897696 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.17580777 16.010345 0.07147969 1.9250417 0 1.4884855 0 0 0 0 1.1626198 0 21.802692 81.59446 0 0 0 36.01886 0 0 0 0 0 0 0 0 0 0 8.348011 0 0 0 0 0.06329297 34.792362 0 0 0 0
"20170700_P33_1" 0 0 0 0 0 0 0.80959713 11.388633 0 0 0 2.9849346 10.045686 0 0 4.360995 0 0 9.098382 0 0 0 0 0 5.96887 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.6375005 4.8029513 10.155492 0.23278996 0 0 0.5074756 4.250157 0 0 0.7543169 5.89123 0 2.7590387 11.583405 0 0 22.388233 6.948911 6.6941657 0 0 0 0 0 0 0 0 0 12.406575 0 0 0 0 4.5195327 18.95468 1.3541942 0 0 0
"20150700_P23_12" 0 0 0 0 0 0 0 0.13918038 0 0 0 0.67260814 0 0 0 0 0 0 0 0 0 0 0 0 5.4937897 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19.525158 0.058023836 0 0 0 0 0 0 0 0 0 5.272183 5.3826094 0 0 0 1.6610078 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.311029 0.4517585 0 0 0 0
"20120700_P2M_5" 1.9103212 2.1791806 0 10.713445 5.866322 0 0.57739854 45.888866 0 0 0 4.0945454 44.080475 0 8.519156 47.796803 0 10.342091 21.300156 0 0 0 0 0 32.890583 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.6036911 0.32955337 2.9445837 8.7863035 4.570122 29.815619 8.979613 5.003831 5.6177206 25.359957 0 0 0 3.1271875 13.775224 0 6.4231095 34.08438 0.46409416 0 14.672439 15.049856 0.38095987 0 0 0 0 0 0 0 0 0 50.92619 0 13.8472 0 0 8.015319 30.561872 0.92016745 0 0 0
