"genome" "711_P-1-S" "711_P-1-M" "711_P-2-S" "711_P-2-M" "711_P-2-D" "711_P-3-S" "711_P-3-M" "711_P-3-D" "711_S-1-S" "711_S-1-M" "711_S-2-D" "712_P-1-S" "712_P-1-M" "712_P-1-D" "712_P-2-S" "712_P-2-M" "712_P-2-D" "712_P-3-S" "712_P-3-M" "712_P-3-D" "712_S-1-S" "712_S-1-M" "712_S-1-X" "712_S-2-D" "712_S-3-S" "713_P-1-X1" "713_P-3-M" "713_P-3-X1" "713_S-1-S" "713_S-1-X0" "713_S-2-S" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_P3_30-34" "714_S1_1-5" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "715_P1_1-5" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_1-5" "715_P2_10-14" "715_P2_20-24" "715_P3_1-5" "715_P3_10-14" "715_P3_20-24" "715_P3_30-34" "715_S1_1-5" "715_S1_20-24" "715_S2_10-14" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_P1_1-5" "716_P1_10-14" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "716_S1_1-5" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_P1_10-14" "717_P1_20-24" "717_P2_1-5" "717_P2_10-14" "717_P2_20-24" "717_P3_1-5" "717_P3_10-14" "717_P3_20-24" "717_S2_1-5" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"20150700_P13_2" 0.21042033 0 1.7027528 0 0 0 0 0 0 0 0 0 0 0 0 0.2431453 0 0.9142134 0 0 0 0 0 0 0 0 0.17109746 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11.1375675 0.5251011 0 0 0.072624326 0 0.07075818 1.8213469 3.2593715 0 0 0 0 0 0 0 0 1.9108771 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.94378567 0 5.8586736 0 0 0 0 0 0 0 0 0 0
"PMSV01" 41.37194 0 1.9314106 0 0 0 0 0 0 0 0 4.0149918 0 0 0 0 0 5.485389 0 0 0 0 0 0 0 0 2.0465248 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.5028758 0.4485255 0 3.6877618 1.3615252 0 0 0 0 0 0 0 0 0.06698777 0.28837875 0 2.1190324 0.79054624 0 0 0 0.29994264 0 0 0 0 0 0 0 0 0 0 0 0.09758622 0 1.765945 0 0 0.14819251 0.92041194 0 0 0 0 0 0
"20150700_P13_7" 9.406081 0.17310463 1.9997396 0.66246915 0 0.33585772 0.55250204 0 0 0 0 1.9136598 0.9174723 0 5.866635 0.6166563 0 3.488318 0.7869557 0 0 0 0 0 0 0 1.2929431 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.35247 22.851614 13.04131 2.0263698 0.7438571 0.19062151 0.16764705 6.300028 6.0634775 0.10797129 0.12377879 0 0 0 0 0 0 1.2723641 2.37998 0 1.0231807 1.1954662 0 0 0.41717866 0.6594374 0 0 0 0 0 0 0 0 0 0 0 0.6027866 0 1.7002692 0 0 0.73312604 0.7688283 0 0 0 0 0 0
"20160700_S23_5" 3.0740585 0.06838489 0.75485784 0 0 3.9244235 0.32049 0 0.09005263 0 0 1.2143239 0.06578729 0 1.2633524 0.46768457 0 1.4394042 0.16183096 0 0 0 0 0 0.5081662 0 0.27939087 0 0 0 0 0 2.7735763 0 0 0 0 0 0 0 0 0 0.6070085 0.119811244 0 2.598724 1.5044038 0 0.8962142 0.6429049 0.19719133 0.43936777 3.4813457 2.2609155 0 7.6858773 1.2311941 0.50455743 0 0 0 0 0 0 0 1.1401128 3.5012636 0 5.008961 1.7567236 0 0 0.06415784 1.672786 0 0 0.6938828 0 0 1.6616001 36.959026 0.86898494 0.15297975 0 0 0.27919608 0 0.45693973 0 0 1.164373 2.5837996 0 0.80325496 0 1.3843315 0 0
"20120600_P3M_9" 11.37612 2.2065697 2.3510516 2.6841135 0 6.4702334 5.5965137 0 1.0773783 0 0 5.6864686 4.824882 0 13.66096 4.19461 0 2.2711267 3.6001885 0 0.20633307 0 0 0 1.1025506 0 0.6842782 0 0 0 0 0 1.1959652 0 0 0 0 0 0.0570766 0 0 0 0.3825807 0 0 4.433077 0.7616426 0 7.1844554 11.437482 10.104039 11.003063 1.8780946 3.2129526 0 2.0491614 10.683853 5.590883 1.317483 0 0 0 0 0 0 2.3227706 4.2281322 0 2.7450328 2.6882095 0 0 2.780217 4.3297143 1.0600829 0 1.5583552 0 0 3.1877084 0 0 0 0 0 9.484018 0 2.0728204 0 0 8.01137 4.557381 1.2031702 0.10937932 0 1.8133657 0 0
"20150700_P31_13" 2.798358 0 10.498472 0 0 0.314307 0.13250399 0 0 0 0 2.4673476 0.2853579 0 0.5829815 2.5527925 0 9.096991 0 0 0 0 0 0 0 0 14.822983 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.113153115 0.66004986 2.3737228 3.9264913 0 16.869831 0.6218774 0.8350219 0 0 0 0 0 0 0 1.2999312 2.3628795 0 23.054138 16.90414 0 0 0.06480526 2.662017 0 0 0 0 0 0 0 0 0 0 0 3.520543 0 8.259055 0 0 4.911226 1.2753954 0 0 0 0 0 0
"20110700_P1S_2" 9.996033 0.18861143 0.48623234 0 0 0.6966488 0.33253583 0.29820037 0.12644202 0 0 1.2396594 0.5893412 0 3.4586072 1.3122346 0 1.3300374 1.7231866 0 0 0 0 0 0.17834897 0 0.12076619 0 0.092112504 0 0 0 1.1644834 0 0 0 0 0 0 0 0 0 0.22525544 0 0 0 0 0 0.9439257 0 0.09693191 2.2962365 1.9123814 1.4118099 0 3.2952263 0.06296873 0.5486048 0 0 0 0 0 0 0 2.0324385 2.711462 0 2.3836732 0.1381486 0 0 1.8442225 2.4886482 0.47075316 0 1.7936318 0 0 0.22239919 0.44805324 0 0.0628344 0 0 0.46122673 0 0.6952687 0 0 3.972402 0.91387 1.0654832 0.07928496 0 0.3403112 0 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.190_90.54_5.98" 0 0 0.5981344 0 0 0.12399273 0 0 0 0 0 4.929902 0 0 8.889369 0.116646886 0 0.20177054 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.36909747 0 0 0 0.9097264 0 0 7.0316052 3.9171777 0 0 0 0 0 0 0 0 1.095622 0.31435734 0 0.24464113 0 0 0 0 0.09828515 0 0 0 0 0 0 0 0 0 0 0 0 0 1.7905891 0 0 0.47374332 0 0 0 0 0 0 0
"20150700_P31_3" 3.1315606 0 3.0435417 0 0 1.7757974 0 0 0 0 0 0.75127786 0 0 8.455582 0.5763673 0 1.546784 0 0 0 0 0 0 0 0 0.39421603 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.10046792 0 0 0.15239319 0.118956715 0 10.48082 3.085236 0.20187184 1.3056769 3.4567714 4.124887 0 18.137447 8.122009 3.54466 0 0 0 0 0 0 0 0.58446926 8.249117 0 2.628843 0.8021213 0 0 0.88207644 1.9286047 0 0 1.0647206 0 0 0 0 0 0 0 0 1.9373469 0 3.4776351 0 0 0.3677137 0.64962196 0 0 0 0.16486165 0 0
"20120700_P3S_2" 0 0 28.133074 0 0 0 0 0 0 0 0 1.4396666 0 0 10.743565 0.08091764 0 54.85092 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.639387 0 0 0 5.4698544 0 0 24.365871 1.9248599 0.19427103 0 0 0 0 0 0 0 0 1.0834537 0 1.1150842 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07065846 0 11.770635 0 0 0 0 0 0 0 0 0 0
