"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-3-S" "711_E-3-M" "711_P-1-S" "711_P-1-M" "711_P-2-M" "711_P-2-D" "711_P-3-M" "711_P-3-D" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_P-1-M" "712_P-1-D" "712_P-2-S" "712_P-2-D" "712_P-3-M" "712_P-3-D" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-S" "712_S-3-D" "712_S-3-X" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-2-S" "713_E-2-M" "713_E-3-S" "713_P-1-X1" "713_P-3-X1" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "714_P3_30-34" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_E1_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_20-24" "715_E3_30-34" "715_P1_1-5" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_10-14" "715_P2_20-24" "715_P3_10-14" "715_P3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S1_30-34" "715_S2_10-14" "715_S2_20-24" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_E1_10-14" "716_E3_10-14" "716_P1_10-14" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_P1_10-14" "717_P1_20-24" "717_P2_10-14" "717_P2_20-24" "717_P3_20-24" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"20111000_S1D_6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.810858 0.17593542 0 0.10857347 0 0 0 0 0 0 0 0 0 0 0 0 0 0.26025215 1.810938 0.79162115 0 0.44420305 0 0.14915052 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.9079295 0 0 0 1.4033537 0.91349447 0 0 0 0 0 0 0 0 0 0 0 1.4520017 1.7913226 0.3486721 0 0 6.948675 0.44098446 0 0 0.7994818 1.5709901 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.78094 0 0 0 5.779717 0 0 0.10526366 0.29302773 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.30147886 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2563309 0 0
"Bog.None.R1.T0.trimmomatic.megahit_bin.120_96.00_3.87" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07361154 2.407308 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.35905677 1.4489185 0.9331114 0 0.30442578 0 0.15574674 0 0 0 0 0 0 0 0 0 0 5.3612337 1.1973563 0 0 0 0.44161677 0 0 0 2.3495724 0.17814857 0 0 0 0 0 0 0 0 0 0 0 2.081412 0.31829762 0.084598415 0 0 0.5648141 1.1351483 0 0 1.2050318 0.3190744 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.3473003 0 0 0 1.9118983 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.19948491 0 0 0 0 0.6039145 0 0 0.5277419 0 0 0 0 0 0 0 0 0 0 0 2.5297322 0 0 0 0.9272011 0 0
"20120700_S1D_45" 0.580274 1.4215535 0 0 0 0 0 0 0 0 0 0 0 0 10.371156 0.4573551 1.1273534 0 0 0 0 0 0 0 0 0.6931389 0 0 0 0 0.15162674 0.5476622 2.137642 0 0.7278669 0 0 0 0 0 0 0 0.10359359 0.16723193 0 0.07138125 0 0.18802164 7.423014 0 0 0 0.7367287 0.21023417 0.056086503 0 0 1.6511524 1.3826609 0 0 0 0 0 0 0 0 0 0 0.32754236 2.4034662 0.98161095 0 0 0.5606014 2.260929 0 0 1.3116227 16.613976 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.18987565 1.289285 0 0 2.9273353 0 0 0.07666368 0 0 0.06518408 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.3323178 0.13472293 0 0 0 0.09928088 0.873236 0 0 0 0 0 0 0 0 0 0 4.633179 0
"20111000_S3M_6" 0 0 0 0 0 0 0 0 0 0 0 0 0 1.856433 3.7076254 0.057375133 0.2733074 0 0 0 0 0 0 0 0 0 0 0 0 0 3.2462635 33.151176 0.99964416 0.095329516 2.6463683 0 2.2062426 0.07289134 0.06828804 0 0 0 0 0 0 0 0 24.352898 2.4185948 0 0 0 16.346544 0.14111196 0.16512688 0 9.684651 7.4867096 0.53519875 0.09477282 0.06862134 0 0 0 0 0 0 0 0 32.86905 0.645147 0.76926154 0.055873495 0 20.113098 4.353344 0.08078297 0.5736594 14.26529 11.711267 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10.492773 0.18437965 0 0 11.512991 0 0 0.7014856 0.775318 0 0 0 0 0 0 0 0 0 0 0 0 11.526399 0 0 0 0 0.6397188 0.14734574 0 7.057888 0 0 0 0 0 0 0 0 0 0 0 6.3747416 0 0 0.060080625 15.380887 0.061248966 0
"Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10" 1.870093 3.2651002 0 0.11727521 2.2462528 0 0 0 0 0 0 0 0 1.1001449 3.822391 0.09747213 0.36955568 0 0.29842693 0 0 0.076436035 0 0 0 0 0 0 0 0 0.45509484 7.4134007 1.2806569 0 3.674419 0 0.8150115 0.09235537 0.091522604 0 0 0 0.1257553 0.62662953 0.3950574 0 0 5.333777 2.2489974 0 0 0 3.4521818 1.5199515 0.0580308 0 7.8114853 4.1261463 1.3419526 0.102916665 0 0 0 0 0 0 0.32041782 0 0 9.35085 5.411405 1.6999779 0 0 7.9009967 6.160212 0.067912 0.8367574 12.310893 15.620485 0 0 0.36011165 0 0 0.23407371 0 0 0 0 0 0 0 0 0 10.565046 2.9281974 0.05931665 0 5.7981453 0.073775485 0 0.50450295 0.5312087 0.12504761 0.24154943 0 0 0 0 0 0 0 0 0 0 4.87681 0.99082464 0 0 0.19290513 23.83733 0.78107643 0 15.243071 0.8598235 0 0 0 0 0.32569402 0 0 0 0 0 9.639198 0.40051085 0 0.056823965 9.312157 2.8795998 0
"20140700_S33_15" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.57662183 0 0.14874005 0 0 0 0 0 0 0 0 0 0 0 0 0 0.31039602 2.1533992 0.43402165 0 7.1597505 0 0 0 0 0 0 0 0 0 0 0 0 2.56377 1.079006 0 0 0 1.2375293 0 0 0 0 5.1273556 0.17225718 0 0 0 0 0 0 0 0 0 0 2.8786793 4.467327 0.56634915 0 0 0.7084278 11.7037325 0.07665891 0 0.4235374 38.28718 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7308192 0.20470956 0 0 3.6401281 0 0 0.13087784 0.17271599 0 0 0 0 0 0 0 0.3085157 0 0 0 0 0.064271905 0 0 0 0 2.242984 0 0 6.9868026 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2466326 0.86037946 0
"Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.2_81.64_4.58" 0.15017812 0.34897912 0 0 0.23312669 0 0.06110417 0 0 0 0.08475265 0 0.52262026 0.21581984 8.445053 0 8.015266 0.47834542 0.44662035 0.1307074 0 0.08835258 0 0 0 0.46940723 0 0 0 0.06880539 1.9298007 7.291273 9.309264 0.24583714 3.0088112 0 0.37574536 0 0 0.1992689 0.15865912 0.0679554 0 0 0 0 0 4.8428917 27.354324 0.268077 0.19964029 0 2.7295861 3.9375958 1.6403455 0 0.7339574 2.424421 0.36618143 0.08584518 0 0 0.06346289 1.6813295 0 0 0.24023582 0.28042364 0 8.387941 3.9105859 5.913017 0.19987057 0 4.2612667 7.5943656 0.2729656 0.107061595 2.5999901 4.5042925 2.346864 0 0.07254376 0 0 0 0 0 0 0 0 0 0 0 0 4.010778 1.0579008 0.41812626 0 5.3292904 2.2752192 0 0.94378245 0.46017924 0 0 0 0 0 0 0 0.11546902 0 0 0 0.25231698 1.2968593 0.7261059 0.083145395 0 0 4.025567 0.12547368 0 4.4602747 0.09500206 0 0 0 0 0.0674322 0 0 0 0.19056009 0 1.8381636 0.8199247 0 0.060341116 5.71065 0.30901492 0.08123586
"20120700_S1D_87" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.3770852 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.96931803 3.9022481 1.7607912 0.063301645 3.0374582 0 0 0 0 0 0 0 0 0 0 0 0 0.9681646 1.0331093 0 0 0 1.1024543 0.10785664 0.09420742 0 0 0.18488915 0 0 0 0 0 0 0 0 0 0 0 3.9422727 3.2041366 0.69574386 0 0 0.6670933 0.6482588 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9535449 0 0 0 3.773643 0 0 0.056069035 0 0 0 0 0 0 0 0 0 0 0 0 0 0.12449836 0 0 0 0 4.550432 0 0 1.384836 0 0 0 0 0 0 0 0 0 0 0 2.2721431 0 0 0 0.98758215 0 0
"20140700_S12_15" 0.75461775 0.7595951 0 0.13973011 0.5688846 0.47058696 0.7723125 0 0 0 0.1957481 0 0 1.6770053 18.588333 14.072546 5.7805243 1.4040133 4.055575 0.21848047 0 0.078297846 0.060635068 0 0 0 0 0 0 0.48385125 2.429029 12.009926 17.614363 2.6495461 19.326958 0.65547234 1.1575674 1.7284919 1.6685683 0.24514753 0.28932893 0.10222643 0 0 0.1740974 0 0 22.205215 18.115932 0.53916454 7.6757956 0.3958705 5.233272 5.1457705 0.84867877 1.0178045 3.502364 5.9693475 8.066404 2.3747714 1.9550327 0.17922857 0.48346755 0.87360704 0 0.13933434 0.79628253 0.1276053 0 7.6527348 18.840137 24.373531 0.75972956 4.1885877 8.918341 9.848544 4.268394 1.0813267 11.201871 35.325005 1.8892702 0.3426235 0.42999122 0 0 0.15780185 0 0 0 0 0 0 0 0 0 4.8970323 18.173712 3.2732244 0.8067118 4.7129016 0.68122816 0.6806926 9.705818 2.6246405 0.25013268 0.06528199 0 0 0 0 0 0 0 0 0 0 3.4076798 2.5599892 1.4692512 1.7396472 0.325292 6.7263713 0.91178477 3.5518506 7.5911927 2.4783762 2.486486 0.20807484 0 0 0.080969095 0 0 0 0.3155701 0 2.7677727 6.1810813 0.22520874 2.5905054 11.929655 11.09219 2.9590373
"Bog.None.R1.T0.trimmomatic.megahit_bin.264_75.64_3.36" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5845374 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.18356606 0.17818609 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.78316385 1.8838416 0 0 0 0.648499 0 0 0 0 0.11736732 0 0 0 0 0 0 0 0 0 0 0 0.5313975 0 0 0 0 0.7118123 0.13796936 0 0 0.19037348 0.21227978 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.062416263 0 0 0 0.36471286 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.29520622 0 0 0 0 0.09984417 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.27704924 0 0 0 0.10330053 0 0
"20120700_S1D_84" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.2427216 0 0 0 0.23044166 0 0 0 0 0 0 0 0 0 0 0 0.9225623 2.195325 20.163095 0.32579258 0.75759935 0 0 0 0 0 0 0 0 0 0 0 0 4.155421 15.316646 1.0935653 0.19418642 0 1.9918988 0.7091835 0.12555031 0 0 0.5745766 0.4733644 0 0 0 0 0 0 0 0 0 0 6.6289077 1.8702986 0.7388027 0 0 4.3832426 0.993338 0.06287326 0 0.70394444 0.18434215 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0413867 0 0 0 0.6624609 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.31159592 0.22301115 0 0 0 0.10277888 0 0 0.41471317 0 0 0 0 0 0 0 0 0 0 0 0.37295264 0 0 0 0.9205722 0 0
"20120700_S1D_20" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.677212 1.0602363 1.019609 0 0.12557219 0 0 0 0 0 0 0.08569712 0 0 0 0 0.14927869 2.6880634 2.7413058 0 0.9209011 0 0 0 0 0 0 0 0 0 0 0 0 1.2818836 4.9876075 0.28914723 0 0 3.0558867 0.13720603 0 0 0.075085565 0.41794088 0.7797364 0.07824021 0 0 0 0 0 0 0 0 0 1.5337946 1.1132777 0.34346446 0 0 1.2117972 1.589789 0 0 0.9711946 2.130836 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5261829 0.8585358 0 0 1.3758588 0 0 0.12343151 0.13407907 0 0 0 0 0 0 0 0 0 0 0 0 0.6442323 0.9499704 0 0 0 0.59170014 0 0 1.1022781 0 0 0 0 0 0 0 0 0 0 0 0.28613615 0.95508933 0 0 0.05609337 0 0
"Bog.None.R3.T0.JGI.BFC.metaspades_bin.340_100.00_1.76" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0743224 0 0 0.212967 0 0.2463944 0 0 0 0 0 0 0 0 0 0 0 2.335422 3.402564 2.2430599 0.26956087 2.7644603 0 0.2703439 0 0 0 0 0 0 0 0 0 0 0.5815327 0.4104315 0 0 0 5.4804635 0.27236933 0.3367754 0 0.4331295 0 0.16449931 0 0 0 0 0 0 0 0 0 0 1.2738867 0.15961464 0.55652225 0 0 0 0.06629078 0 0 0.38526845 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.15658301 0 0 0 0.22047141 0 0 0.52307576 0.31607604 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.30530864 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.6970482 0.5436034 0
"Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.56_97.76_1.08" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8147899 2.5186644 0.08296913 0 0.093723655 0 0.08916474 0 0 0 0 0 0 0 0 0 0 0.253668 0 0 0 0 1.21039 0 0 0 0.058227062 0 0 0 0 0 0 0 0 0 0 0 0 0.18882667 0 0 0 0 0.6997485 0 0 0 0.1102782 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.27696472 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1017027 0 0 0 0.39088342 0 0
"20120700_S1D_95" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.36435398 5.764952 5.158145 0.0661887 0 0.21926631 0 0 0 0 0 0 0 0 0 0 0 0.48760983 1.4182298 2.007738 0 0.8038585 0 0.31023884 0 0 0 0 0 0 0 0 0 0 2.8700862 4.795506 0 0 0 1.6462309 0.11420435 0 0 0.6292049 0.92194307 2.0709312 0.13471067 0 0 0 0 0 0 0 0 0 1.0401276 0.79291725 0.13407889 0 0 1.4955211 1.9689276 0 0.13691008 1.3916438 3.7532947 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.379103 0.42695984 0 0 2.96327 0 0 0.10649411 0.10387653 0 0 0 0 0 0 0 0 0 0 0 0 1.2052696 0.19417924 0 0 0.6390571 8.097883 0.26748952 0 1.8835714 0 0 0 0 0 0 0 0 0 0 0 1.6415985 0 0 0 1.1615807 0 0
"20140700_S11_7" 0.16963486 0 0 0 0 0 0 0 0 0 0 0 0 3.1924598 3.0635095 0.33096766 0.45755178 0 0.09998176 0 0 0 0 0 0 0 0 0 0 0 12.965291 94.87716 8.783761 0.6819562 3.8337705 0 2.689714 0.22633885 0.24054497 0 0 0 0.4465105 0 0 0 0 36.798943 31.28276 0.16059169 0.3590739 0.094523184 54.84061 3.18655 1.3441525 0.1715409 3.7496135 6.9434752 0.4690268 0.24083428 0 0 0 0.07947485 0 0 0 0 0 22.242027 3.703049 2.1702428 0.33907023 0.18454644 19.272913 0.19524065 0 0.13278787 3.8205502 3.2596772 0 0 0.2300128 0 0 0.113652594 0 0 0 0 0 0 0 0 0 70.10768 0.35227078 0.18417047 0.0751013 4.8921494 0.104768746 0 1.9415101 1.8068112 0 0 0 0 0 0 0 0 0 0 0 0 2.1006792 0.4361742 0.0696847 0.099468134 0 0.19384688 0 0 0.35714802 0 0 0 0.21506196 0 0 0 0 0 0 0 0.96844596 2.9497466 0 0 0.12321707 0 0
"20120600_S2M_11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.15451801 0.3008381 0.27112153 0 0.68424356 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.72433156 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.018081 0.2900957 0.07105477 0 0 0 0 0 0 0.2675921 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8767382 0.5682679 0 0 1.16245 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06250596 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.4074087 0 0
"20120700_S1D_69" 0 0 0 0 0 0 0 0 0 0 0.3393234 0 3.3319435 0.29315946 4.0370536 3.0971026 0.29025435 0 1.3647717 0 0 0 0 0 0 6.270412 0 3.6759572 0.074432716 0 0.20828429 3.842471 2.1073256 0 0.82135826 0 0.26427063 0.060474228 0.060970955 0 0 0 0 0 0 1.8853005 1.0128951 1.3678064 4.0643377 1.427483 0 0 2.1534975 0.62116945 0 0 1.7911808 1.1181656 1.4515817 2.1384008 0.70426327 0 0 0 0 0 0 0 0.98029006 1.3181465 0.8718158 0.42598048 0 0 0.9199269 2.2051978 0 0.08258238 1.8731807 4.6035533 0.25827497 0 0 0 0 0 0 0 0 0 0.36840597 0 0.31131995 0 0.21628688 0.6479558 0.4691526 0 0 1.1562654 0 0 0.13187909 0.16054848 0 0 0 1.1751521 0.12630087 0 0.27602202 1.8996938 0 0 0.4197587 0 2.3065913 1.9867117 0 0.12349561 0.22914301 4.5445266 0.24666719 0 0.8065051 0 0 0 0 0 0 0 0.39178517 0.32159021 0 0.08332332 0.4851025 0.45296565 0 0 1.3564141 0.45064938 0
"20140700_S21_17" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.43893498 21.15045 7.9906645 0.6177975 0 0.7377007 0 0 0 0 0 0 0.13244563 0 0 0 0 1.235593 7.8579354 9.221606 0.15158528 2.535569 0 0.10324611 0.28528565 0.27493453 0 0 0 0 0 0 0 0 9.041561 15.978973 0.63831383 0.14074647 0 16.60193 2.1919172 0.1986083 0.06447536 0.9649005 5.233949 2.7953053 0.6717071 0.056695145 0 0 0 0 0 0 0 0 9.285725 2.1526365 1.1213634 0 0 14.38594 3.0883272 0.18912862 0.3733198 9.471927 36.025894 0.20843716 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.7035823 1.4941437 0.13580203 0.08632046 6.163111 0.24162908 0 1.6199493 1.2012519 0 0 0 0 0 0 0 0.075896695 0 0 0 0 9.398412 1.692183 0.14187789 0.16316733 0.08421226 2.2290492 0.3133283 0 2.1408346 0 0 0 0 0 0 0 0 0 0 0 1.4203893 0.79270756 0 0.13611057 0.1639778 0.36855873 0
