"genome" "711_P-1-S" "711_P-1-M" "711_P-2-S" "711_P-2-M" "711_P-3-S" "711_P-3-M" "711_P-3-D" "711_S-1-S" "712_P-1-S" "712_P-1-M" "712_P-2-S" "712_P-2-M" "712_P-3-S" "712_P-3-M" "712_S-1-S" "712_S-1-M" "712_S-3-S" "713_P-3-M" "713_S-1-S" "713_S-3-S" "713_S-3-M" "714_P3_30-34" "714_S1_1-5" "714_S2_1-5" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "715_P1_1-5" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_1-5" "715_P2_10-14" "715_P2_20-24" "715_P3_1-5" "715_P3_10-14" "715_P3_20-24" "715_P3_30-34" "716_P1_1-5" "716_P1_10-14" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "716_S1_1-5" "716_S2_1-5" "716_S2_10-14" "716_S3_10-14" "717_P1_10-14" "717_P2_1-5" "717_P2_10-14" "717_P3_1-5" "717_P3_10-14" "717_P3_20-24" "717_S2_1-5" "717_S3_1-5"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.96_88.84_2.56" 4.44859 0 0 0 5.8629837 0 0 0 4.4762216 0 18.136623 0.50113904 0 0.11021418 0 0 0 0 0 0.07601528 0 0 0 0 0.115214996 0.5476896 0 17.284481 10.6863365 0.3114027 0.45969656 1.2885901 1.123117 0 0.79899764 1.691317 0.31889132 0 6.688267 3.675716 0 0 0 0.101054385 0.587493 4.708035 0 0.1512986 0.76055187 0 0 0 0 0 4.0196886 0.32848078 1.053836 0 0.42685825
"20120600_P3M_6" 28.48796 0.1063768 2.404025 0 40.24438 1.3047365 0 0 15.977373 0.50418377 2.140623 0.5839993 10.243737 0.8478507 0 0 0 0.23049776 0 0 0 0 0 0 0 0 0 0 0 0 0.27863458 1.9908202 5.3522677 0 3.579027 0 0.67802095 0 19.24639 10.583661 11.704544 1.5468228 0 1.7555324 5.030668 11.439151 0 0.10705046 0.12897965 0 0 0.14541622 0.4218709 0 27.141958 9.591519 3.6195362 0 0.15717953
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.148_86.97_6.42" 0.5633412 0 0.09326976 0 1.2001265 0 0 0 0.908929 0 0.645119 0 0.44359905 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.27148098 0.44085354 0 0 0.2829009 0.11073735 0 0.7609596 0.58551043 0 0 1.0358589 0.40021515 0.14091457 0.057268675 0 0 0.14439774 0 0 0 0 0 0 0 0.080715366 0 1.6421741 0.30311722 0 0 0
"20110800_P3S_9" 0.3936721 0 0.41806442 0 3.2196817 0 0 0 0.34390166 0 0.48027858 0 1.2482425 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7565445 0 0 0 1.4785079 0 0 0.7729122 0 0 0 0.85965157 0 0.19878817 0 0 0 0 0 0 0 0 0 0 0 0.12319176 0 0.08729389 0.286793 0 0 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.319_82.00_3.81" 0 0.20276408 0 0 0.5363546 0.41337007 0 0 0.64209867 0.16983253 0 0 0 0.25908843 0 0 0 0.12458813 0 0 0 0 0 0 3.0357945 0.08317004 0 0 0 0 0 0.17502344 0.08009805 0 0 0 0 0 3.7774909 0.2637764 0 0 0.25598976 0.31004456 0.2725814 0.23049542 0 0.29026872 0.48837525 0 0 0 0 0 4.484262 0.34816718 0.19278912 0 0.45358637
"20110700_P3S_8" 1.1894954 0.35288644 0.4419373 2.0773466 8.723748 0.33892184 0.13932855 0 4.103775 0.14728387 0.26820487 0 1.6622009 0 0 0 0 0.3256563 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0305886 0 0 0.6410735 0 0 0 2.1471095 0.81557286 2.9641273 0.33691484 0.08858371 0.43255863 1.0693474 0.589283 0.13014579 0 0 0 0 0 0.06887536 0.13459736 6.537987 2.6335561 0.36540177 0 0
"Palsa.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.82_91.99_3.21" 0.25795785 0 1.0131298 0.057853222 2.6380067 0.064332105 0 0.7050952 2.0137672 0 0.6942196 0 0.2667046 0 0 0 0.2238818 0 0 0.5420702 0 0 0 0.1093323 1.5410082 0.36414942 0 0.074846804 0 0 0 0.35007563 0 0 0.19361494 0 0 0 2.8626478 0 0.6911176 0.89375734 0 0 1.394182 0 0 3.7293053 2.2614388 0 0 0 0.45161754 0 1.0109997 0.1426837 0 0.8917783 0.41136572
"Palsa.Unlabelled.R1.T3.F2.trimmomatic.megahit_bin.36_77.59_1.72" 0.4401582 0 0 0 1.2613541 0 0 0.11455649 0.38978568 0.11198945 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08019937 0 0.06387915 0 0 0 0 0 0.15616506 0 0 0 0 0 0 0.83794206 0.54073334 0.29955697 0.09398902 0 0 0.15799384 0 0 0.12260292 0.31410697 0 0 0 0 0 1.2737644 0.2195011 0 0 0.0849908
"Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.177_70.33_7.55" 0.49910253 0 0.430436 0.31857434 0.44674376 0 0 0 0.28128994 0 0.21964127 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08836389 0 0 0.06767026 0 0 0 0.064113915 0.080406256 0 0 1.6731411 0.84552485 0.29057178 0.14984813 0 0 0 0 0 0 0 0 0 0.066332586 0.057882212 0 0.29313493 0 0 0 0
"Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.5_87.01_6.92" 1.0336605 0.40224034 0.8088546 0.1129461 3.9069555 0.9886569 0 0 8.750469 0.29308107 0.9189735 0.13736849 1.1021683 0.19303402 0 0 0 0.3641882 0 0 0 0 0 0 0 0 0 0.27600047 0.121511884 0.09474378 0.21030958 2.9966056 0.44614074 0 0.5497859 0.29211664 0.21508741 0 3.3110728 0.50977945 2.745703 2.5934322 0 0.3898955 3.2788904 0.05581693 0 0.29068217 0.99220294 0 0 0.3900646 0.78876513 0 5.77857 4.0723996 0.12406326 0 0.1425739
