"","net$colors","mergedColors"
"Bog.None.R3.T0.trimmomatic.megahit_bin.399_80.28_6.52",6,"red"
"Palsa.Labelled.R1.T1.F2.trimmomatic.megahit_bin.16_70.72_6.45",1,"turquoise"
"Palsa.Labelled.R1.T1.F2.trimmomatic.metaspades_bin.100_93.16_1.99",1,"turquoise"
"Palsa.Labelled.R1.T1.F2.trimmomatic.metaspades_bin.50_88.06_3.48",1,"turquoise"
"Palsa.Labelled.R1.T1.F3.JGI.BFC.metaspades_bin.27_84.23_6.23",1,"turquoise"
"Palsa.Labelled.R1.T1.F3.trimmomatic.metaspades_bin.56_91.47_0.17",1,"turquoise"
"Palsa.Labelled.R2.T3.F1.trimmomatic.metaspades_bin.31_87.45_2.00",1,"turquoise"
"Palsa.Labelled.R2.T3.F2.trimmomatic.megahit_bin.45_76.68_4.31",1,"turquoise"
"Palsa.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.54_94.98_2.76",1,"turquoise"
"Palsa.Labelled.R3.T1.F2.trimmomatic.metaspades_bin.24_90.12_0.10",1,"turquoise"
"Palsa.Labelled.R3.T1.F2.trimmomatic.metaspades_bin.39_97.73_0.57",3,"brown"
"Palsa.Labelled.R3.T1.F2.trimmomatic.metaspades_bin.5_93.42_1.45",3,"brown"
"Palsa.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.45_83.28_6.50",4,"yellow"
"Palsa.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.68_75.40_6.88",1,"turquoise"
"Palsa.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.75_85.15_2.19",1,"turquoise"
"Palsa.Labelled.R3.T1.F3.trimmomatic.megahit_bin.10_90.51_2.85",1,"turquoise"
"Palsa.Labelled.R3.T3.F3.trimmomatic.megahit_bin.132_78.35_6.03",1,"turquoise"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.128_97.22_0.00",1,"turquoise"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.132_71.57_6.17",3,"brown"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.137_79.13_4.55",4,"yellow"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.14_80.71_5.34",1,"turquoise"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.140_93.10_9.25",1,"turquoise"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.146_89.53_8.55",1,"turquoise"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.147_84.14_8.29",3,"brown"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.148_86.97_6.42",1,"turquoise"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.152_78.26_8.29",4,"yellow"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.158_96.58_0.85",3,"brown"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.190_90.54_5.98",1,"turquoise"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.21_97.13_1.25",3,"brown"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.210_73.18_6.21",1,"turquoise"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.218_92.57_6.03",3,"brown"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.238_96.77_6.03",1,"turquoise"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.239_74.60_5.56",1,"turquoise"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.247_71.06_5.63",1,"turquoise"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.263_87.12_8.86",3,"brown"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.267_77.18_5.22",1,"turquoise"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.296_95.83_0.00",3,"brown"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.298_98.43_2.66",4,"yellow"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.300_98.33_0.91",1,"turquoise"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.307_94.82_5.10",1,"turquoise"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.319_82.00_3.81",1,"turquoise"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.320_77.36_1.34",3,"brown"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.50_91.45_2.99",3,"brown"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.60_72.97_9.43",3,"brown"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.70_95.73_0.85",1,"turquoise"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.96_88.84_2.56",1,"turquoise"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.97_73.23_1.91",3,"brown"
"Palsa.Unlabelled.R1.T1.F1.trimmomatic.megahit_bin.45_71.69_6.46",3,"brown"
"Palsa.Unlabelled.R1.T2.F3.trimmomatic.metaspades_bin.27_81.74_0.87",1,"turquoise"
"Palsa.Unlabelled.R1.T3.F2.trimmomatic.megahit_bin.36_77.59_1.72",1,"turquoise"
"Palsa.Unlabelled.R1.T3.F2.trimmomatic.metaspades_bin.96_80.51_1.15",1,"turquoise"
"Palsa.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.126_94.83_0.00",1,"turquoise"
"Palsa.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.235_87.61_3.54",8,"pink"
"Palsa.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.82_91.99_3.21",1,"turquoise"
"Palsa.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.94_89.19_4.42",1,"turquoise"
"Palsa.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.99_87.92_0.00",1,"turquoise"
"Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.15_88.82_6.04",1,"turquoise"
"Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.189_99.25_4.26",1,"turquoise"
"Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.203_90.06_2.84",3,"brown"
"Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.264_97.44_0.71",1,"turquoise"
"Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.5_87.01_6.92",1,"turquoise"
"Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.84_95.68_9.76",1,"turquoise"
"Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.177_70.33_7.55",1,"turquoise"
"Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.239_79.17_2.28",3,"brown"
"Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.241_91.03_4.38",1,"turquoise"
"Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.30_89.06_2.80",3,"brown"
"Palsa.Unlabelled.R3.T1.F2.trimmomatic.metaspades_bin.54_83.78_8.12",3,"brown"
"Palsa.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.23_95.38_0.50",1,"turquoise"
"Palsa.Unlabelled.R3.T3.F1.trimmomatic.metaspades_bin.230_94.04_2.71",1,"turquoise"
"Palsa.Unlabelled.R3.T3.F2.trimmomatic.metaspades_bin.58_71.79_7.57",3,"brown"
"PKXJ01",8,"pink"
"PKYA01",2,"blue"
"PLBY01",5,"green"
"PLTN01",8,"pink"
"PLWZ01",7,"black"
"PLXO01",8,"pink"
"PLXS01",6,"red"
"PLZA01",5,"green"
"PMLV01",5,"green"
"PMOO01",5,"green"
"PMOU01",1,"turquoise"
"PMST01",1,"turquoise"
"PMSV01",1,"turquoise"
"PMTF01",5,"green"
"PMUP01",4,"yellow"
"PMWT01",7,"black"
