"","net$colors","mergedColors"
"Bog.Labelled.R2.T3.F3.trimmomatic.megahit_bin.126_96.49_2.19",6,"red"
"Bog.None.R2.T0.JGI.BFC.metaspades_bin.50_93.75_3.45",6,"red"
"Bog.None.R2.T0.JGI.BFC.metaspades_bin.84_100.00_0.00",6,"red"
"Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10",0,"grey"
"Bog.None.R3.T0.JGI.BFC.metaspades_bin.37_91.86_1.77",3,"brown"
"Bog.None.R3.T0.trimmomatic.megahit_bin.55_94.74_3.88",3,"brown"
"Bog.Unlabelled.R2.T2.F1.JGI.BFC.metaspades_bin.60_95.04_1.94",3,"brown"
"Bog.Unlabelled.R2.T2.F2.JGI.BFC.metaspades_bin.16_87.66_1.12",6,"red"
"Bog.Unlabelled.R2.T3.F2.JGI.BFC.metaspades_bin.55_93.55_2.59",6,"red"
"Bog.Unlabelled.R2.T3.F2.JGI.BFC.metaspades_bin.69_94.23_0.86",3,"brown"
"Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.143_96.29_0.88",3,"brown"
"Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.2_81.64_4.58",5,"green"
"Fen.Labelled.R1.T1.F4.trimmomatic.metaspades_bin.45_92.53_1.84",9,"magenta"
"Fen.Labelled.R2.T3.F3.JGI.BFC.metaspades_bin.38_80.01_9.95",2,"blue"
"Fen.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.4_83.17_2.00",2,"blue"
"Fen.Labelled.R3.T2.F1.JGI.BFC.metaspades_bin.27_98.45_0.75",3,"brown"
"Fen.Labelled.R3.T2.F4.JGI.BFC.metaspades_bin.9_70.09_1.38",2,"blue"
"Fen.Unlabelled.R1.T1.F4.trimmomatic.metaspades_bin.21_75.31_0.26",2,"blue"
"Fen.Unlabelled.R1.T2.F4.trimmomatic.metaspades_bin.48_89.46_5.98",2,"blue"
"Fen.Unlabelled.R1.T3.F1.trimmomatic.metaspades_bin.55_85.86_0.54",3,"brown"
"Fen.Unlabelled.R1.T3.F4.trimmomatic.megahit_bin.27_72.03_1.57",2,"blue"
"Fen.Unlabelled.R2.T1.F3.trimmomatic.megahit_bin.38_73.55_6.79",2,"blue"
"Fen.Unlabelled.R2.T3.F1.trimmomatic.metaspades_bin.3_78.82_2.42",3,"brown"
"Fen.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.22_97.12_0.14",2,"blue"
"Fen.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.13_89.21_3.77",2,"blue"
"Fen.Unlabelled.R3.T1.F2.trimmomatic.metaspades_bin.17_87.24_2.27",4,"yellow"
"Fen.Unlabelled.R3.T3.F4.trimmomatic.metaspades_bin.1_78.97_1.10",9,"magenta"
"Fen.Unlabelled.R4.T3.F4.trimmomatic.megahit_bin.1_91.07_1.12",2,"blue"
"PLCS01",1,"turquoise"
"PLGY01",5,"green"
"PLLC01",10,"purple"
"PLLE01",8,"pink"
"PLLH01",10,"purple"
"PLLM01",10,"purple"
"PLLP01",1,"turquoise"
"PLMA01",10,"purple"
"PLMN01",7,"black"
"PLMQ01",1,"turquoise"
"PLND01",1,"turquoise"
"PLNE01",1,"turquoise"
"PLNS01",11,"greenyellow"
"PLNT01",11,"greenyellow"
"PLNU01",10,"purple"
"PLNV01",3,"brown"
"PLPO01",8,"pink"
"PLTW01",3,"brown"
"PLTZ01",6,"red"
"PLWQ01",6,"red"
"PMAZ01",2,"blue"
"PMBA01",2,"blue"
"PMBB01",9,"magenta"
"PMBF01",7,"black"
"PMBG01",2,"blue"
"PMBI01",9,"magenta"
"PMBM01",2,"blue"
"PMBQ01",9,"magenta"
"PMBR01",2,"blue"
"PMBS01",7,"black"
"PMBT01",4,"yellow"
"PMBU01",9,"magenta"
"PMBV01",9,"magenta"
"PMBW01",7,"black"
"PMBX01",2,"blue"
"PMBY01",7,"black"
"PMBZ01",9,"magenta"
"PMCA01",9,"magenta"
"PMCB01",4,"yellow"
"PMCC01",9,"magenta"
"PMCE01",9,"magenta"
"PMCF01",9,"magenta"
"PMCG01",7,"black"
"PMCI01",2,"blue"
"PMCJ01",2,"blue"
"PMCM01",2,"blue"
"PMCN01",2,"blue"
"PMCP01",2,"blue"
"PMCR01",7,"black"
"PMCS01",7,"black"
"PMCY01",9,"magenta"
"PMDB01",2,"blue"
"PMDK01",9,"magenta"
"PMDM01",2,"blue"
"PMDS01",2,"blue"
"PMDT01",2,"blue"
"PMDX01",9,"magenta"
"PMDY01",2,"blue"
"PMDZ01",9,"magenta"
"PMEC01",7,"black"
"PMEE01",4,"yellow"
"PMGM01",3,"brown"
"PMIU01",7,"black"
"PMJF01",9,"magenta"
"PMJR01",8,"pink"
"PMJT01",2,"blue"
"PMKK01",3,"brown"
"PMKN01",5,"green"
"PMKW01",2,"blue"
"PMLO01",4,"yellow"
"PMMQ01",2,"blue"
"PMMV01",2,"blue"
"PMNG01",4,"yellow"
"PMNP01",3,"brown"
"PMXQ01",1,"turquoise"
"PMYM01",10,"purple"
"PMZI01",9,"magenta"
"PMZK01",1,"turquoise"
"PMZX01",9,"magenta"
"PNBO01",2,"blue"
