"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_1-5" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34"
"20120600_E3D_27" 0.106410936 0.9364601 2.6580935 2.4401524 2.7701254 2.71178 1.7698725 2.4817295 3.8206851 1.3411553 0.8611236 0.71368885 1.1559927 2.7594414 0.25885072 0.17465596 2.4424443 2.0444636 3.9620252 2.081779 0.5749771 1.142807 0.2323044 0.8667385 1.3529241 0.19048144 0.67554706 2.2819219 0.9851563 0.2607137 0.07073192 0 0 0.18081087 0.3885584 0.26993027 0.16525015 0.6671498 2.4943814 2.662555 0.665397 2.046706 3.0206382 0 2.5142174 1.0773672 1.0722305 0.14434679 2.4221206 3.2682881 2.8664412 0 2.8942673 3.0614474 0.9983763 1.3155227 1.5437617 0.15208104 1.6377486 2.208612
"20130700_C1D_3" 0.66743755 3.2927494 0.33208203 2.4959307 3.427801 5.4507184 4.2829256 5.5866766 3.7885792 4.4427724 1.5537182 2.9762733 3.05657 8.073002 0.10748544 0.251071 3.6348658 1.7006315 3.7624052 2.6110194 0.08201443 0 0.37216303 1.3964782 2.155721 0 0.113153405 3.750271 3.1208577 0 0 0 1.6670048 2.9719176 1.6838653 0.16500969 0.4769888 0.11502374 0.9836141 0.9137554 1.0895635 1.333861 0.4337639 0.2579614 5.458917 0.61541045 1.3478987 0.068884656 0.21894899 0.21876658 0.9571963 0 1.0434846 1.21389 1.8977709 2.3322573 1.2732468 0.28170457 2.3090916 1.7025695
"20130700_C2X_5" 0.840521 1.6806965 0.18385239 2.634596 3.3513098 7.2191916 1.0847404 0.7851049 3.4725447 1.0785847 0.3034371 1.5399734 1.9706953 3.9981556 0.23092555 0 3.1079173 1.8109937 3.4489474 3.2621145 0.13230747 0.17442967 0.26529494 1.3901834 1.4705147 0 0.21438035 0.9776556 2.7245955 0 0.07730373 0 0.5657356 1.9394975 2.2421715 1.0219446 0.46319482 0.27342665 1.830054 0.45462716 0.33954546 0.77387214 0.39099625 0 0.8276588 1.2948778 0.4726304 0.5311316 0.83762443 0.6989312 2.0721037 0 0.43415436 3.7499487 0.22464372 0.6541715 0.87709254 0 0.3304161 2.7619932
"20120600_E1D_20" 0.8585414 1.5479536 0.118391864 0.49706224 0.7944679 1.964748 1.7355353 2.6054897 1.0927995 4.1193185 0.6559481 0.36936858 0.07204347 1.4740576 0 0 0.75454843 0.2276979 0.27455646 1.2005179 0 0 0 0.24297327 0 0 0 1.0186757 0.29949862 0 0 0 1.3293031 3.1678216 1.0256618 0 0.19732012 0.109362654 0.55172324 0.29352558 0.15654941 0.0717539 0 0 0.18633825 0.66999155 0.17487167 0 0.061825313 0 0.07644508 0 0.36869392 0 0.21216717 2.0767653 1.0594718 0 0.25667357 0.46650815
"20130700_C2M_9" 0.24173966 0.4001138 0.8384897 0.2389195 0.4340111 1.0867226 0.31687197 0.25512815 0.57120943 0.34755808 1.343829 0.19696908 0.24339847 0.903192 0.101542816 0.110386595 0.8147949 0.43610963 0.40424845 0.51946414 0.1662232 0.17650826 0.11707276 0.32368958 0.2700836 0 0.2954879 0.42573783 0.28046384 0.1407056 0.15773393 0 0.1944242 0.46488312 1.5821174 2.7255716 0.12597895 0.4256575 0.94453585 0.61013323 0.1907671 0.9234229 0.5796239 0 0.38912922 0.43146932 0.38367167 0 0.65346205 0.7986382 0.5230572 0 0.68182486 0.8030871 0.48717713 0.44148907 0.4341169 0.105446875 0.51469123 0.72742397
"20120600_E1D_55" 1.3242823 2.3217442 4.283002 0.6271083 0.89815193 12.298522 2.587257 3.2306337 4.0028167 1.9572814 1.3771503 1.6547009 1.0517988 8.885432 0.95047116 0 9.570435 1.8232592 1.8904874 1.7794011 0 0 0.4926837 3.5270643 1.1364706 0.1310993 0.06729046 2.3627322 1.3550444 0 0 0 0.74410266 3.435211 1.3033336 0.06551856 0.2948053 0.18816644 1.9805766 2.2926786 1.3702719 2.84126 1.6111609 0 3.0075974 3.0114064 1.5042593 0 1.7272336 1.3926109 2.1865158 0 3.3924162 1.9834138 0.7047054 2.9306593 1.4604362 0 1.4349133 2.6172755
"3300023248_5" 0.15230778 1.5876895 0.503575 0 0.32430977 0 0.16007394 1.4295847 0.11345388 8.907345 0.30748332 0.15915383 1.5894414 0.52502716 0 0 0.21714294 0.1355371 0.7349704 0.06984406 0 0 0 0.14184251 0.38611564 0 0 0.21129894 0 0 0 0 0.55497414 1.7493238 1.0647001 0.20362017 0 0.3261374 0.22162107 8.012001 0 0.30361962 0.13346125 0 0.7703462 0.45507157 0.2034216 0.1690244 0.22137114 0.4323984 0 0 0.50417006 0 0.080571145 1.54528 0.2669946 0 0.55745834 0
"20120600_E3D_46" 0.5749768 1.1294565 0 0 0 0 0 0.31107897 0 1.5808513 0 0 0 0 0 0 0 0.14987876 0.22479776 0.08843974 0 0 0 0.05620016 0 0 0 0.42292565 0 0 0 0 0 0.64900434 0.4065702 0 0 0 0 9.171046 0 0 0 0 0.2860241 0 0 0.22477666 0 0 0 0 0.42892444 0 0 1.308662 0 0 0.74548125 0
"20120700_P3D_35" 0.33443996 0.35875386 0.24411757 0.23446126 0.40955475 0.40008298 0.08243847 0.2177715 0.1624293 0.1965821 0.44352433 0.0796782 0.08698937 0.33367565 0 0 0.261423 0.32959884 0.3189322 0.21823855 0.39590555 0 0.085664175 0.11513985 0.07864674 0.2025024 0.35503036 0.12660569 0.05611451 0.14940795 0.2349251 0 0 0.09916122 0.9152632 0.34374616 0 0.11533493 0.55857736 0.39433658 0.07228726 0.2978639 0.1900836 0 0.20384106 0.483624 0.13005403 0 0.30726907 0.17884423 0.20013294 0 0.42005578 0.15255101 0.05996422 0.28526986 0.24845898 0 0.18068258 0.1020698
"20100900_E1D_10" 6.0920095 7.6518645 5.09723 5.3327117 4.2916913 5.300081 1.7990756 4.6489716 6.6012416 2.868686 5.3233633 1.7639537 1.6794277 5.200618 1.0332566 0.5965368 4.761219 2.187148 2.4590414 2.1806333 0.19590862 0 1.8799521 2.6880565 2.8360887 1.6015168 0.7082892 5.3411293 3.1414587 0.13423346 0.24788918 0 0.7705936 1.0966264 9.981614 4.3235025 0.702968 1.3898711 2.8548868 7.099601 2.448363 9.705467 4.809949 0.16642165 4.638836 6.115393 3.026158 0.90271604 6.990626 5.824429 6.6138854 0.47126707 5.2473264 4.5444894 1.5565454 6.0350847 2.4937959 0.68296456 3.384961 4.114978
