"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_1-5" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34"
"PMJR01" 3.5539765 7.7861357 8.729851 0.8825332 1.7198013 4.8680935 0.9225092 0.781573 8.19967 0.39864933 1.1219126 1.408854 1.1758038 4.9988394 0.7054506 0.69077003 3.9885776 8.334901 9.881758 7.1081653 0.4522534 0 1.3442957 1.7765394 1.5657526 0.9334984 0.31287453 8.002962 4.96268 0 0 0 0 0 0.06384574 0 0.19910064 0.079530224 10.911661 11.022894 2.2027555 15.302901 13.080052 0 1.4568084 1.833888 1.2338921 0.25973317 9.104986 15.558226 8.221063 0 5.3426943 3.9191349 1.0899572 0.531054 1.0734439 0.42774752 1.5062133 7.773289
"3300023254_4" 0 0.15354136 0.24465367 0.5056088 0.13752867 1.4280102 0.09785238 0.38187218 1.028391 0 0.11415645 0.14375366 0.21645445 1.9907178 0.19268161 0.06687421 1.7648505 0.16048674 0.21244876 0.6950261 0.37444797 0 0 0.120347366 0.7194962 0.116823114 0.23720936 0.27074063 0.27747545 0.39133787 0 0 0 0 0 0 0 0 0.4302584 1.0260279 0.21461433 1.8404245 1.5734476 0 0.13577856 0 0 0 1.0322211 1.2104781 0.5472641 0 1.2291234 1.4508979 0 0.08370515 0.069484524 0 0.39450607 0.977024
"20130700_C2D_3" 0.992851 1.1507121 3.3900547 0.13212049 0.32319617 6.6870403 5.7918344 1.6492934 5.619633 7.883453 6.87868 0.58173305 0.13558012 7.0606294 0.5681973 0 10.164024 1.1287287 1.4490857 1.40081 0 0 0.19909655 2.5025709 0.631725 0.11849208 0.17352866 1.3671482 1.32975 0 0 0 1.0382626 1.467706 0.548736 0.111883014 0.38879916 0.19034086 2.8651733 0.90381545 1.4559605 1.5923551 3.1836088 0 0.60598266 0.8131427 1.2692355 0 2.4932165 3.8207107 3.8018074 0 5.0346537 8.218068 1.9690734 2.252169 6.2038255 0 1.67303 14.436127
"PLPO01" 0 0.34896994 12.030259 0 0.101101905 9.170167 0 0 7.1444573 1.7551603 29.062366 1.114683 0.093404405 9.894686 1.0959285 0 11.251446 2.4130313 3.2570622 4.3766837 0.6124217 1.4434303 0 0.087311156 0.43371734 0.15759796 0.14242548 0.47840837 0.85608643 0.10718808 0 0 0 0.49152687 5.6033244 0.33842066 0.13777205 0.5898865 16.624735 1.4609947 0 2.7033613 6.7825947 0 0.07415968 3.0525463 3.805496 0 1.022248 4.4343896 5.8627234 0 2.0610428 10.108541 0 0.23029819 1.8104881 0 0.15389735 6.512922
"20150700_E25_9" 1.263916 2.6150475 8.439265 4.8205023 3.444044 9.749837 2.1839828 3.6624768 11.325272 2.0941603 3.7162979 1.158095 1.8304005 9.97125 2.3590217 0.8174912 11.565167 3.4036171 4.404223 2.8582227 2.4688916 1.473725 0.5215814 1.1475891 2.867343 1.6440264 2.1787329 2.14801 3.0483398 2.5397959 1.0910356 1.6466584 0.107964 0.23339222 1.2308815 3.1268022 0.47086844 1.1691068 7.5446815 6.7105947 2.9189193 9.054474 15.491375 0.14584215 2.3521864 2.6400356 3.1160114 1.0235236 4.0610633 8.649586 10.186506 0.17515261 6.207161 17.077236 2.3388953 3.7011335 5.8520074 0.8116539 1.6708556 13.325785
"20110800_E1D_3" 0.08827435 0 11.91485 0.081648014 0.72358227 3.35268 0.4316585 0.9883177 0.2697831 4.155019 6.3162193 0.31355178 0.0723503 0.6787475 0.113998555 0 0.49859625 0.5944144 0.47460467 1.2422329 0 0 0 0.075056806 0 0.065563805 0 0 0.18851341 0 0 0 0.061212033 0.69516724 1.5875378 0 0 0.076885104 0.79936844 3.1915143 0.24964502 4.178889 2.7290938 0 1.0574178 7.3569875 8.622942 0 2.9812331 3.0253923 1.7192799 0 0.24480307 0.399837 0.30935854 1.7429479 1.9263432 0 0 0.23576465
"20130700_E1M_4" 4.6907053 7.379065 24.979458 1.394913 3.1509311 29.441025 7.364049 9.094147 16.207453 7.377273 15.110321 7.6158934 2.787442 24.936377 2.7476287 0.7251895 19.577724 18.033762 25.792854 27.164623 0.3681373 0.09342766 1.8700439 4.5567985 4.3451753 0.4947906 0.29510868 7.762559 7.206487 0 0 0 2.3180315 14.204523 14.103267 0 2.5288095 7.4357796 43.862587 8.979352 2.5620358 13.665575 11.514806 0.0929817 10.166224 16.870775 20.364725 0.81076956 13.249528 16.493439 22.041279 0.06587642 11.336086 19.942638 2.3570879 5.4209833 5.482914 0.156549 3.644009 8.054928
"20130700_C1D_5" 0 0 0 0.2998842 0 2.1223974 0.11718262 0 1.6952918 0 3.9637969 0.9600855 1.2198557 0.91495866 0 0.05973599 0.6893962 1.1327097 1.5633345 1.8857234 0 0.31147754 0 0 0 0 0 0 0.66755813 0 0 0 0.11721831 0.06543075 0.62899464 0 2.9311693 0.5428454 13.6685505 0 0.10281338 0 0 0 0 0 0 0.19258608 0.20541005 0.43549952 0.72620326 0 0 0.3145572 0.08685623 0 0 0 0 0.64902276
"20120600_E2D_41" 0.5019832 0.6700148 4.5463653 0.4511821 1.2155831 10.587596 1.0559789 1.5927137 3.595956 8.432701 1.1108888 3.024789 0.49629292 25.367266 0.5460346 0 11.348298 3.0441084 3.4630232 4.407091 0.06815239 0.05918385 0.103295 0.3976746 0.87122643 0 0.058108836 0.73196065 1.8772622 0 0 0 0.26820102 0.73737013 12.394608 0.063716836 0.25544128 0.19483446 16.6391 5.046253 0.7599331 7.111425 3.0897918 0 0.47717318 1.0794785 1.0427372 0 1.2426914 2.993512 2.2247891 0 3.119674 1.775748 1.3124231 0.8670754 1.3529445 0.06808689 1.0859785 2.0505695
"20130700_C1D_19" 0.651436 1.6486082 10.833966 0.2850925 0.766397 39.39506 1.3448409 1.327943 13.304865 3.8366625 7.066732 3.8134854 0.48605758 22.775469 1.8434669 0.087702274 16.782907 4.2308073 5.1123185 12.687743 0.32580662 0.4798285 0.101962015 1.1696371 0.8461029 0.20800282 0.17183399 2.2787964 6.3591304 0 0 0 1.0212188 4.245097 10.951129 0.13614501 0.34509256 0.5825221 35.87992 3.4181645 0.6956403 9.261217 7.214755 0 1.1528008 1.0892404 1.8260516 0 1.5908538 6.277028 9.646993 0 3.5764065 11.995752 0.46897545 1.7227904 3.7357798 0 0.63881826 10.261355
"20120600_E1D_52" 0.9914971 1.2586269 8.85242 0.23304756 0.713335 2.546661 0.5746371 1.6619234 1.2601187 3.1302733 0.6903515 0.40717465 0.116259344 6.163661 0.9767539 0 5.4013124 0.87910354 0.97251964 1.4474404 0 0 0.22999847 1.2648677 1.6681999 0.12860651 0.083054304 1.1108972 0.268029 0 0 0 0 0.16043343 1.1496243 0.12596118 0 0.06306537 2.9928734 4.8816857 0.34015 7.339859 3.4847746 0 0.40744963 3.182412 6.7897444 0 2.417546 4.723382 5.0283613 0 2.7410302 3.4054134 0.89916533 2.0491564 2.8422353 0.17692733 1.5534148 2.4707859
"20110800_E1D_6" 2.4831388 12.466937 45.827618 6.0750027 9.685609 28.135004 6.1522036 16.052095 15.572561 12.664397 27.49036 4.3454056 4.605939 37.268204 4.8693194 0.5719512 49.794052 7.3998847 8.044065 6.531256 0.51513755 0 0.7227758 4.47199 8.662157 0.56731516 1.7057703 12.138137 8.440905 0.15503015 0 0 5.0069594 30.840624 23.751823 3.0007265 2.852311 8.399322 23.461914 14.380779 4.5135617 24.148514 17.282871 0.06151804 5.365013 11.400008 26.503763 1.1014444 22.774275 31.186628 30.697819 0.059622828 23.979939 30.973274 10.714083 22.96924 28.215166 0.29563636 10.452271 37.750275
"PLLE01" 1.463663 1.0235529 2.0937648 0.082950294 0.19627473 9.169805 3.7881112 1.5497674 5.3675833 1.0029769 2.5026743 1.2049557 0.34467447 10.184012 1.7664155 0.2974578 9.324969 0.7097794 0.6172921 2.3881543 0.9023632 0.33945563 0.41171187 1.7204015 1.301634 0.6747948 0.8381155 1.5845954 4.257416 0.5881829 0.7140532 0.63008344 0.080785535 1.647039 0.28457445 0.53851354 0.09172899 0.0800058 5.1536007 2.0766652 1.946659 5.5765357 3.914778 0 0.33781245 0.28264287 0.7419339 0 1.770028 3.2752268 4.316973 0 6.359792 9.422067 1.0722225 1.1764649 1.9122907 0.25163892 2.706455 6.8117294
"20110800_E1D_1" 0.78652734 2.666958 21.230433 0.9755634 4.0117593 11.283582 1.2833052 4.59211 6.4771733 5.1891837 27.210093 3.0740795 0.774365 16.21894 2.2435958 0.13895635 18.907457 14.263841 11.118574 12.459602 5.8507104 7.5379205 0.40496084 0.3988794 4.4020867 0.61167747 1.9627167 4.7647753 3.0102801 1.7730173 0.41466904 0.07692118 0.28272495 2.707823 12.182098 1.90263 0.57037616 3.1972528 27.401463 11.582956 0.7885512 17.85138 12.652923 0 1.1404761 9.113746 7.41112 0.23227762 9.812615 9.570388 13.564598 0 7.8939962 10.354674 1.1562282 4.755891 8.164506 0.15453702 2.7012467 8.794161
"20160700_E33_2" 3.2099824 5.6591463 21.522745 3.2031221 3.4941375 13.279653 11.758482 12.711752 15.136185 9.623107 4.5143523 2.7985308 2.3989098 21.145893 3.1983495 1.9177932 22.066006 5.6188755 7.3194046 5.712463 0.29594517 0 2.2612336 6.3930902 7.3822265 0.87449175 0.75970954 8.8301 7.38552 0.095620155 0 0 2.2232482 5.472875 15.04477 0.4304408 1.3381171 1.3658819 10.277216 16.625374 11.095811 19.64756 17.821966 0.11039395 5.4508257 11.681774 11.480481 1.2943703 12.867326 17.786663 15.698527 0.13024916 17.566595 16.217108 11.854209 8.647543 16.691877 1.2742057 6.4090276 17.168854
"20111000_E3D_3" 5.305476 7.7543945 25.104992 1.181749 2.4202602 42.28955 1.8262589 2.4201126 32.30862 6.944336 22.494747 5.428057 1.7552543 51.33404 5.8234577 0.5823428 38.334133 10.724417 15.09433 16.118998 9.8058 5.3358397 1.4595444 7.5680947 7.418503 2.4708426 1.5772859 9.450226 14.240635 0.8342407 0.2673496 0.117523536 0.9256708 2.3737433 8.665361 0.6171134 0.86462706 1.8903489 32.43024 8.531816 1.0037081 14.885313 23.684631 0 2.183971 6.4557314 10.786182 0.25930145 9.915355 18.952501 27.473783 0 13.859564 33.24397 1.5585318 3.8246546 8.175607 1.2183814 6.5393853 32.34054
