"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_10-14" "716_E3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34"
"20120800_E1D_18" 0 0.2840443 1.8779994 0 0.89228356 1.0735104 0 0 0.59132606 0.24640289 25.761353 0.20305564 0 1.2110294 0.11199171 0 1.3223062 0.66367185 0.92067814 0.7005291 0.16680919 0 0 0 0.22636817 0.18845062 0.10417268 0.15231565 0.19870888 0 0.072080076 0 0 0 8.5442505 41.56509 0 0.67292047 2.4788077 0.94824225 0 1.8212047 0.99800974 0 0.9566558 5.164093 0 1.2408528 1.4151791 1.4416685 0.702708 1.1364824 0 0 0.27590892 0 0.07466157 0.35802785
"20120500_P28_11" 0 0 0.29344848 0 0 0.2501169 0 0 0.11164721 0.22437811 2.1947198 0 0 0.29116884 0 0 0.23273699 0.1463328 0.27708012 0.16630937 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.6255662 0.47771373 0 0 1.1234198 0 0 0.061506312 0.16073115 0 0 0.07247907 0 0 0.09287327 0.19252525 0 0.1772413 0 0 0 0 0 0.1461407
"Bog.Unlabelled.R2.T2.F2.JGI.BFC.metaspades_bin.16_87.66_1.12" 0 0 0.57929033 0 0 0.43416557 0 0 0.12812297 0.52369034 3.5948815 0.06478923 0 0.46314418 0 0 0.25815144 0 0.12832372 0.31126443 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09001487 3.1403255 1.8898007 0 0.17691132 1.4747796 0.0902585 0 0.13015467 0.1946507 0 0 0.3106717 0 0 0.11521343 0.14045699 0 0.15960053 0 0 0 0 0 0.09160254
"20170700_S24_5" 0 0 0.2287511 0 0 0.29387805 0 0 0.11147799 0.088296115 0.85431284 0 0 0.3527007 0 0 0.23409986 0 0 0.11323102 0 0.0803347 0 0 0 0 0 0 0 0 0 0 0 0 0.49567828 0.114555135 0 0 0.5987376 0 0 0.0574735 0.13437442 0 0 0.066907935 0 0 0.08064194 0.11015715 0 0.15991691 0 0 0 0 0 0.10566001
"20120700_P1D_3" 0 0 0 0 0 0 0 0 0 0 0.1360473 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.24842533 0 0 0 0.0861737 0 0 0 2.9938166 0.13324043 0 0 0 0 0 0 0 0 0.08592809 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120700_S1D_13" 0 0 0.086879194 0 0.10692934 0 0 0 0 0 1.39985 0 0 0 0 0 0 0 0.07819223 0.08107185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.1203995 0.98997426 0 0.22390889 0.2646699 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120800_E1D_12" 0.7449942 0.4914613 8.012101 0.17232557 0.6855067 3.7668934 1.2212174 0.67339385 2.5448012 3.0224547 117.957115 0.85861963 0.24674061 2.651874 0.7284952 0.27587876 2.3794625 1.2453544 1.330271 2.142733 0 0.77123517 0.33412585 1.0449774 0.20727101 0.17591646 0 0.5558473 1.4019557 0 0 0 2.4176307 8.324206 13.855419 0.27937827 1.0891135 2.7710454 11.512195 0.87775844 0.3496233 1.0684172 1.4811388 0.7708981 3.5261006 7.1839256 0.07853438 2.4282928 2.897102 3.0725527 1.0243161 2.164246 1.0763301 0.6263534 0.8720209 0.06947616 0.32253876 2.0132215
"20130700_C2X_10" 0 0 0 0 0 0.19544685 0 0 0 0 1.1531962 0 0 0 0 0 0 0 0 0.0797275 0 0 0 0 0 0 0 0 0 0 0 0 0.32084212 0.31570044 1.4081775 0 0 0 0.55478024 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20130700_C2X_13" 0 0.129804 1.0563747 0 0.147073 0.0598791 0 0 0.08522174 0.07282199 17.659868 0 0 0.1090629 0 0 0.102674186 0 0 0 0 0 0 0 0 0 0 0 0.10341978 0 0 0 0 0 27.776672 35.42106 0 0.13865457 0.22330286 0.18262278 0 0.2492133 0.07261388 0 0.13191643 1.0539703 0 0 0 0.52868265 0.13768288 0.077165574 0 0 0 0 0 0
"20130700_C2M_3" 0.17742859 0.4050713 0.48400554 0.29004186 1.1965147 0.7218176 0.09061025 0.1647248 0.89024234 0.3515957 2.5070724 0.2593737 0.1627909 1.0396398 0 0 0.87010854 0.89019907 1.103025 0.73616624 0.65319335 0.35954693 0 0 0.30135432 0.5188481 4.2232594 0.23077765 0.4801051 1.0035442 0.91658133 0.21449803 0 0.38568836 1.3335252 15.944321 0 0.5750362 1.1056654 0.18333788 0 0.17927052 0.23857366 0.16203952 0.29629228 0.6486768 0 0.60515547 0.5631661 0.7419281 0.23291741 0.8752864 0.062216166 0.22222687 0.34878194 0 0.30702612 0.9921174
"20120800_E1D_19" 0 0.0642835 1.6250734 0 0.10357175 0.095496394 0 0 0.21579543 0.086998716 59.805378 0 0 0.30939075 0.15165034 0 0.41084883 0.076922245 0 0 0.12960008 0 0 0 0.31458366 0.34505114 0.3417835 0.083779834 0 0.06786384 0 0 0 0 1.6074264 7.525521 0 0.84650236 0.60814303 1.2082042 0 1.9503918 0.6581344 0.056681324 0.2250898 1.7194403 0 0.9334169 0.96891636 0.46589923 0.31050014 0.42041042 0 0.22150238 0.20231164 0 0.08742896 0.25998935
"20130700_C2M_17" 0 0 0.51834613 0 0.7308748 0.16741988 0 0.061568934 0.073320225 0.5395357 21.398264 0.07220961 0 0.13879754 0 0 0.11823963 0.09570347 0.18647826 0.25020605 0 0 0 0 0 0 0 0 0 0 0 0 0.22486442 0.5755986 13.578484 5.820756 0 2.6054885 1.1189406 0.21544836 0 0.13194548 0.06905488 0.08223411 0.7281813 0.5930364 0 0.2528993 0.10512476 0.09237511 0.06865548 0.058674645 0 0.16106352 0.3472297 0 0 0
"20140700_E15_11" 0.19926266 0.6974648 1.0476788 0.18850827 0.79861057 0.78326017 0.20723066 0.20340168 0.51402694 2.933697 11.795906 0.19470643 0.41375807 0.9440972 0.31759048 0 0.9756615 0.49226052 0.7325943 0.2637767 2.1896896 0 0 0.10815342 0.11361639 0.8461173 0.17174986 0.17954922 0.47094762 0.14188954 0.08029718 0 0.36029503 1.1122564 6.018702 37.28902 0 0.11243239 0.56653607 1.8167126 0.5617351 1.5314637 1.3046373 2.056362 3.3512344 29.224495 0 0.21855158 1.2003366 2.5582707 0.5695517 1.7772907 1.7846403 2.372784 3.6869428 0 0.27340034 1.0273597
"20170700_E15_8" 0 0 0.6574062 0 0.4905573 0.081963204 0 0.12702274 0 0.13160248 4.776157 0 0 0.16921438 0 0 0.16199553 0.062283833 0.13475639 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.0215836 1.351605 0 0.09478199 0.07160364 0.260415 0 0.16293293 0.16783369 0.0666822 0.31936127 0.68039 0 0.16294122 0.065787695 0.05954351 0.2623161 0 0 0.30443928 0.3437585 0 0 0
"20130700_C1D_18" 0 0.123259716 3.8985457 0.28651512 1.7572237 4.125834 0 0.45617792 1.762904 2.2977605 9.321353 0.91759765 0.16258042 4.013636 0.24772023 0 3.329379 0.6046428 0.9915362 1.7649393 1.4998318 0.11420912 0 0 0.40383977 0.08983608 0.9103173 0.33022812 0.8953049 0.96765757 3.1669178 0.2277517 0.45365295 1.8040527 21.631271 17.283018 0.19069752 2.1028118 8.449448 1.4495716 0 1.7030941 1.8360279 0.3181863 2.0443745 1.7961963 0 0.6739611 1.7968545 3.4163628 0.36072996 2.0291467 0 1.1793453 1.2931617 0 0 1.7386342
