"genome" "711_P-1-S" "711_P-1-M" "711_P-1-D" "711_P-2-S" "711_P-2-M" "711_P-2-D" "711_P-3-S" "711_P-3-M" "711_P-3-D" "712_P-1-S" "712_P-1-M" "712_P-1-D" "712_P-2-S" "712_P-2-M" "712_P-2-D" "712_P-3-S" "712_P-3-M" "713_P-1-X1" "713_P-3-M" "713_P-3-X1" "714_P1_20-24" "714_P1_30-34" "714_P3_30-34" "715_P1_1-5" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_1-5" "715_P2_10-14" "715_P2_20-24" "715_P3_1-5" "715_P3_10-14" "715_P3_20-24" "715_P3_30-34" "716_P1_1-5" "716_P1_10-14" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "717_P1_10-14" "717_P1_20-24" "717_P2_1-5" "717_P2_10-14" "717_P2_20-24" "717_P3_1-5" "717_P3_10-14" "717_P3_20-24"
"20111000_P2M_7" 0.42682052 1.0073581 0 0.3326945 2.9336684 0 0.19697267 0.7302396 0 0.22393315 0.46120825 0 0.28872934 0.39168087 0 0.4364718 0.26504782 0 0.5575959 0 0.121918865 0 2.616051 0.10806881 0.09400562 0.08245206 0.8101655 0.1366562 0.19564536 0.13960026 0.5130686 0 0.20847797 1.8273797 0.07369363 0.19895416 1.4995363 0.74258196 0.8556101 1.0468194 0 1.0090463 0.25576478 0 0 0.25573948 0.30132177 0.5933794 2.0968177 0.21743928 0.2123544 0.42387447 0.15243882
"20120500_P32_6" 0 1.1336097 0 0 3.419851 0 0 0.22884324 3.4109821 0 0.24466689 0.30902803 0 0.53808236 0.5622319 0 0.17182651 0 0.20476726 0 0 0 26.382528 0 0.175713 0.36299717 0.93435687 0 0.10124528 6.7997503 0 0.19313084 0.27402297 17.13911 0 0.12382614 57.501537 9.751399 0.094352305 25.898203 0 0.14956 0 8.249397 4.8154826 0.18537147 30.093946 0 0 0 0.06364872 0.08778247 0.18966414
"20160700_P15_24" 0 0.15396228 0 0.46833396 0.67406416 0 0 0.11820503 0 0 0.39725727 0 0 1.1066965 0 0 0.2862264 0 0.16659668 0 0 0 0.66768867 0 0.16042218 1.4210908 1.7168684 0 0.23924758 0.16980393 0 0 2.2643256 1.5797237 0 0 10.483915 1.9113659 0.44412902 0.07389437 0 1.6443198 0.30033976 0 0 0.8294342 0.104520194 0.2874529 0.06839384 0 0 0.059746463 0
"20170700_P14_3" 0 6.7048607 0 0 2.923265 0.4678671 0 1.7814784 28.560078 0 0.9458573 5.449621 0 1.6744095 17.693106 0 4.6342106 0.11024267 0 0.10053456 0.17096893 0 35.455322 0 0 0.0854128 14.185289 0 0.16890512 23.001451 0 0 0 53.359966 0 0 59.475132 10.101581 0 31.17152 1.0984268 3.8150504 0 9.373924 11.115061 0.8042422 55.47717 0 0.48971638 2.1612394 0 0 9.5724535
"20110600_P1M_18" 0 1.5104866 0 0 4.457649 0 0 4.9736214 0.1595763 0 1.8637218 0 0 0.099331714 0.05753548 0 1.499777 0 0.40132052 0 0 0 1.7208385 0 0.4178923 0.24760227 0.43815756 0 0.1675253 0.46755394 0 0.2193663 0.36644217 1.0157989 0 0.09544783 0.3825874 0.09630948 0.37744364 1.4855307 0 3.0457184 0.10434028 0.09564307 0 0.2152868 0.38921502 0 9.643725 3.0103276 0 0.68199897 0.69803995
"20160700_P15_19" 0 5.5568724 0 0.27884945 3.757815 0 0 18.900993 3.209479 0 17.284363 0.0771108 0 3.2074492 0.12961252 0.100065045 10.086837 0 3.853935 0 0.30641574 0 15.0853615 0 0 0 0.9383526 0.10652176 4.3170004 14.287298 0.31769705 0 0.49274752 25.147526 0 0.13423447 18.266727 3.6021686 4.07591 8.952749 0 25.463497 3.4205375 28.56506 14.270573 1.0004002 3.976783 0.20977217 0.36518204 0.27393037 0.115710616 1.0456449 5.498085
"20160700_S23_13" 0 0.07111965 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5256635 0 0 0 0 0.33202732 0 0 0 0 0 0.07591235 9.238777 0 0 0 1.2285944 0 0 2.0696676 0.29926586 0 0 0 0.35131165 0 0.86978227 0 0 12.302403 0 0 0 0 0 0
"20120700_P1M_6" 0 21.961275 0 0 11.897919 0 0 23.000978 0.12902233 0 28.938232 0 0 1.0134679 0 0 11.943513 0 3.40282 0 1.881042 0 16.016888 0 0 0 0.09293177 0 0.99841636 7.216225 0 0 0 15.651666 0 0 2.0879471 0.31927672 1.3743762 17.75098 0 2.9183314 0.08624309 10.86162 13.398737 0.11173448 1.2651784 0 1.7144592 0.7549516 0 0.06157455 13.43793
"20120600_P3D_1" 0 19.470572 0 0.17558143 0.32937536 0 0 5.1056128 0 0 1.9667629 0 0 5.3597083 0 0 1.845592 0 5.2564173 0 0 0 0.1073896 0 0 0 0.46245322 0 0 0.72905934 0 0 0 0.13307536 0 0 0 0 0.39018756 1.5055431 0 7.021437 0.06071124 0 0 0.099949494 0 0.24597548 0 0 0 0.087508366 0
"20160700_P15_18" 0 3.6044676 0 0 2.1579025 0 0 1.3941094 0 0 3.85429 2.3172457 0 1.5752556 0 0 3.3189502 0 5.0140414 0 0 0 4.7235026 0 0 0 0 0 6.2508407 16.632168 0 0 1.6510864 3.124796 0 0 20.35885 3.4679952 2.113754 16.414766 0.24689592 0.31294438 3.0827262 9.383629 15.079903 0.5251894 59.041782 0 0.68451524 1.258266 0 0.10545285 3.9270396
