"genome" "711_P-1-S" "711_P-1-M" "711_P-2-S" "711_P-2-M" "711_P-2-D" "711_P-3-S" "711_P-3-M" "711_P-3-D" "712_P-1-S" "712_P-1-M" "712_P-1-D" "712_P-2-S" "712_P-2-M" "712_P-2-D" "712_P-3-S" "712_P-3-M" "712_P-3-D" "713_P-1-X1" "713_P-3-M" "713_P-3-X1" "714_P3_30-34" "715_P1_1-5" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_1-5" "715_P2_10-14" "715_P2_20-24" "715_P3_1-5" "715_P3_10-14" "715_P3_20-24" "715_P3_30-34" "716_P1_1-5" "716_P1_10-14" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "717_P1_10-14" "717_P1_20-24" "717_P2_1-5" "717_P2_10-14" "717_P2_20-24" "717_P3_1-5" "717_P3_10-14" "717_P3_20-24"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.21_97.13_1.25" 0.96350056 0 0.28763694 0.10881665 0 0.58473647 0.17385252 0 1.1770736 0.13646603 0 0.41728684 0.33202338 0 0.5909919 0.10814038 0 0 0.2315696 0 0 2.0500348 0.79948574 0 0.3035241 0.24665627 0.51719564 0 3.3996992 0.07063231 0.17035489 0 0.6276115 0.52173316 0 0.91875523 0.830908 0 0 0.56986547 0.48677963 0 0 0.54211336 0 0.35559538 0 0 0.5123969 0.47728962 0
"Palsa.Unlabelled.R3.T3.F2.trimmomatic.metaspades_bin.58_71.79_7.57" 0.63321817 0.10319179 3.4157822 0.37777674 0 0.56829506 0.116680145 0 0.524764 0.3419389 0 1.1212604 0.5246372 0 0.54513824 0.34471506 0 0 0.06328906 0 0.09083009 0.46746886 0.58523995 0.123021014 0.09394791 0.1388264 0.15255576 0 0.369684 0.6006022 0.15753902 0.0582265 1.0509356 1.5001185 0.07216942 0.6376599 0.507986 0.12958196 0 0.55899423 0.22384919 0 0 0.5092819 0.060219523 0.9230071 0.09129329 0 1.1675025 0.22107987 0
"20140700_S31_11" 0.08598082 0 0.22909528 0 0 0.10216762 0 0 0.16468267 0 0 0.1922376 0 0 0 0 0 0 0 0 0 0 0 0 0 0.16583651 0 0 0 0 0 0 0.087206654 0 0 0.08010005 0.13521649 0 0 0 0.07053672 0 0 0 0 0.22287637 0 0 0.0592056 0.06523592 0
"20150700_P21_2" 3.064315 0 6.175704 0 0 0 0 0 18.322208 0.12940237 0 0.4898103 0.3539897 0 5.7857804 0 0 0 8.652851 0 0 0 0 0 0 6.6238184 0.51403284 0 5.063172 1.4091145 0.14968455 0 1.3393053 3.308422 0 10.696691 7.9771686 0 0 0 2.9425857 0 0 0.58261824 0 4.8183937 0 0 2.30325 5.0507293 0
"20120600_P3M_10" 2.9380784 0 6.2572923 0.10806511 0 3.0323405 0.92897093 0 7.5377126 1.8064864 0 13.292638 2.0323048 0 5.2921243 0.16465068 0 0 3.7438216 0 0 5.1484985 5.9809556 2.2495275 0.16352245 4.8158727 4.4393377 0 3.7708707 9.770587 10.797764 0 6.321958 5.6801786 0 1.5812893 5.1097794 0 0 0.45244375 3.8926995 0 0 4.1503005 0 7.809834 0 0 1.5120084 5.080796 0
"20150700_P21_10" 1.3929738 0 18.447636 0 0 0 0 0 5.481038 0 0 18.95876 0.45325285 0 22.852718 0 0 0 8.40179 0 0 0.5207227 0.3935111 0 0 6.0705733 2.1043851 0 6.8456078 8.345406 0.12916876 0 2.0165946 6.946232 0 3.1142926 6.828933 0 0 0 1.6456339 0 0 1.3538625 0 42.61254 0 0 0.7959273 1.9423785 0
"20120500_P31_3" 0.65003324 0.41675398 28.326584 1.591836 0 1.110163 3.9921281 0 4.783515 0.7110494 0 4.863517 2.0049825 0 6.145195 0.1864327 0 0 3.424439 0 0 14.419686 43.52116 15.736356 1.737371 4.0853367 2.268891 0 1.3286133 21.93674 1.4764912 0 0.50152427 2.8979442 0 7.6214557 8.502372 0 0 2.2739234 7.8016086 0 0 4.442596 0 5.0218973 0 0 2.6797805 12.063608 0
"Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.203_90.06_2.84" 1.2986109 0.5187093 1.9737506 1.7444931 0 3.140394 0.9657511 0 3.7567546 0.9803268 0 2.7222376 0 0 3.0125058 1.0246766 0 0 0.7825466 0 0 0.34676737 0 0 0 0.94103885 0.4336278 0 0.7578986 1.0611854 0 0 2.2977448 0.89749175 0 2.274066 1.7695148 0 0 0.26722565 2.0360677 0.0968133 0 0.47109103 0 4.062846 0.8514644 0 3.1905093 3.0649064 0.2110096
"3300031525_28" 0 0 0 0 0 0 0.18670358 0 0 0.5039432 0 0.8658696 0.13875946 0 0.37094697 0.14060323 0 0 0.100948274 0 0 0.08693242 1.6006615 0.9119498 0.14857823 0.43447855 0.1994729 0 2.1827796 1.311302 1.0400467 0 0.11434405 0.8913452 0 0.32589954 0.2735739 0 0 0.5171728 0.09101627 0 0 0.5771155 0 0.096473575 0 0 0 0.27605325 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.320_77.36_1.34" 8.673525 0 12.930393 0 0 2.6818526 0.13857788 0 6.6021314 0.057852894 0 17.256657 1.0889744 0 10.499854 0 0 0 0.9152451 0 0 3.9427571 4.5472417 0.32342324 0 3.500412 0.86835593 0 9.39951 12.588357 1.4488285 0 8.912476 6.6438904 0 1.982132 0.93651885 0 0 0 2.0264106 0 0 0.6345024 0 7.742855 0 0 13.102643 2.7859151 0
"20120700_P3S_1" 15.9558325 0.6414594 53.687885 0.1781087 0 17.527327 2.9387019 0 17.078497 3.4983635 0 13.183588 2.7930474 0 52.312405 0.9261077 0 0 6.4490757 0 0 3.2100923 5.470081 5.6953387 1.0129716 5.690864 7.911032 0.48749307 11.913526 7.521551 9.248274 0 10.004746 11.813177 0 18.724169 9.705769 0 0 1.8726817 7.0601654 0.47723162 0 15.820125 0 37.99117 0 0 14.021837 7.0806365 0.7030073
"20110800_P1S_2" 2.0263746 0.34154293 1.2001259 0.39607838 0 4.184471 0.64571834 0 1.3281431 0.7311951 0 5.3928847 0.08346735 0 0.5076596 0.7878229 0 0 1.4795918 0 0 2.7529175 1.5356538 0.7198957 0.078412175 0.75106823 0.605618 0 1.0309771 0.892287 0.68272364 0 0.67568433 0.923351 0 3.4129753 1.5594823 0.22672693 0 0.64891493 0.7004598 0 0 0.31591102 0 0.57926995 0 0 3.6351724 0.8301647 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.132_71.57_6.17" 1.5519574 0 0.68931276 0 0 0.104937404 0 0 0.86372644 0 0 0.39879695 0.099775456 0 0.47168663 0.07010851 0 0 0.13665749 0 0 0.6999707 1.1002563 0.5137184 0.23029819 0.19684875 0.18560259 0 0.41145658 0.06782929 0.42061105 0 0.5020598 0.6066263 0 0.112352945 0.2289046 0 0 0 0.1963475 0 0 0.2941484 0 0.22156833 0 0 0.8538664 0.105917156 0
"20120600_P2M_10" 1.1682005 0 6.0738397 0 0 0.5957559 0 0 3.889463 0 0 1.9502064 0 0 5.365927 0 0 0 0 0 0 0.09612321 0 0 0 1.8816744 0 0 5.1114144 0.99192774 0 0 0.7790844 7.693952 0 1.385138 0 0 0 0 0.7549483 0 0 0 0 2.071653 0 0 3.6156483 8.481212 0
"20120600_P3M_3" 6.3042483 0 15.760477 0 0 4.756899 0 0 9.51716 0 0 4.596908 0.67695075 0 13.350165 0 0 0 0.37581584 0 0 0.52292067 0 0 0.07919219 2.1933863 1.3296679 0 4.3794427 0.29065806 0.10139953 0 3.5771325 4.3779874 0 8.967648 2.1512566 0 0 0.282397 1.7008914 1.4370437 0 0.18090029 0 7.2774744 0 0 4.1944227 1.5674199 0.44734418
"20110700_P2S_6" 5.7097096 0 40.247974 0 0 0.290114 0 0 1.3129832 0 0 2.3281405 0.0940833 0 7.2262297 0 0 0 0.6347784 0 0 0 0 0 0 2.1318681 0.11375476 0 0.92566156 0.2377687 0.25893384 0 0 0.48855904 0 1.1523801 0.8843955 0 0 0 0.11115835 0 0 0 0 14.229987 0 0 2.4782581 1.1799796 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.296_95.83_0.00" 2.7138166 0 3.0152624 0 0 0 1.8823904 0 0.40486243 1.9284286 0 4.002164 0.8727629 0 1.8312492 0 0 0 12.960293 0 0 0 0.21230933 0.06767032 0 4.794484 3.7796378 0 14.085399 10.527819 3.0930088 0 0 4.919086 0 1.8215765 8.750849 0 0 0.12664579 2.2241805 0 0 1.3611931 0 5.6529555 0 0 0.2472847 2.2260234 0
"20150700_P21_8" 9.496996 0.28213018 11.064168 0.80799043 0 5.641876 0.6057835 0 7.2589073 0.6692565 0 6.7155147 4.249526 0 12.146433 0.871387 0 0 4.677531 0 0 5.495742 3.1279192 0.3173477 0.3750686 5.004064 4.827698 0 5.123882 2.9535732 1.6682417 0 3.8145607 6.5913496 0 3.8383956 3.6738195 0 0 0.09604276 3.6547801 0 0 1.3538866 0 8.115398 0.23945533 0 3.918296 11.064662 0.12960446
