"genome" "711_P-1-S" "711_P-1-M" "711_P-2-S" "711_P-2-M" "711_P-3-S" "711_P-3-M" "711_P-3-D" "712_P-1-S" "712_P-1-M" "712_P-2-S" "712_P-2-M" "712_P-3-S" "712_P-3-M" "713_P-3-M" "714_P3_30-34" "715_P1_1-5" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_1-5" "715_P2_10-14" "715_P2_20-24" "715_P3_1-5" "715_P3_10-14" "715_P3_20-24" "715_P3_30-34" "716_P1_1-5" "716_P1_10-14" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "717_P1_10-14" "717_P1_20-24" "717_P2_1-5" "717_P2_10-14" "717_P3_1-5" "717_P3_10-14" "717_P3_20-24"
"Palsa.Labelled.R1.T1.F2.trimmomatic.metaspades_bin.100_93.16_1.99" 0 0 0 0 4.010704 0 0 13.1636505 0 0.2886581 0 0 0 0 0 0 0 0 0 0.5712872 0 0 3.076826 0 0 0 1.759847 0.16981266 0.26369345 0 0 0 1.5604937 0 0 0 0 0 0 19.960117 0.62518096 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.70_95.73_0.85" 0 0 0.23629323 0 0.41854087 0 0 15.411372 0 12.189503 0.19844264 5.7895985 0 0.10766947 0 1.0539933 0.25505346 0 0 2.0911574 1.6996484 0 28.782795 10.283535 1.4731598 0 9.123806 0.86658704 8.824208 0.31040516 0 0 1.7123386 0 0 0 0 0.41691378 0 12.734903 0.14500608 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.146_89.53_8.55" 0.61629504 0 0 0 0.87167823 0 0 2.4379845 0 1.5878499 0.09246306 0 0 0 0 0.7130854 0 0 0 0.109409444 0 0 0.42871577 0 0 0 0.8508418 0.06366696 0 0 0 0 0 0 0 0 0 0 0 0.6592744 0.17548747 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.96_88.84_2.56" 4.44859 0 0 0 5.8629837 0 0 4.4762216 0 18.136623 0.50113904 0 0.11021418 0 0 17.284481 10.6863365 0.3114027 0.45969656 1.2885901 1.123117 0 0.79899764 1.691317 0.31889132 0 6.688267 3.675716 0 0 0 0.101054385 0.587493 4.708035 0 0 0 0 0 4.0196886 0.32848078 1.053836
"20120600_P3M_6" 28.48796 0.1063768 2.404025 0 40.24438 1.3047365 0 15.977373 0.50418377 2.140623 0.5839993 10.243737 0.8478507 0.23049776 0 0 0 0 0.27863458 1.9908202 5.3522677 0 3.579027 0 0.67802095 0 19.24639 10.583661 11.704544 1.5468228 0 1.7555324 5.030668 11.439151 0 0.14541622 0 0.4218709 0 27.141958 9.591519 3.6195362
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.148_86.97_6.42" 0.5633412 0 0.09326976 0 1.2001265 0 0 0.908929 0 0.645119 0 0.44359905 0 0 0 0.27148098 0.44085354 0 0 0.2829009 0.11073735 0 0.7609596 0.58551043 0 0 1.0358589 0.40021515 0.14091457 0.057268675 0 0 0.14439774 0 0 0 0 0.080715366 0 1.6421741 0.30311722 0
"20110800_P3S_9" 0.3936721 0 0.41806442 0 3.2196817 0 0 0.34390166 0 0.48027858 0 1.2482425 0 0 0 0.7565445 0 0 0 1.4785079 0 0 0.7729122 0 0 0 0.85965157 0 0.19878817 0 0 0 0 0 0 0 0 0.12319176 0 0.08729389 0.286793 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.319_82.00_3.81" 0 0.20276408 0 0 0.5363546 0.41337007 0 0.64209867 0.16983253 0 0 0 0.25908843 0.12458813 0 0 0 0 0 0.17502344 0.08009805 0 0 0 0 0 3.7774909 0.2637764 0 0 0.25598976 0.31004456 0.2725814 0.23049542 0 0 0 0 0 4.484262 0.34816718 0.19278912
"20110700_P3S_8" 1.1894954 0.35288644 0.4419373 2.0773466 8.723748 0.33892184 0.13932855 4.103775 0.14728387 0.26820487 0 1.6622009 0 0.3256563 0 0 0 0 0 1.0305886 0 0 0.6410735 0 0 0 2.1471095 0.81557286 2.9641273 0.33691484 0.08858371 0.43255863 1.0693474 0.589283 0.13014579 0 0 0.06887536 0.13459736 6.537987 2.6335561 0.36540177
"Palsa.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.82_91.99_3.21" 0.25795785 0 1.0131298 0.057853222 2.6380067 0.064332105 0 2.0137672 0 0.6942196 0 0.2667046 0 0 0 0.074846804 0 0 0 0.35007563 0 0 0.19361494 0 0 0 2.8626478 0 0.6911176 0.89375734 0 0 1.394182 0 0 0 0 0.45161754 0 1.0109997 0.1426837 0
"Palsa.Unlabelled.R1.T3.F2.trimmomatic.megahit_bin.36_77.59_1.72" 0.4401582 0 0 0 1.2613541 0 0 0.38978568 0.11198945 0 0 0 0 0 0 0 0 0 0 0.15616506 0 0 0 0 0 0 0.83794206 0.54073334 0.29955697 0.09398902 0 0 0.15799384 0 0 0 0 0 0 1.2737644 0.2195011 0
"20120600_P3M_5" 4.499844 0.49109614 0.11782561 0.29178134 5.7037225 4.673156 0 4.3961477 3.170055 1.0003685 2.1701748 1.8898209 1.423868 0.50667083 0 0.27252048 0.29435077 1.2229469 3.5023386 1.0476751 1.4195986 0.059166737 0.31639063 0.10340601 0.6523654 0.5377716 5.6375628 3.4514492 0.58016425 0.89438754 0 3.7962165 2.5148022 0.36887467 0 2.9756477 0.16950762 0 0 8.256328 5.7936816 0.20385198
"Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.177_70.33_7.55" 0.49910253 0 0.430436 0.31857434 0.44674376 0 0 0.28128994 0 0.21964127 0 0 0 0 0 0.08836389 0 0 0.06767026 0 0 0 0.064113915 0.080406256 0 0 1.6731411 0.84552485 0.29057178 0.14984813 0 0 0 0 0 0.066332586 0 0.057882212 0 0.29313493 0 0
"Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.5_87.01_6.92" 1.0336605 0.40224034 0.8088546 0.1129461 3.9069555 0.9886569 0 8.750469 0.29308107 0.9189735 0.13736849 1.1021683 0.19303402 0.3641882 0 0.27600047 0.121511884 0.09474378 0.21030958 2.9966056 0.44614074 0 0.5497859 0.29211664 0.21508741 0 3.3110728 0.50977945 2.745703 2.5934322 0 0.3898955 3.2788904 0.05581693 0 0.3900646 0 0.78876513 0 5.77857 4.0723996 0.12406326
"Palsa.Labelled.R1.T1.F2.trimmomatic.megahit_bin.16_70.72_6.45" 1.2283525 0.49637404 0.4125524 0.36671868 2.422304 0.4724733 0 3.2643514 0.5863737 3.2775998 0.6970061 0.61701113 0.56813085 0.5187657 0 1.7789228 0.64748716 0.13094863 0.22843468 0.95043415 0.6614619 0.12805311 6.786952 1.318962 0.42005947 0.12328221 6.000419 1.0057255 1.0322397 0.4724726 0.07148917 0.27420494 2.0830617 0.46796724 0 0.44856906 0.06435384 0.5224482 0 8.719218 0.8435525 0.8914188
"Palsa.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.94_89.19_4.42" 2.433009 0 1.0772878 0 4.277297 0 0 4.919048 0 2.7348588 0.05804239 1.3984363 0 0 0 0.98612404 0.31781745 0.17548862 0 0.8946527 0.07138378 0 0.81438744 0.39971176 0.0859224 0 5.030422 1.8843786 1.1848588 0.39576682 0 0 1.6772767 0 0 0.32448608 0 0 0 2.1150575 0.24912688 0
