Habitat__,genome,tpm
Bog,Bog.Unlabelled.R2.T3.F2.trimmomatic.megahit_bin.2_98.85_1.71,530309.6328609145
Bog,20110800_S2M_9,527682.3391384175
Bog,20130700_S3Z_1,526914.2771845143
Bog,20120700_S1D_24,524898.7724137874
Bog,Bog.Labelled.R1.T3.F3.JGI.BFC.metaspades_bin.108_95.64_2.59,524446.4773959719
Bog,Bog.None.R2.T0.JGI.BFC.metaspades_bin.84_100.00_0.00,524255.5955452995
Bog,20110800_S1D_5,517019.9296694132
Bog,Bog.None.R3.T0.JGI.BFC.metaspades_bin.275_96.71_5.17,515190.2686817799
Bog,20110800_S2M_3,508560.76795132156
Bog,20130700_S3M_3,508413.1675945859
Bog,Bog.None.R1.T0.trimmomatic.megahit_bin.369_97.17_1.75,505853.0844127766
Bog,20150700_P31_7,503748.8673322839
Bog,20130700_C1Y_13,494719.522742866
Bog,20150700_S15_12,493011.2425473591
Bog,20120800_E1D_18,490199.5334118529
Bog,20120600_E3D_3,485262.4822301624
Bog,20120700_P3D_35,484195.7803139407
Bog,Bog.None.R3.T0.JGI.BFC.metaspades_bin.122_92.03_1.72,482672.7492468749
Bog,20120700_S1D_61,481421.86301722465
Bog,20160700_S23_5,478075.63329866854
Bog,20150700_E14_5,476877.9182810797
Bog,20110800_S3S_4,476832.9638813327
Bog,20120800_E1D_7,475788.7349593498
Bog,Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78,462898.84084624436
Bog,20110800_S3S_24,462524.1508250268
Bog,PLSL01,459476.08054333634
Bog,20120600_P3M_9,459130.6907773769
Bog,Bog.None.R3.T0.JGI.BFC.metaspades_bin.34_94.27_1.08,458456.9041285533
Bog,20160700_S13_16,456848.10973569367
Bog,Bog.Labelled.R1.T2.F2.trimmomatic.metaspades_bin.70_92.60_2.94,456022.2966688873
Bog,20130700_P1Y_10,454657.67125365406
Bog,Bog.None.R3.T0.trimmomatic.megahit_bin.55_94.74_3.88,453313.9611612555
Bog,Bog.None.R3.T0.trimmomatic.megahit_bin.399_80.28_6.52,449136.56637634157
Bog,3300031524_30,447783.73822029436
Bog,20120600_P2M_9,438534.8294608387
Bog,Bog.Unlabelled.R2.T3.F1.JGI.BFC.metaspades_bin.100_87.84_4.05,436765.47423723416
Bog,20150700_E14_13,435679.424327471
Bog,20160700_P15_3,434995.95659433753
Bog,3300037349_9,431707.7263420077
Bog,20160700_S13_19,431509.4660467782
Bog,20140700_S21_18,429705.2772197883
Bog,20170700_S31_11,428085.23829926323
Bog,20170700_S24_16,426278.2254660734
Bog,20170700_S25_13,425113.4387302942
Bog,20160700_S34_5,423572.48319192854
Bog,20150700_P14_7,419245.2732226161
Bog,20130700_S3M_11,417638.360604228
Bog,20110600_S1D_17,417530.25531797606
Bog,Bog.None.R2.T0.JGI.BFC.metaspades_bin.58_85.62_4.48,413617.48965809465
Bog,Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10,409421.9649369813
Bog,20170700_S25_7,398143.79615398066
Bog,Bog.None.R1.T0.trimmomatic.megahit_bin.149_91.22_4.05,397809.80357011646
Bog,20170700_S25_3,392514.88753089606
Bog,20110800_E3D_9,388886.7560659135
Bog,20170700_S34_25,387085.5648504689
Bog,Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.11_92.47_4.06,387018.8909414585
Bog,PLDW01,386205.371764084
Bog,20170700_S25_36,381759.8869149974
Bog,20110800_S1S_3,381093.70675657014
Bog,20120700_S1D_106,380735.16495523794
Bog,20140700_S33_15,379768.20427467156
Bog,20150700_E15_4,375350.2889061628
Bog,20111000_P2S_1,374703.5800676225
Bog,PLTW01,374262.7010817078
Bog,20120700_S1D_87,373724.93005385436
Bog,20150700_P15_4,371080.25081582647
Bog,PLTJ01,363641.31350267766
Bog,Bog.None.R2.T0.JGI.BFC.metaspades_bin.347_81.27_8.23,363380.8819291705
Bog,20111000_S3M_6,362704.4549265301
Bog,Bog.None.R2.T0.JGI.BFC.metaspades_bin.27_84.99_8.62,361050.8657775069
Bog,20110800_S1S_18,359421.2514938416
Bog,Bog.Unlabelled.R3.T1.F3.trimmomatic.megahit_bin.181_80.47_3.36,359207.19559384213
Bog,Bog.Labelled.R1.T2.F3.JGI.BFC.metaspades_bin.24_99.14_0.86,359132.1129474137
Bog,Bog.Unlabelled.R2.T3.F2.JGI.BFC.metaspades_bin.55_93.55_2.59,353231.75347809837
Bog,20120700_P3D_101,352376.2562622165
Bog,PLHP01,351355.31970790843
Bog,Bog.None.R3.T0.JGI.BFC.metaspades_bin.143_78.72_9.48,350058.03004122496
Bog,20120700_S1S_1,348407.5288546778
Bog,20120700_S1X_12,345086.942740715
Bog,20170700_S25_14,342213.2019336701
Bog,20170700_S33_23,335771.85592267686
Bog,20150700_S23_11,333648.64681107184
Bog,20160700_S23_8,329610.2693733674
Bog,20120600_S3M_3,329211.86084967887
Bog,20130700_S2D_2,327756.80412658496
Bog,Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.114_88.45_5.80,327428.2034955772
Bog,20120700_P3D_142,321683.65578079404
Bog,20111000_S1D_14,321601.77060701494
Bog,20150700_P31_3,319917.89882254606
Bog,20111000_S1D_3,316850.910788903
Bog,20160700_E25_13,313141.7709231369
Bog,Palsa.Labelled.R3.T1.F2.trimmomatic.megahit_bin.31_72.28_6.84,312997.27791571105
Bog,20120500_P13_5,309545.9293317846
Bog,20120700_S1D_69,307942.770262133
Bog,20120700_S1D_84,307058.38073069515
Bog,Bog.Unlabelled.R3.T3.F3.trimmomatic.metaspades_bin.83_91.54_6.45,304966.51839573344
Bog,20160700_P15_24,301888.9756320153
Bog,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.307_94.82_5.10,301336.7829373184
Bog,20120700_S1D_20,300817.1715196975
Bog,20120700_S1D_115,300810.80035858933
Bog,20120700_S1D_51,298721.26807395637
Bog,20110800_S3S_25,298401.7892612209
Bog,20170700_S24_5,296094.2276879615
Bog,20120700_S1D_114,295196.9061353449
Bog,Bog.Unlabelled.R2.T2.F1.JGI.BFC.metaspades_bin.57_88.81_1.01,294242.35935509467
Bog,20160700_S11_6,291576.23513154965
Bog,20170700_S34_10,288488.03922706185
Bog,3300037180_6,287737.0012533346
Bog,Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.22_74.64_1.66,286258.9575249527
Bog,20120700_S2X_13,284758.5029284533
Bog,3300023248_5,284434.5539875901
Bog,20140700_S11_5,284313.21583307156
Bog,20150700_P15_16,282115.19436998974
Bog,Bog.Unlabelled.R3.T1.F3.trimmomatic.metaspades_bin.150_70.93_7.86,280895.90583014215
Bog,Bog.Labelled.R1.T2.F2.trimmomatic.metaspades_bin.54_94.58_0.00,280765.3054225058
Bog,20170700_P14_3,280647.4307251759
Bog,Bog.None.R1.T0.trimmomatic.megahit_bin.120_96.00_3.87,279917.3645274157
Bog,20110800_S1S_13,274833.7180676798
Bog,Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.11_87.40_5.27,274452.560892691
Bog,20130700_C2M_5,272367.4420787134
Bog,3300037262_8,271425.32528399443
Bog,Bog.None.R2.T0.JGI.BFC.metaspades_bin.302_84.77_4.31,269165.6889907211
Bog,20120700_P1D_9,268664.740856919
Bog,PMLV01,267827.0609401747
Bog,Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.45_94.77_0.93,267384.1726786042
Bog,20120700_S1D_39,262990.4717943035
Bog,20120500_P32_6,262714.90335563576
Bog,20110800_P3S_8,259718.82497471714
Bog,20140700_S12_11,258971.17885177175
Bog,20110700_S2D_6,255462.6909664032
Bog,Palsa.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.77_83.91_2.81,254558.61338168572
Bog,Bog.None.R1.T0.trimmomatic.megahit_bin.192_94.47_2.50,254321.1943512411
Bog,20110800_S3D_19,254196.56193745037
