"","MEyellow","MEbrown","MEturquoise","MEblue","MEblack","MEred","MEgreen","MEpink","MEgrey"
"713_P-3-M",0.171778459839847,0.0632929484884794,-0.0475479521610284,0.0501609250434074,-0.0913678783419521,-0.0838825468094327,-0.0767042245964006,-0.0712639029607397,-0.0288392197353633
"713_P-3-X1",-0.153404020368063,-0.121492857055786,-0.0925793143361976,-0.12294465111978,0.0590214112151123,0.435181104167434,-0.058851179299469,0.126777613841324,-0.0437265119237742
"714_P1_20-24",-0.157336130464639,-0.12875001418225,-0.0925793143361976,-0.0320060986412675,0.0386237735726643,-0.0495888562361853,0.443603778171766,0.00328895214443877,-0.123068839748438
"714_P1_30-34",-0.158898745650982,-0.12875001418225,-0.0925793143361976,-0.136346794362197,-0.0820869335867435,-0.0747581701917654,0.256781781204259,0.0473106181462882,-0.120615297708072
"714_P1_40-44",-0.158898745650982,-0.12875001418225,-0.0925793143361976,-0.135952348847975,-0.0843990057052797,-0.0897521297771876,0.306713275743772,0.0472969332135551,-0.0288392197353633
"714_P3_30-34",-0.100147775548135,-0.115101947765403,-0.0901242154878009,0.186384482301655,0.0757366294689692,-0.0102206254018414,-0.0774826698050661,-0.0672702705561361,0.0563473018724343
"714_P3_40-44",-0.138065005422958,-0.118220981679866,-0.0918125713164339,-0.0671410452084767,0.305109003616639,0.18569080003307,0.0923174712094464,0.0267723912726418,-0.119937252749526
"714_P3_50-54",-0.156085479112438,-0.124472147142272,-0.0925793143361976,-0.136223620292573,-0.0306007650473605,0.167124260615018,0.108127181695171,0.374092485395931,-0.100512548238944
"714_P3_60-64",-0.154661251345487,-0.124688632136592,-0.0925793143361976,-0.130845507339495,0.00458215859592914,0.128782599058357,0.0573606903445243,0.405848110352786,-0.127785459216854
"714_P3_70-74",-0.158898745650982,-0.12875001418225,-0.0925793143361976,-0.139979213249097,-0.0888971319358172,0.0118369031735885,-0.0175682201998241,0.424747844658531,-0.0860194136580958
"715_P1_1-5",-0.0511741936421631,0.185242802030355,0.207256576130752,-0.125461660842993,-0.111353546285292,-0.0897521297771876,-0.0877172992166646,-0.0712639029607397,0.142960607809301
"715_P1_10-14",0.0510929374354634,0.142464014586715,0.011754339942742,-0.104514522747774,-0.101334971449047,-0.0623842737385201,-0.0820296994919968,-0.0642680129784091,0.586472851855973
"715_P1_20-24",0.118889288072099,0.0398389615903582,-0.0508757645371792,-0.0490194632398353,-0.0908177758609922,-0.0607752301419402,-0.0818378027628312,-0.0712639029607397,0.551337196341103
"715_P1_30-34",0.156038455850593,-0.0382268370335051,-0.0544436840593074,0.0658457083976098,-0.0723540415669239,-0.0382061492680345,-0.0772539867248963,-0.0712639029607397,0.103033552581387
"715_P2_1-5",0.130211720624361,0.216620054326362,0.209358720920944,-0.105269104824944,-0.111353546285292,-0.0854373528122543,-0.0848798818333141,-0.0712639029607397,-0.00983059515090427
"715_P2_10-14",0.21987782741647,0.058571689508347,-0.0141377247662228,0.0296815609199412,-0.0919323846900605,-0.0760895954800028,-0.0751830108584634,-0.0712639029607397,0.0112555951606877
"715_P2_20-24",0.00441534028736742,-0.100271891303123,-0.0812441401652456,0.195834818600772,0.149663267019495,0.0851775563287466,-0.0546821066244568,-0.0630888832405292,0.00354687500459479
"715_P3_1-5",0.0468412238086518,0.234905360196379,0.186230141546519,-0.108479037878805,-0.109279527469627,-0.0897521297771876,-0.0842338280191269,-0.0712639029607397,0.010073337388735
"715_P3_10-14",0.101017934569804,0.217646117599666,0.0397107115390094,-0.11359790532051,-0.102573911897828,-0.0897521297771876,-0.0838204891320893,-0.0712639029607397,0.127505961085255
"715_P3_20-24",0.231673554740002,0.0515569882976062,-0.0558448534909791,0.00129031738717788,-0.0940575328822377,-0.0848558554023145,-0.0794994985463108,-0.0712639029607397,0.194008225201619
"715_P3_30-34",-0.00460949795351968,-0.104790684115493,-0.088474092123615,0.255803827637955,0.0409362667365653,-0.0164898128032537,-0.0632509002843023,-0.0684917668952048,0.0171332878578837
"716_P1_1-5",0.00270239592870176,0.144871175545646,0.355511554963483,-0.118700799528786,-0.109134938377297,-0.088354959918212,-0.0846307356270929,-0.0712639029607397,-0.0288392197353633
"716_P1_10-14",0.142894054245253,0.197744883238753,0.156691444469643,-0.0884510375459932,-0.111353546285292,-0.0897521297771876,-0.0832414499375024,-0.0548143338620881,0.0294077552413986
"716_P1_30-34",-0.137646581446988,-0.116958079054144,-0.0925793143361976,0.161125272211014,0.255699667281196,0.0684628274936832,-0.00443447457665148,-0.0505756407226228,-0.0670608537275059
"716_P2_1-5",0.116146068990018,0.14078461493443,0.10166572321018,0.0286787117295269,0.062393126234681,-0.0224794597129064,-0.054377271625883,-0.0686120373110121,-0.0324511322377871
"716_P2_10-14",0.188723572779872,0.072124046863438,-0.0110628456738938,0.0194160926970473,-0.088903207664149,-0.0788023297942175,-0.0798836491455562,-0.0712639029607397,-0.0220762617136581
"716_P2_20-24",-0.0909499132033497,-0.108215555056909,-0.0847983462852627,0.255343911685423,0.183221992515164,0.00494941645000798,-0.0144840978671361,-0.0599721769166256,-0.11626478184961
"716_P2_30-34",-0.150336959637827,-0.122836744745205,-0.0925793143361976,-0.10231326987458,0.171302586341397,0.408145924335372,-0.0403111274551589,0.0301437996583188,-0.0587758226092373
"716_P3_1-5",0.135257109444813,-0.023568910209654,-0.0538257368148379,0.194891751850829,-0.0771892491497749,-0.0595894945104436,-0.0696370558895905,-0.0640256965049324,0.0444753462409131
"716_P3_10-14",0.17411472515977,0.101088073995717,0.102848459302092,0.00559593540785766,-0.101257106281042,-0.0808502437198952,-0.0795604152786537,-0.0712639029607397,0.000438577373775775
"716_P3_20-24",0.0230226497770717,-0.0934741172828003,-0.0636865813097466,0.16684323217407,0.0289033010262963,-0.0394396778315973,-0.0108163486605691,-0.0591267513636856,-0.0494410073871354
"716_P3_30-34",-0.146166871884132,-0.121106599780467,-0.0914348989692122,0.040315825721107,0.229216457149502,0.00257474735529486,0.182887259021444,0.0626385373102141,-0.123292083422392
"717_P1_10-14",0.192877688348636,0.046681650653248,-0.0505686635224611,0.0530948200196893,-0.0975393509726357,-0.0785484115038638,-0.0769679743219807,-0.0645215638103934,0.0452060890668038
"717_P1_20-24",-0.113822871296122,-0.118207656781309,-0.0898456895417799,0.126935364840434,0.186521271396733,0.0733484252836711,-0.0360624906740155,-0.0552762757014317,0.0267385282518524
"717_P2_1-5",0.121185095248026,0.212576298976495,-0.0079820624811464,-0.0783897831422541,-0.10693082869366,-0.0855399128026737,-0.0842017494590202,-0.0712639029607397,0.0818943621118844
"717_P2_10-14",-0.10725145951561,-0.100508607053021,-0.0840740195370386,0.171726708672393,0.125366299489451,0.0184181953975833,0.0303878518257203,-0.055617815340721,-0.188503141522373
"717_P2_20-24",-0.145428563461309,-0.123046967053687,-0.0925793143361976,0.00832767472893574,0.162949632139358,0.0235868596971093,0.286731232625393,0.105913409506133,-0.172904080666327
"717_P3_1-5",0.026374107665067,0.130938854163013,0.318054136223853,-0.108717742791598,-0.111353546285292,-0.084443203027287,-0.0796524156928862,-0.0652186136985802,-0.0288392197353633
"717_P3_10-14",0.183113914076769,0.0931014956206028,0.0732632257936465,0.00247442032836146,-0.0949842350238737,-0.0754214215401908,-0.0783520294919621,-0.0712639029607397,0.0222754877852005
"717_P3_20-24",-0.0200329552798375,-0.0872022684874133,-0.0618469812290953,0.196756060395101,0.00485447106370885,-0.0431740043232038,0.0896603124937928,-0.0484770449067358,-0.079923376381284
