"","MEgreenyellow","MEpurple","MEturquoise","MEblack","MEblue","MEmagenta","MEbrown","MEred","MEgreen","MEpink","MEyellow","MEgrey"
"713_E-3-D",0.144819211827217,0.262989615346138,0.319806183280547,-0.110624392601901,-0.134883220181819,-0.0824782413866161,-0.0880270359598933,-0.0480953224417889,-0.0881441299463814,-0.169036861277895,-0.193374902864863,0.112151154854633
"713_E-3-M",-0.0582770120462657,-0.0391866064643108,-0.0563801207569655,0.208326877739384,-0.073394096825601,-0.037801521044344,-0.0876970823372489,-0.0664687849467073,-0.0444892331729799,0.160667761393598,-0.00205943986819923,-0.0369609387645306
"713_E-3-S",-0.0515526240635959,-0.0550790314018395,-0.0651177926540875,0.0518413783312272,0.0530371322994119,0.023369274405158,-0.00202321726822128,-0.0500415289164351,0.0328642980469638,0.0252183876415541,0.15070731671895,-0.043249110743904
"713_E-3-X0",0.14026024913575,0.228540210818335,0.329043106096117,-0.127836736391719,-0.145896028511231,-0.0924980891797699,-0.0833408417855155,-0.0244851854749812,-0.0832184452167227,-0.189291993141433,-0.202228523378109,0.00814448642903641
"713_E-3-X1",0.229672096633554,0.43170701727295,0.178349197416091,-0.153421465193623,-0.168001130222005,-0.106014729642535,-0.0964627504155723,-0.088661395497888,-0.11607372570049,-0.195915273842274,-0.236036643152753,-0.0762731531865797
"713_E-3-X2",0.181712866197648,0.476963730482296,0.116676343447845,-0.135419963839406,-0.164259132964544,-0.105916109433188,-0.0990019608275684,-0.0940663901032067,-0.118571314939017,-0.168211722600442,-0.219131009082294,-0.151926896957682
"714_E1_1-5",-0.031814091930605,-0.0629009127831541,-0.0833695687826741,-0.131883574183681,0.0911444964323436,-0.118234118174751,0.258051553427143,0.0333471268808745,-0.114927344003818,-0.0358733806901987,0.0221946822179723,-0.197215808030821
"714_E1_20-24",-0.0114742398327345,-0.0593319088344852,-0.0361860892771403,-0.153320174953388,-0.0991991781268244,-0.110533886843041,0.473389300966907,0.3859916607747,0.190534328447176,-0.015790424519209,0.0819823846163396,0.0428936551684061
"714_E1_30-34",0.0115287500848681,-0.0497139362846793,0.0506571852330712,-0.162621146411843,-0.120054503483918,-0.114558423193947,0.170822680025163,0.560538579067769,0.0653570663874186,-0.142321292601591,-0.0791674206181771,0.108425781830606
"714_E1_5-9",-0.025538240249967,-0.0581089325518032,-0.0645231441827159,-0.147305608592065,-0.00996338727835106,-0.109341395588615,0.412853920947276,0.0549114244598244,-0.0407388037081829,0.00311091328428515,0.139829425560515,-0.176607554377452
