"","MEblue","MEgreen","MElightyellow","MEgrey60","MEturquoise","MEyellow","MEtan","MEcyan","MEmagenta","MElightgreen","MEpurple","MEbrown","MEred","MEmidnightblue","MEblack","MEpink","MEroyalblue","MEdarkred","MElightcyan","MEgreenyellow","MEsalmon","MEgrey"
"713_E-1-M",-0.0058211803424522,0.0740966538911674,-0.0224862106147804,-0.00725622266079169,0.154829583912373,-0.0310634305744993,-0.0259950021397423,-0.0180890712149448,-0.0235050248967929,0.00204731821246609,0.0117633233992352,-0.0261672220790691,-0.020545690198928,-0.0344761203083635,-0.0237125027873208,-0.0314171621532781,-0.0143651733832043,-0.024455512936765,-0.0101865139895497,-0.0320464861210967,-0.0268799986651729,0.0616756224499618
"713_E-1-S",-0.00892876671798694,0.0687750901907626,-0.00589466415172151,-0.00146028089368366,0.132357033038877,-0.0304195422485639,-0.0259950021397423,-0.0180890712149448,-0.0235050248967929,0.0041060407669968,0.00175280365397689,-0.0298027063613676,-0.0306975626329337,-0.0344761203083635,-0.0237125027873208,-0.0314171621532781,-0.014661640107332,-0.024455512936765,-0.00968316105078075,-0.0320464861210967,-0.0262462536927734,0.00826813157000481
"713_E-1-X0",0.276926544116029,0.00668012886234382,-0.0161284808879937,0.0436275151796172,0.0146897207761309,-0.0350996884643977,-0.0259950021397423,-0.0180890712149448,-0.0235050248967929,0.0171743664796066,-0.0354685819603498,-0.0496768359384209,-0.0450327156239749,-0.0344761203083635,-0.0237125027873208,-0.0314171621532781,0.0293148809790884,-0.0210694053752928,0.00817786461443151,-0.0320464861210967,-0.0280969600247866,-0.00884946748875048
"713_E-1-X1",0.279675773158059,-0.0139410601934904,-0.025704912477019,-0.0215222441994089,-0.00568628054038987,-0.0350996884643977,-0.0259950021397423,-0.0180890712149448,-0.0235050248967929,-0.013381720331178,-0.0329063422993271,-0.0504192669548747,-0.0434778955983538,-0.0344761203083635,-0.0237125027873208,-0.0314171621532781,0.040546664159982,-0.0130583815887852,0.0185741861341561,-0.0320464861210967,-0.0288186329178646,-0.00685579953980804
"713_E-1-X2",0.28445576718739,-0.0106851017223926,-0.025704912477019,-0.0229702293462508,-0.00504209803649527,-0.0350996884643977,-0.0259950021397423,-0.0180890712149448,-0.0235050248967929,-0.0175241938380429,-0.0317672329810425,-0.0499043488995341,-0.0451143365531208,-0.0344761203083635,-0.0237125027873208,-0.0314171621532781,0.0536487787855761,-0.011135005472212,0.0379436194957795,-0.0320464861210967,-0.0240861383434362,0.0208268802154009
"713_E-2-D",-0.00699549804421533,0.0928317222467206,0.0494797549366651,0.182909929024982,0.0958850917681732,-0.0350996884643977,-0.0259950021397423,-0.0180890712149448,-0.0235050248967929,-0.0210592155887253,-0.045385391580342,-0.0497445765040358,-0.0465154166105068,-0.0344761203083635,-0.0237125027873208,-0.0314171621532781,-0.0148074173287359,-0.024455512936765,-0.0132664183784337,-0.0320464861210967,-0.0303514496774223,-0.0263580931716142
"713_E-2-M",-0.0122318415244821,0.112725645305549,0.106210514052958,0.214255174880279,0.0847537367637457,-0.0298185321096295,-0.0259950021397423,-0.0180890712149448,-0.0235050248967929,-0.0380083304719051,-0.046793596518575,-0.0512465340148572,-0.0473974027866771,-0.0344761203083635,-0.0237125027873208,-0.0314171621532781,-0.0220791520601361,-0.024455512936765,-0.0117582277322344,-0.0320464861210967,-0.0303514496774223,-0.0341239538920592
"713_E-2-S",-0.0132451088529907,0.153350941131153,0.227994837840349,0.174064025722474,0.0413766392890042,-0.030380478075034,-0.0259950021397423,-0.0180890712149448,-0.0235050248967929,-0.0451834366850799,-0.0502871030112926,-0.0516853844423025,-0.0473974027866771,-0.0344761203083635,-0.0237125027873208,-0.0314171621532781,-0.0220791520601361,-0.024455512936765,-0.0135013820915732,-0.0320464861210967,-0.0303514496774223,-0.0409353699974286
"713_E-2-X0",0.171934940742716,0.00841385282020615,0.0186336251660788,0.135841075542961,0.0194141922798944,-0.0350996884643977,-0.0259950021397423,-0.0180890712149448,-0.0235050248967929,0.012718635986125,-0.0499519854635003,-0.0499308690103153,-0.0473974027866771,-0.0344761203083635,-0.0237125027873208,-0.0314171621532781,-0.012856753849812,-0.024455512936765,-0.0149463123990691,-0.0320464861210967,-0.0303514496774223,-0.0298320554049684
"713_E-2-X1",0.275436661153667,-0.00378846191068381,-0.0232022439034611,0.0209809621492079,0.0131585427503756,-0.0350996884643977,-0.0254651203154047,-0.0180890712149448,-0.0235050248967929,0.00960213805699387,-0.0243038064024351,-0.0479407068525801,-0.0433074533313513,-0.0344761203083635,-0.0237125027873208,-0.0314171621532781,0.0359268125036315,2.26399447470271e-05,0.0217793763138631,-0.0320464861210967,-0.0254214868428689,0.0173529450384079
"713_E-2-X2",0.291866613767063,-0.00504079358896375,-0.020141026288636,0.0232122250160514,0.00738334113462235,-0.0350996884643977,-0.0255612387039263,-0.0180890712149448,-0.0235050248967929,-0.0158150940685053,-0.0308997223873106,-0.0494865722989126,-0.0454616926405715,-0.0323915643326954,-0.0237125027873208,-0.0314171621532781,0.0230404043368915,0.016606116631428,0.0387135850079157,-0.0320464861210967,-0.0255866359764219,0.0227024247279395
"713_E-3-D",0.329408774677622,-4.53571628901011e-05,-0.0246298028183253,0.00283782816434517,0.000855055615316099,-0.0350996884643977,-0.0259950021397423,-0.0180890712149448,-0.0235050248967929,0.00744837446719802,-0.0330970715913628,-0.0473471127956914,-0.0455271228003912,-0.0344761203083635,-0.0237125027873208,-0.0314171621532781,0.0110726466542569,-0.0225165201905686,-0.00145532794002139,-0.0320464861210967,-0.0278211129536062,0.0598467471158484
"713_E-3-M",0.0101505779512729,0.0398096661401555,6.86394603684517e-05,0.205953979290268,0.0938486007623937,-0.0350996884643977,-0.0246637530253624,-0.0180890712149448,-0.0235050248967929,-0.021913788852298,-0.0472130045098686,-0.0478181419160044,-0.0456968620094889,-0.0344761203083635,-0.0237125027873208,-0.0314171621532781,-0.0172732572043192,-0.024455512936765,-0.0102901516131545,-0.0320464861210967,-0.0303514496774223,-0.0289076956295076
"713_E-3-S",-0.00509279125778538,0.136806633960097,0.0383428070115972,0.108416542938297,0.131543481315371,-0.0318864029482796,-0.0259950021397423,-0.0180890712149448,-0.0235050248967929,-0.0244831779730903,-0.0375603465237961,-0.050076337073031,-0.0391138609618099,-0.0344761203083635,-0.0237125027873208,-0.0314171621532781,-0.0220791520601361,-0.024455512936765,-0.0115578578057388,-0.0320464861210967,-0.0303514496774223,0.00978015834199937
"713_E-3-X0",0.317648375822551,-0.00831994721341527,-0.0247200513921333,-0.0118423425812501,-0.00399490583083575,-0.0350996884643977,-0.0259950021397423,-0.0180890712149448,-0.0235050248967929,0.0123808366666105,-0.0277452022692838,-0.0445206631014147,-0.0444925561996364,-0.0344761203083635,-0.0237125027873208,-0.0314171621532781,0.0119642184434887,-0.0189066774600385,0.000499782102282772,-0.0320464861210967,-0.0276539524559052,0.0463819825601068
"713_E-3-X1",0.283940164220184,-0.0217570802084676,-0.025704912477019,-0.0279308181585757,-0.025291595127102,-0.0350996884643977,-0.0259950021397423,-0.0180890712149448,-0.0235050248967929,-0.0200548793574036,-0.0364183728030464,-0.0502411665186176,-0.0464635675197213,-0.0323054059960124,-0.0237125027873208,-0.0314171621532781,0.0107540148090399,-0.00297248411083583,0.0390449523086847,-0.0320464861210967,-0.0290614802869339,0.000996344955512288
"713_E-3-X2",0.265248164948264,-0.0206666609866529,-0.0241133353320453,-0.0178377836986182,-0.0207886203172042,-0.0350996884643977,-0.0259950021397423,-0.0180890712149448,-0.0235050248967929,-0.0234276674669877,-0.0433504013291784,-0.0509584402758478,-0.0462448245866927,-0.0325770214054726,-0.0237125027873208,-0.0314171621532781,0.00347790979714606,-0.00677214459013037,0.0446451650803718,-0.0320464861210967,-0.0303514496774223,-0.0170033440839675
"713_P-1-X1",-0.0264256622948162,-0.0413751452568414,-0.025704912477019,-0.0372768076792773,-0.0481613592858948,-0.0125973222655491,-0.0232814455992433,-0.0180890712149448,-0.0155427521906018,0.00556299182141793,-0.0381864396828144,-0.00852294315685272,-0.0149300918183299,-0.02761660715611,-0.0237125027873208,-0.0295565255921963,0.00682635663372322,0.034030530007569,-0.0219069717513423,-0.00926364447721831,0.263871417875844,-0.0409353699974286
"713_P-3-M",-0.0276837499421227,-0.0413751452568414,-0.025704912477019,-0.0372768076792773,-0.0481613592858948,-0.0350996884643977,-0.0187228671753361,-0.0180890712149448,-0.0235050248967929,-0.0457004735950595,-0.0530292137043787,-0.0519033523428409,-0.0457372088487442,0.202792041196894,0.00236230024782132,0.11603435720323,-0.0220791520601361,-0.00960069932972405,-0.0219069717513423,0.104050780995497,-0.0241277433644255,-0.0409353699974286
"713_P-3-X1",-0.0249991368396866,-0.0413751452568414,-0.025704912477019,-0.0372768076792773,-0.0467162066715862,-0.0242129105491347,-0.0241757335611294,-0.0180890712149448,-0.0208013374274972,0.0269100424373223,-0.0213682248703044,0.0247676103442399,-0.0238263551426071,-0.030034085891204,-0.0237125027873208,-0.0293826607918715,0.0318334669654322,0.0106693691505153,-0.020068295152303,-0.015220883233711,0.192483705500054,-0.0409353699974286
"713_S-1-D",-0.0270366914799425,-0.0413751452568414,-0.025704912477019,-0.0372768076792773,-0.0437302320210118,0.0355887452938832,-0.016852289980471,-0.0180890712149448,-0.0223142079481661,-0.0305686716947773,0.0427750538223702,0.151815825523725,0.129260679496426,-0.03396515573926,-0.0237125027873208,-0.0314171621532781,-0.0188791868633378,-0.024455512936765,-0.0219069717513423,-0.0280828812274516,-0.0241639986245478,-0.028593194442948
"713_S-1-M",-0.02704545472433,-0.0413751452568414,-0.025704912477019,-0.0372768076792773,-0.0444630506358436,0.207193870278062,-0.0152608753664334,-0.00561568231901173,0.0320055992488349,-0.0436675418334655,-0.0119064690513459,0.104056841886458,0.256832670060563,-0.0344761203083635,-0.0237125027873208,-0.0314171621532781,-0.00532085247308783,-0.024455512936765,-0.0219069717513423,-0.0320464861210967,-0.0294319512907066,-0.0309946449279628
"713_S-1-S",-0.0276837499421227,-0.0413751452568414,-0.025704912477019,-0.0372768076792773,-0.0481613592858948,0.27243925623882,0.0452400405912541,0.114052219583461,0.30124369736739,-0.045306056364717,-0.0466767905109856,-0.0188412298644515,0.0511026520118409,-0.0303946432000971,-0.0208603289650358,-0.0263815261803427,-0.0220791520601361,-0.024455512936765,-0.0219069717513423,-0.0320464861210967,-0.0274926636739192,-0.0409353699974286
"713_S-1-X0",-0.0272322112262977,-0.0413751452568414,-0.025704912477019,-0.0372768076792773,-0.0425979864755161,-0.0129512061847341,-0.0175206489123987,-0.0164240535328446,-0.0207087849497056,0.128370198768537,0.15741893147119,0.110526685425594,0.0361905348482325,-0.0344761203083635,-0.0237125027873208,-0.0305699435518335,-0.0220791520601361,-0.021275055216648,-0.0219069717513423,-0.0244067157543286,-0.0176912579421738,-0.0371442454320889
"713_S-1-X1",-0.0263362656494102,-0.0413751452568414,-0.025704912477019,-0.0372768076792773,-0.0455375514632608,-0.0297659168348018,-0.0248192339243207,-0.0180890712149448,-0.023160417324662,0.156892608729532,0.0736910474070909,0.0561520785080568,-0.0259109208849792,-0.0344761203083635,-0.0237125027873208,-0.0314171621532781,-0.0220791520601361,-0.024455512936765,-0.0219069717513423,-0.0320464861210967,-0.0242448630875379,-0.00759734978639721
"713_S-1-X2",-0.0253690579401897,-0.0409426634655023,-0.025704912477019,-0.0372768076792773,-0.0450307270967585,-0.0252787883503994,-0.0253537153806969,-0.0177497535558483,-0.023185031374572,0.122203731889642,0.0508242172419417,0.0753742958819587,-0.0247701440341244,-0.0344761203083635,-0.0237125027873208,-0.0314171621532781,-0.0165662266120534,-0.024455512936765,-0.0203191694570951,-0.0320464861210967,-0.0292461209181013,-0.00148743360322071
"713_S-2-D",-0.0222111905823474,-0.0409573307112568,-0.025704912477019,-0.0372768076792773,-0.0217946299359485,-0.000222877152170482,-0.0259950021397423,-0.0093972115009147,-0.0191227006288103,0.0816698859474151,0.21221385651834,0.115706542356097,0.070851883564949,-0.0344761203083635,-0.0237125027873208,-0.0314171621532781,-0.0191551170610972,-0.024455512936765,-0.0184395440559314,-0.0304088900280906,-0.0279142165339662,0.140117644578861
"713_S-2-M",-0.0246687587160785,-0.0413751452568414,-0.025704912477019,-0.0372768076792773,-0.0276353996509329,0.0304058478470709,-0.025030335154634,-0.00851298810629466,-0.0181243980041606,0.000235802839446247,0.172619297766667,0.120358092544211,0.164044893340527,-0.0344761203083635,-0.0237125027873208,-0.0314171621532781,-0.0179014195207744,-0.024455512936765,-0.0219069717513423,-0.0320464861210967,-0.0287126107194366,0.0341818419542367
"713_S-2-S",-0.0276837499421227,-0.0413751452568414,-0.025704912477019,-0.0372768076792773,-0.0458463568188828,0.269499555386338,0.0165836430968448,0.200151965338138,0.187059202099633,-0.0398192240889072,-0.0364470946002112,0.0253740998925225,0.148421930471586,-0.0344761203083635,-0.0237125027873208,-0.0304611864820075,-0.0220791520601361,-0.024455512936765,-0.0219069717513423,-0.0320464861210967,-0.0294736591948613,-0.0136515349400291
"713_S-2-X0",-0.0225468751083767,-0.0402362594385386,-0.025704912477019,-0.0372768076792773,-0.0293237316317601,-0.0298508256639574,-0.0259950021397423,-0.0180890712149448,-0.0232244841131943,0.235722205814832,0.128459086246889,0.0267053039562424,-0.0195887201035914,-0.0344761203083635,-0.0237125027873208,-0.0285645496795793,-0.0143396965877952,-0.0231505441412935,-0.0178364400810993,-0.0280807747535573,-0.0254481396042538,0.0309199318476742
"713_S-3-D",-0.027116778727512,-0.0413751452568414,-0.025704912477019,-0.0372768076792773,-0.0419285520557558,0.0804393653435448,-0.00416949697239427,-0.0176970104078384,-0.0188891973492456,-0.0369099117774149,0.0328379810801005,0.132160010646282,0.168909232860706,-0.0344761203083635,-0.0237125027873208,-0.0309797500151348,-0.0196612655183165,-0.0228226324009629,-0.0219069717513423,-0.0320464861210967,-0.0228140445670642,0.0667140076069227
"713_S-3-M",-0.0276837499421227,-0.0413751452568414,-0.025704912477019,-0.0372768076792773,-0.0468305464012104,0.154742335852008,0.0720250488896401,-0.0162166890597102,0.0102097316857591,-0.044062701238692,-0.0255337958535935,0.0325364109868282,0.122495423049713,-0.0326793896478815,-0.022364410784612,-0.0286383903723919,-0.0183985992970346,-0.0193432252353985,-0.0219069717513423,-0.0285800639779012,-0.0116856005134469,-0.0906264510049446
"713_S-3-S",-0.0276837499421227,-0.0413751452568414,-0.025704912477019,-0.0372768076792773,-0.0481613592858948,0.107493187507802,0.330373634932417,0.0788327416006082,0.201762510347733,-0.0450001531370847,-0.0410859439538306,-0.0320981319441842,-0.0045920031696211,-0.0163218272576281,-0.00771954726048995,-0.0122373147465537,-0.0206452081900266,-0.0173585030336843,-0.0188619715356394,-0.0259740841090316,-0.0137348293354375,-0.0409353699974286
"713_S-3-X0",-0.0268470513934456,-0.0413751452568414,-0.025704912477019,-0.0372768076792773,-0.043985925035042,0.00312545406814756,-0.0187077845300841,-0.0180890712149448,-0.0213195564009233,-0.00290207108970744,0.0647591703347731,0.153389912409189,0.0757285875462379,-0.0344761203083635,-0.0237125027873208,-0.0308393818622065,-0.0213056249701321,-0.0214894102473238,-0.0219069717513423,-0.0286083843617937,-0.0178686826715235,-0.0133680743344831
"713_S-3-X1",-0.0268772356106114,-0.0413751452568414,-0.025704912477019,-0.0372768076792773,-0.0446180490829578,-0.0117326805197118,-0.0191424135597523,-0.0180890712149448,-0.0224461005293529,0.020327962748231,0.0823266505616878,0.152370926534084,0.0356116196212501,-0.0340456187962235,-0.0237125027873208,-0.0297540512221368,-0.0176046451857663,-0.0173679814016927,-0.0219069717513423,-0.0212220084790358,0.0116322485043929,-0.00778779778960626
"713_S-3-X2",-0.026474724288866,-0.0413751452568414,-0.025704912477019,-0.0372768076792773,-0.0438743803714805,-0.00107658481726663,-0.00285435093370699,-0.0171225093051476,-0.0179546084188449,0.0389658274640313,0.075813434037133,0.150473978846999,0.024762637716564,-0.0344761203083635,-0.0237125027873208,-0.0303598081324851,-0.0217061320550179,-0.0208123143428204,-0.0219069717513423,-0.0286461917137243,-0.00164559738452855,0.0249056937656256
"714_E1_1-5",-0.0147478906995175,0.142853185256212,0.00247932460994536,-0.0129686922536709,0.121182535079708,-0.033723849983948,-0.0259950021397423,-0.0180890712149448,-0.0235050248967929,-0.0437291770863159,-0.0381555691193124,-0.051398382107055,-0.0272172186487294,-0.0344761203083635,-0.0237125027873208,-0.0314171621532781,-0.0171222349133887,-0.024455512936765,-0.00424735691846598,-0.0320464861210967,-0.0303514496774223,0.202785255120344
"714_E1_20-24",-0.000865808905879555,0.026227180551089,-0.025704912477019,-0.0258863757592762,0.170431260606324,-0.0261626692066576,-0.0259950021397423,-0.0180890712149448,-0.0235050248967929,-0.0133760680376816,0.061664284508303,0.0242633180638683,0.0389937815068923,-0.0344761203083635,-0.0237125027873208,-0.0314171621532781,-0.000399917921135131,-0.0205711057809204,0.0010499477312009,-0.0320464861210967,-0.0303514496774223,0.374387595757445
