"","Year__","Habitat__","DepthAvg__","ALD.cm__","T_air.deg_C","T_soil.deg_C","O2.percent","pH_porewater","pH_peat","BulkDensity","percentWater_wt","CH4.mM__","CO2.mM__","CH4.percent","CO2.percent","d13C_CH4__","d13C_CO2__","dD_CH4__","dD_H2O","d18O_H2O","DOC.mM__","TN.mM__","Acetate.uM__","Propionate.uM__","Formate.uM__","Sulfate.uM__","Nitrate.uM__","Ammonia.uM__","C.percent__","N.percent__","d13C_peat__","d15N_peat__","samplingdate_min_AirTemperature","samplingdate_max_AirTemperature","samplingdate_mean_AirTemperature","median_AirTemperature_7d","median_AirTemperature_14d","median_AirTemperature_21d","median_AirTemperature_28d","median_AirTemperature_growing","median_AirTemperature_all_growing","mean_AirTemperature_7d","mean_AirTemperature_14d","mean_AirTemperature_21d","mean_AirTemperature_28d","mean_AirTemperature_growing","mean_AirTemperature_all_growing","pct_time_below_WTD_21d","pct_time_below_WTD_28d","pct_time_below_WTD_growing","pct_time_below_WTD_all_growing","d13CH4_AVE_1wk_before_coring","d13CH4_SE_1wk_before_coring","CH4_Flux_AVE_1wk_before_coring","CH4_Flux_SE_1wk_before_coring","d13CH4_AVE_2wk_before_coring","d13CH4_SE_2wk_before_coring","CH4_Flux_AVE_2wk_before_coring","CH4_Flux_SE_2wk_before_coring","d13CH4_AVE_3wk_before_coring","d13CH4_SE_3wk_before_coring","CH4_Flux_AVE_3wk_before_coring","CH4_Flux_SE_3wk_before_coring","d13CH4_AVE_4wk_before_coring","d13CH4_SE_4wk_before_coring","CH4_Flux_AVE_4wk_before_coring","CH4_Flux_SE_4wk_before_coring","alphaC","CH4_CO2_porewater_percent","CH4_CO2_porewater_ratio","WTD","ALD","Min_ALD","Min_PF_dist_from_sample","DepthAvg__neg","Samp_dist_WT"
"MEpurple","0.0034 (p=0.96)","NA (p=NA)","0.21 (p=0.003)","0.42 (p=4.2e-10)","0.077 (p=0.28)","-0.045 (p=0.53)","-0.56 (p=4.3e-18)","-0.68 (p=7e-28)","0.41 (p=1.6e-09)","0.21 (p=0.0024)","0.36 (p=1.5e-07)","0.2 (p=0.0055)","0.52 (p=2.4e-15)","NA (p=NA)","0.017 (p=0.82)","-0.68 (p=1.2e-28)","0.58 (p=1.4e-19)","0.4 (p=5.7e-09)","-0.45 (p=3.8e-11)","-0.32 (p=4.6e-06)","0.69 (p=3.2e-29)","0.53 (p=7.4e-16)","-0.34 (p=1.1e-06)","-0.29 (p=2.6e-05)","-0.44 (p=9.3e-11)","-0.22 (p=0.002)","-0.014 (p=0.84)","0.37 (p=5.8e-08)","0.16 (p=0.026)","-0.064 (p=0.37)","0.54 (p=3.5e-16)","-0.19 (p=0.007)","0.077 (p=0.28)","0.068 (p=0.34)","0.1 (p=0.16)","0.12 (p=0.096)","0.12 (p=0.086)","0.078 (p=0.27)","-0.0074 (p=0.92)","0.0058 (p=0.94)","0.055 (p=0.44)","0.14 (p=0.051)","0.086 (p=0.23)","0.078 (p=0.27)","0.0076 (p=0.92)","0.035 (p=0.62)","0.076 (p=0.29)","0.49 (p=1.6e-13)","0.49 (p=1.2e-13)","0.49 (p=3.2e-13)","0.47 (p=4.3e-12)","-0.37 (p=4.8e-08)","-0.016 (p=0.83)","-0.21 (p=0.0025)","-0.13 (p=0.076)","-0.35 (p=4.3e-07)","-0.059 (p=0.41)","-0.22 (p=0.002)","-0.14 (p=0.05)","-0.22 (p=0.0017)","0.03 (p=0.67)","-0.24 (p=0.00071)","-0.19 (p=0.0068)","-0.36 (p=1.8e-07)","-0.11 (p=0.11)","-0.27 (p=0.00014)","-0.23 (p=0.00098)","0.7 (p=7.1e-31)","-0.28 (p=7.4e-05)","NA (p=NA)","-0.51 (p=1.6e-14)","0.34 (p=7.1e-07)","0.14 (p=0.047)","0.081 (p=0.26)","-0.21 (p=0.003)","-0.073 (p=0.31)"
"MEbrown","0.031 (p=0.66)","NA (p=NA)","0.15 (p=0.04)","0.54 (p=3.2e-16)","0.058 (p=0.42)","0.044 (p=0.53)","-0.55 (p=4.9e-17)","-0.79 (p=3.3e-43)","0.077 (p=0.28)","0.19 (p=0.0086)","0.37 (p=7.4e-08)","0.071 (p=0.32)","0.43 (p=3.2e-10)","NA (p=NA)","0.62 (p=7.9e-23)","-0.55 (p=3.3e-17)","0.44 (p=5.9e-11)","0.35 (p=4.5e-07)","-0.56 (p=8.1e-18)","-0.56 (p=6.1e-18)","0.82 (p=1.3e-49)","0.73 (p=3.4e-34)","-0.37 (p=5.4e-08)","0.21 (p=0.0034)","-0.63 (p=1.2e-23)","-0.2 (p=0.0047)","-0.16 (p=0.024)","0.23 (p=0.00099)","0.13 (p=0.06)","-0.21 (p=0.0025)","0.5 (p=8.3e-14)","-0.3 (p=2.3e-05)","0.13 (p=0.072)","0.12 (p=0.092)","0.15 (p=0.034)","0.14 (p=0.049)","0.15 (p=0.031)","0.098 (p=0.17)","0.059 (p=0.4)","0.078 (p=0.27)","0.06 (p=0.4)","0.17 (p=0.014)","0.12 (p=0.099)","0.12 (p=0.1)","0.095 (p=0.18)","0.11 (p=0.11)","0.095 (p=0.18)","0.41 (p=1.6e-09)","0.4 (p=3e-09)","0.39 (p=1.4e-08)","0.36 (p=1.8e-07)","-0.59 (p=1.1e-19)","-0.14 (p=0.052)","-0.33 (p=1.8e-06)","-0.25 (p=0.00038)","-0.54 (p=2.9e-16)","-0.16 (p=0.02)","-0.34 (p=1.3e-06)","-0.26 (p=0.00021)","-0.25 (p=4e-04)","-0.13 (p=0.072)","-0.35 (p=3.6e-07)","-0.31 (p=7.3e-06)","-0.57 (p=3.4e-18)","-0.16 (p=0.021)","-0.39 (p=1.1e-08)","-0.34 (p=7.3e-07)","0.55 (p=1.8e-17)","-0.4 (p=4.6e-09)","NA (p=NA)","-0.57 (p=6.8e-19)","0.37 (p=8.6e-08)","0.14 (p=0.049)","0.097 (p=0.17)","-0.15 (p=0.04)","-0.22 (p=0.0016)"
"MEred","-0.015 (p=0.84)","NA (p=NA)","-0.17 (p=0.016)","0.6 (p=1.4e-20)","0.046 (p=0.52)","0.24 (p=0.00054)","-0.32 (p=4.1e-06)","-0.59 (p=3.6e-20)","-0.027 (p=0.71)","0.052 (p=0.46)","0.4 (p=6.9e-09)","-0.18 (p=0.01)","0.05 (p=0.48)","NA (p=NA)","0.2 (p=0.0057)","-0.3 (p=2.3e-05)","0.058 (p=0.42)","0.36 (p=2.5e-07)","-0.55 (p=7.7e-17)","-0.61 (p=2.9e-21)","0.56 (p=1.3e-17)","0.56 (p=4.4e-18)","-0.22 (p=0.0015)","0.43 (p=1.4e-10)","-0.48 (p=9.4e-13)","-0.1 (p=0.16)","-0.21 (p=0.0034)","0.15 (p=0.031)","0.12 (p=0.093)","-0.3 (p=1.5e-05)","0.46 (p=1e-11)","-0.31 (p=7.7e-06)","0.11 (p=0.13)","0.066 (p=0.35)","0.11 (p=0.12)","0.15 (p=0.036)","0.16 (p=0.023)","0.12 (p=0.099)","0.054 (p=0.45)","0.082 (p=0.25)","0.089 (p=0.21)","0.18 (p=0.01)","0.13 (p=0.071)","0.12 (p=0.081)","0.076 (p=0.29)","0.11 (p=0.11)","0.12 (p=0.1)","0.23 (p=0.00093)","0.21 (p=0.0027)","0.18 (p=0.0094)","0.15 (p=0.04)","-0.49 (p=1.2e-13)","-0.069 (p=0.33)","-0.28 (p=5.1e-05)","-0.2 (p=0.0049)","-0.46 (p=1.1e-11)","-0.099 (p=0.16)","-0.29 (p=4.2e-05)","-0.21 (p=0.0025)","-0.23 (p=0.00092)","-0.076 (p=0.29)","-0.3 (p=1.5e-05)","-0.26 (p=0.00019)","-0.49 (p=2.8e-13)","-0.15 (p=0.038)","-0.33 (p=1.8e-06)","-0.29 (p=2.8e-05)","0.17 (p=0.017)","-0.39 (p=1.9e-08)","NA (p=NA)","-0.49 (p=3.7e-13)","0.38 (p=4.4e-08)","0.13 (p=0.075)","0.17 (p=0.019)","0.17 (p=0.016)","-0.47 (p=1.6e-12)"
"MEmidnightblue","0.13 (p=0.066)","NA (p=NA)","-0.2 (p=0.0057)","-0.38 (p=2.4e-08)","-0.22 (p=0.002)","-0.12 (p=0.1)","0.59 (p=2.1e-20)","-0.26 (p=0.00019)","-0.58 (p=5.9e-19)","0.25 (p=0.00036)","-0.56 (p=7.4e-18)","-0.15 (p=0.038)","-0.08 (p=0.26)","NA (p=NA)","-0.36 (p=2.2e-07)","-0.14 (p=0.052)","-0.27 (p=0.00014)","0.17 (p=0.015)","-0.35 (p=3.2e-07)","-0.43 (p=2.9e-10)","-0.074 (p=0.3)","-0.071 (p=0.32)","0.017 (p=0.81)","0.23 (p=0.0012)","0.76 (p=2.5e-38)","-0.22 (p=0.0022)","0.048 (p=0.5)","-0.023 (p=0.75)","0.22 (p=0.0019)","-0.067 (p=0.35)","-0.18 (p=0.013)","0.041 (p=0.56)","-0.14 (p=0.043)","-0.15 (p=0.038)","-0.17 (p=0.018)","-0.084 (p=0.24)","-0.18 (p=0.012)","-0.2 (p=0.0044)","-0.13 (p=0.066)","-0.23 (p=0.00097)","-0.18 (p=0.011)","-0.15 (p=0.038)","-0.14 (p=0.046)","-0.18 (p=0.012)","-0.17 (p=0.018)","-0.23 (p=0.0011)","-0.17 (p=0.014)","-0.64 (p=1.3e-24)","-0.64 (p=2.7e-24)","-0.63 (p=2.9e-23)","-0.62 (p=1.1e-22)","-0.24 (p=0.00051)","-0.24 (p=0.00066)","-0.39 (p=1.8e-08)","-0.3 (p=2e-05)","-0.25 (p=4e-04)","-0.13 (p=0.065)","-0.39 (p=1.6e-08)","-0.32 (p=4.8e-06)","0.5 (p=6.7e-14)","-0.18 (p=0.013)","-0.36 (p=1.8e-07)","-0.31 (p=9.2e-06)","-0.28 (p=8e-05)","-0.16 (p=0.029)","-0.33 (p=1.7e-06)","-0.29 (p=3.6e-05)","0.13 (p=0.078)","-0.24 (p=0.00061)","NA (p=NA)","-0.19 (p=0.0078)","-0.64 (p=2.8e-24)","-0.47 (p=2.4e-12)","-0.4 (p=5.1e-09)","0.2 (p=0.0057)","-0.3 (p=1.4e-05)"
"MEblack","0.043 (p=0.54)","NA (p=NA)","-0.32 (p=3e-06)","-0.14 (p=0.048)","-0.14 (p=0.042)","0.094 (p=0.19)","0.43 (p=1.6e-10)","-0.16 (p=0.023)","-0.3 (p=2.1e-05)","0.096 (p=0.18)","-0.38 (p=4.7e-08)","-0.15 (p=0.036)","-0.14 (p=0.042)","NA (p=NA)","-0.43 (p=2.9e-10)","-0.12 (p=0.093)","-0.11 (p=0.11)","0.19 (p=0.0082)","-0.43 (p=3.5e-10)","-0.53 (p=9.1e-16)","0.21 (p=0.0032)","0.14 (p=0.054)","-0.088 (p=0.22)","0.34 (p=1.1e-06)","NaN (p=NaN)","-0.13 (p=0.077)","-0.11 (p=0.11)","0.052 (p=0.47)","0.21 (p=0.0032)","-0.22 (p=0.0021)","-0.22 (p=0.0023)","-0.39 (p=1.5e-08)","-0.089 (p=0.21)","-0.14 (p=0.044)","-0.15 (p=0.04)","-0.037 (p=0.6)","-0.1 (p=0.15)","-0.11 (p=0.11)","-0.037 (p=0.6)","-0.12 (p=0.11)","-0.13 (p=0.078)","-0.078 (p=0.27)","-0.077 (p=0.28)","-0.096 (p=0.18)","-0.079 (p=0.27)","-0.13 (p=0.07)","-0.13 (p=0.07)","-0.43 (p=2.3e-10)","-0.43 (p=1.9e-10)","-0.42 (p=4.1e-10)","-0.42 (p=7e-10)","-0.21 (p=0.0026)","-0.19 (p=0.0071)","-0.27 (p=0.00015)","-0.21 (p=0.0035)","-0.22 (p=0.0017)","-0.096 (p=0.18)","-0.27 (p=0.00013)","-0.22 (p=0.0017)","-0.0067 (p=0.93)","-0.14 (p=0.043)","-0.25 (p=0.00036)","-0.22 (p=0.0021)","-0.25 (p=3e-04)","-0.15 (p=0.038)","-0.23 (p=0.0011)","-0.2 (p=0.0046)","0.029 (p=0.69)","-0.25 (p=0.00044)","NA (p=NA)","-0.15 (p=0.038)","-0.37 (p=7.7e-08)","-0.28 (p=5.9e-05)","-0.18 (p=0.01)","0.32 (p=3e-06)","-0.27 (p=0.00011)"
"MEpink","0.1 (p=0.14)","NA (p=NA)","-0.33 (p=2e-06)","-0.27 (p=9.3e-05)","-0.2 (p=0.0052)","0.041 (p=0.57)","0.59 (p=6.2e-20)","-0.37 (p=7.4e-08)","-0.5 (p=3e-14)","0.13 (p=0.075)","-0.47 (p=2.2e-12)","-0.019 (p=0.79)","0.083 (p=0.25)","NA (p=NA)","-0.52 (p=6.4e-15)","-0.49 (p=1.9e-13)","-0.16 (p=0.023)","0.6 (p=7e-21)","-0.39 (p=9.4e-09)","-0.37 (p=8.6e-08)","0.47 (p=1.8e-12)","0.32 (p=3.1e-06)","-0.16 (p=0.023)","0.17 (p=0.014)","-0.22 (p=0.0017)","-0.19 (p=0.0069)","-0.18 (p=0.0096)","0.51 (p=2.5e-14)","0.24 (p=0.00067)","-0.18 (p=0.012)","-0.22 (p=0.0018)","-0.28 (p=7.8e-05)","-0.14 (p=0.046)","-0.15 (p=0.036)","-0.17 (p=0.017)","-0.07 (p=0.32)","-0.16 (p=0.024)","-0.19 (p=0.008)","-0.13 (p=0.076)","-0.22 (p=0.0018)","-0.17 (p=0.014)","-0.13 (p=0.061)","-0.13 (p=0.059)","-0.17 (p=0.018)","-0.17 (p=0.019)","-0.22 (p=0.0016)","-0.17 (p=0.014)","-0.57 (p=2.3e-18)","-0.57 (p=2.4e-18)","-0.56 (p=1.2e-17)","-0.55 (p=3.4e-17)","-0.25 (p=0.00047)","-0.23 (p=0.001)","-0.35 (p=4.8e-07)","-0.27 (p=0.00012)","-0.25 (p=0.00034)","-0.12 (p=0.088)","-0.35 (p=4.3e-07)","-0.29 (p=3.6e-05)","0.34 (p=8.7e-07)","-0.19 (p=0.0082)","-0.33 (p=2.1e-06)","-0.28 (p=4.8e-05)","-0.31 (p=6.9e-06)","-0.16 (p=0.022)","-0.3 (p=1.2e-05)","-0.26 (p=0.00016)","0.5 (p=8.5e-14)","-0.34 (p=9.6e-07)","NA (p=NA)","-0.19 (p=0.0072)","-0.53 (p=5e-16)","-0.4 (p=5.5e-09)","-0.29 (p=2.6e-05)","0.33 (p=2e-06)","-0.28 (p=7.6e-05)"
"MEroyalblue","-0.12 (p=0.098)","NA (p=NA)","0.5 (p=1e-13)","-0.15 (p=0.029)","0.23 (p=0.0011)","-0.44 (p=1.3e-10)","0.14 (p=0.043)","0.26 (p=0.00025)","0.49 (p=3e-13)","0.55 (p=2.4e-17)","-0.6 (p=9e-21)","-0.12 (p=0.1)","-0.16 (p=0.021)","NA (p=NA)","0.1 (p=0.14)","0.12 (p=0.1)","-0.17 (p=0.019)","-0.21 (p=0.0023)","0.037 (p=0.61)","0.066 (p=0.35)","-0.28 (p=7.7e-05)","-0.21 (p=0.0035)","0.68 (p=1.4e-28)","-0.061 (p=0.39)","0.58 (p=6.6e-19)","-0.15 (p=0.029)","-0.15 (p=0.039)","-0.1 (p=0.15)","-0.63 (p=3.8e-23)","0.022 (p=0.76)","-0.4 (p=6.8e-09)","0.027 (p=0.71)","0.036 (p=0.61)","-0.00053 (p=0.99)","0.029 (p=0.68)","0.14 (p=0.044)","0.23 (p=0.0012)","0.31 (p=8.9e-06)","0.28 (p=7.7e-05)","0.21 (p=0.0031)","0.069 (p=0.33)","0.15 (p=0.032)","0.25 (p=0.00039)","0.28 (p=7.7e-05)","0.23 (p=0.0013)","0.17 (p=0.018)","0.092 (p=0.2)","-0.24 (p=0.00057)","-0.24 (p=0.00073)","-0.23 (p=0.00097)","-0.23 (p=0.0011)","0.21 (p=0.003)","0.031 (p=0.66)","-0.089 (p=0.21)","-0.043 (p=0.55)","0.19 (p=0.0065)","-0.031 (p=0.66)","-0.089 (p=0.21)","-0.041 (p=0.56)","0.18 (p=0.0099)","-0.021 (p=0.77)","-0.067 (p=0.35)","-0.037 (p=0.6)","0.23 (p=0.00087)","0.05 (p=0.48)","-0.075 (p=0.29)","-0.069 (p=0.33)","-0.15 (p=0.04)","0.033 (p=0.65)","NA (p=NA)","0.23 (p=0.0012)","-0.28 (p=8.4e-05)","-0.15 (p=0.041)","-0.27 (p=0.00012)","-0.5 (p=1e-13)","0.45 (p=1.9e-11)"
"MEdarkred","0.0097 (p=0.89)","NA (p=NA)","0.3 (p=2.3e-05)","-0.24 (p=0.00073)","0.12 (p=0.1)","-0.42 (p=9.2e-10)","0.36 (p=2.7e-07)","-0.077 (p=0.28)","0.58 (p=6.3e-19)","0.49 (p=1.1e-13)","-0.72 (p=1.2e-33)","-0.12 (p=0.08)","-0.12 (p=0.085)","NA (p=NA)","0.51 (p=7.3e-15)","0.014 (p=0.84)","-0.32 (p=5.3e-06)","-0.16 (p=0.026)","0.021 (p=0.77)","0.045 (p=0.53)","-0.26 (p=2e-04)","-0.22 (p=0.0016)","0.68 (p=3.4e-28)","0.24 (p=0.00052)","0.77 (p=7.2e-40)","-0.19 (p=0.0065)","-0.18 (p=0.011)","-0.097 (p=0.17)","-0.47 (p=1.6e-12)","0.2 (p=0.0041)","-0.43 (p=3.6e-10)","0.13 (p=0.066)","-0.043 (p=0.54)","-0.087 (p=0.22)","-0.066 (p=0.36)","0.069 (p=0.33)","0.13 (p=0.061)","0.19 (p=0.0073)","0.2 (p=0.0055)","0.14 (p=0.048)","-0.016 (p=0.82)","0.072 (p=0.31)","0.17 (p=0.019)","0.18 (p=0.01)","0.16 (p=0.028)","0.12 (p=0.1)","0.032 (p=0.65)","-0.42 (p=4.1e-10)","-0.42 (p=6.7e-10)","-0.41 (p=1.5e-09)","-0.41 (p=2.3e-09)","0.027 (p=0.71)","-0.099 (p=0.16)","-0.24 (p=7e-04)","-0.18 (p=0.011)","0.024 (p=0.74)","-0.15 (p=0.039)","-0.24 (p=0.00072)","-0.18 (p=0.0095)","0.56 (p=1.2e-17)","-0.24 (p=8e-04)","-0.2 (p=0.0038)","-0.16 (p=0.02)","0.082 (p=0.25)","-0.11 (p=0.13)","-0.19 (p=0.0086)","-0.16 (p=0.029)","-0.038 (p=0.59)","0.034 (p=0.64)","NA (p=NA)","0.06 (p=0.4)","-0.44 (p=1.3e-10)","-0.31 (p=9.2e-06)","-0.38 (p=4.7e-08)","-0.3 (p=2.3e-05)","0.34 (p=1.2e-06)"
"MElightcyan","-0.11 (p=0.11)","NA (p=NA)","0.29 (p=3.4e-05)","-0.13 (p=0.066)","0.13 (p=0.076)","-0.33 (p=1.9e-06)","0.12 (p=0.097)","0.55 (p=2.1e-17)","0.87 (p=2e-62)","0.43 (p=1.8e-10)","-0.42 (p=5e-10)","-0.08 (p=0.26)","-0.23 (p=0.00091)","NA (p=NA)","0.16 (p=0.021)","0.35 (p=2.9e-07)","-0.18 (p=0.012)","-0.31 (p=8.5e-06)","0.2 (p=0.0042)","0.22 (p=0.0018)","-0.55 (p=6.2e-17)","-0.47 (p=1.4e-12)","0.75 (p=1.7e-36)","-0.089 (p=0.21)","0.84 (p=9.1e-55)","-0.064 (p=0.37)","-0.097 (p=0.17)","-0.22 (p=0.0021)","-0.44 (p=5.8e-11)","0.14 (p=0.051)","-0.38 (p=2.3e-08)","0.041 (p=0.56)","-0.0017 (p=0.98)","-0.035 (p=0.62)","-0.011 (p=0.88)","0.12 (p=0.082)","0.18 (p=0.0091)","0.24 (p=0.00049)","0.24 (p=0.00053)","0.21 (p=0.0035)","0.093 (p=0.19)","0.13 (p=0.073)","0.2 (p=0.0039)","0.22 (p=0.0016)","0.2 (p=0.0054)","0.17 (p=0.015)","0.11 (p=0.12)","-0.21 (p=0.0035)","-0.2 (p=0.0045)","-0.19 (p=0.0058)","-0.19 (p=0.007)","0.41 (p=2.4e-09)","0.054 (p=0.45)","-0.044 (p=0.54)","-0.02 (p=0.78)","0.37 (p=5.2e-08)","0.02 (p=0.78)","-0.044 (p=0.54)","-0.018 (p=0.8)","0.033 (p=0.64)","0.064 (p=0.37)","-0.00032 (p=1)","0.017 (p=0.81)","0.39 (p=9.4e-09)","0.08 (p=0.26)","-0.0093 (p=0.9)","-0.008 (p=0.91)","-0.34 (p=7.6e-07)","0.25 (p=0.00035)","NA (p=NA)","0.45 (p=2.8e-11)","-0.23 (p=0.001)","-0.13 (p=0.073)","-0.2 (p=0.0057)","-0.29 (p=3.4e-05)","0.57 (p=1.2e-18)"
"MEgreenyellow","0.13 (p=0.061)","NA (p=NA)","0.057 (p=0.42)","-0.35 (p=2.9e-07)","-0.1 (p=0.15)","-0.33 (p=1.8e-06)","0.52 (p=3.3e-15)","-0.17 (p=0.017)","-0.3 (p=1.6e-05)","0.2 (p=0.0043)","-0.47 (p=1.5e-12)","0.082 (p=0.25)","0.0037 (p=0.96)","NA (p=NA)","0.084 (p=0.24)","-0.33 (p=1.6e-06)","-0.31 (p=1.1e-05)","0.095 (p=0.18)","-0.33 (p=1.6e-06)","-0.32 (p=4.5e-06)","0.48 (p=3.9e-13)","0.32 (p=4.4e-06)","-0.24 (p=0.00082)","0.27 (p=9.1e-05)","-0.33 (p=2.2e-06)","-0.21 (p=0.0024)","-0.17 (p=0.018)","0.18 (p=0.012)","0.071 (p=0.32)","0.12 (p=0.083)","-0.1 (p=0.16)","0.36 (p=2.7e-07)","-0.077 (p=0.28)","-0.14 (p=0.05)","-0.13 (p=0.058)","-0.049 (p=0.5)","-0.092 (p=0.2)","-0.082 (p=0.25)","0.011 (p=0.88)","-0.091 (p=0.2)","-0.15 (p=0.03)","-0.077 (p=0.28)","-0.04 (p=0.57)","-0.053 (p=0.45)","-0.021 (p=0.77)","-0.093 (p=0.19)","-0.12 (p=0.098)","-0.59 (p=1.1e-19)","-0.58 (p=2.9e-19)","-0.57 (p=1.8e-18)","-0.56 (p=4.6e-18)","-0.44 (p=9.2e-11)","-0.26 (p=0.00017)","-0.35 (p=4.3e-07)","-0.27 (p=0.00013)","-0.42 (p=5.8e-10)","-0.15 (p=0.032)","-0.35 (p=3.9e-07)","-0.29 (p=4.1e-05)","0.6 (p=4.5e-21)","-0.2 (p=0.0057)","-0.33 (p=1.3e-06)","-0.29 (p=4e-05)","-0.41 (p=1.4e-09)","-0.066 (p=0.35)","-0.3 (p=1.6e-05)","-0.26 (p=0.00019)","0.4 (p=4.1e-09)","-0.3 (p=1.2e-05)","NA (p=NA)","-0.36 (p=1.4e-07)","-0.6 (p=9.6e-21)","-0.44 (p=9.4e-11)","-0.44 (p=9.5e-11)","-0.057 (p=0.42)","-0.23 (p=0.00084)"
"MEsalmon","0.045 (p=0.53)","NA (p=NA)","0.32 (p=3e-06)","-0.24 (p=5e-04)","0.058 (p=0.41)","-0.48 (p=4.6e-13)","0.36 (p=2.4e-07)","-0.22 (p=0.0014)","-0.086 (p=0.23)","0.53 (p=5.8e-16)","-0.52 (p=2.1e-15)","0.062 (p=0.38)","-0.014 (p=0.84)","NA (p=NA)","0.82 (p=2.7e-49)","-0.34 (p=1.1e-06)","-0.3 (p=1.9e-05)","0.18 (p=0.011)","-0.16 (p=0.028)","-0.18 (p=0.011)","0.34 (p=7e-07)","0.18 (p=0.012)","-0.23 (p=0.0012)","0.47 (p=1.7e-12)","-0.3 (p=1.4e-05)","-0.067 (p=0.35)","-0.19 (p=0.0079)","0.0092 (p=0.9)","-0.16 (p=0.027)","0.31 (p=7.5e-06)","-0.21 (p=0.0032)","0.28 (p=8.1e-05)","0.016 (p=0.83)","-0.051 (p=0.48)","-0.027 (p=0.7)","0.01 (p=0.88)","0.023 (p=0.75)","0.064 (p=0.37)","0.15 (p=0.038)","0.065 (p=0.36)","-0.052 (p=0.47)","0.018 (p=0.8)","0.072 (p=0.31)","0.083 (p=0.24)","0.12 (p=0.081)","0.05 (p=0.49)","-0.019 (p=0.79)","-0.48 (p=4.3e-13)","-0.48 (p=7.2e-13)","-0.47 (p=2.1e-12)","-0.47 (p=3.4e-12)","-0.45 (p=3.2e-11)","-0.21 (p=0.0033)","-0.31 (p=7.3e-06)","-0.24 (p=0.00065)","-0.41 (p=1.8e-09)","-0.19 (p=0.0086)","-0.31 (p=6.8e-06)","-0.25 (p=0.00029)","0.7 (p=6.7e-31)","-0.21 (p=0.0029)","-0.3 (p=2e-05)","-0.25 (p=0.00029)","-0.33 (p=1.9e-06)","-0.054 (p=0.45)","-0.27 (p=0.00015)","-0.23 (p=0.0011)","0.4 (p=4.1e-09)","-0.3 (p=1.4e-05)","NA (p=NA)","-0.4 (p=3.2e-09)","-0.48 (p=1.2e-12)","-0.35 (p=2.8e-07)","-0.43 (p=2.4e-10)","-0.32 (p=3e-06)","-0.19 (p=0.0073)"
"MEgrey","-0.039 (p=0.58)","NA (p=NA)","0.18 (p=0.0091)","0.28 (p=5.3e-05)","-0.041 (p=0.56)","0.18 (p=0.01)","-0.62 (p=1e-22)","-0.013 (p=0.86)","0.47 (p=2.5e-12)","0.031 (p=0.67)","0.35 (p=5.1e-07)","0.22 (p=0.0018)","0.36 (p=1.4e-07)","NA (p=NA)","0.16 (p=0.028)","-0.077 (p=0.28)","0.28 (p=6.1e-05)","-0.3 (p=2.2e-05)","-0.093 (p=0.19)","0.21 (p=0.003)","-0.21 (p=0.0029)","-0.19 (p=0.0064)","0.14 (p=0.049)","0.12 (p=0.1)","0.29 (p=2.6e-05)","-0.14 (p=0.051)","-0.14 (p=0.051)","-0.13 (p=0.064)","-0.16 (p=0.025)","-0.071 (p=0.32)","0.17 (p=0.014)","0.077 (p=0.28)","0.054 (p=0.45)","-0.066 (p=0.36)","-0.025 (p=0.73)","0.17 (p=0.016)","0.23 (p=0.001)","0.22 (p=0.0015)","0.059 (p=0.41)","0.089 (p=0.21)","0.026 (p=0.72)","0.18 (p=0.013)","0.18 (p=0.01)","0.2 (p=0.0049)","0.071 (p=0.32)","0.097 (p=0.17)","0.062 (p=0.39)","0.47 (p=2.1e-12)","0.48 (p=5.9e-13)","0.48 (p=8.5e-13)","0.48 (p=1.3e-12)","0.026 (p=0.72)","-0.037 (p=0.6)","0.33 (p=2.6e-06)","0.51 (p=2e-14)","0.0084 (p=0.91)","-0.035 (p=0.62)","0.29 (p=2.7e-05)","0.42 (p=1e-09)","-0.12 (p=0.096)","0.14 (p=0.046)","0.26 (p=0.00025)","0.26 (p=0.00018)","-0.012 (p=0.87)","0.1 (p=0.14)","0.27 (p=1e-04)","0.11 (p=0.14)","0.12 (p=0.098)","-0.099 (p=0.17)","NA (p=NA)","-0.012 (p=0.87)","0.37 (p=1.1e-07)","0.36 (p=1.4e-07)","0.3 (p=1.6e-05)","-0.18 (p=0.0091)","0.22 (p=0.0022)"
